,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,10,18,0,13,3,19,6
1,1,13,20,8,5,4,6,16
2,2,5,2,8,4,14,1,17
3,3,17,0,12,15,3,10,1
4,4,20,3,15,5,12,19,10
5,5,5,4,19,15,9,1,2
6,6,19,8,13,15,2,4,10
7,7,10,7,14,3,2,15,6
8,8,15,12,1,4,18,7,17
9,9,11,4,12,5,18,0,6
10,10,10,6,13,3,2,0,5
11,11,3,9,2,19,13,11,7
12,12,14,8,10,4,15,0,16
13,13,13,8,18,20,3,12,15
14,14,13,16,9,5,17,2,6
15,15,2,14,19,12,6,15,3
16,16,13,9,17,6,18,20,3
17,17,11,12,5,14,13,7,19
18,18,11,1,15,3,7,14,16
19,19,14,13,7,5,18,20,1
20,20,19,7,2,1,12,15,14
21,21,2,0,6,5,14,17,4
22,22,14,3,7,13,12,11,5
23,23,19,9,14,0,11,1,15
24,24,6,10,12,14,1,0,11
25,25,6,14,2,20,4,15,5
26,26,2,15,17,19,10,1,11
27,27,11,12,1,9,8,19,15
28,28,8,6,19,18,12,11,4
29,29,19,17,2,10,8,5,16
30,30,1,9,6,8,0,2,15
31,31,14,0,3,15,5,6,12
32,32,4,6,9,12,5,7,1
33,33,7,10,0,5,19,4,1
34,34,5,2,9,1,15,12,20
35,35,5,13,9,2,4,12,14
36,36,10,16,20,1,11,19,17
37,37,13,15,18,11,8,14,1
38,38,9,13,4,15,5,10,12
39,39,18,2,6,12,10,5,1
40,40,14,9,16,13,2,6,19
41,41,9,10,5,6,14,19,3
42,42,12,0,2,1,3,20,19
43,43,10,0,8,19,11,18,9
44,44,12,7,5,18,14,4,9
45,45,5,19,2,1,0,13,4
46,46,3,1,2,16,0,11,15
47,47,9,5,2,3,18,1,16
48,48,16,12,0,20,9,13,14
