,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,2,10,12,5,7,15,13
1,1,6,7,4,12,14,3,5
2,2,1,4,5,10,9,0,6
3,3,1,0,6,8,15,3,2
4,4,1,19,18,5,2,4,11
5,5,6,13,9,1,3,10,14
6,6,12,19,15,5,3,8,6
7,7,14,10,19,2,12,18,8
8,8,9,7,10,16,11,17,15
9,9,6,2,15,7,0,8,17
10,10,10,2,12,20,14,6,4
11,11,3,12,5,4,1,9,18
12,12,16,17,1,15,11,7,5
13,13,3,0,9,2,16,18,10
14,14,10,7,16,8,11,18,13
15,15,8,14,7,4,1,16,12
16,16,0,16,20,14,18,1,7
17,17,11,17,2,15,12,1,4
18,18,1,0,17,15,11,2,9
19,19,5,3,2,4,18,20,0
20,20,2,3,20,8,4,5,0
21,21,2,1,0,3,13,4,14
22,22,2,12,11,5,14,4,3
23,23,15,16,14,17,10,8,5
24,24,1,4,14,5,19,8,16
25,25,14,13,2,17,15,12,5
26,26,5,4,18,16,3,15,2
27,27,9,5,12,1,7,11,4
28,28,4,9,1,2,10,19,14
29,29,15,2,0,14,1,20,18
30,30,2,0,14,13,1,11,8
31,31,13,7,19,14,0,4,12
32,32,10,7,0,6,9,3,14
33,33,12,11,5,0,17,6,9
34,34,0,2,8,1,3,7,10
35,35,2,9,3,19,18,4,1
36,36,20,2,0,18,6,8,1
37,37,3,14,13,12,11,16,4
38,38,10,4,0,2,20,15,18
39,39,10,16,1,3,14,12,4
40,40,5,10,17,8,7,6,20
41,41,2,16,6,4,3,10,13
42,42,13,11,3,5,12,18,17
43,43,0,3,4,2,5,1,10
44,44,5,14,4,0,12,15,19
45,45,2,6,0,14,20,7,12
46,46,18,20,10,2,1,4,3
47,47,5,9,19,12,15,18,1
48,48,5,3,7,10,18,16,15
