,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6,tube7,tube8,tube9,tube10,tube11,tube12,tube13,tube14,tube15,tube16,tube17,tube18,tube19,tube20
0,0.0,,,,,,,,,,,,,,,,,,,,,
1,1.0,4.0,4.0,4.0,16.0,16.0,16.0,7.0,7.0,7.0,1.0,1.0,1.0,11.0,11.0,11.0,15.0,15.0,15.0,19.0,19.0,19.0
2,2.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,4.0,4.0,5.0,5.0,5.0,10.0,10.0,10.0,11.0,11.0,11.0
3,3.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,6.0,6.0,3.0,3.0,3.0,5.0,5.0,5.0,0.0,0.0,0.0
4,4.0,1.0,1.0,1.0,7.0,7.0,7.0,3.0,3.0,3.0,8.0,8.0,8.0,0.0,0.0,0.0,16.0,16.0,16.0,12.0,12.0,12.0
5,5.0,8.0,8.0,8.0,4.0,4.0,4.0,17.0,17.0,17.0,5.0,5.0,5.0,3.0,3.0,3.0,19.0,19.0,19.0,2.0,2.0,2.0
6,6.0,13.0,13.0,13.0,10.0,10.0,10.0,9.0,9.0,9.0,7.0,7.0,7.0,17.0,17.0,17.0,19.0,19.0,19.0,12.0,12.0,12.0
7,7.0,14.0,14.0,14.0,13.0,13.0,13.0,4.0,4.0,4.0,12.0,12.0,12.0,5.0,5.0,5.0,17.0,17.0,17.0,0.0,0.0,0.0
8,8.0,2.0,2.0,2.0,0.0,0.0,0.0,16.0,16.0,16.0,4.0,4.0,4.0,1.0,1.0,1.0,20.0,20.0,20.0,19.0,19.0,19.0
9,9.0,2.0,2.0,2.0,9.0,9.0,9.0,1.0,1.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,13.0,13.0,13.0,5.0,5.0,5.0
10,10.0,7.0,7.0,7.0,4.0,4.0,4.0,18.0,18.0,18.0,9.0,9.0,9.0,1.0,1.0,1.0,6.0,6.0,6.0,19.0,19.0,19.0
11,11.0,9.0,9.0,9.0,11.0,11.0,11.0,2.0,2.0,2.0,16.0,16.0,16.0,19.0,19.0,19.0,18.0,18.0,18.0,1.0,1.0,1.0
12,12.0,20.0,20.0,20.0,10.0,10.0,10.0,8.0,8.0,8.0,0.0,0.0,0.0,11.0,11.0,11.0,17.0,17.0,17.0,2.0,2.0,2.0
13,13.0,10.0,10.0,10.0,4.0,4.0,4.0,6.0,6.0,6.0,1.0,1.0,1.0,17.0,17.0,17.0,3.0,3.0,3.0,14.0,14.0,14.0
14,14.0,19.0,19.0,19.0,11.0,11.0,11.0,9.0,9.0,9.0,12.0,12.0,12.0,14.0,14.0,14.0,10.0,10.0,10.0,2.0,2.0,2.0
15,15.0,16.0,16.0,16.0,7.0,7.0,7.0,3.0,3.0,3.0,11.0,11.0,11.0,0.0,0.0,0.0,8.0,8.0,8.0,17.0,17.0,17.0
16,16.0,11.0,11.0,11.0,19.0,19.0,19.0,1.0,1.0,1.0,20.0,20.0,20.0,5.0,5.0,5.0,18.0,18.0,18.0,9.0,9.0,9.0
17,17.0,2.0,2.0,2.0,9.0,9.0,9.0,16.0,16.0,16.0,4.0,4.0,4.0,10.0,10.0,10.0,0.0,0.0,0.0,14.0,14.0,14.0
18,18.0,0.0,0.0,0.0,15.0,15.0,15.0,11.0,11.0,11.0,13.0,13.0,13.0,12.0,12.0,12.0,17.0,17.0,17.0,4.0,4.0,4.0
19,19.0,8.0,8.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0,7.0,7.0,14.0,14.0,14.0,16.0,16.0,16.0,17.0,17.0,17.0
