,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,12,9,7,11,15,10,17
1,1,1,5,19,6,17,20,16
2,2,12,13,20,6,19,9,18
3,3,17,0,9,16,2,10,13
4,4,4,12,3,1,20,13,14
5,5,7,16,13,2,20,4,10
6,6,11,16,13,18,19,2,1
7,7,19,15,11,12,8,1,17
8,8,18,12,1,10,6,13,8
9,9,2,3,5,17,14,10,8
10,10,16,13,10,9,3,12,14
11,11,8,19,14,9,3,10,7
12,12,8,15,18,16,0,3,1
13,13,14,6,13,1,19,11,20
14,14,9,4,7,17,0,8,6
15,15,19,11,14,1,13,0,16
16,16,2,10,18,12,17,20,5
17,17,7,9,0,18,14,15,2
18,18,8,13,16,17,4,12,14
19,19,9,11,15,17,14,18,20
20,20,18,9,19,17,13,11,12
21,21,13,11,9,12,5,2,15
22,22,7,13,12,5,17,19,20
23,23,20,14,7,16,17,4,0
24,24,18,17,12,11,10,1,3
25,25,6,16,15,3,4,17,1
26,26,9,8,4,19,18,7,3
27,27,14,4,11,19,10,13,16
28,28,12,3,20,13,4,9,15
29,29,6,20,18,4,11,16,9
30,30,5,13,15,4,8,3,6
31,31,7,9,15,14,5,19,4
32,32,13,20,1,16,4,19,7
33,33,18,5,15,7,9,14,1
34,34,11,18,3,15,9,8,0
35,35,19,6,17,15,13,3,4
36,36,2,20,9,8,3,19,5
37,37,18,5,12,7,6,2,8
38,38,1,15,20,16,17,11,12
39,39,2,1,18,13,0,12,5
40,40,14,20,0,13,4,2,15
41,41,6,17,4,11,13,20,0
42,42,0,15,18,9,5,14,16
43,43,13,19,0,9,11,4,17
44,44,7,2,11,5,18,3,8
45,45,10,6,18,9,4,17,12
46,46,5,9,10,17,8,12,20
47,47,20,9,13,16,15,6,17
48,48,16,19,13,12,0,9,20
