,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,19,10,0,17,20,3,1
1,1,0,10,2,8,12,4,16
2,2,18,17,6,19,2,7,11
3,3,10,19,9,2,16,17,0
4,4,15,3,5,19,7,12,14
5,5,6,2,5,16,12,0,7
6,6,15,0,1,6,13,14,5
7,7,13,5,7,17,18,19,8
8,8,5,12,15,3,0,14,4
9,9,12,15,8,19,9,11,10
10,10,12,5,15,0,8,20,3
11,11,11,19,10,7,18,6,8
12,12,14,3,4,9,18,5,10
13,13,4,14,16,5,19,9,3
14,14,19,8,12,17,20,2,3
15,15,13,7,2,14,15,18,12
16,16,3,5,17,11,4,12,20
17,17,18,14,0,6,15,5,3
18,18,3,10,2,17,20,19,14
19,19,11,2,13,10,7,14,0
20,20,20,12,10,5,18,7,11
21,21,19,16,1,20,18,5,0
22,22,0,18,14,3,16,8,6
23,23,15,12,13,7,2,8,20
24,24,9,17,1,6,20,16,18
25,25,16,13,4,17,15,1,5
26,26,18,8,20,16,2,3,5
27,27,19,17,9,8,14,4,3
28,28,8,7,5,15,14,11,6
29,29,16,5,1,0,17,7,13
30,30,13,8,15,19,20,18,14
31,31,2,4,3,11,14,15,8
32,32,10,18,15,2,4,12,9
33,33,0,3,13,20,15,7,6
34,34,2,14,0,18,11,19,20
35,35,12,14,2,13,7,10,4
36,36,4,15,12,2,20,10,7
37,37,4,6,11,7,14,0,8
38,38,15,0,18,20,8,17,1
39,39,1,4,17,10,16,11,20
40,40,3,17,13,4,12,16,0
41,41,7,0,9,12,6,8,10
42,42,20,16,13,9,11,6,17
43,43,9,18,0,4,14,6,20
44,44,17,11,1,16,5,7,20
45,45,18,2,6,14,19,9,15
46,46,8,16,14,7,17,10,5
47,47,5,1,17,14,12,3,16
48,48,7,16,2,9,8,0,4
