,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,10,4,5,3,7,16,13
1,1,12,9,14,20,2,10,1
2,2,2,19,13,16,0,8,18
3,3,4,20,9,11,5,8,17
4,4,11,3,19,9,18,17,8
5,5,15,18,10,0,12,17,16
6,6,13,6,3,18,7,19,10
7,7,10,5,9,2,16,1,6
8,8,7,9,8,3,5,17,19
9,9,5,14,1,19,4,8,13
10,10,3,17,12,19,13,9,16
11,11,11,17,15,16,13,9,8
12,12,14,3,2,7,4,16,8
13,13,8,6,18,10,20,12,5
14,14,19,4,14,17,6,13,3
15,15,7,18,12,16,6,17,2
16,16,18,1,12,2,10,9,0
17,17,6,11,19,14,20,13,16
18,18,14,20,17,9,2,4,1
19,19,0,6,11,13,1,3,15
20,20,15,5,3,9,18,12,14
21,21,2,11,10,9,3,20,12
22,22,9,0,10,18,7,12,8
23,23,8,16,13,4,6,19,15
24,24,12,1,2,0,11,16,7
25,25,12,8,4,3,20,7,5
26,26,19,2,18,11,14,10,15
27,27,10,17,19,0,3,20,15
28,28,15,2,8,17,19,1,16
29,29,4,19,5,13,17,3,12
30,30,12,0,5,14,9,7,11
31,31,9,14,0,20,8,4,1
32,32,17,16,11,6,10,14,12
33,33,18,2,3,8,9,19,17
34,34,13,1,10,18,8,5,3
35,35,19,3,6,8,10,5,1
36,36,5,7,3,17,4,10,2
37,37,1,4,6,10,18,7,17
38,38,5,9,7,10,0,20,1
39,39,12,14,13,0,2,5,19
40,40,7,13,6,18,17,19,8
41,41,0,1,10,16,3,11,4
42,42,14,4,3,8,18,7,13
43,43,6,18,15,1,19,11,2
44,44,1,0,2,15,17,14,5
45,45,4,1,9,0,10,13,14
46,46,18,4,13,12,3,1,10
47,47,8,9,4,6,7,3,16
48,48,1,12,4,13,0,7,20
