,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,0,5,4,2,1,18,8
1,1,4,10,3,19,9,6,5
2,2,8,14,5,1,16,17,10
3,3,18,0,13,8,7,2,6
4,4,10,9,6,5,15,13,0
5,5,16,9,20,2,14,13,6
6,6,20,16,19,18,9,17,10
7,7,10,20,4,12,17,13,19
8,8,10,12,20,11,3,2,17
9,9,16,19,15,12,20,5,10
10,10,15,13,16,11,18,5,1
11,11,1,11,20,8,0,9,2
12,12,15,6,18,13,3,19,7
13,13,8,10,14,11,2,3,19
14,14,20,9,0,6,18,3,14
15,15,2,0,15,16,18,14,10
16,16,19,6,9,16,15,0,2
17,17,1,10,14,16,19,6,8
18,18,19,4,15,2,10,11,9
19,19,15,6,16,12,2,9,17
20,20,6,9,0,10,3,11,13
21,21,1,9,15,8,16,17,10
22,22,13,7,10,11,3,9,5
23,23,12,13,20,0,3,7,4
24,24,16,6,1,2,20,7,14
25,25,19,14,10,12,9,4,0
26,26,7,13,20,9,12,6,5
27,27,6,16,7,10,18,2,14
28,28,13,12,10,7,17,20,5
29,29,15,13,14,10,6,2,19
30,30,15,12,13,10,1,18,14
31,31,3,14,8,6,12,16,7
32,32,15,5,4,8,3,14,0
33,33,5,7,12,0,4,13,10
34,34,19,7,6,15,8,12,9
35,35,0,16,13,5,1,15,4
36,36,9,18,13,0,15,16,11
37,37,0,13,12,20,15,11,1
38,38,19,15,9,16,6,14,12
39,39,16,0,3,1,11,10,14
40,40,20,19,9,3,7,17,1
41,41,19,18,11,7,17,3,9
42,42,14,3,2,17,8,18,1
43,43,5,14,20,8,10,13,16
44,44,5,0,2,9,20,14,8
45,45,8,9,17,19,2,14,7
46,46,3,0,18,17,5,8,1
47,47,17,8,5,4,10,6,7
48,48,14,16,19,4,5,11,7
