,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,12,9,7,11,15,10,17
1,1,18,13,11,0,19,1,7
2,2,5,13,16,12,11,9,6
3,3,16,6,15,8,17,5,12
4,4,0,17,1,3,10,19,2
5,5,0,7,13,3,14,5,1
6,6,20,4,2,1,8,14,5
7,7,17,12,16,9,18,20,1
8,8,13,16,19,6,7,12,10
9,9,15,13,5,6,17,1,11
10,10,1,8,13,5,14,17,4
11,11,17,2,5,4,16,3,11
12,12,11,20,12,8,0,2,14
13,13,6,15,11,0,18,3,10
14,14,11,12,0,6,15,5,10
15,15,20,16,1,8,0,7,19
16,16,13,11,0,9,15,10,17
17,17,6,8,4,3,9,0,1
18,18,9,8,12,14,13,11,5
19,19,20,11,12,10,15,18,8
20,20,13,2,12,15,8,19,7
21,21,2,19,14,17,13,4,15
22,22,11,4,8,12,18,1,0
23,23,1,5,10,12,14,0,7
24,24,15,5,2,16,13,18,3
25,25,10,20,1,16,18,8,13
26,26,18,11,13,5,17,19,8
27,27,18,3,6,5,0,12,11
28,28,8,2,17,12,16,5,9
29,29,3,4,13,6,20,5,8
30,30,12,5,6,1,14,19,20
31,31,11,18,19,13,3,14,0
32,32,1,6,14,16,19,2,0
33,33,9,20,7,8,3,10,14
34,34,0,4,12,16,19,14,10
35,35,1,17,8,9,16,19,3
36,36,6,3,5,13,4,2,14
37,37,19,10,0,11,7,2,16
38,38,17,11,20,9,19,4,14
39,39,1,16,2,0,14,3,8
40,40,9,8,7,15,18,16,13
41,41,5,17,14,9,11,19,6
42,42,12,18,5,1,13,11,2
43,43,16,20,10,15,2,12,7
44,44,6,19,16,5,10,0,13
45,45,8,7,15,12,11,19,14
46,46,17,9,3,7,18,16,19
47,47,20,14,11,4,10,1,19
48,48,2,17,20,10,11,3,7
