,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,19,14,9,13,4,12,15
1,1,1,0,2,6,7,8,3
2,2,3,8,2,1,5,0,7
3,3,12,13,2,16,0,6,5
4,4,5,3,7,10,20,9,1
5,5,9,13,14,8,0,6,4
6,6,0,2,6,9,19,18,20
7,7,1,18,20,6,5,13,4
8,8,8,10,6,3,17,14,2
9,9,2,18,9,7,10,5,3
10,10,9,0,8,10,12,16,13
11,11,2,5,15,19,3,0,1
12,12,7,0,15,10,2,19,12
13,13,1,7,8,19,11,10,18
14,14,0,10,5,7,17,13,18
15,15,1,3,10,13,7,8,9
16,16,16,5,3,4,6,20,18
17,17,0,3,2,6,5,20,16
18,18,16,3,12,9,15,8,2
19,19,17,2,13,5,4,9,16
20,20,2,8,6,16,0,1,18
21,21,2,3,1,13,12,16,17
22,22,14,13,12,8,15,1,19
23,23,12,3,15,1,4,0,13
24,24,6,20,12,3,10,17,14
25,25,9,13,16,6,15,17,10
26,26,0,5,6,19,18,13,11
27,27,0,12,16,18,2,1,14
28,28,13,6,8,19,2,14,5
29,29,3,19,11,17,14,0,10
30,30,1,6,0,2,7,15,11
31,31,1,7,2,5,20,18,6
32,32,7,4,16,11,17,15,20
33,33,20,5,16,14,15,10,17
34,34,1,17,9,13,4,12,7
35,35,18,1,0,12,5,4,13
36,36,3,14,4,11,9,8,19
37,37,0,13,12,9,20,15,19
38,38,20,5,11,1,2,10,9
39,39,19,0,10,16,15,20,6
40,40,1,12,11,10,9,15,20
41,41,0,5,7,17,9,1,14
42,42,9,7,4,5,3,10,12
43,43,1,0,18,16,5,20,13
44,44,13,2,0,9,15,10,7
45,45,15,0,1,8,13,17,12
46,46,19,14,5,8,15,3,7
47,47,17,6,15,11,3,19,4
48,48,2,16,17,7,19,11,12
