,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,8,20,12,10,11,19,3
1,1,3,13,1,19,11,15,8
2,2,12,9,17,11,13,1,6
3,3,4,7,10,0,13,1,14
4,4,2,9,0,3,6,15,10
5,5,16,1,3,5,9,10,8
6,6,16,18,19,15,14,5,7
7,7,12,6,8,7,0,20,14
8,8,2,13,15,10,9,12,6
9,9,2,9,6,0,16,7,5
10,10,10,8,20,1,15,5,12
11,11,3,6,9,18,4,19,11
12,12,1,19,2,7,17,3,10
13,13,12,20,6,15,17,19,11
14,14,12,5,20,4,10,8,14
15,15,2,5,4,3,17,9,8
16,16,20,11,12,10,0,14,1
17,17,19,17,8,13,20,15,18
18,18,5,6,12,0,19,17,3
19,19,17,6,13,5,3,12,1
20,20,7,1,8,16,11,6,3
21,21,5,9,11,18,2,15,7
22,22,11,20,14,18,13,0,6
23,23,17,16,19,7,1,20,11
24,24,6,10,7,16,8,5,13
25,25,17,1,18,5,15,8,19
26,26,13,5,15,1,9,19,18
27,27,5,18,15,9,8,1,14
28,28,12,20,17,4,1,5,19
29,29,2,15,13,16,7,12,1
30,30,16,15,4,10,6,9,8
31,31,15,18,3,12,19,20,5
32,32,15,17,8,1,11,6,2
33,33,13,19,2,9,12,8,15
34,34,17,4,19,15,0,14,3
35,35,16,14,3,9,12,19,0
36,36,0,18,16,19,17,2,15
37,37,18,17,16,15,8,20,19
38,38,14,13,2,7,8,17,10
39,39,6,0,12,5,9,2,10
40,40,9,19,20,3,10,6,1
41,41,8,4,19,17,15,9,6
42,42,9,12,18,2,4,3,16
43,43,18,13,15,4,20,14,19
44,44,0,17,1,13,19,16,14
45,45,14,13,9,6,18,3,20
46,46,2,10,16,12,4,3,19
47,47,12,10,15,19,4,3,17
48,48,1,7,9,15,10,11,20
