,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,20,5,13,15,9,4,6
1,1,2,7,18,17,8,10,0
2,2,2,14,4,12,19,9,3
3,3,4,13,8,10,5,18,3
4,4,8,15,12,14,13,17,0
5,5,8,15,14,0,20,18,1
6,6,13,3,5,17,2,11,6
7,7,6,1,2,4,12,9,5
8,8,7,3,10,6,9,15,18
9,9,19,9,10,12,8,4,15
10,10,0,7,9,16,11,6,17
11,11,2,1,4,10,0,6,17
12,12,2,4,10,5,12,20,15
13,13,12,10,15,17,6,18,1
14,14,7,5,19,17,11,14,3
15,15,18,6,19,1,0,2,20
16,16,9,14,4,10,11,19,12
17,17,15,7,9,16,8,1,20
18,18,17,18,15,2,6,12,9
19,19,4,6,15,19,9,14,0
20,20,13,2,11,9,6,19,3
21,21,12,14,17,2,1,13,5
22,22,4,0,5,10,18,3,11
23,23,5,2,13,15,6,3,20
24,24,8,4,0,2,3,12,11
25,25,11,4,12,16,13,0,19
26,26,0,5,19,2,3,9,16
27,27,15,4,9,12,3,19,16
28,28,16,9,13,20,12,15,8
29,29,15,4,10,12,20,5,0
30,30,18,6,10,4,5,7,14
31,31,1,14,16,8,0,7,19
32,32,9,20,6,11,8,0,5
33,33,7,10,14,12,18,13,1
34,34,7,11,2,6,3,4,17
35,35,3,2,17,8,14,9,11
36,36,20,1,17,12,9,4,19
37,37,13,19,11,4,0,12,10
38,38,6,10,7,11,9,8,20
39,39,15,9,3,1,20,8,0
40,40,4,10,11,15,18,20,3
41,41,7,10,17,4,20,2,8
42,42,11,16,12,10,3,7,4
43,43,15,13,9,10,1,8,14
44,44,16,0,4,15,20,12,6
45,45,1,17,13,16,10,3,19
46,46,20,4,10,9,1,3,16
47,47,10,13,1,19,5,12,0
48,48,17,10,1,20,13,18,16
