,round,tube0,tube1,tube2,tube3,tube4,tube5,tube6
0,0,18,1,12,6,3,9,17
1,1,1,3,8,0,7,16,6
2,2,1,3,4,6,13,8,16
3,3,7,15,2,14,16,10,12
4,4,11,8,18,10,13,9,7
5,5,16,1,8,11,19,0,3
6,6,16,9,15,12,0,19,3
7,7,20,0,8,17,9,19,13
8,8,7,19,20,18,10,16,11
9,9,13,9,3,10,18,7,15
10,10,3,9,0,11,15,1,14
11,11,15,7,16,6,17,0,14
12,12,0,3,6,2,18,9,1
13,13,13,2,0,15,14,7,6
14,14,13,10,8,9,7,11,3
15,15,17,9,8,20,13,5,15
16,16,20,14,19,13,15,11,17
17,17,16,10,6,0,5,19,20
18,18,8,11,5,12,2,18,19
19,19,4,0,18,15,3,13,7
20,20,6,11,16,0,4,14,10
21,21,7,17,0,5,10,3,14
22,22,8,3,4,18,7,17,5
23,23,20,3,5,1,16,13,6
24,24,4,0,16,8,14,6,9
25,25,4,2,20,17,6,15,14
26,26,4,20,6,15,1,17,8
27,27,17,15,18,8,1,13,5
28,28,18,5,2,3,9,4,19
29,29,0,20,3,7,17,10,5
30,30,17,8,12,4,3,11,19
31,31,17,12,4,7,13,14,9
32,32,18,1,17,5,4,11,3
33,33,2,4,18,17,0,11,10
34,34,12,13,4,9,3,18,19
35,35,17,10,1,12,9,18,0
36,36,19,18,0,11,14,7,1
37,37,5,19,18,12,20,6,0
38,38,2,10,1,14,4,15,11
39,39,17,20,18,15,6,12,14
40,40,4,20,12,1,6,3,11
41,41,14,10,4,13,11,15,8
42,42,15,13,17,19,8,9,5
43,43,13,5,12,11,18,17,7
44,44,19,17,2,18,9,4,8
45,45,15,17,6,12,16,3,14
46,46,10,19,20,16,7,9,3
47,47,20,14,2,12,7,19,3
48,48,1,12,13,5,19,16,9
