,round,tube,tox,amount
0,0.0,0.0,0.0,290.50016198135734
1,0.0,0.0,1.0,477.5340955960718
2,0.0,0.0,2.0,446.3242984091506
3,0.0,0.0,3.0,478.74129723885267
4,0.0,0.0,4.0,627.5101156590972
5,0.0,0.0,5.0,567.9214471987449
6,0.0,0.0,6.0,591.6935934171061
7,0.0,0.0,7.0,456.1887675371173
8,0.0,0.0,8.0,506.4753049307466
9,0.0,0.0,9.0,465.9288688458681
10,0.0,1.0,0.0,317.9239171857377
11,0.0,1.0,1.0,700.0
12,0.0,1.0,2.0,603.7404811167065
13,0.0,1.0,3.0,439.1703463818548
14,0.0,1.0,4.0,529.3614748741293
15,0.0,1.0,5.0,565.1163275697542
16,0.0,1.0,6.0,595.3277696466969
17,0.0,1.0,7.0,381.5189404516105
18,0.0,1.0,8.0,370.93510673992404
19,0.0,1.0,9.0,581.3184780418848
20,0.0,2.0,0.0,147.0114432320323
21,0.0,2.0,1.0,0.0
22,0.0,2.0,2.0,622.4387374264763
23,0.0,2.0,3.0,639.6130971785715
24,0.0,2.0,4.0,587.7648824727829
25,0.0,2.0,5.0,74.88548730411904
26,0.0,2.0,6.0,429.1516945942306
27,0.0,2.0,7.0,213.74428686334093
28,0.0,2.0,8.0,522.7915344427491
29,0.0,2.0,9.0,550.6605866176093
30,0.0,3.0,0.0,504.82624397772344
31,0.0,3.0,1.0,186.97627645463353
32,0.0,3.0,2.0,0.0
33,0.0,3.0,3.0,133.96502991979412
34,0.0,3.0,4.0,442.16515088799196
35,0.0,3.0,5.0,0.0
36,0.0,3.0,6.0,700.0
37,0.0,3.0,7.0,571.4844277928331
38,0.0,3.0,8.0,252.03226395164404
39,0.0,3.0,9.0,317.3704215366607
40,0.0,4.0,0.0,356.91050339012696
41,0.0,4.0,1.0,261.887578006982
42,0.0,4.0,2.0,0.0
43,0.0,4.0,3.0,241.15118428228368
44,0.0,4.0,4.0,226.12559929998312
45,0.0,4.0,5.0,0.0
46,0.0,4.0,6.0,309.8811277416438
47,0.0,4.0,7.0,0.0
48,0.0,4.0,8.0,700.0
49,0.0,4.0,9.0,198.83839068357307
50,0.0,5.0,0.0,497.5238514193052
51,0.0,5.0,1.0,34.376950977306606
52,0.0,5.0,2.0,531.6167700299721
53,0.0,5.0,3.0,466.1454793831905
54,0.0,5.0,4.0,33.613911264219844
55,0.0,5.0,5.0,430.248598344376
56,0.0,5.0,6.0,0.0
57,0.0,5.0,7.0,0.0
58,0.0,5.0,8.0,571.8528653337072
59,0.0,5.0,9.0,73.65867943274094
60,0.0,6.0,0.0,93.11194900429197
61,0.0,6.0,1.0,0.0
62,0.0,6.0,2.0,620.3974145795806
63,0.0,6.0,3.0,487.25049338333594
64,0.0,6.0,4.0,700.0
65,0.0,6.0,5.0,398.48282929413296
66,0.0,6.0,6.0,520.6353053770613
67,0.0,6.0,7.0,174.471381441117
68,0.0,6.0,8.0,614.9095855519732
69,0.0,6.0,9.0,473.5982589886854
70,0.0,7.0,0.0,497.37718364142046
71,0.0,7.0,1.0,585.1632576232373
72,0.0,7.0,2.0,114.13032348137679
73,0.0,7.0,3.0,700.0
74,0.0,7.0,4.0,487.2712641140773
75,0.0,7.0,5.0,0.0
76,0.0,7.0,6.0,0.0
77,0.0,7.0,7.0,508.32757946032024
78,0.0,7.0,8.0,437.3680367242031
79,0.0,7.0,9.0,600.239048796802
80,0.0,8.0,0.0,0.0
81,0.0,8.0,1.0,0.0
82,0.0,8.0,2.0,271.9526291588507
83,0.0,8.0,3.0,336.5992390023125
84,0.0,8.0,4.0,449.7252233325017
85,0.0,8.0,5.0,294.24926306136
86,0.0,8.0,6.0,592.8703001004914
87,0.0,8.0,7.0,298.30095230981806
88,0.0,8.0,8.0,700.0
89,0.0,8.0,9.0,509.2215148749203
90,0.0,9.0,0.0,160.91657064040632
91,0.0,9.0,1.0,26.2577445053926
92,0.0,9.0,2.0,248.67744265905213
93,0.0,9.0,3.0,700.0
94,0.0,9.0,4.0,630.8188950478005
95,0.0,9.0,5.0,412.1167276292623
96,0.0,9.0,6.0,668.4585217137667
97,0.0,9.0,7.0,309.681685656557
98,0.0,9.0,8.0,678.3895278902594
99,0.0,9.0,9.0,573.760313550362
100,0.0,10.0,0.0,286.5584488760538
101,0.0,10.0,1.0,563.2812619824214
102,0.0,10.0,2.0,304.77795180102794
103,0.0,10.0,3.0,264.7604023553415
104,0.0,10.0,4.0,441.46645690679156
105,0.0,10.0,5.0,582.0066280886375
106,0.0,10.0,6.0,548.6643300202886
107,0.0,10.0,7.0,532.1154428982398
108,0.0,10.0,8.0,498.3080700203211
109,0.0,10.0,9.0,525.8388610070457
