,round,tube,nut,amount
0,0.0,0.0,0.0,0.7384387999506252
1,0.0,0.0,1.0,0.07431242026506504
2,0.0,0.0,2.0,0.080805003530393
3,0.0,0.0,3.0,0.11202535783606846
4,0.0,1.0,0.0,68.11247939059722
5,0.0,1.0,1.0,0.07156114786728132
6,0.0,1.0,2.0,0.2883239683751627
7,0.0,1.0,3.0,0.1795325435346149
8,0.0,2.0,0.0,0.1342863404343828
9,0.0,2.0,1.0,0.2951475357705955
10,0.0,2.0,2.0,0.25257600208698094
11,0.0,2.0,3.0,0.026912047482376453
12,0.0,3.0,0.0,0.7083351222784822
13,0.0,3.0,1.0,0.2066232098988833
14,0.0,3.0,2.0,0.11291345077909387
15,0.0,3.0,3.0,0.06299622679072794
16,0.0,4.0,0.0,0.36096246119700093
17,0.0,4.0,1.0,0.03619866330630961
18,0.0,4.0,2.0,0.07550794319593562
19,0.0,4.0,3.0,0.09123681276996068
20,0.0,5.0,0.0,0.8547843589976802
21,0.0,5.0,1.0,0.1469247436035708
22,0.0,5.0,2.0,0.25275571162905874
23,0.0,5.0,3.0,0.17997244071416751
24,0.0,6.0,0.0,0.6383684909891811
25,0.0,6.0,1.0,0.39604393616104405
26,0.0,6.0,2.0,0.148444721179883
27,0.0,6.0,3.0,0.14359479234854422
28,0.0,7.0,0.0,0.9989374727301262
29,0.0,7.0,1.0,0.4228093842515157
30,0.0,7.0,2.0,0.08922891034273045
31,0.0,7.0,3.0,0.15895374564119724
32,0.0,8.0,0.0,0.3935806366520471
33,0.0,8.0,1.0,0.17705810303923744
34,0.0,8.0,2.0,0.07922377204120107
35,0.0,8.0,3.0,0.09527880014366596
36,0.0,9.0,0.0,1053.9760324593558
37,0.0,9.0,1.0,0.03304283628538407
38,0.0,9.0,2.0,0.412890579059992
39,0.0,9.0,3.0,0.14368721490320846
40,1.0,0.0,0.0,0.439367269446147
41,1.0,0.0,1.0,0.1390027915580274
42,1.0,0.0,2.0,0.7721311987848853
43,1.0,0.0,3.0,0.06651287788361507
44,1.0,1.0,0.0,0.24107873931950524
45,1.0,1.0,1.0,0.7351425148135351
46,1.0,1.0,2.0,0.33104027543409426
47,1.0,1.0,3.0,0.06013290409408886
48,1.0,2.0,0.0,0.36260064403010883
49,1.0,2.0,1.0,0.8640968719460345
50,1.0,2.0,2.0,0.21608811826416513
51,1.0,2.0,3.0,0.013940273776472362
52,1.0,3.0,0.0,0.8194332465373926
53,1.0,3.0,1.0,0.33738060137111714
54,1.0,3.0,2.0,0.296196943988606
55,1.0,3.0,3.0,0.017274489836990176
56,1.0,4.0,0.0,0.5672677996192185
57,1.0,4.0,1.0,0.20285579588638789
58,1.0,4.0,2.0,0.27610763552703926
59,1.0,4.0,3.0,0.051429768818461785
60,1.0,5.0,0.0,0.318910714142874
61,1.0,5.0,1.0,0.6433545095150917
62,1.0,5.0,2.0,0.4815110056685836
63,1.0,5.0,3.0,0.010790756721668876
64,1.0,6.0,0.0,0.22580711663873054
65,1.0,6.0,1.0,0.8858634735186295
66,1.0,6.0,2.0,0.10572466218133164
67,1.0,6.0,3.0,0.03640836728445146
68,1.0,7.0,0.0,309.6349402212295
69,1.0,7.0,1.0,0.8217615728158638
70,1.0,7.0,2.0,0.34860653020814353
71,1.0,7.0,3.0,0.12094205082668363
72,1.0,8.0,0.0,0.052006057392620014
73,1.0,8.0,1.0,0.9054341404647691
74,1.0,8.0,2.0,0.837429207613106
75,1.0,8.0,3.0,0.08665730186330461
76,1.0,9.0,0.0,0.41997753367984325
77,1.0,9.0,1.0,0.26763328845689294
78,1.0,9.0,2.0,0.281721069041468
79,1.0,9.0,3.0,0.044877607404538056
80,2.0,0.0,0.0,0.24096641195082186
81,2.0,0.0,1.0,0.07634937972881883
82,2.0,0.0,2.0,0.997595976001717
83,2.0,0.0,3.0,0.016191491881440007
84,2.0,1.0,0.0,0.15842962158980756
85,2.0,1.0,1.0,0.5428100997261399
86,2.0,1.0,2.0,0.9972428015096262
87,2.0,1.0,3.0,0.040407666923427094
88,2.0,2.0,0.0,0.16502853977615173
89,2.0,2.0,1.0,0.9429603981701857
90,2.0,2.0,2.0,0.24997750016080533
91,2.0,2.0,3.0,0.3083240336549559
92,2.0,3.0,0.0,0.424289227969606
93,2.0,3.0,1.0,0.08169234229605804
94,2.0,3.0,2.0,0.24738945096132292
95,2.0,3.0,3.0,0.3769872691196563
96,2.0,4.0,0.0,0.4040006987288112
97,2.0,4.0,1.0,0.7358559249428532
98,2.0,4.0,2.0,0.8684454368169057
99,2.0,4.0,3.0,0.32295628331906484
100,2.0,5.0,0.0,0.09080728562465312
101,2.0,5.0,1.0,0.2953693688160275
102,2.0,5.0,2.0,0.5021742722860634
103,2.0,5.0,3.0,0.012251894863845092
104,2.0,6.0,0.0,0.4952623319519479
105,2.0,6.0,1.0,0.2626906430951268
106,2.0,6.0,2.0,0.8164407142818438
107,2.0,6.0,3.0,0.3894530682868178
108,2.0,7.0,0.0,36.33594097764227
109,2.0,7.0,1.0,0.8200481453573819
110,2.0,7.0,2.0,0.4610630046273932
111,2.0,7.0,3.0,0.12714508452538403
112,2.0,8.0,0.0,0.4264817817558319
113,2.0,8.0,1.0,0.6168969136507679
114,2.0,8.0,2.0,231.9559591446246
115,2.0,8.0,3.0,0.12638173547146025
116,2.0,9.0,0.0,7.229299827939673
117,2.0,9.0,1.0,0.9823896824017593
118,2.0,9.0,2.0,0.3712843724542173
119,2.0,9.0,3.0,0.32730366567590774
120,3.0,0.0,0.0,0.3655673172011335
121,3.0,0.0,1.0,0.8063172487167632
122,3.0,0.0,2.0,0.18574350190280486
123,3.0,0.0,3.0,0.3308971483125619
124,3.0,1.0,0.0,0.1478155159148961
125,3.0,1.0,1.0,0.9857248043727443
126,3.0,1.0,2.0,0.6658829176594032
127,3.0,1.0,3.0,0.20706460201713417
128,3.0,2.0,0.0,0.33549891748822674
129,3.0,2.0,1.0,0.8304518301234678
130,3.0,2.0,2.0,207.11862438437925
131,3.0,2.0,3.0,0.20962437300511427
132,3.0,3.0,0.0,0.7350722812266225
133,3.0,3.0,1.0,0.13243514449557015
134,3.0,3.0,2.0,0.21291328200804605
135,3.0,3.0,3.0,0.28238234237685306
136,3.0,4.0,0.0,0.3749731533134727
137,3.0,4.0,1.0,0.237286625295975
138,3.0,4.0,2.0,207.15401663252266
139,3.0,4.0,3.0,0.34288762843837384
140,3.0,5.0,0.0,0.23057625422497408
141,3.0,5.0,1.0,0.13826826853163476
142,3.0,5.0,2.0,0.6319539812185715
143,3.0,5.0,3.0,0.002720862725838033
144,3.0,6.0,0.0,0.31243904739716205
145,3.0,6.0,1.0,0.615034119474676
146,3.0,6.0,2.0,0.9364611296532801
147,3.0,6.0,3.0,0.17572530532090247
148,3.0,7.0,0.0,0.4925140697878498
149,3.0,7.0,1.0,0.12019941947913093
150,3.0,7.0,2.0,34.39143490290638
151,3.0,7.0,3.0,0.17783457850712092
152,3.0,8.0,0.0,0.5000410418385997
153,3.0,8.0,1.0,0.8267452416755762
154,3.0,8.0,2.0,207.26615138707953
155,3.0,8.0,3.0,0.35754554563285057
156,3.0,9.0,0.0,0.41780999255517615
157,3.0,9.0,1.0,0.2773561529173101
158,3.0,9.0,2.0,3.160240488737922
159,3.0,9.0,3.0,0.23929404850621144
160,4.0,0.0,0.0,0.29060218740927096
161,4.0,0.0,1.0,0.618067135286976
162,4.0,0.0,2.0,0.7043884271416143
163,4.0,0.0,3.0,0.30958365121368037
164,4.0,1.0,0.0,0.5238902328946571
165,4.0,1.0,1.0,0.3579009528988323
166,4.0,1.0,2.0,207.28753435929696
167,4.0,1.0,3.0,0.262219449325647
168,4.0,2.0,0.0,0.42459252153080285
169,4.0,2.0,1.0,0.9782734239699671
170,4.0,2.0,2.0,207.19850491598265
171,4.0,2.0,3.0,0.28843647909349357
172,4.0,3.0,0.0,0.4576836131832935
173,4.0,3.0,1.0,0.5280944934139971
174,4.0,3.0,2.0,0.8854321501828033
175,4.0,3.0,3.0,0.364504332273193
176,4.0,4.0,0.0,0.3329615804433839
177,4.0,4.0,1.0,0.65302866869814
178,4.0,4.0,2.0,207.1163494305918
179,4.0,4.0,3.0,0.34486281945126673
180,4.0,5.0,0.0,0.22926626523806348
181,4.0,5.0,1.0,0.8827816919203963
182,4.0,5.0,2.0,0.5982695021684696
183,4.0,5.0,3.0,0.08095461685457284
184,4.0,6.0,0.0,0.3926594926202792
185,4.0,6.0,1.0,0.8736117796538615
186,4.0,6.0,2.0,207.16987404677008
187,4.0,6.0,3.0,0.22182187851821106
188,4.0,7.0,0.0,0.3841992381851964
189,4.0,7.0,1.0,0.26887357241401977
190,4.0,7.0,2.0,202.95942642845148
191,4.0,7.0,3.0,0.17637700378851373
192,4.0,8.0,0.0,0.5058747782008144
193,4.0,8.0,1.0,0.8963963174913987
194,4.0,8.0,2.0,207.2713818631273
195,4.0,8.0,3.0,0.17031083101339722
196,4.0,9.0,0.0,0.18241926027297667
197,4.0,9.0,1.0,0.6675868154027488
198,4.0,9.0,2.0,0.520870312698257
199,4.0,9.0,3.0,0.31607442045273193
200,5.0,0.0,0.0,3.2465428102201015
201,5.0,0.0,1.0,0.14035475980976742
202,5.0,0.0,2.0,0.3472516363731648
203,5.0,0.0,3.0,0.2703187431982614
204,5.0,1.0,0.0,0.38175173620060177
205,5.0,1.0,1.0,0.5551125165100274
206,5.0,1.0,2.0,207.1600942495478
207,5.0,1.0,3.0,0.2715202179128956
208,5.0,2.0,0.0,0.38662397500681983
