,round,tube,sp,pop_0,final_pop,st_div_H,auc,fc
0,0.0,0.0,3.0,12.0,215.0,-0.0,9320.0,17.916651736123555
1,0.0,0.0,4.0,6.0,24.0,-0.0,1297.0,3.999993333344445
2,0.0,0.0,5.0,10.0,649.0,-0.0,28999.0,64.89993510006491
3,0.0,0.0,9.0,10.0,89.0,-0.0,5248.0,8.8999911000089
4,0.0,0.0,14.0,15.0,5.0,-0.0,623.0,0.3333331111112593
5,0.0,1.0,3.0,12.0,255.0,-0.0,12136.0,21.249982291681423
6,0.0,1.0,4.0,6.0,21.0,-0.0,1064.0,3.499994166676389
7,0.0,1.0,5.0,10.0,869.0,-0.0,33944.0,86.8999131000869
8,0.0,1.0,9.0,10.0,94.0,-0.0,5783.0,9.399990600009401
9,0.0,1.0,14.0,15.0,10.0,-0.0,866.0,0.6666662222225186
10,0.0,2.0,3.0,12.0,218.0,-0.0,10695.0,18.166651527790393
11,0.0,2.0,4.0,6.0,34.0,-0.0,2133.0,5.666657222237963
12,0.0,2.0,5.0,10.0,699.0,-0.0,27403.0,69.89993010006991
13,0.0,2.0,9.0,10.0,81.0,-0.0,5294.0,8.099991900008101
14,0.0,2.0,14.0,15.0,8.0,-0.0,804.0,0.5333329777780148
15,0.0,3.0,3.0,12.0,274.0,-0.0,13036.0,22.833314305571413
16,0.0,3.0,4.0,6.0,33.0,-0.0,1922.0,5.499990833348612
17,0.0,3.0,5.0,10.0,706.0,-0.0,30123.0,70.59992940007061
18,0.0,3.0,9.0,10.0,109.0,-0.0,5679.0,10.8999891000109
19,0.0,3.0,14.0,15.0,5.0,-0.0,556.0,0.3333331111112593
20,0.0,4.0,3.0,12.0,190.0,-0.0,7664.0,15.833320138899884
21,0.0,4.0,4.0,6.0,24.0,-0.0,1706.0,3.999993333344445
22,0.0,4.0,5.0,10.0,657.0,-0.0,26221.0,65.6999343000657
23,0.0,4.0,9.0,10.0,94.0,-0.0,4386.0,9.399990600009401
24,0.0,4.0,14.0,15.0,8.0,-0.0,784.0,0.5333329777780148
25,0.0,5.0,3.0,12.0,318.0,-0.0,15013.0,26.49997791668507
