,round,tube,tox,amount
0,0.0,0.0,0.0,279.1758835121394
1,0.0,0.0,1.0,344.13650298260274
2,0.0,0.0,2.0,156.05800281074605
3,0.0,0.0,3.0,230.687431189663
4,0.0,0.0,4.0,168.87984770680475
5,0.0,0.0,5.0,520.1141105074149
6,0.0,0.0,6.0,531.7020546637166
7,0.0,0.0,7.0,625.8480745411176
8,0.0,0.0,8.0,42.2407227766349
9,0.0,0.0,9.0,532.2507917430754
10,0.0,1.0,0.0,319.40425161638296
11,0.0,1.0,1.0,364.45523278324606
12,0.0,1.0,2.0,165.70521957617345
13,0.0,1.0,3.0,275.08463605312556
14,0.0,1.0,4.0,162.5019826468771
15,0.0,1.0,5.0,522.0547519436574
16,0.0,1.0,6.0,524.1102778633069
17,0.0,1.0,7.0,632.860225966559
18,0.0,1.0,8.0,0.0
19,0.0,1.0,9.0,513.3114582999697
20,0.0,2.0,0.0,277.63818334179655
21,0.0,2.0,1.0,315.8990404014069
22,0.0,2.0,2.0,167.22416365847755
23,0.0,2.0,3.0,185.7813473561937
24,0.0,2.0,4.0,237.6885756488527
25,0.0,2.0,5.0,550.9323505133495
26,0.0,2.0,6.0,540.5254067211584
27,0.0,2.0,7.0,620.017898944796
28,0.0,2.0,8.0,44.44148695683508
29,0.0,2.0,9.0,531.1157315176272
30,0.0,3.0,0.0,293.6415075378103
31,0.0,3.0,1.0,383.5762330241618
32,0.0,3.0,2.0,148.47894383400924
33,0.0,3.0,3.0,246.0813769546433
34,0.0,3.0,4.0,180.09401581439133
35,0.0,3.0,5.0,528.1746901260192
36,0.0,3.0,6.0,525.1825738983191
37,0.0,3.0,7.0,627.4482589555892
38,0.0,3.0,8.0,0.0
39,0.0,3.0,9.0,517.5316468677888
40,0.0,4.0,0.0,318.81959770896515
41,0.0,4.0,1.0,406.2012392496502
42,0.0,4.0,2.0,155.47636178947738
43,0.0,4.0,3.0,266.23366575628575
44,0.0,4.0,4.0,175.75950568523106
45,0.0,4.0,5.0,525.3384670755626
46,0.0,4.0,6.0,518.4101549884425
47,0.0,4.0,7.0,630.6125072325533
48,0.0,4.0,8.0,0.0
49,0.0,4.0,9.0,511.8633363882717
50,0.0,5.0,0.0,474.3216741800562
51,0.0,5.0,1.0,528.078773526687
52,0.0,5.0,2.0,193.83405811365694
53,0.0,5.0,3.0,463.9690337310179
54,0.0,5.0,4.0,84.92905131534495
55,0.0,5.0,5.0,499.3753845622558
56,0.0,5.0,6.0,492.0482999880881
57,0.0,5.0,7.0,661.119349366572
58,0.0,5.0,8.0,0.0
59,0.0,5.0,9.0,467.4120112728095
60,0.0,6.0,0.0,320.48733144739026
61,0.0,6.0,1.0,396.4235545521983
62,0.0,6.0,2.0,138.0104202077661
63,0.0,6.0,3.0,288.02119448817
64,0.0,6.0,4.0,142.6764175864931
65,0.0,6.0,5.0,517.5637192922424
66,0.0,6.0,6.0,509.8263402728522
67,0.0,6.0,7.0,634.2613183503587
68,0.0,6.0,8.0,0.0
69,0.0,6.0,9.0,503.5655742551769
70,0.0,7.0,0.0,338.71121819401486
71,0.0,7.0,1.0,415.8652736525783
72,0.0,7.0,2.0,145.9548092889695
73,0.0,7.0,3.0,287.22061610456785
74,0.0,7.0,4.0,135.76280300318413
75,0.0,7.0,5.0,513.1215805693926
76,0.0,7.0,6.0,507.49449188923836
77,0.0,7.0,7.0,635.1242024167303
78,0.0,7.0,8.0,0.0
79,0.0,7.0,9.0,506.49891793774765
80,0.0,8.0,0.0,389.41380903436755
81,0.0,8.0,1.0,461.59839927389
82,0.0,8.0,2.0,210.97469906711137
83,0.0,8.0,3.0,358.38632752603104
84,0.0,8.0,4.0,184.55763988697723
85,0.0,8.0,5.0,530.7115752440669
86,0.0,8.0,6.0,525.4065244452541
87,0.0,8.0,7.0,645.3388716593194
88,0.0,8.0,8.0,0.0
89,0.0,8.0,9.0,511.4950002865552
90,0.0,9.0,0.0,436.69120099491687
91,0.0,9.0,1.0,476.2661246847777
92,0.0,9.0,2.0,192.04045621958056
93,0.0,9.0,3.0,398.14638355365526
94,0.0,9.0,4.0,145.14183221428604
95,0.0,9.0,5.0,516.8992933642841
96,0.0,9.0,6.0,509.71090896619904
97,0.0,9.0,7.0,652.4248663331902
98,0.0,9.0,8.0,0.0
99,0.0,9.0,9.0,503.1308570556889
100,1.0,0.0,0.0,285.2171021886511
101,1.0,0.0,1.0,356.1884808825155
102,1.0,0.0,2.0,166.71199398309005
103,1.0,0.0,3.0,201.81261680670087
104,1.0,0.0,4.0,175.67904287366747
105,1.0,0.0,5.0,520.5984799675393
106,1.0,0.0,6.0,533.5356481244974
107,1.0,0.0,7.0,622.7129158869999
108,1.0,0.0,8.0,58.925789537169535
109,1.0,0.0,9.0,532.6797574791321
110,1.0,1.0,0.0,428.7621279307515
111,1.0,1.0,1.0,472.9449913041895
112,1.0,1.0,2.0,188.59856469070593
113,1.0,1.0,3.0,411.75291639534265
114,1.0,1.0,4.0,138.4800290134915
115,1.0,1.0,5.0,515.4662732082403
116,1.0,1.0,6.0,503.9845769065298
117,1.0,1.0,7.0,654.0541079945508
118,1.0,1.0,8.0,0.0
119,1.0,1.0,9.0,489.2652132576797
120,1.0,2.0,0.0,301.3358172270095
121,1.0,2.0,1.0,320.24593432575887
122,1.0,2.0,2.0,179.66519399555816
123,1.0,2.0,3.0,218.62957459184764
124,1.0,2.0,4.0,193.41006883804368
125,1.0,2.0,5.0,550.9715640632072
126,1.0,2.0,6.0,537.0733957906904
127,1.0,2.0,7.0,625.5651518717842
128,1.0,2.0,8.0,0.0
129,1.0,2.0,9.0,532.3166210923927
130,1.0,3.0,0.0,292.10626679498927
131,1.0,3.0,1.0,400.8927282847769
132,1.0,3.0,2.0,172.13865502636892
133,1.0,3.0,3.0,263.1617601955308
134,1.0,3.0,4.0,200.99048498468775
135,1.0,3.0,5.0,531.2096920750117
136,1.0,3.0,6.0,526.9682508150196
137,1.0,3.0,7.0,630.664780136682
138,1.0,3.0,8.0,0.0
139,1.0,3.0,9.0,508.92619310901404
140,1.0,4.0,0.0,258.49750416734264
141,1.0,4.0,1.0,372.5815610403906
142,1.0,4.0,2.0,184.46184943147233
143,1.0,4.0,3.0,152.38632857795773
144,1.0,4.0,4.0,267.69830729228596
145,1.0,4.0,5.0,565.531942517864
146,1.0,4.0,6.0,544.7339915096858
147,1.0,4.0,7.0,613.5577102762736
148,1.0,4.0,8.0,49.64193107007103
149,1.0,4.0,9.0,538.6868502831991
150,1.0,5.0,0.0,397.39434153269593
151,1.0,5.0,1.0,453.68780236047417
152,1.0,5.0,2.0,138.7016664036049
153,1.0,5.0,3.0,383.099518783459
154,1.0,5.0,4.0,65.65653112621128
155,1.0,5.0,5.0,493.7321202251198
156,1.0,5.0,6.0,475.98467543378695
157,1.0,5.0,7.0,649.6032057977588
158,1.0,5.0,8.0,0.0
159,1.0,5.0,9.0,448.72650065245574
160,1.0,6.0,0.0,259.43865694622843
161,1.0,6.0,1.0,386.23656043110435
162,1.0,6.0,2.0,168.94669748622545
163,1.0,6.0,3.0,254.90926990196218
164,1.0,6.0,4.0,171.72293241281022
165,1.0,6.0,5.0,518.1401013380055
166,1.0,6.0,6.0,533.6045276869025
167,1.0,6.0,7.0,626.2506186763646
168,1.0,6.0,8.0,59.49772665943873
169,1.0,6.0,9.0,530.8814135638463
170,1.0,7.0,0.0,236.34290830008808
171,1.0,7.0,1.0,380.94043293006615
172,1.0,7.0,2.0,162.19207264304637
173,1.0,7.0,3.0,213.46986108646513
174,1.0,7.0,4.0,254.06107933261188
175,1.0,7.0,5.0,551.0936272088493
176,1.0,7.0,6.0,539.9753062148559
177,1.0,7.0,7.0,622.0186477215487
178,1.0,7.0,8.0,46.02363815552378
179,1.0,7.0,9.0,540.933779208509
180,1.0,8.0,0.0,283.6565476066194
181,1.0,8.0,1.0,408.4277479052932
182,1.0,8.0,2.0,178.9129076506006
183,1.0,8.0,3.0,258.631087131609
184,1.0,8.0,4.0,169.93059388862753
185,1.0,8.0,5.0,514.7560664992676
186,1.0,8.0,6.0,534.8400201800401
187,1.0,8.0,7.0,629.0488124174059
188,1.0,8.0,8.0,63.16740148184509
189,1.0,8.0,9.0,512.3634648953489
190,1.0,9.0,0.0,320.99482654527077
191,1.0,9.0,1.0,363.74844960192814
192,1.0,9.0,2.0,149.00040945411533
193,1.0,9.0,3.0,295.8507583428023
194,1.0,9.0,4.0,193.56693321599363
195,1.0,9.0,5.0,533.7130370828473
196,1.0,9.0,6.0,516.9326104258445
197,1.0,9.0,7.0,635.4105620289571
198,1.0,9.0,8.0,0.0
199,1.0,9.0,9.0,500.0259887404571
200,2.0,0.0,0.0,453.9493128469343
201,2.0,0.0,1.0,503.0234971968904
202,2.0,0.0,2.0,186.50246229023745
203,2.0,0.0,3.0,432.4126419874508
204,2.0,0.0,4.0,107.26144322990153
205,2.0,0.0,5.0,499.26648778749063
206,2.0,0.0,6.0,502.00712060825055
207,2.0,0.0,7.0,657.7475317136414
208,2.0,0.0,8.0,0.0
209,2.0,0.0,9.0,500.6226562303757
210,2.0,1.0,0.0,323.5594912541296
211,2.0,1.0,1.0,386.52542422413796
212,2.0,1.0,2.0,145.22838217469396
213,2.0,1.0,3.0,303.6192083941175
214,2.0,1.0,4.0,176.13214871797976
