,round,tube,sp,pop_0,final_pop,st_div_H,auc,fc
0,0.0,0.0,8.0,6.0,111.0,-0.0,11007.0,18.499969166718056
1,0.0,0.0,9.0,15.0,19.0,-0.0,2395.0,1.2666658222227851
2,0.0,0.0,11.0,5.0,166.0,-0.0,30476.0,33.1999336001328
3,0.0,0.0,13.0,45.0,948.0,-0.0,96514.0,21.066661985186226
4,0.0,1.0,8.0,6.0,169.0,-0.0,17073.0,28.166619722300464
5,0.0,1.0,9.0,15.0,15.0,-0.0,1532.0,0.9999993333337778
6,0.0,1.0,11.0,5.0,137.0,-0.0,28259.0,27.399945200109602
7,0.0,1.0,13.0,45.0,1026.0,-0.0,101851.0,22.799994933334457
8,0.0,2.0,8.0,6.0,178.0,-0.0,17853.0,29.66661722230463
9,0.0,2.0,9.0,15.0,16.0,-0.0,1909.0,1.0666659555560296
10,0.0,2.0,11.0,5.0,163.0,-0.0,29462.0,32.599934800130406
11,0.0,2.0,13.0,45.0,976.0,-0.0,99602.0,21.688884069136872
12,0.0,3.0,8.0,6.0,109.0,-0.0,9728.0,18.166636388939352
13,0.0,3.0,9.0,15.0,21.0,-0.0,2830.0,1.399999066667289
14,0.0,3.0,11.0,5.0,156.0,-0.0,29211.0,31.1999376001248
15,0.0,3.0,13.0,45.0,1041.0,-0.0,104973.0,23.133328192593734
16,0.0,4.0,8.0,6.0,153.0,-0.0,16576.0,25.499957500070835
17,0.0,4.0,9.0,15.0,22.0,-0.0,2531.0,1.4666656888895409
18,0.0,4.0,11.0,5.0,183.0,-0.0,29099.0,36.599926800146406
19,0.0,4.0,13.0,45.0,940.0,-0.0,98785.0,20.88888424691461
20,0.0,5.0,8.0,6.0,97.0,-0.0,8925.0,16.16663972226713
21,0.0,5.0,9.0,15.0,10.0,-0.0,1232.0,0.6666662222225186
22,0.0,5.0,11.0,5.0,135.0,-0.0,27062.0,26.999946000108
23,0.0,5.0,13.0,45.0,1066.0,-0.0,108075.0,23.688883624692526
24,0.0,6.0,8.0,6.0,188.0,-0.0,17736.0,31.33328111119815
25,0.0,6.0,9.0,15.0,17.0,-0.0,2126.0,1.1333325777782814
26,0.0,6.0,11.0,5.0,162.0,-0.0,31522.0,32.399935200129605
27,0.0,6.0,13.0,45.0,827.0,-0.0,89275.0,18.37777369382807
28,0.0,7.0,8.0,6.0,207.0,-0.0,19921.0,34.499942500095834
29,0.0,7.0,9.0,15.0,16.0,-0.0,2012.0,1.0666659555560296
30,0.0,7.0,11.0,5.0,124.0,-0.0,27910.0,24.799950400099203
31,0.0,7.0,13.0,45.0,939.0,-0.0,94502.0,20.866662029630657
32,0.0,8.0,8.0,6.0,50.0,-0.0,5374.0,8.333319444467593
33,0.0,8.0,9.0,15.0,18.0,-0.0,2313.0,1.1999992000005333
34,0.0,8.0,11.0,5.0,179.0,-0.0,29364.0,35.7999284001432
35,0.0,8.0,13.0,45.0,1041.0,-0.0,105754.0,23.133328192593734
36,0.0,9.0,8.0,6.0,101.0,-0.0,9900.0,16.83330527782454
37,0.0,9.0,9.0,15.0,13.0,-0.0,1869.0,0.8666660888892741
38,0.0,9.0,11.0,5.0,129.0,-0.0,27164.0,25.7999484001032
39,0.0,9.0,13.0,45.0,928.0,-0.0,98894.0,20.62221763950719
40,1.0,0.0,8.0,11.0,514.0,-0.0,48623.0,46.7272302479725
41,1.0,0.0,9.0,2.0,1.0,-0.0,244.0,0.49999750001249993
42,1.0,0.0,11.0,6.0,119.0,-0.0,26654.0,19.833300277832873
