,round,tube,tox,amount
0,0.0,0.0,0.0,556.2688569617959
1,0.0,0.0,1.0,439.0148887736637
2,0.0,0.0,2.0,102.75197827619506
3,0.0,0.0,3.0,669.6432630046714
4,0.0,0.0,4.0,0.0
5,0.0,0.0,5.0,376.8429523750208
6,0.0,0.0,6.0,259.57244734788026
7,0.0,0.0,7.0,582.234451977005
8,0.0,0.0,8.0,0.0
9,0.0,0.0,9.0,460.59721375382566
10,0.0,1.0,0.0,552.7526626671491
11,0.0,1.0,1.0,444.47918322605943
12,0.0,1.0,2.0,90.69530205670047
13,0.0,1.0,3.0,669.468522104433
14,0.0,1.0,4.0,0.0
15,0.0,1.0,5.0,369.95460691651203
16,0.0,1.0,6.0,253.7479961602955
17,0.0,1.0,7.0,584.7001314470775
18,0.0,1.0,8.0,0.0
19,0.0,1.0,9.0,452.52268801687285
20,0.0,2.0,0.0,547.388995243418
21,0.0,2.0,1.0,445.98836931291174
22,0.0,2.0,2.0,108.33117794597003
23,0.0,2.0,3.0,672.2367308554212
24,0.0,2.0,4.0,0.0
25,0.0,2.0,5.0,369.402896809317
26,0.0,2.0,6.0,259.2290173914684
27,0.0,2.0,7.0,585.3811286340504
28,0.0,2.0,8.0,0.0
29,0.0,2.0,9.0,458.8026244922645
30,0.0,3.0,0.0,547.3019114708784
31,0.0,3.0,1.0,445.57204211653914
32,0.0,3.0,2.0,92.29481754037421
33,0.0,3.0,3.0,669.8335906321885
34,0.0,3.0,4.0,0.0
35,0.0,3.0,5.0,364.9150829447172
36,0.0,3.0,6.0,252.57159773912497
37,0.0,3.0,7.0,585.193267341092
38,0.0,3.0,8.0,0.0
39,0.0,3.0,9.0,452.38604195144404
40,0.0,4.0,0.0,554.8334324732471
41,0.0,4.0,1.0,449.05878238616253
42,0.0,4.0,2.0,82.95244449257433
43,0.0,4.0,3.0,666.4778458540279
44,0.0,4.0,4.0,0.0
45,0.0,4.0,5.0,370.29268902005145
46,0.0,4.0,6.0,254.66786288903765
47,0.0,4.0,7.0,586.7666056696143
48,0.0,4.0,8.0,0.0
49,0.0,4.0,9.0,450.01333229046423
50,0.0,5.0,0.0,564.8155194576171
51,0.0,5.0,1.0,444.9475513219793
52,0.0,5.0,2.0,95.39989016997743
53,0.0,5.0,3.0,672.1785986973131
54,0.0,5.0,4.0,0.0
55,0.0,5.0,5.0,383.16231810471214
56,0.0,5.0,6.0,258.5923440059634
57,0.0,5.0,7.0,584.9114754016554
58,0.0,5.0,8.0,0.0
59,0.0,5.0,9.0,453.32570228247164
60,0.0,6.0,0.0,553.0849527587092
61,0.0,6.0,1.0,440.6801975591561
62,0.0,6.0,2.0,104.84243692856916
63,0.0,6.0,3.0,674.278382835787
64,0.0,6.0,4.0,0.0
65,0.0,6.0,5.0,373.71622055791863
66,0.0,6.0,6.0,255.82285300817
67,0.0,6.0,7.0,582.9858971488367
68,0.0,6.0,8.0,0.0
69,0.0,6.0,9.0,456.81307490810474
70,0.0,7.0,0.0,555.7561159788238
71,0.0,7.0,1.0,453.74246334535906
72,0.0,7.0,2.0,94.80899495779194
73,0.0,7.0,3.0,667.1068610791386
74,0.0,7.0,4.0,0.0
75,0.0,7.0,5.0,374.74472201694766
76,0.0,7.0,6.0,262.4769851429649
77,0.0,7.0,7.0,588.8800452153907
78,0.0,7.0,8.0,0.0
