,round,tube,sp,pop_0,final_pop,st_div_H,auc,fc
0,0.0,0.0,0.0,6.0,144.0,-0.0,17740.0,23.999960000066668
1,0.0,0.0,2.0,1.0,17.0,-0.0,1473.0,16.999830001699983
2,0.0,0.0,5.0,8.0,46.0,-0.0,3767.0,5.749992812508984
3,0.0,0.0,7.0,11.0,34.0,-0.0,3147.0,3.09090628099429
4,0.0,0.0,8.0,2.0,60.0,-0.0,5183.0,29.999850000749994
5,0.0,0.0,13.0,54.0,1313.0,-0.0,110892.0,24.31481031207216
6,0.0,1.0,0.0,6.0,166.0,-0.0,19782.0,27.66662055563241
7,0.0,1.0,2.0,1.0,12.0,-0.0,935.0,11.999880001199987
8,0.0,1.0,5.0,8.0,47.0,-0.0,3769.0,5.87499265625918
9,0.0,1.0,7.0,11.0,29.0,-0.0,2625.0,2.6363612396716003
10,0.0,1.0,8.0,2.0,35.0,-0.0,3198.0,17.499912500437496
11,0.0,1.0,13.0,54.0,1486.0,-0.0,121511.0,27.518513422497513
12,0.0,2.0,0.0,6.0,152.0,-0.0,18962.0,25.333291111181484
13,0.0,2.0,2.0,1.0,4.0,-0.0,375.0,3.9999600003999958
14,0.0,2.0,5.0,8.0,42.0,-0.0,4689.0,5.249993437508204
15,0.0,2.0,7.0,11.0,25.0,-0.0,2164.0,2.2727252066134485
16,0.0,2.0,8.0,2.0,6.0,-0.0,684.0,2.9999850000749997
17,0.0,2.0,13.0,54.0,1528.0,-0.0,125933.0,28.296291056242396
18,0.0,3.0,0.0,6.0,159.0,-0.0,21100.0,26.499955833406947
19,0.0,3.0,2.0,1.0,7.0,-0.0,506.0,6.999930000699993
20,0.0,3.0,5.0,8.0,46.0,-0.0,4099.0,5.749992812508984
21,0.0,3.0,7.0,11.0,37.0,-0.0,3372.0,3.363633305787904
22,0.0,3.0,8.0,2.0,50.0,-0.0,4077.0,24.999875000624996
23,0.0,3.0,13.0,54.0,1420.0,-0.0,115893.0,26.296291426612697
24,0.0,4.0,0.0,6.0,176.0,-0.0,20869.0,29.333284444525926
25,0.0,4.0,2.0,1.0,2.0,-0.0,141.0,1.9999800001999979
26,0.0,4.0,5.0,8.0,33.0,-0.0,3432.0,4.124994843756445
27,0.0,4.0,7.0,11.0,20.0,-0.0,2043.0,1.818180165290759
28,0.0,4.0,8.0,2.0,93.0,-0.0,8594.0,46.499767501162495
29,0.0,4.0,13.0,54.0,1485.0,-0.0,120821.0,27.49999490740835
30,0.0,5.0,0.0,6.0,185.0,-0.0,20467.0,30.833281944530093
31,0.0,5.0,2.0,1.0,10.0,-0.0,908.0,9.99990000099999
32,0.0,5.0,5.0,8.0,35.0,-0.0,3088.0,4.374994531256836
33,0.0,5.0,7.0,11.0,32.0,-0.0,3085.0,2.9090882644652143
34,0.0,5.0,8.0,2.0,95.0,-0.0,8428.0,47.49976250118749
35,0.0,5.0,13.0,54.0,1401.0,-0.0,116262.0,25.944439639918585
36,0.0,6.0,0.0,6.0,154.0,-0.0,19179.0,25.666623888960185
37,0.0,6.0,2.0,1.0,2.0,-0.0,155.0,1.9999800001999979
38,0.0,6.0,5.0,8.0,32.0,-0.0,2912.0,3.9999950000062503
39,0.0,6.0,7.0,11.0,33.0,-0.0,3103.0,2.999997272729752
40,0.0,6.0,8.0,2.0,17.0,-0.0,1288.0,8.4999575002125
41,0.0,6.0,13.0,54.0,1529.0,-0.0,124973.0,28.31480957133156
42,0.0,7.0,0.0,6.0,173.0,-0.0,20720.0,28.833285277857872
43,0.0,7.0,2.0,1.0,10.0,-0.0,810.0,9.99990000099999
44,0.0,7.0,5.0,8.0,61.0,-0.0,5048.0,7.624990468761914
45,0.0,7.0,7.0,11.0,30.0,-0.0,2695.0,2.727270247936138
46,0.0,7.0,8.0,2.0,94.0,-0.0,8116.0,46.99976500117499
47,0.0,7.0,13.0,54.0,1409.0,-0.0,116751.0,26.092587760631893
48,0.0,8.0,0.0,6.0,173.0,-0.0,20734.0,28.833285277857872
49,0.0,8.0,2.0,1.0,0.0,,2.0,0.0
50,0.0,8.0,5.0,8.0,41.0,-0.0,3721.0,5.124993593758008
51,0.0,8.0,7.0,11.0,31.0,-0.0,3225.0,2.8181792562006764
52,0.0,8.0,8.0,2.0,33.0,-0.0,2748.0,16.499917500412497
53,0.0,8.0,13.0,54.0,1495.0,-0.0,123621.0,27.685180058299988
54,0.0,9.0,0.0,6.0,157.0,-0.0,21448.0,26.166623055628243
55,0.0,9.0,2.0,1.0,6.0,-0.0,429.0,5.999940000599993
56,0.0,9.0,5.0,8.0,40.0,-0.0,3956.0,4.999993750007813
57,0.0,9.0,7.0,11.0,34.0,-0.0,3086.0,3.09090628099429
58,0.0,9.0,8.0,2.0,13.0,-0.0,1367.0,6.499967500162499
59,0.0,9.0,13.0,54.0,1483.0,-0.0,121028.0,27.46295787723002
60,1.0,0.0,0.0,6.0,129.0,-0.0,21282.0,21.49996416672639
61,1.0,0.0,2.0,1.0,1.0,-0.0,111.0,0.9999900000999989
62,1.0,0.0,5.0,4.0,8.0,-0.0,1005.0,1.9999950000125002
63,1.0,0.0,7.0,1.0,0.0,,37.0,0.0
64,1.0,0.0,8.0,3.0,23.0,-0.0,2774.0,7.666641111196296
65,1.0,0.0,13.0,73.0,1540.0,-0.0,136404.0,21.095887521111298
66,1.0,1.0,0.0,13.0,136.0,-0.0,22574.0,10.461530414207374
67,1.0,1.0,2.0,2.0,9.0,-0.0,843.0,4.499977500112499
68,1.0,1.0,5.0,1.0,5.0,-0.0,424.0,4.999950000499995
69,1.0,1.0,7.0,2.0,15.0,-0.0,1520.0,7.4999625001874985
70,1.0,1.0,8.0,1.0,13.0,-0.0,1171.0,12.999870001299985
71,1.0,1.0,13.0,83.0,1534.0,-0.0,133693.0,18.481925484105364
72,1.0,2.0,0.0,5.0,120.0,-0.0,17700.0,23.999952000096002
73,1.0,2.0,5.0,6.0,34.0,-0.0,3023.0,5.666657222237963
74,1.0,2.0,13.0,84.0,1605.0,-0.0,140744.0,19.107140582483265
75,1.0,3.0,0.0,4.0,135.0,-0.0,19297.0,33.74991562521094
76,1.0,3.0,5.0,5.0,20.0,-0.0,1875.0,3.9999920000160003
77,1.0,3.0,8.0,2.0,30.0,-0.0,2632.0,14.999925000374997
78,1.0,3.0,13.0,84.0,1584.0,-0.0,139418.0,18.857140612245164
79,1.0,4.0,0.0,6.0,141.0,-0.0,22888.0,23.499960833398614
80,1.0,4.0,5.0,2.0,3.0,-0.0,327.0,1.4999925000374998
81,1.0,4.0,7.0,2.0,6.0,-0.0,625.0,2.9999850000749997
82,1.0,4.0,8.0,3.0,19.0,-0.0,1561.0,6.333312222292593
83,1.0,4.0,13.0,77.0,1623.0,-0.0,137855.0,21.077919340529956
84,1.0,5.0,0.0,11.0,152.0,-0.0,23125.0,13.818169256209767
85,1.0,5.0,5.0,1.0,0.0,,88.0,0.0
86,1.0,5.0,7.0,1.0,0.0,,6.0,0.0
87,1.0,5.0,8.0,5.0,81.0,-0.0,7504.0,16.199967600064802
88,1.0,5.0,13.0,48.0,1541.0,-0.0,131000.0,32.104159978300004
89,1.0,6.0,0.0,8.0,171.0,-0.0,23082.0,21.3749732812834
90,1.0,6.0,5.0,1.0,3.0,-0.0,319.0,2.9999700002999967
91,1.0,6.0,7.0,1.0,1.0,-0.0,192.0,0.9999900000999989
92,1.0,6.0,8.0,1.0,10.0,-0.0,699.0,9.99990000099999
93,1.0,6.0,13.0,74.0,1603.0,-0.0,136603.0,21.662159234843347
94,1.0,7.0,0.0,8.0,155.0,-0.0,20824.0,19.374975781280273
95,1.0,7.0,2.0,1.0,1.0,-0.0,112.0,0.9999900000999989
96,1.0,7.0,5.0,4.0,9.0,-0.0,1203.0,2.2499943750140625
97,1.0,7.0,7.0,1.0,3.0,-0.0,211.0,2.9999700002999967
98,1.0,7.0,8.0,7.0,205.0,-0.0,18021.0,29.28567244903936
99,1.0,7.0,13.0,55.0,1329.0,-0.0,115580.0,24.16363197024873
100,1.0,8.0,0.0,11.0,162.0,-0.0,20633.0,14.727259338855147
101,1.0,8.0,5.0,3.0,25.0,-0.0,2200.0,8.333305555648147
102,1.0,8.0,7.0,1.0,0.0,,144.0,0.0
103,1.0,8.0,8.0,1.0,83.0,-0.0,7140.0,82.99917000829991
104,1.0,8.0,13.0,76.0,1536.0,-0.0,133920.0,20.210523656510045
105,1.0,9.0,0.0,5.0,160.0,-0.0,18568.0,31.999936000128002
106,1.0,9.0,2.0,1.0,21.0,-0.0,2011.0,20.999790002099978
107,1.0,9.0,5.0,3.0,21.0,-0.0,1563.0,6.999976666744444
108,1.0,9.0,7.0,1.0,0.0,,5.0,0.0
109,1.0,9.0,8.0,3.0,32.0,-0.0,2736.0,10.666631111229629
110,1.0,9.0,13.0,76.0,1489.0,-0.0,130115.0,19.592102685249646
111,2.0,0.0,0.0,9.0,175.0,-0.0,22904.0,19.44442283953018
112,2.0,0.0,13.0,65.0,1705.0,-0.0,149335.0,26.23076519526689
113,2.0,1.0,0.0,6.0,146.0,-0.0,20318.0,24.333292777845372
114,2.0,1.0,13.0,73.0,1556.0,-0.0,135230.0,21.315065573278687
115,2.0,2.0,0.0,8.0,129.0,-0.0,20451.0,16.124979843775197
116,2.0,2.0,5.0,1.0,3.0,-0.0,348.0,2.9999700002999967
117,2.0,2.0,13.0,80.0,1570.0,-0.0,138987.0,19.624997546875306
118,2.0,3.0,0.0,4.0,154.0,-0.0,18941.0,38.49990375024063
119,2.0,3.0,5.0,1.0,12.0,-0.0,896.0,11.999880001199987
120,2.0,3.0,13.0,92.0,1606.0,-0.0,143068.0,17.456519841682624
121,2.0,4.0,0.0,6.0,135.0,-0.0,21898.0,22.4999625000625
122,2.0,4.0,8.0,1.0,5.0,-0.0,468.0,4.999950000499995
123,2.0,4.0,13.0,90.0,1573.0,-0.0,139082.0,17.477775835802685
124,2.0,5.0,0.0,11.0,134.0,-0.0,22155.0,12.181807107448085
125,2.0,5.0,8.0,8.0,143.0,-0.0,13835.0,17.87497765627793
126,2.0,5.0,13.0,83.0,1457.0,-0.0,128759.0,17.554214752504247
127,2.0,6.0,0.0,12.0,149.0,-0.0,21568.0,12.416656319453068
128,2.0,6.0,8.0,1.0,26.0,-0.0,2289.0,25.99974000259997
129,2.0,6.0,13.0,92.0,1632.0,-0.0,142211.0,17.739128506616467
130,2.0,7.0,0.0,11.0,127.0,-0.0,20545.0,11.54544404959632
131,2.0,7.0,8.0,18.0,282.0,-0.0,28216.0,15.666657962967799
132,2.0,7.0,13.0,69.0,1144.0,-0.0,104137.0,16.579707742071342
133,2.0,8.0,0.0,7.0,153.0,-0.0,20325.0,21.85711163269767
134,2.0,8.0,5.0,4.0,2.0,-0.0,210.0,0.49999875000312505
135,2.0,8.0,8.0,4.0,91.0,-0.0,7818.0,22.749943125142188
136,2.0,8.0,13.0,73.0,1480.0,-0.0,130812.0,20.273969825483583
137,2.0,9.0,0.0,4.0,174.0,-0.0,20770.0,43.49989125027188
138,2.0,9.0,2.0,1.0,13.0,-0.0,645.0,12.999870001299985
139,2.0,9.0,5.0,1.0,9.0,-0.0,752.0,8.999910000899991
140,2.0,9.0,13.0,64.0,1524.0,-0.0,132471.0,23.812496279297456
141,3.0,0.0,0.0,11.0,149.0,-0.0,22086.0,13.545442231416153
142,3.0,0.0,13.0,81.0,1538.0,-0.0,137775.0,18.98765197683309
143,3.0,1.0,0.0,5.0,153.0,-0.0,19971.0,30.599938800122402
144,3.0,1.0,13.0,90.0,1537.0,-0.0,137022.0,17.077775880247124
145,3.0,2.0,0.0,4.0,157.0,-0.0,19124.0,39.249901875245314
146,3.0,2.0,13.0,80.0,1511.0,-0.0,134086.0,18.887497639062794
147,3.0,3.0,0.0,10.0,161.0,-0.0,22559.0,16.0999839000161
148,3.0,3.0,5.0,1.0,1.0,-0.0,103.0,0.9999900000999989
149,3.0,3.0,13.0,72.0,1673.0,-0.0,144229.0,23.236107883873903
150,3.0,4.0,0.0,6.0,168.0,-0.0,23324.0,27.999953333411113
151,3.0,4.0,13.0,89.0,1637.0,-0.0,141718.0,18.393256360308275
152,3.0,5.0,0.0,9.0,139.0,-0.0,21215.0,15.444427283969684
153,3.0,5.0,8.0,8.0,277.0,-0.0,26592.0,34.6249567188041
154,3.0,5.0,13.0,66.0,1162.0,-0.0,108187.0,17.60605793847607
155,3.0,6.0,0.0,9.0,165.0,-0.0,22899.0,18.333312962985598
156,3.0,6.0,8.0,3.0,74.0,-0.0,6069.0,24.666584444718517
157,3.0,6.0,13.0,67.0,1468.0,-0.0,130444.0,21.910444490978435
158,3.0,7.0,0.0,7.0,149.0,-0.0,22571.0,21.28568387759446
159,3.0,7.0,8.0,9.0,215.0,-0.0,19060.0,23.888862345708507
160,3.0,7.0,13.0,59.0,1250.0,-0.0,110186.0,21.18643708704456
161,3.0,8.0,0.0,7.0,148.0,-0.0,19401.0,21.14282693881866
162,3.0,8.0,8.0,8.0,128.0,-0.0,10699.0,15.999980000025001
163,3.0,8.0,13.0,69.0,1406.0,-0.0,125707.0,20.376808641042224
164,3.0,9.0,0.0,6.0,135.0,-0.0,20809.0,22.4999625000625
165,3.0,9.0,13.0,71.0,1602.0,-0.0,139060.0,22.5633771037497
166,4.0,0.0,0.0,8.0,147.0,-0.0,20822.0,18.37497703127871
167,4.0,0.0,13.0,79.0,1660.0,-0.0,141394.0,21.012655568018282
168,4.0,1.0,0.0,7.0,162.0,-0.0,22084.0,23.142824081679883
169,4.0,1.0,13.0,72.0,1555.0,-0.0,135135.0,21.59721922260844
170,4.0,2.0,0.0,4.0,167.0,-0.0,20554.0,41.74989562526094
171,4.0,2.0,13.0,95.0,1546.0,-0.0,141377.0,16.273682497507107
172,4.0,3.0,0.0,9.0,150.0,-0.0,21574.0,16.666648148168726
