,round,tube,tox,amount
0,0,0,0,0
1,0,0,1,0
2,0.0,0.0,2.0,224.68250136340143
3,0,0,3,0
4,0,0,4,700
5,0.0,0.0,5.0,441.7457881070117
6,0,0,6,700
7,0.0,0.0,7.0,621.1035594177165
8,0.0,0.0,8.0,136.5572163151598
9,0.0,0.0,9.0,76.01263910554785
10,0.0,1.0,0.0,0.0
11,0.0,1.0,1.0,0.0
12,0.0,1.0,2.0,100.27264914798286
13,0.0,1.0,3.0,0.0
14,0,1,4,700
15,0.0,1.0,5.0,459.2966462675638
16,0,1,6,700
17,0.0,1.0,7.0,600.6437934351967
18,0.0,1.0,8.0,174.8485739102769
19,0.0,1.0,9.0,118.41858317423238
20,0.0,2.0,0.0,0.0
21,0.0,2.0,1.0,0.0
22,0.0,2.0,2.0,92.51510357401052
23,0.0,2.0,3.0,0.0
24,0,2,4,700
25,0.0,2.0,5.0,454.0619652272852
26,0,2,6,700
27,0.0,2.0,7.0,599.1484723212176
28,0.0,2.0,8.0,163.42787631383672
29,0.0,2.0,9.0,105.77067790482559
30,0,3,0,0
31,0,3,1,0
32,0.0,3.0,2.0,194.72204810395056
33,0,3,3,0
34,0,3,4,700
35,0.0,3.0,5.0,436.4024310344519
36,0,3,6,700
37,0.0,3.0,7.0,616.6006093073614
38,0.0,3.0,8.0,124.89941619210651
39,0.0,3.0,9.0,63.102153527854185
40,0,4,0,0
41,0,4,1,0
42,0.0,4.0,2.0,223.80497863227654
43,0,4,3,0
44,0,4,4,700
45,0.0,4.0,5.0,437.1577339110322
46,0,4,6,700
47,0.0,4.0,7.0,621.3275191860298
48,0.0,4.0,8.0,126.54728846565574
49,0.0,4.0,9.0,64.92709742781527
50,0,5,0,0
51,0,5,1,0
52,0.0,5.0,2.0,182.51105944230295
53,0,5,3,0
54,0,5,4,700
55,0.0,5.0,5.0,440.1030466447102
56,0,5,6,700
57,0.0,5.0,7.0,615.3885619812088
58,0.0,5.0,8.0,132.9731863951485
59,0.0,5.0,9.0,72.04348831346772
60,0.0,6.0,0.0,0.0
61,0.0,6.0,1.0,0.0
62,0.0,6.0,2.0,115.8040382007523
63,0.0,6.0,3.0,0.0
64,0,6,4,700
65,0.0,6.0,5.0,454.2072464908077
66,0,6,6,700
67,0.0,6.0,7.0,602.8846381046995
68,0.0,6.0,8.0,163.74484182985384
69,0.0,6.0,9.0,106.1217028563585
70,0,7,0,0
71,0,7,1,0
72,0.0,7.0,2.0,213.88107206507766
73,0,7,3,0
74,0,7,4,700
75,0.0,7.0,5.0,434.14730089978093
76,0,7,6,700
77,0.0,7.0,7.0,619.5479475690004
78,0.0,7.0,8.0,119.97931521355311
79,0.0,7.0,9.0,57.653364557900304
80,0,8,0,0
81,0,8,1,0
82,0.0,8.0,2.0,220.5467254906802
83,0,8,3,0
84,0,8,4,700
85,0.0,8.0,5.0,434.44998231061555
86,0,8,6,700
87,0.0,8.0,7.0,621.0029068749889
88,0.0,8.0,8.0,120.63968646341615
89,0.0,8.0,9.0,58.38469580455869
90,0,9,0,0
91,0,9,1,0
92,0.0,9.0,2.0,216.38269750256464
93,0,9,3,0
94,0,9,4,700
95,0.0,9.0,5.0,438.6973944103531
96,0,9,6,700
97,0.0,9.0,7.0,620.247358859347
98,0.0,9.0,8.0,129.90642282907265
99,0.0,9.0,9.0,68.64718657796931
100,1,0,0,0
101,1,0,1,0
102,1.0,0.0,2.0,207.94138009619186
103,1,0,3,0
104,1,0,4,700
105,1.0,0.0,5.0,438.12388763585545
106,1,0,6,700
107,1.0,0.0,7.0,618.0265820250451
108,1.0,0.0,8.0,128.65518184788434
109,1.0,0.0,9.0,67.26149386825293
110,1,1,0,0
111,1,1,1,0
112,1.0,1.0,2.0,202.7673852137131
113,1,1,3,0
114,1,1,4,700
115,1.0,1.0,5.0,446.37928567896824
116,1,1,6,700
117,1.0,1.0,7.0,617.9695636108528
118,1.0,1.0,8.0,146.6662896619376
119,1.0,1.0,9.0,87.20797993055868
120,1,2,0,0
121,1,2,1,0
122,1.0,2.0,2.0,219.77158925450962
123,1,2,3,0
124,1,2,4,700
125,1.0,2.0,5.0,435.5880899203628
126,1,2,6,700
127,1.0,2.0,7.0,619.9974095663965
128,1.0,2.0,8.0,123.12273800812774
129,1.0,2.0,9.0,61.134562916559176
130,1,3,0,0
131,1,3,1,0
132,1.0,3.0,2.0,236.169374008365
133,1,3,3,0
134,1,3,4,700
135,1.0,3.0,5.0,429.0860120585495
136,1,3,6,700
137,1.0,3.0,7.0,622.7291622664186
138,1.0,3.0,8.0,108.93691380281321
139,1.0,3.0,9.0,45.42440517863
140,1,4,0,0
141,1,4,1,0
142,1.0,4.0,2.0,210.1308495190135
143,1,4,3,0
144,1,4,4,700
145,1.0,4.0,5.0,431.665852499514
146,1,4,6,700
147,1.0,4.0,7.0,618.3913318432178
148,1.0,4.0,8.0,114.56544728873467
149,1.0,4.0,9.0,51.65775106091697
150,1.0,5.0,0.0,0.0
151,1.0,5.0,1.0,0.0
152,1.0,5.0,2.0,119.11219559626205
153,1.0,5.0,3.0,0.0
154,1,5,4,700
155,1.0,5.0,5.0,453.9612211927228
156,1,5,6,700
157,1.0,5.0,7.0,604.4521926702125
158,1.0,5.0,8.0,163.20807932056604
159,1.0,5.0,9.0,105.5272626908328
160,1,6,0,0
161,1,6,1,0
162,1.0,6.0,2.0,237.10929284589886
163,1.0,6.0,3.0,14.646441391267361
164,1,6,4,700
165,1.0,6.0,5.0,434.04374803148283
166,1,6,6,700
167,1.0,6.0,7.0,622.8857459672519
168,1.0,6.0,8.0,119.75339008364037
169,1.0,6.0,9.0,57.40316271016047
170,1.0,7.0,0.0,0.0
171,1.0,7.0,1.0,0.0
172,1.0,7.0,2.0,106.40073011514828
173,1.0,7.0,3.0,0.0
174,1,7,4,700
175,1.0,7.0,5.0,452.5775978538256
176,1,7,6,700
177,1.0,7.0,7.0,602.6387140172732
178,1.0,7.0,8.0,160.18937701199405
179,1.0,7.0,9.0,102.18418662100883
180,1,8,0,0
181,1,8,1,0
182,1.0,8.0,2.0,223.39971155528377
183,1,8,3,0
184,1,8,4,700
185,1.0,8.0,5.0,430.81030009185906
186,1,8,6,700
187,1.0,8.0,7.0,623.0572859832132
188,1.0,8.0,8.0,112.69885689849825
189,1.0,8.0,9.0,49.59058675390996
190,1,9,0,0
191,1,9,1,0
192,1.0,9.0,2.0,245.48787116719546
193,1,9,3,0
194,1,9,4,700
195,1.0,9.0,5.0,437.8380742928804
196,1,9,6,700
197,1.0,9.0,7.0,624.2815566999279
198,1.0,9.0,8.0,128.03161228671544
199,1.0,9.0,9.0,66.57091882483212
200,2,0,0,0
201,2,0,1,0
202,2.0,0.0,2.0,251.66815983248154
203,2.0,0.0,3.0,14.738638834975216
204,2,0,4,700
205,2.0,0.0,5.0,434.536667111054
206,2,0,6,700
207,2.0,0.0,7.0,625.3111482271822
208,2.0,0.0,8.0,120.8288099046341
209,2.0,0.0,9.0,58.59414144906035
210,2,1,0,0
211,2,1,1,0
212,2.0,1.0,2.0,246.6223353604187
213,2,1,3,0
214,2,1,4,700
215,2.0,1.0,5.0,438.53059382030585
216,2,1,6,700
217,2.0,1.0,7.0,624.4705502542054
218,2.0,1.0,8.0,129.542507800978
219,2.0,1.0,9.0,68.24416716846429
220,2.0,2.0,0.0,0.0
221,2.0,2.0,1.0,0.0
222,2.0,2.0,2.0,146.11144009055116
223,2.0,2.0,3.0,0.0
224,2,2,4,700
225,2.0,2.0,5.0,460.59262592994077
226,2,2,6,700
227,2.0,2.0,7.0,607.7261598590039
228,2.0,2.0,8.0,177.6760607621518
229,2.0,2.0,9.0,121.54989678717197
230,2,3,0,0
231,2,3,1,0
232,2.0,3.0,2.0,253.04875959891203
233,2.0,3.0,3.0,0.33219924916208643
234,2,3,4,700
235,2.0,3.0,5.0,440.88927682327426
236,2,3,6,700
237,2.0,3.0,7.0,625.5411461931401
238,2.0,3.0,8.0,134.68853390944406
239,2.0,3.0,9.0,73.9431579861584
240,2,4,0,0
241,2,4,1,0
242,2.0,4.0,2.0,241.85421705795451
243,2.0,4.0,3.0,1.917758355509309
244,2,4,4,700
