,round,tube,sp,pop_0,final_pop,st_div_H,auc,fc
0,0.0,0.0,3.0,14.0,326.0,-0.0,19985.0,23.285697653073104
1,0.0,0.0,5.0,21.0,594.0,1.4942066326937187,69692.0,28.285700816332945
2,0.0,1.0,3.0,14.0,352.0,-0.0,21515.0,25.1428391836863
3,0.0,1.0,5.0,21.0,524.0,1.5363671884850907,63445.0,24.952369070300442
4,0.0,2.0,3.0,14.0,293.0,-0.0,17769.0,20.928556479602516
5,0.0,2.0,5.0,21.0,593.0,1.679391842935493,67832.0,28.238081791389625
6,0.0,3.0,3.0,14.0,352.0,-0.0,20900.0,25.1428391836863
7,0.0,3.0,5.0,21.0,596.0,1.344849421188261,66272.0,28.380938866219587
8,0.0,4.0,3.0,14.0,323.0,-0.0,19751.0,23.071412091848508
9,0.0,4.0,5.0,21.0,567.0,1.5410646121610116,64414.0,26.999987142863265
10,0.0,5.0,3.0,14.0,194.0,-0.0,13039.0,13.857132959190745
11,0.0,5.0,5.0,21.0,555.0,1.6015939865012088,64907.0,26.42855884354341
12,0.0,6.0,3.0,14.0,338.0,-0.0,20295.0,24.142839897971502
13,0.0,6.0,5.0,21.0,558.0,1.4895963703951756,64641.0,26.571415918373372
14,0.0,7.0,3.0,14.0,286.0,-0.0,17419.0,20.428556836745116
15,0.0,7.0,5.0,21.0,559.0,1.6474718349849926,65804.0,26.619034943316695
16,0.0,8.0,3.0,14.0,285.0,-0.0,19496.0,20.35712831633692
17,0.0,8.0,5.0,21.0,568.0,1.4845822087461626,63422.0,27.047606167806588
18,0.0,9.0,3.0,14.0,296.0,-0.0,16833.0,21.142842040827116
19,0.0,9.0,5.0,21.0,577.0,1.4295599486439743,66290.0,27.47617739229648
20,1.0,0.0,3.0,13.0,300.0,-0.0,16550.0,23.076905325457442
21,1.0,0.0,5.0,21.0,636.0,1.275942169966154,71721.0,30.285699863952445
22,1.0,1.0,3.0,14.0,377.0,-0.0,22263.0,26.928552193891292
23,1.0,1.0,5.0,24.0,594.0,1.138687335497599,68061.0,24.749989687504296
24,1.0,2.0,3.0,17.0,390.0,-0.0,23871.0,22.941162975786487
25,1.0,2.0,5.0,21.0,591.0,1.4686272838201369,65960.0,28.14284374150298
26,1.0,3.0,3.0,18.0,350.0,-0.0,21803.0,19.44443364198131
27,1.0,3.0,5.0,31.0,588.0,0.6786383103964178,72066.0,18.967735816859413
28,1.0,4.0,3.0,11.0,246.0,-0.0,13416.0,22.363616033076333
29,1.0,4.0,5.0,20.0,628.0,1.1614465422927027,70424.0,31.39998430000785
30,1.0,5.0,3.0,10.0,303.0,-0.0,17973.0,30.2999697000303
31,1.0,5.0,5.0,30.0,578.0,1.4518856227582184,71387.0,19.266660244446584
32,1.0,6.0,3.0,24.0,451.0,-0.0,27490.0,18.791658836808818
33,1.0,6.0,5.0,29.0,567.0,1.0671688090617477,68049.0,19.551717395959518
34,1.0,7.0,3.0,11.0,406.0,-0.0,24347.0,36.9090573554024
35,1.0,7.0,5.0,31.0,590.0,1.3666886465321326,67476.0,19.032251925080026
36,1.0,8.0,3.0,10.0,332.0,-0.0,18955.0,33.1999668000332
37,1.0,8.0,5.0,27.0,612.0,1.4832656214412687,69598.0,22.666658271608046
38,1.0,9.0,3.0,16.0,358.0,-0.0,22035.0,22.37498601563374
39,1.0,9.0,5.0,23.0,663.0,0.8558363943705624,72256.0,28.826074423445903
40,2.0,0.0,3.0,12.0,316.0,-0.0,19603.0,26.333311388907177
41,2.0,0.0,5.0,31.0,562.0,1.1498008276637963,68590.0,18.129026409991482
42,2.0,1.0,3.0,22.0,320.0,-0.0,23000.0,14.545447933887303
43,2.0,1.0,5.0,27.0,569.0,0.9584073280447325,68148.0,21.074066268864346
44,2.0,2.0,3.0,29.0,330.0,-0.0,23271.0,11.37930642092882
45,2.0,2.0,5.0,26.0,524.0,1.4751088462104454,62566.0,20.153838402369846
46,2.0,3.0,3.0,16.0,440.0,-0.0,26103.0,27.499982812510744
47,2.0,3.0,5.0,32.0,589.0,0.6806911417506504,72492.0,18.406244248048672
48,2.0,4.0,3.0,10.0,262.0,-0.0,15788.0,26.1999738000262
49,2.0,4.0,5.0,46.0,562.0,0.9942127085153452,74530.0,12.21738864839377
50,2.0,5.0,3.0,15.0,257.0,-0.0,14320.0,17.133321911118728
51,2.0,5.0,5.0,23.0,640.0,1.1268002448537506,72073.0,27.826074858228324
52,2.0,6.0,3.0,18.0,355.0,-0.0,23458.0,19.722211265438187
53,2.0,6.0,5.0,27.0,572.0,0.8881584446868374,68438.0,21.18517733882321
54,2.0,7.0,3.0,20.0,346.0,-0.0,20005.0,17.299991350004326
55,2.0,7.0,5.0,31.0,625.0,1.207429469955762,71368.0,20.161283818940703
56,2.0,8.0,3.0,12.0,237.0,-0.0,13631.0,19.749983541680383
57,2.0,8.0,5.0,35.0,629.0,1.123423760784647,74891.0,17.97142343673616
58,2.0,9.0,3.0,22.0,384.0,-0.0,24807.0,17.454537520664765
59,2.0,9.0,5.0,35.0,628.0,0.3304645318104678,74628.0,17.942852016327993
60,3.0,0.0,3.0,11.0,142.0,-0.0,9848.0,12.909079173564388
61,3.0,0.0,5.0,33.0,608.0,1.0183859989648536,75211.0,18.42423684114035
62,3.0,1.0,3.0,7.0,266.0,-0.0,14156.0,37.999945714363264
63,3.0,1.0,5.0,27.0,661.0,0.7106667073303575,76944.0,24.481472414269476
64,3.0,2.0,3.0,18.0,440.0,-0.0,24974.0,24.444430864205074
65,3.0,2.0,5.0,23.0,632.0,0.8608299582605428,70369.0,27.47824892250047
66,3.0,3.0,3.0,19.0,355.0,-0.0,24098.0,18.684200692525952
67,3.0,3.0,5.0,28.0,594.0,0.6300929814617447,64659.0,21.21427813775781
68,3.0,4.0,3.0,16.0,363.0,-0.0,21437.0,22.687485820321363
69,3.0,4.0,5.0,32.0,609.0,0.8797370892916528,71105.0,19.03124405273623
70,3.0,5.0,3.0,8.0,287.0,-0.0,15344.0,35.87495515630606
71,3.0,5.0,5.0,36.0,616.0,0.535959889216217,76109.0,17.11110635802601
72,3.0,6.0,3.0,15.0,374.0,-0.0,23151.0,24.933316711122192
73,3.0,6.0,5.0,33.0,604.0,0.8375137467527365,74486.0,18.303024756659163
74,3.0,7.0,3.0,20.0,448.0,-0.0,27079.0,22.3999888000056
75,3.0,7.0,5.0,35.0,530.0,1.287012790943137,67782.0,15.142852816327766
76,3.0,8.0,3.0,7.0,239.0,-0.0,11614.0,34.14280836741662
77,3.0,8.0,5.0,34.0,644.0,0.9369253269243796,75221.0,18.941170899655617
78,3.0,9.0,3.0,15.0,309.0,-0.0,18095.0,20.599986266675824
79,3.0,9.0,5.0,45.0,663.0,0.2086866391208334,79199.0,14.733330059259986
80,4.0,0.0,3.0,6.0,257.0,-0.0,12541.0,42.833261944563425
81,4.0,0.0,5.0,21.0,731.0,0.5848303711233189,83748.0,34.809507233567984
82,4.0,1.0,3.0,10.0,363.0,-0.0,20797.0,36.2999637000363
83,4.0,1.0,5.0,39.0,649.0,0.3264984788726657,76355.0,16.641021374097082
84,4.0,2.0,3.0,23.0,451.0,-0.0,27143.0,19.60868712665777
85,4.0,2.0,5.0,44.0,589.0,0.7559710228690036,74837.0,13.386360594008956
86,4.0,3.0,3.0,24.0,439.0,-0.0,25228.0,18.291659045142065
