,round,tube,tox,amount
0,0.0,0.0,0.0,174.14765852365025
1,0.0,0.0,1.0,314.1051229646762
2,0.0,0.0,2.0,0.0
3,0.0,0.0,3.0,203.31104506547715
4,0.0,0.0,4.0,263.5851121776059
5,0.0,0.0,5.0,611.07208079669
6,0.0,0.0,6.0,458.4350705199798
7,0.0,0.0,7.0,571.6538758304176
8,0.0,0.0,8.0,129.76820262412815
9,0.0,0.0,9.0,531.179748319961
10,0.0,1.0,0.0,394.8999886073543
11,0.0,1.0,1.0,476.10343799308527
12,0.0,1.0,2.0,148.35718661694915
13,0.0,1.0,3.0,405.7864385890944
14,0.0,1.0,4.0,182.31955282419597
15,0.0,1.0,5.0,603.583293849651
16,0.0,1.0,6.0,449.72064208122674
17,0.0,1.0,7.0,593.7323092852821
18,0.0,1.0,8.0,38.58076723945166
19,0.0,1.0,9.0,517.4494846450847
20,0.0,2.0,0.0,376.0692461381117
21,0.0,2.0,1.0,462.28456437306664
22,0.0,2.0,2.0,118.88291246578758
23,0.0,2.0,3.0,389.97759214864624
24,0.0,2.0,4.0,133.4459464319196
25,0.0,2.0,5.0,600.4978793135592
26,0.0,2.0,6.0,450.1509779333974
27,0.0,2.0,7.0,599.5583124833145
28,0.0,2.0,8.0,0.0
29,0.0,2.0,9.0,511.9607393387626
30,0.0,3.0,0.0,238.18208194183669
31,0.0,3.0,1.0,361.09655763550626
32,0.0,3.0,2.0,16.733790380989674
33,0.0,3.0,3.0,265.3600245359091
34,0.0,3.0,4.0,153.87121913645143
35,0.0,3.0,5.0,605.3685499739566
36,0.0,3.0,6.0,464.2901650047722
37,0.0,3.0,7.0,595.535268886471
38,0.0,3.0,8.0,13.944890136765649
39,0.0,3.0,9.0,521.2451923224396
40,0.0,4.0,0.0,360.44401249588486
41,0.0,4.0,1.0,450.8180420445995
42,0.0,4.0,2.0,123.8802963441433
43,0.0,4.0,3.0,372.76952790523876
44,0.0,4.0,4.0,212.232416760424
45,0.0,4.0,5.0,603.8859827865673
46,0.0,4.0,6.0,443.1169351738446
47,0.0,4.0,7.0,582.8358832413081
48,0.0,4.0,8.0,68.08883639653294
49,0.0,4.0,9.0,517.7134816308583
50,0.0,5.0,0.0,351.8843449543819
51,0.0,5.0,1.0,444.53656035694996
52,0.0,5.0,2.0,103.25929642208014
53,0.0,5.0,3.0,367.514390295642
54,0.0,5.0,4.0,149.73112629516922
55,0.0,5.0,5.0,601.6283310266011
56,0.0,5.0,6.0,450.4168608870919
57,0.0,5.0,7.0,595.6603344517106
58,0.0,5.0,8.0,3.7464135500988647
59,0.0,5.0,9.0,513.9894541604775
60,0.0,6.0,0.0,373.543862014097
61,0.0,6.0,1.0,460.4313201842752
62,0.0,6.0,2.0,128.54770602571324
63,0.0,6.0,3.0,387.70643796353784
64,0.0,6.0,4.0,161.40092861147608
65,0.0,6.0,5.0,603.9661212011968
66,0.0,6.0,6.0,456.71578497815676
