,round,tube,sp,pop_0,final_pop,st_div_H,auc,fc
0,0.0,0.0,3.0,15.0,305.0,-0.0,14446.0,20.333319777786816
1,0.0,0.0,5.0,36.0,779.0,-0.0,44153.0,21.638882878088086
2,0.0,0.0,9.0,8.0,134.0,-0.0,6678.0,16.749979062526172
3,0.0,1.0,3.0,15.0,221.0,-0.0,9482.0,14.733323511117659
4,0.0,1.0,5.0,36.0,850.0,-0.0,49762.0,23.611104552470955
5,0.0,1.0,9.0,8.0,150.0,-0.0,8046.0,18.749976562529298
6,0.0,2.0,3.0,15.0,382.0,-0.0,18490.0,25.46664968890021
7,0.0,2.0,5.0,36.0,726.0,-0.0,46771.0,20.16666106481637
8,0.0,2.0,9.0,8.0,74.0,-0.0,3323.0,9.249988437514453
9,0.0,3.0,3.0,15.0,343.0,-0.0,16386.0,22.866651422232387
10,0.0,3.0,5.0,36.0,783.0,-0.0,49271.0,21.74999395833501
11,0.0,3.0,9.0,8.0,108.0,-0.0,4868.0,13.499983125021094
12,0.0,4.0,3.0,15.0,304.0,-0.0,15415.0,20.266653155564562
13,0.0,4.0,5.0,36.0,769.0,-0.0,47726.0,21.361105177470783
14,0.0,4.0,9.0,8.0,126.0,-0.0,6197.0,15.74998031252461
15,0.0,5.0,3.0,15.0,349.0,-0.0,16809.0,23.266651155565896
16,0.0,5.0,5.0,36.0,691.0,-0.0,40707.0,19.1944391126558
17,0.0,5.0,9.0,8.0,104.0,-0.0,4888.0,12.999983750020313
18,0.0,6.0,3.0,15.0,322.0,-0.0,15826.0,21.466652355565095
19,0.0,6.0,5.0,36.0,782.0,-0.0,48614.0,21.72221618827328
20,0.0,6.0,9.0,8.0,128.0,-0.0,6461.0,15.999980000025001
21,0.0,7.0,3.0,15.0,284.0,-0.0,13973.0,18.933320711119528
22,0.0,7.0,5.0,36.0,809.0,-0.0,48440.0,22.472215979940003
23,0.0,7.0,9.0,8.0,132.0,-0.0,5953.0,16.49997937502578
24,0.0,8.0,3.0,15.0,276.0,-0.0,12557.0,18.39998773334151
25,0.0,8.0,5.0,36.0,812.0,-0.0,48004.0,22.555549290125196
26,0.0,8.0,9.0,8.0,118.0,-0.0,5616.0,14.749981562523047
27,0.0,9.0,3.0,15.0,244.0,-0.0,11313.0,16.266655822229453
28,0.0,9.0,5.0,36.0,826.0,-0.0,49810.0,22.944438070989424
29,0.0,9.0,9.0,8.0,158.0,-0.0,7446.0,19.74997531253086
30,1.0,0.0,3.0,16.0,344.0,-0.0,15907.0,21.4999865625084
31,1.0,0.0,5.0,31.0,756.0,-0.0,45099.0,24.387088907390677
32,1.0,0.0,9.0,6.0,107.0,-0.0,4429.0,17.833303611160648
33,1.0,1.0,3.0,8.0,244.0,-0.0,10967.0,30.499961875047656
34,1.0,1.0,5.0,42.0,909.0,-0.0,55767.0,21.642851989797144
35,1.0,1.0,9.0,9.0,137.0,-0.0,7321.0,15.222205308660769
36,1.0,2.0,3.0,22.0,421.0,-0.0,19195.0,19.13635493802048
37,1.0,2.0,5.0,34.0,695.0,-0.0,42143.0,20.441170458479274
38,1.0,2.0,9.0,2.0,77.0,-0.0,2686.0,38.4998075009625
39,1.0,3.0,3.0,21.0,294.0,-0.0,13167.0,13.999993333336509
40,1.0,3.0,5.0,50.0,721.0,-0.0,50557.0,14.419997116000577
41,1.0,3.0,9.0,5.0,128.0,-0.0,4954.0,25.599948800102403
42,1.0,4.0,3.0,8.0,230.0,-0.0,9627.0,28.749964062544922
43,1.0,4.0,5.0,38.0,800.0,-0.0,52381.0,21.05262603878262
44,1.0,4.0,9.0,8.0,157.0,-0.0,7844.0,19.624975468780665
45,1.0,5.0,3.0,13.0,405.0,-0.0,16437.0,31.15382218936755
46,1.0,5.0,5.0,37.0,612.0,-0.0,44292.0,16.540536070125384
47,1.0,5.0,9.0,2.0,56.0,-0.0,1654.0,27.999860000699996
48,1.0,6.0,3.0,19.0,280.0,-0.0,14907.0,14.736834349034554
49,1.0,6.0,5.0,28.0,904.0,-0.0,47625.0,32.28570275510616
50,1.0,6.0,9.0,10.0,123.0,-0.0,6600.0,12.2999877000123
51,1.0,7.0,3.0,17.0,404.0,-0.0,18921.0,23.76469190312241
52,1.0,7.0,5.0,49.0,723.0,-0.0,47769.0,14.755099029571626
53,1.0,7.0,9.0,5.0,68.0,-0.0,2839.0,13.5999728000544
54,1.0,8.0,3.0,13.0,393.0,-0.0,15557.0,30.23074597634925
55,1.0,8.0,5.0,40.0,679.0,-0.0,46391.0,16.974995756251058
56,1.0,8.0,9.0,6.0,105.0,-0.0,3235.0,17.499970833381944
57,1.0,9.0,3.0,9.0,286.0,-0.0,10965.0,31.777742469175035
58,1.0,9.0,5.0,54.0,763.0,-0.0,53719.0,14.129627013032033
59,1.0,9.0,9.0,10.0,138.0,-0.0,5840.0,13.7999862000138
60,2.0,0.0,3.0,18.0,388.0,-0.0,15136.0,21.555543580253566
61,2.0,0.0,5.0,35.0,668.0,-0.0,44235.0,19.085708832654618
62,2.0,0.0,9.0,4.0,122.0,-0.0,3715.0,30.49992375019063
