,round,tube,sp,pop_0,final_pop,st_div_H,auc,fc
0,0.0,0.0,3.0,10.0,9.0,-0.0,1452.0,0.8999991000009
1,0.0,0.0,9.0,7.0,6.0,-0.0,748.0,0.8571416326548106
2,0.0,0.0,11.0,9.0,196.0,0.07916035655374556,31820.0,21.7777535802738
3,0.0,0.0,13.0,60.0,1037.0,0.7026462144553646,104736.0,17.283330452778255
4,0.0,1.0,3.0,10.0,10.0,-0.0,1305.0,0.9999990000010001
5,0.0,1.0,9.0,7.0,7.0,-0.0,965.0,0.9999985714306123
6,0.0,1.0,11.0,9.0,177.0,0.24790180607071166,32348.0,19.666644814839096
7,0.0,1.0,13.0,60.0,1057.0,0.9690219892784114,106751.0,17.616663730556045
8,0.0,2.0,3.0,10.0,6.0,-0.0,998.0,0.5999994000006
9,0.0,2.0,9.0,7.0,7.0,-0.0,727.0,0.9999985714306123
10,0.0,2.0,11.0,9.0,142.0,0.041917588986318984,29268.0,15.77776024693306
11,0.0,2.0,13.0,60.0,1086.0,0.8115921127439985,109222.0,18.099996983333835
12,0.0,3.0,3.0,10.0,5.0,-0.0,737.0,0.49999950000050003
13,0.0,3.0,9.0,7.0,7.0,-0.0,877.0,0.9999985714306123
14,0.0,3.0,11.0,9.0,181.0,0.16370701410165314,32337.0,20.111088765456927
15,0.0,3.0,13.0,60.0,1085.0,0.6492087137544292,112905.0,18.083330319444947
16,0.0,4.0,3.0,10.0,7.0,-0.0,1165.0,0.6999993000007
17,0.0,4.0,9.0,7.0,11.0,-0.0,1242.0,1.5714263265338193
18,0.0,4.0,11.0,9.0,164.0,0.49356519202546545,30323.0,18.22220197533114
19,0.0,4.0,13.0,60.0,1121.0,0.8913409286585203,110343.0,18.68333021944496
20,0.0,5.0,3.0,10.0,13.0,-0.0,1705.0,1.2999987000013
21,0.0,5.0,9.0,7.0,6.0,-0.0,702.0,0.8571416326548106
22,0.0,5.0,11.0,9.0,157.0,0.06823824175847928,30612.0,17.444425061749932
23,0.0,5.0,13.0,60.0,1070.0,0.7555117700056122,108991.0,17.833330361111607
24,0.0,6.0,3.0,10.0,6.0,-0.0,1436.0,0.5999994000006
25,0.0,6.0,9.0,7.0,12.0,-0.0,1190.0,1.7142832653096212
26,0.0,6.0,11.0,9.0,163.0,0.38416484269896545,31552.0,18.111090987676683
27,0.0,6.0,13.0,60.0,1098.0,0.9214097389193575,108199.0,18.29999695000051
28,0.0,7.0,3.0,10.0,5.0,-0.0,915.0,0.49999950000050003
29,0.0,7.0,9.0,7.0,7.0,-0.0,858.0,0.9999985714306123
30,0.0,7.0,11.0,9.0,186.0,0.667431707658747,31624.0,20.666643703729218
31,0.0,7.0,13.0,60.0,1044.0,0.896001936592633,108892.0,17.399997100000483
32,0.0,8.0,3.0,10.0,6.0,-0.0,877.0,0.5999994000006
33,0.0,8.0,9.0,7.0,11.0,-0.0,1126.0,1.5714263265338193
34,0.0,8.0,11.0,9.0,160.0,0.2967152565836348,28562.0,17.777758024713307
35,0.0,8.0,13.0,60.0,1120.0,0.8766913421738554,109704.0,18.666663555556074
36,0.0,9.0,3.0,10.0,8.0,-0.0,1122.0,0.7999992000008
37,0.0,9.0,9.0,7.0,7.0,-0.0,717.0,0.9999985714306123
38,0.0,9.0,11.0,9.0,150.0,0.07081055490819625,30848.0,16.666648148168726
39,0.0,9.0,13.0,60.0,1032.0,0.8564217995066364,109596.0,17.19999713333381
40,1.0,0.0,3.0,1.0,0.0,,32.0,0.0
41,1.0,0.0,11.0,7.0,175.0,-0.0,31648.0,24.99996428576531
42,1.0,0.0,13.0,56.0,1137.0,0.17157574916441895,116118.0,20.30356780293432
43,1.0,1.0,11.0,9.0,140.0,-0.0,28525.0,15.555538271624144
44,1.0,1.0,13.0,69.0,1110.0,1.0487401443535902,118443.0,16.086954190296492
45,1.0,2.0,3.0,1.0,2.0,-0.0,157.0,1.9999800001999979
46,1.0,2.0,9.0,1.0,0.0,,70.0,0.0
47,1.0,2.0,11.0,8.0,125.0,-0.0,28251.0,15.624980468774416
48,1.0,2.0,13.0,52.0,1151.0,0.8322483477565003,114523.0,22.134611127959396
49,1.0,3.0,11.0,8.0,138.0,-0.0,30757.0,17.249978437526956
50,1.0,3.0,13.0,51.0,1126.0,0.8273747491227241,117716.0,22.078427043445675
51,1.0,4.0,3.0,4.0,2.0,-0.0,702.0,0.49999875000312505
52,1.0,4.0,9.0,1.0,2.0,-0.0,293.0,1.9999800001999979
53,1.0,4.0,11.0,9.0,149.0,-0.0,27506.0,16.555537160514266
54,1.0,4.0,13.0,47.0,1110.0,0.4081779083201458,110730.0,23.61701625169867
55,1.0,5.0,11.0,15.0,134.0,-0.0,30725.0,8.93332737778175
56,1.0,5.0,13.0,60.0,1101.0,0.5871208466601943,116453.0,18.349996941667175
57,1.0,6.0,9.0,1.0,1.0,-0.0,148.0,0.9999900000999989
58,1.0,6.0,11.0,9.0,146.0,-0.0,29627.0,16.22220419755089
59,1.0,6.0,13.0,61.0,1191.0,0.50076803519261,119481.0,19.524586963182465
60,1.0,7.0,9.0,1.0,3.0,-0.0,162.0,2.9999700002999967
61,1.0,7.0,11.0,8.0,119.0,0.4787041747189993,27082.0,14.874981406273243
62,1.0,7.0,13.0,52.0,1068.0,0.906592638020522,111530.0,20.538457588758156
63,1.0,8.0,11.0,7.0,142.0,-0.0,29719.0,20.28568530616385
64,1.0,8.0,13.0,56.0,1194.0,0.8974145125788775,117553.0,21.321424764031292
65,1.0,9.0,3.0,1.0,0.0,,106.0,0.0
66,1.0,9.0,11.0,8.0,177.0,-0.0,30886.0,22.12497234378457
67,1.0,9.0,13.0,46.0,1088.0,0.5845697580530407,111558.0,23.652168771267657
68,2.0,0.0,11.0,8.0,138.0,-0.0,28516.0,17.249978437526956
69,2.0,0.0,13.0,62.0,1127.0,0.22052237130968103,116866.0,18.17741642299735
70,2.0,1.0,11.0,8.0,155.0,-0.0,29484.0,19.374975781280273
71,2.0,1.0,13.0,47.0,1167.0,1.2116509075622628,123597.0,24.82978195111022
72,2.0,2.0,11.0,8.0,134.0,-0.0,28355.0,16.749979062526172
73,2.0,2.0,13.0,48.0,1122.0,0.5368011509184636,114443.0,23.374995130209346
74,2.0,3.0,11.0,5.0,156.0,-0.0,29621.0,31.1999376001248
75,2.0,3.0,13.0,61.0,1112.0,0.9991980797063462,115689.0,18.229505208277835
76,2.0,4.0,9.0,1.0,0.0,,57.0,0.0
77,2.0,4.0,11.0,11.0,149.0,-0.0,28883.0,13.545442231416153
78,2.0,4.0,13.0,47.0,1079.0,0.1968111908758554,111365.0,22.957441923948526
79,2.0,5.0,11.0,3.0,160.0,-0.0,30538.0,53.33315555614814
80,2.0,5.0,13.0,65.0,1128.0,0.4695073872187285,117841.0,17.35384348402408
81,2.0,6.0,11.0,5.0,197.0,-0.0,29810.0,39.3999212001576
82,2.0,6.0,13.0,60.0,1136.0,0.7152527523273575,115773.0,18.933330177778302
83,2.0,7.0,11.0,5.0,145.0,-0.0,26819.0,28.999942000116
84,2.0,7.0,13.0,40.0,1157.0,0.9061960502081179,119351.0,28.924992768751807
85,2.0,8.0,11.0,13.0,139.0,-0.0,28618.0,10.692299467461948
86,2.0,8.0,13.0,43.0,1127.0,0.7657002573229351,110888.0,26.209296230396223
87,2.0,9.0,11.0,6.0,177.0,-0.0,30256.0,29.49995083341528
88,2.0,9.0,13.0,60.0,1071.0,0.5325332103550072,109923.0,17.849997025000494
89,3.0,0.0,11.0,8.0,157.0,-0.0,29014.0,19.624975468780665
90,3.0,0.0,13.0,56.0,1189.0,0.33800879454328236,122337.0,21.232139065689452
91,3.0,1.0,11.0,8.0,131.0,-0.0,28296.0,16.374979531275585
92,3.0,1.0,13.0,37.0,1122.0,1.0524103896092236,111234.0,30.324316128563204
93,3.0,2.0,11.0,7.0,147.0,-0.0,28813.0,20.999970000042858
94,3.0,2.0,13.0,94.0,1029.0,0.5898838036568104,117320.0,10.946807346084325
95,3.0,3.0,11.0,8.0,116.0,-0.0,26504.0,14.499981875022657
96,3.0,3.0,13.0,57.0,1123.0,0.9231322901861945,115729.0,19.70175092951738
97,3.0,4.0,11.0,9.0,152.0,-0.0,31054.0,16.88887012347764
98,3.0,4.0,13.0,63.0,1192.0,0.05630970467234685,121645.0,18.920631917360012
99,3.0,5.0,11.0,4.0,176.0,-0.0,29596.0,43.999890000275
100,3.0,5.0,13.0,44.0,1077.0,0.5516358291329647,110581.0,24.477267164257462
101,3.0,6.0,11.0,8.0,148.0,-0.0,30349.0,18.499976875028906
102,3.0,6.0,13.0,42.0,1089.0,0.9945521841617184,108888.0,25.928565255103507
103,3.0,7.0,11.0,8.0,120.0,-0.0,27751.0,14.999981250023438
104,3.0,7.0,13.0,54.0,1076.0,0.6602514536308176,114032.0,19.925922235940327
105,3.0,8.0,11.0,5.0,138.0,-0.0,30247.0,27.599944800110404
106,3.0,8.0,13.0,60.0,1054.0,0.6242585987968617,113458.0,17.566663738889375
107,3.0,9.0,11.0,13.0,138.0,-0.0,28487.0,10.615376449710423
108,3.0,9.0,13.0,62.0,1115.0,0.5383472965984581,113255.0,17.983868067118053
109,4.0,0.0,11.0,7.0,160.0,-0.0,29163.0,22.857110204128283
110,4.0,0.0,13.0,60.0,1202.0,0.489368161816109,122260.0,20.033329994445
111,4.0,1.0,11.0,11.0,114.0,-0.0,27488.0,10.363626942157326
112,4.0,1.0,13.0,50.0,1193.0,0.9269748365287679,120451.0,23.859995228000955
113,4.0,2.0,11.0,10.0,137.0,-0.0,29435.0,13.6999863000137
114,4.0,2.0,13.0,50.0,1144.0,0.5183437025485016,116340.0,22.879995424000914
115,4.0,3.0,11.0,8.0,150.0,-0.0,28573.0,18.749976562529298
116,4.0,3.0,13.0,47.0,1167.0,1.0749501665117114,125021.0,24.82978195111022
117,4.0,4.0,11.0,9.0,139.0,-0.0,30105.0,15.444427283969684
118,4.0,4.0,13.0,58.0,1073.0,-0.0,113590.0,18.499996810345376
119,4.0,5.0,11.0,4.0,164.0,-0.0,31000.0,40.99989750025625
120,4.0,5.0,13.0,49.0,1217.0,0.437318837940294,119901.0,24.83672962515722
121,4.0,6.0,11.0,8.0,164.0,-0.0,31346.0,20.499974375032032
122,4.0,6.0,13.0,70.0,1046.0,0.8646913278856119,113377.0,14.94285500816357
123,4.0,7.0,11.0,1.0,255.0,-0.0,26910.0,254.99745002549972
124,4.0,7.0,13.0,48.0,1132.0,0.8189212694562784,118028.0,23.58332842013991
125,4.0,8.0,11.0,7.0,146.0,-0.0,29871.0,20.857113061267057
126,4.0,8.0,13.0,59.0,1166.0,0.5532434926706983,120667.0,19.762708514795165
127,4.0,9.0,11.0,5.0,138.0,-0.0,29098.0,27.599944800110404
