,round,tube,nut,amount
0,0.0,0.0,0.0,0.26939833559885074
1,0.0,0.0,1.0,0.5705309618547693
2,0.0,0.0,2.0,0.034619993222609224
3,0.0,0.0,3.0,0.12628589050497194
4,0.0,1.0,0.0,0.2495162220970688
5,0.0,1.0,1.0,0.7990824713401226
6,0.0,1.0,2.0,0.1671062212858736
7,0.0,1.0,3.0,0.016364082110924966
8,0.0,2.0,0.0,0.33379758549509797
9,0.0,2.0,1.0,0.4445446906283219
10,0.0,2.0,2.0,0.3253959819713863
11,0.0,2.0,3.0,0.09155478776004955
12,0.0,3.0,0.0,0.4192521624970045
13,0.0,3.0,1.0,1577.6696915280368
14,0.0,3.0,2.0,0.15791939838002378
15,0.0,3.0,3.0,0.12395235218640607
16,0.0,4.0,0.0,0.01999037188516173
17,0.0,4.0,1.0,0.5506231352397412
18,0.0,4.0,2.0,0.28588395054902094
19,0.0,4.0,3.0,0.06993137001022376
20,0.0,5.0,0.0,0.1889633763921995
21,0.0,5.0,1.0,0.23256353011314412
22,0.0,5.0,2.0,0.1494256553538662
23,0.0,5.0,3.0,0.08686071908367185
24,0.0,6.0,0.0,0.25807133407804095
25,0.0,6.0,1.0,0.704126603396371
26,0.0,6.0,2.0,0.256068621074931
27,0.0,6.0,3.0,0.02036538453849855
28,0.0,7.0,0.0,0.20751139476620886
29,0.0,7.0,1.0,0.4477272770974118
30,0.0,7.0,2.0,0.04551476454450443
31,0.0,7.0,3.0,0.06730660078259104
32,0.0,8.0,0.0,0.131283878232637
33,0.0,8.0,1.0,0.618169301582615
34,0.0,8.0,2.0,0.0013571816519579727
35,0.0,8.0,3.0,0.0007423575121005832
36,0.0,9.0,0.0,0.4396589915279283
37,0.0,9.0,1.0,1568.5843713125469
38,0.0,9.0,2.0,0.04960190031674827
39,0.0,9.0,3.0,0.062143350577572795
40,1.0,0.0,0.0,0.30293636714916117
41,1.0,0.0,1.0,0.6634304498577354
42,1.0,0.0,2.0,0.01618379558822758
43,1.0,0.0,3.0,0.13210910136913867
44,1.0,1.0,0.0,0.30882157670865373
45,1.0,1.0,1.0,0.12425688325225037
46,1.0,1.0,2.0,0.1515781344346614
47,1.0,1.0,3.0,0.05399208213239248
48,1.0,2.0,0.0,0.1383659356300626
49,1.0,2.0,1.0,0.9882863482498085
50,1.0,2.0,2.0,0.07087847211679765
51,1.0,2.0,3.0,0.026452416954637945
52,1.0,3.0,0.0,0.2741721249413825
53,1.0,3.0,1.0,1536.130654037001
54,1.0,3.0,2.0,0.3040687397579447
55,1.0,3.0,3.0,0.10899687396326978
56,1.0,4.0,0.0,0.08978862973276627
57,1.0,4.0,1.0,0.43143232901073947
58,1.0,4.0,2.0,0.02110528178060256
59,1.0,4.0,3.0,0.13224018450785088
60,1.0,5.0,0.0,0.2230293236671064
61,1.0,5.0,1.0,0.3252943650350243
62,1.0,5.0,2.0,0.25201827697207424
63,1.0,5.0,3.0,0.07578179069191293
64,1.0,6.0,0.0,1016.4645803727838
65,1.0,6.0,1.0,2000.0
66,1.0,6.0,2.0,0.32735867983725875
67,1.0,6.0,3.0,0.35681280717455444
68,1.0,7.0,0.0,0.3699141495979031
69,1.0,7.0,1.0,0.459620225361428
70,1.0,7.0,2.0,0.3325984584178947
71,1.0,7.0,3.0,0.09650998712637637
72,1.0,8.0,0.0,360.34618470181465
73,1.0,8.0,1.0,2000.0
74,1.0,8.0,2.0,0.3723371694178823
75,1.0,8.0,3.0,0.23268102471689822
76,1.0,9.0,0.0,0.39529341276021246
