,round,tube,sp_div_H,tot_pop_0,tot_final_pop,tot_auc,mean_fc,deg_score,nut_score
0,0.0,0.0,0.6696604408506064,16.0,403.0,16378.0,24.896794150959465,0.5803295488565221,0.584253997505783
1,0.0,1.0,0.6846162778013047,16.0,437.0,17218.0,27.29361615902675,0.5796704881181833,0.7096697936657181
2,0.0,2.0,0.6688848222275194,16.0,392.0,14395.0,24.206318841056586,0.5825755092450493,0.5987618538905284
3,0.0,3.0,0.6912448606246924,16.0,373.0,15145.0,23.499969920674012,0.5837197577967868,0.5851876116655806
4,0.0,4.0,0.6609014133791071,16.0,388.0,13116.0,23.857113061262293,0.5749030584101418,0.577480809023041
5,0.0,5.0,0.6600281183353743,16.0,379.0,14599.0,23.293621714574545,0.5836224315169447,0.5848322338052988
6,0.0,6.0,0.6818731686322316,16.0,407.0,16351.0,25.357110759678456,0.5824105768582113,0.5840168376851151
7,0.0,7.0,0.6874887601697323,16.0,414.0,15092.0,25.936474923197125,0.5826047820372168,0.7213696460446859
8,0.0,8.0,0.6701833285343837,16.0,356.0,11251.0,21.999972380987604,0.56874414527933,0.5684080678972229
9,0.0,9.0,0.6850731712584415,16.0,394.0,12907.0,24.61901636436381,0.5756216967088434,0.6865932886514787
10,1.0,0.0,0.6608874040015105,21.0,380.0,17804.0,17.805538526251194,0.5672045771179792,0.6360926814477488
11,1.0,1.0,0.6794996659908596,18.0,455.0,15791.0,39.91062662648601,0.5780584436181752,0.7279870015644865
12,1.0,2.0,0.6918108952962353,30.0,445.0,22326.0,14.833323444451038,0.5879000487780448,0.7290105635825292
13,1.0,3.0,0.6868970086341971,24.0,385.0,16590.0,16.19284313368592,0.5735429363584812,0.709774722377779
14,1.0,4.0,0.6465290649763116,14.0,373.0,11418.0,42.624829063319524,0.5550142552581324,0.5624996527887263
15,1.0,5.0,0.6782093939033127,16.0,377.0,16659.0,24.049967283380496,0.5704906079838561,0.6101068149971243
16,1.0,6.0,0.6695145472746771,20.0,411.0,17988.0,20.479145408009067,0.5835705867892488,0.6272001045793373
17,1.0,7.0,0.6897201183554824,27.0,423.0,18002.0,15.736252012144963,0.5758672173321472,0.7253870245357179
