,round,tube,tox,amount
0,0.0,0.0,0.0,135.73226608476114
1,0.0,0.0,1.0,131.9472238608152
2,0.0,0.0,2.0,393.73370721192686
3,0.0,0.0,3.0,363.59213239278694
4,0.0,0.0,4.0,323.4512432834003
5,0.0,0.0,5.0,622.3081183495025
6,0.0,0.0,6.0,387.3259841150955
7,0.0,0.0,7.0,260.0532067117881
8,0.0,0.0,8.0,66.4423772170843
9,0.0,0.0,9.0,0.0
10,0.0,1.0,0.0,151.16701240196608
11,0.0,1.0,1.0,81.49430518551013
12,0.0,1.0,2.0,369.71089034006013
13,0.0,1.0,3.0,372.7792770222571
14,0.0,1.0,4.0,280.1209659632226
15,0.0,1.0,5.0,603.4814520911984
16,0.0,1.0,6.0,342.8500570892264
17,0.0,1.0,7.0,248.40995759704404
18,0.0,1.0,8.0,53.106000703383344
19,0.0,1.0,9.0,0.0
20,0.0,2.0,0.0,122.68799103115299
21,0.0,2.0,1.0,86.23585519867959
22,0.0,2.0,2.0,297.45062143393454
23,0.0,2.0,3.0,353.9392773006329
24,0.0,2.0,4.0,288.3529245448618
25,0.0,2.0,5.0,570.3350892498778
26,0.0,2.0,6.0,296.49184278952737
27,0.0,2.0,7.0,246.52704024492854
28,0.0,2.0,8.0,155.59791050138617
29,0.0,2.0,9.0,0.0
30,0.0,3.0,0.0,112.5455006779459
31,0.0,3.0,1.0,50.7618490324643
32,0.0,3.0,2.0,326.1489912122962
33,0.0,3.0,3.0,402.168704866762
34,0.0,3.0,4.0,286.9945183676525
35,0.0,3.0,5.0,588.1748140030725
36,0.0,3.0,6.0,325.66724391401954
37,0.0,3.0,7.0,276.93081389257424
38,0.0,3.0,8.0,161.49906026418853
39,0.0,3.0,9.0,0.0
40,0.0,4.0,0.0,60.616211754162656
41,0.0,4.0,1.0,0.0
42,0.0,4.0,2.0,353.52045378435855
43,0.0,4.0,3.0,366.47474274670554
44,0.0,4.0,4.0,281.1614786559277
45,0.0,4.0,5.0,569.7614134083739
46,0.0,4.0,6.0,312.130989916452
47,0.0,4.0,7.0,268.0016723357656
48,0.0,4.0,8.0,263.02307017012413
49,0.0,4.0,9.0,0.0
50,0.0,5.0,0.0,160.5974697463256
51,0.0,5.0,1.0,33.38302266906508
52,0.0,5.0,2.0,338.02647202918723
53,0.0,5.0,3.0,347.97397569179157
54,0.0,5.0,4.0,266.8844318861201
55,0.0,5.0,5.0,586.4915753632428
56,0.0,5.0,6.0,307.1162949295887
57,0.0,5.0,7.0,221.68367573741068
58,0.0,5.0,8.0,146.49082506863826
59,0.0,5.0,9.0,0.0
60,0.0,6.0,0.0,111.39656408257626
61,0.0,6.0,1.0,44.64375846094207
62,0.0,6.0,2.0,323.2687470902147
63,0.0,6.0,3.0,359.3726841097639
64,0.0,6.0,4.0,284.7975131919649
65,0.0,6.0,5.0,576.1973810922191
66,0.0,6.0,6.0,308.3859314171298
67,0.0,6.0,7.0,253.05007293884435
68,0.0,6.0,8.0,215.15296783314534
69,0.0,6.0,9.0,0.0
70,0.0,7.0,0.0,75.88490334637004
71,0.0,7.0,1.0,77.05527658398148
72,0.0,7.0,2.0,376.2609954119847
73,0.0,7.0,3.0,355.8805330581394
74,0.0,7.0,4.0,294.067169289975
75,0.0,7.0,5.0,604.6710098036663
76,0.0,7.0,6.0,331.98530946059407
77,0.0,7.0,7.0,235.0484263673787
78,0.0,7.0,8.0,173.34479273972812
79,0.0,7.0,9.0,0.0
80,0.0,8.0,0.0,131.22663757890868
81,0.0,8.0,1.0,74.34700470814535
82,0.0,8.0,2.0,337.206412744056
83,0.0,8.0,3.0,359.25500038532783
84,0.0,8.0,4.0,307.84977829551354
85,0.0,8.0,5.0,572.8675103968055
86,0.0,8.0,6.0,337.5847249034595
87,0.0,8.0,7.0,283.7548278061485
88,0.0,8.0,8.0,148.58974442206224
89,0.0,8.0,9.0,0.0
90,0.0,9.0,0.0,44.740902066517
91,0.0,9.0,1.0,47.579942752436004
92,0.0,9.0,2.0,350.0765407678901
93,0.0,9.0,3.0,351.2517207467284
94,0.0,9.0,4.0,289.8275197840398
95,0.0,9.0,5.0,570.2067935108504
96,0.0,9.0,6.0,325.2947653958296
97,0.0,9.0,7.0,275.5589894792665
98,0.0,9.0,8.0,225.6957131090042
99,0.0,9.0,9.0,0.0
100,1.0,0.0,0.0,355.3097129169152
101,1.0,0.0,1.0,77.35599299484298
102,1.0,0.0,2.0,513.3659197285837
103,1.0,0.0,3.0,567.8014429746632
104,1.0,0.0,4.0,268.1236439906993
105,1.0,0.0,5.0,674.5328426889881
106,1.0,0.0,6.0,566.451493812039
107,1.0,0.0,7.0,474.8650075704396
108,1.0,0.0,8.0,0.0
109,1.0,0.0,9.0,0.0
110,1.0,1.0,0.0,343.4726631505001
111,1.0,1.0,1.0,61.9276057426012
112,1.0,1.0,2.0,497.59621136320504
113,1.0,1.0,3.0,574.1138835580178
114,1.0,1.0,4.0,287.8741101961493
115,1.0,1.0,5.0,657.3617184694934
116,1.0,1.0,6.0,554.6124889672591
117,1.0,1.0,7.0,493.3721053969014
118,1.0,1.0,8.0,0.0
119,1.0,1.0,9.0,0.0
120,1.0,2.0,0.0,302.01893812463976
121,1.0,2.0,1.0,34.31075450594153
122,1.0,2.0,2.0,549.6535984461968
123,1.0,2.0,3.0,554.816732321046
124,1.0,2.0,4.0,303.002937047936
125,1.0,2.0,5.0,649.7529979890397
126,1.0,2.0,6.0,579.7074930761426
127,1.0,2.0,7.0,514.9320476583717
128,1.0,2.0,8.0,0.0
129,1.0,2.0,9.0,0.0
130,1.0,3.0,0.0,328.1136152142892
131,1.0,3.0,1.0,47.18707439246848
132,1.0,3.0,2.0,510.85109251100465
133,1.0,3.0,3.0,542.6930057117041
134,1.0,3.0,4.0,299.6225664427792
135,1.0,3.0,5.0,671.1684736691236
136,1.0,3.0,6.0,558.7257886546304
137,1.0,3.0,7.0,447.93749687077985
138,1.0,3.0,8.0,0.0
139,1.0,3.0,9.0,0.0
140,1.0,4.0,0.0,346.4713999649781
141,1.0,4.0,1.0,31.098621281556095
142,1.0,4.0,2.0,554.8335913320183
143,1.0,4.0,3.0,569.3383209733679
144,1.0,4.0,4.0,290.35115105524187
145,1.0,4.0,5.0,666.6844219603855
146,1.0,4.0,6.0,591.6663762172457
147,1.0,4.0,7.0,506.20960874751063
148,1.0,4.0,8.0,0.0
149,1.0,4.0,9.0,0.0
150,1.0,5.0,0.0,357.3987740538251
151,1.0,5.0,1.0,77.50389198655131
152,1.0,5.0,2.0,537.7125816314663
153,1.0,5.0,3.0,566.4108328968656
154,1.0,5.0,4.0,294.72357218089945
155,1.0,5.0,5.0,679.3957613066782
156,1.0,5.0,6.0,594.4653596639477
157,1.0,5.0,7.0,490.5954666346943
158,1.0,5.0,8.0,0.0
159,1.0,5.0,9.0,0.0
160,1.0,6.0,0.0,343.88245847123727
161,1.0,6.0,1.0,46.85012418988156
162,1.0,6.0,2.0,545.3506274460166
163,1.0,6.0,3.0,568.2483498222549
164,1.0,6.0,4.0,283.672183949959
165,1.0,6.0,5.0,660.0908085509265
166,1.0,6.0,6.0,573.0548011788887
167,1.0,6.0,7.0,502.8983800702951
168,1.0,6.0,8.0,0.0
169,1.0,6.0,9.0,0.0
170,1.0,7.0,0.0,324.4238673351375
171,1.0,7.0,1.0,77.51246598583393
172,1.0,7.0,2.0,535.6840143665803
173,1.0,7.0,3.0,564.1244349239752
174,1.0,7.0,4.0,289.42388609283375
175,1.0,7.0,5.0,664.8059418224996
176,1.0,7.0,6.0,602.9231486790387
177,1.0,7.0,7.0,523.2429748114635
178,1.0,7.0,8.0,0.0
179,1.0,7.0,9.0,0.0
180,1.0,8.0,0.0,363.1533504292531
181,1.0,8.0,1.0,104.33995172730201
182,1.0,8.0,2.0,532.4118564683633
183,1.0,8.0,3.0,554.4570160109788
184,1.0,8.0,4.0,296.51753527438643
185,1.0,8.0,5.0,677.8052705653198
186,1.0,8.0,6.0,613.4521812335025
187,1.0,8.0,7.0,506.3230711218118
188,1.0,8.0,8.0,0.0
189,1.0,8.0,9.0,0.0
190,1.0,9.0,0.0,345.4211890498599
191,1.0,9.0,1.0,111.1227556995569
192,1.0,9.0,2.0,547.132313058187
193,1.0,9.0,3.0,579.1432574957142
194,1.0,9.0,4.0,321.80636294718465
195,1.0,9.0,5.0,691.426214554335
196,1.0,9.0,6.0,616.9333010190638
