,round,tube,tox,amount
0,0.0,0.0,0.0,466.28572082091637
1,0.0,0.0,1.0,214.42560592412642
2,0.0,0.0,2.0,470.0570006893816
3,0.0,0.0,3.0,195.63718624070682
4,0.0,0.0,4.0,255.1904386386215
5,0.0,0.0,5.0,381.23896061994185
6,0.0,0.0,6.0,255.06718503935898
7,0.0,0.0,7.0,457.0230898033393
8,0.0,0.0,8.0,529.1600010040344
9,0.0,0.0,9.0,407.895295577997
10,0.0,1.0,0.0,459.83811306677035
11,0.0,1.0,1.0,213.6248866321957
12,0.0,1.0,2.0,453.04014172400514
13,0.0,1.0,3.0,208.83686218644252
14,0.0,1.0,4.0,232.60103227412088
15,0.0,1.0,5.0,381.9378582452171
16,0.0,1.0,6.0,230.4617322595412
17,0.0,1.0,7.0,451.6278792108971
18,0.0,1.0,8.0,541.7787364468811
19,0.0,1.0,9.0,424.88693675990754
20,0.0,2.0,0.0,464.1798693327585
21,0.0,2.0,1.0,205.64362720655996
22,0.0,2.0,2.0,457.7790138409456
23,0.0,2.0,3.0,195.96489371754632
24,0.0,2.0,4.0,241.92202741082076
25,0.0,2.0,5.0,374.21609490011184
26,0.0,2.0,6.0,239.3308136601871
27,0.0,2.0,7.0,455.21906929513244
28,0.0,2.0,8.0,530.8815641981101
29,0.0,2.0,9.0,409.86800894314314
30,0.0,3.0,0.0,495.3006250374322
31,0.0,3.0,1.0,232.01881512771374
32,0.0,3.0,2.0,468.87228266014665
33,0.0,3.0,3.0,224.27517214979332
34,0.0,3.0,4.0,279.41274248814585
35,0.0,3.0,5.0,381.9897080696775
36,0.0,3.0,6.0,275.71810750513293
37,0.0,3.0,7.0,494.05433114014085
38,0.0,3.0,8.0,530.3879898217625
39,0.0,3.0,9.0,408.76051813080977
40,0.0,4.0,0.0,470.33060307709513
41,0.0,4.0,1.0,222.64609327750264
42,0.0,4.0,2.0,475.9805908355565
43,0.0,4.0,3.0,195.7096932001738
44,0.0,4.0,4.0,261.38981186866823
45,0.0,4.0,5.0,384.9669413316205
46,0.0,4.0,6.0,264.65814007713533
47,0.0,4.0,7.0,465.8139204295018
48,0.0,4.0,8.0,527.2379715255963
49,0.0,4.0,9.0,402.04290438520104
50,0.0,5.0,0.0,501.7056414477495
51,0.0,5.0,1.0,234.46747710599163
52,0.0,5.0,2.0,456.7019974507315
53,0.0,5.0,3.0,242.83730290294216
54,0.0,5.0,4.0,274.7488553252892
55,0.0,5.0,5.0,380.7886616198245
56,0.0,5.0,6.0,266.6765601818183
57,0.0,5.0,7.0,501.5440760253594
58,0.0,5.0,8.0,538.431288023573
59,0.0,5.0,9.0,421.1746679457348
60,0.0,6.0,0.0,463.9552795401795
61,0.0,6.0,1.0,218.17432298607133
62,0.0,6.0,2.0,466.0720400455906
63,0.0,6.0,3.0,201.81781060892905
64,0.0,6.0,4.0,248.09076454605093
65,0.0,6.0,5.0,384.449270966846
66,0.0,6.0,6.0,248.5675190831458
67,0.0,6.0,7.0,456.2762749716924
68,0.0,6.0,8.0,534.7236574537591
69,0.0,6.0,9.0,414.60824115976277
70,0.0,7.0,0.0,458.25976545042045
71,0.0,7.0,1.0,205.31758537689402
72,0.0,7.0,2.0,465.1027252943979
73,0.0,7.0,3.0,189.83937312400965
74,0.0,7.0,4.0,244.8556598742552
75,0.0,7.0,5.0,377.8845204647931
76,0.0,7.0,6.0,243.40736912774116
77,0.0,7.0,7.0,445.3254442548605
78,0.0,7.0,8.0,530.0496475069286
79,0.0,7.0,9.0,410.63706750116074
80,0.0,8.0,0.0,457.3184695789945
81,0.0,8.0,1.0,205.48880647053483
82,0.0,8.0,2.0,470.7032105235095
83,0.0,8.0,3.0,182.1938572031082
84,0.0,8.0,4.0,248.18176585676014
85,0.0,8.0,5.0,378.25750183020625
86,0.0,8.0,6.0,249.03017386610418
87,0.0,8.0,7.0,445.2489405342941
88,0.0,8.0,8.0,525.8546764372612
89,0.0,8.0,9.0,403.48369207721385
90,0.0,9.0,0.0,460.8038612193378
91,0.0,9.0,1.0,224.58632455422602
92,0.0,9.0,2.0,480.3963580354328
93,0.0,9.0,3.0,196.53411549134705
94,0.0,9.0,4.0,259.18290305520634
95,0.0,9.0,5.0,392.39632902414024
96,0.0,9.0,6.0,262.7247145379369
97,0.0,9.0,7.0,450.51509185674763
98,0.0,9.0,8.0,532.789434005195
99,0.0,9.0,9.0,413.1595006151741
100,1.0,0.0,0.0,453.66723489301484
101,1.0,0.0,1.0,230.4178269182162
102,1.0,0.0,2.0,476.6268006696851
103,1.0,0.0,3.0,205.8810836197318
104,1.0,0.0,4.0,248.69330258522922
105,1.0,0.0,5.0,399.92145844532735
106,1.0,0.0,6.0,252.88997389678173
107,1.0,0.0,7.0,442.7696016413074
108,1.0,0.0,8.0,543.000352863152
109,1.0,0.0,9.0,427.69798740809136
110,1.0,1.0,0.0,462.0266626712301
111,1.0,1.0,1.0,232.9675642230716
112,1.0,1.0,2.0,478.0269219769626
113,1.0,1.0,3.0,210.5203029469042
114,1.0,1.0,4.0,258.09547806210617
115,1.0,1.0,5.0,398.6006828107881
116,1.0,1.0,6.0,260.92940598815795
117,1.0,1.0,7.0,452.16849974093594
118,1.0,1.0,8.0,540.9021319484883
119,1.0,1.0,9.0,425.24800425031054
120,1.0,2.0,0.0,459.7583355510695
121,1.0,2.0,1.0,282.929055284243
122,1.0,2.0,2.0,559.7724659941802
123,1.0,2.0,3.0,186.33380832387903
124,1.0,2.0,4.0,327.87203409763737
125,1.0,2.0,5.0,443.70843900016683
126,1.0,2.0,6.0,352.88416121013296
127,1.0,2.0,7.0,449.64304961908334
128,1.0,2.0,8.0,525.8341234729112
129,1.0,2.0,9.0,402.37365075601207
130,1.0,3.0,0.0,466.77728772413826
131,1.0,3.0,1.0,218.99488687055486
132,1.0,3.0,2.0,472.96494494295774
133,1.0,3.0,3.0,198.3690280917663
134,1.0,3.0,4.0,258.0418159502714
135,1.0,3.0,5.0,384.8045084526399
136,1.0,3.0,6.0,258.75880205365024
137,1.0,3.0,7.0,457.8479758295038
138,1.0,3.0,8.0,530.5695469811302
139,1.0,3.0,9.0,409.844968036079
140,1.0,4.0,0.0,457.4603623104256
141,1.0,4.0,1.0,206.61030572923912
142,1.0,4.0,2.0,477.4884137818556
143,1.0,4.0,3.0,175.50623635643024
144,1.0,4.0,4.0,253.93645461525207
145,1.0,4.0,5.0,379.18082613747157
146,1.0,4.0,6.0,256.87909164590275
147,1.0,4.0,7.0,445.9241500993388
148,1.0,4.0,8.0,521.5372063897543
149,1.0,4.0,9.0,396.6004389015538
150,1.0,5.0,0.0,461.5904502689399
151,1.0,5.0,1.0,214.09930579906802
152,1.0,5.0,2.0,450.02449583140697
153,1.0,5.0,3.0,219.325918153988
154,1.0,5.0,4.0,234.69886860208354
155,1.0,5.0,5.0,383.10866855391066
156,1.0,5.0,6.0,228.67379341117268
157,1.0,5.0,7.0,449.254391547542
158,1.0,5.0,8.0,546.8085509070474
159,1.0,5.0,9.0,435.98162796742463
160,1.0,6.0,0.0,457.4216145388661
161,1.0,6.0,1.0,233.65692878668335
162,1.0,6.0,2.0,481.4733744256463
163,1.0,6.0,3.0,207.73464095412487
164,1.0,6.0,4.0,257.4703255008139
165,1.0,6.0,5.0,401.65553583732367
166,1.0,6.0,6.0,261.42356528615926
167,1.0,6.0,7.0,445.79300086408205
168,1.0,6.0,8.0,541.6975503594452
169,1.0,6.0,9.0,426.9879931539227
170,1.0,7.0,0.0,451.9714775386062
171,1.0,7.0,1.0,202.46568646370977
172,1.0,7.0,2.0,467.0413547967827
173,1.0,7.0,3.0,181.02741506969858
174,1.0,7.0,4.0,240.0422323856296
175,1.0,7.0,5.0,378.01902850225036
176,1.0,7.0,6.0,240.7496903088339
177,1.0,7.0,7.0,438.79256197422677
178,1.0,7.0,8.0,528.3125007430676
179,1.0,7.0,9.0,407.07496242283673
180,1.0,8.0,0.0,464.4436694177633
181,1.0,8.0,1.0,220.67560121556482
182,1.0,8.0,2.0,462.0870794018001
183,1.0,8.0,3.0,210.52889583369384
184,1.0,8.0,4.0,245.43656433238564
185,1.0,8.0,5.0,386.3612015548727
186,1.0,8.0,6.0,244.41546175178377
187,1.0,8.0,7.0,456.28428676619893
188,1.0,8.0,8.0,539.8877847972528
189,1.0,8.0,9.0,422.83795306433115
190,1.0,9.0,0.0,460.34813854266974
191,1.0,9.0,1.0,215.03698983427802
192,1.0,9.0,2.0,471.24171871861626
193,1.0,9.0,3.0,196.21298276815884
194,1.0,9.0,4.0,251.98509839966445
195,1.0,9.0,5.0,385.07987149184834
196,1.0,9.0,6.0,252.0182304268695
197,1.0,9.0,7.0,448.12932525597495
198,1.0,9.0,8.0,532.7639718585236
199,1.0,9.0,9.0,414.54110912502927
200,2.0,0.0,0.0,456.3229357317591
201,2.0,0.0,1.0,212.47863454040134
202,2.0,0.0,2.0,466.3951449626548
203,2.0,0.0,3.0,194.4211584529707
204,2.0,0.0,4.0,242.54795447640007
205,2.0,0.0,5.0,383.80850816141674
206,2.0,0.0,6.0,243.23457861883335
207,2.0,0.0,7.0,445.36613453844586
