,round,tube,nut,amount
0,0.0,0.0,0.0,0.020451435546874563
1,0.0,0.0,1.0,0.2258361300437115
2,0.0,0.0,2.0,0.8228982570051411
3,0.0,0.0,3.0,0.20526593958378547
4,0.0,1.0,0.0,0.3728999739739187
5,0.0,1.0,1.0,0.054239287288293525
6,0.0,1.0,2.0,0.996699795403795
7,0.0,1.0,3.0,0.02237009402586776
8,0.0,2.0,0.0,4.24321589371604
9,0.0,2.0,1.0,0.3150060786556357
10,0.0,2.0,2.0,0.2765899200677888
11,0.0,2.0,3.0,0.1795874741922836
12,0.0,3.0,0.0,0.16405963709664562
13,0.0,3.0,1.0,0.38727853930698247
14,0.0,3.0,2.0,0.44679373629849073
15,0.0,3.0,3.0,0.08603117295147023
16,0.0,4.0,0.0,0.8272634432763764
17,0.0,4.0,1.0,0.22288894318924385
18,0.0,4.0,2.0,0.9011188362793796
19,0.0,4.0,3.0,0.09633562622945335
20,0.0,5.0,0.0,0.057149916125104006
21,0.0,5.0,1.0,0.30886328059882223
22,0.0,5.0,2.0,0.8951993720405425
23,0.0,5.0,3.0,0.24375678534743184
24,0.0,6.0,0.0,0.6487921011990609
25,0.0,6.0,1.0,0.22086109108697433
26,0.0,6.0,2.0,0.17860251373824865
27,0.0,6.0,3.0,0.08558951299126694
28,0.0,7.0,0.0,0.3874561428760721
29,0.0,7.0,1.0,0.29840063889047164
30,0.0,7.0,2.0,0.16036865227310249
31,0.0,7.0,3.0,0.10096141762795813
32,0.0,8.0,0.0,0.4917819383553774
33,0.0,8.0,1.0,0.09478304894248346
34,0.0,8.0,2.0,0.6736405383735482
35,0.0,8.0,3.0,0.06449588369697035
36,0.0,9.0,0.0,0.1546016675163795
37,0.0,9.0,1.0,0.20551757294198225
38,0.0,9.0,2.0,0.9218771092173876
39,0.0,9.0,3.0,0.5698536700801915
40,1.0,0.0,0.0,0.4452164148822695
41,1.0,0.0,1.0,0.1591111142666457
42,1.0,0.0,2.0,0.46323506691199157
43,1.0,0.0,3.0,0.08327077091259005
44,1.0,1.0,0.0,0.6575762853402385
45,1.0,1.0,1.0,0.005320355082059969
46,1.0,1.0,2.0,0.8365287445817768
47,1.0,1.0,3.0,0.302440725220924
48,1.0,2.0,0.0,0.5408193526983887
49,1.0,2.0,1.0,0.00455557192917766
50,1.0,2.0,2.0,0.555248644849955
51,1.0,2.0,3.0,0.09723626380124867
52,1.0,3.0,0.0,0.6332922625976565
53,1.0,3.0,1.0,0.10123402290770755
54,1.0,3.0,2.0,0.8195501808704972
55,1.0,3.0,3.0,0.7250937308949208
56,1.0,4.0,0.0,0.5888457295438823
57,1.0,4.0,1.0,0.03111575664164512
58,1.0,4.0,2.0,0.45295437535235683
59,1.0,4.0,3.0,0.434942704333634
60,1.0,5.0,0.0,0.6000944000704731
61,1.0,5.0,1.0,0.3197656953314225
62,1.0,5.0,2.0,0.28729765328553203
63,1.0,5.0,3.0,0.6954625525003196
64,1.0,6.0,0.0,0.21451944972803005
65,1.0,6.0,1.0,0.05523886562324132
66,1.0,6.0,2.0,0.30564287153389746
67,1.0,6.0,3.0,0.06965889664970559
68,1.0,7.0,0.0,0.09144645515442562
69,1.0,7.0,1.0,0.02397364468404506
70,1.0,7.0,2.0,0.7331622545951538
71,1.0,7.0,3.0,0.07161267811927352
72,1.0,8.0,0.0,0.006873684802367386
73,1.0,8.0,1.0,0.13798910650857987
74,1.0,8.0,2.0,0.7259193841552615
75,1.0,8.0,3.0,0.535385085097946
76,1.0,9.0,0.0,0.6971554751348226
77,1.0,9.0,1.0,0.12267267697140194
78,1.0,9.0,2.0,0.1538919901585638
79,1.0,9.0,3.0,0.6961622616515548
80,2.0,0.0,0.0,0.23573846012231725
81,2.0,0.0,1.0,0.08086267052459073
82,2.0,0.0,2.0,0.44711563191337733
83,2.0,0.0,3.0,0.0328725654819948
84,2.0,1.0,0.0,0.02460312021435973
85,2.0,1.0,1.0,0.20398890031254213
86,2.0,1.0,2.0,0.7591828723749074
87,2.0,1.0,3.0,0.02004647758972089
88,2.0,2.0,0.0,0.4979891619705654
89,2.0,2.0,1.0,0.24439949129531957
90,2.0,2.0,2.0,0.9864689695687574
91,2.0,2.0,3.0,0.561726121297458
92,2.0,3.0,0.0,0.3326971684641994
93,2.0,3.0,1.0,0.07017499974568242
94,2.0,3.0,2.0,0.45535596726028715
95,2.0,3.0,3.0,0.3106655999359682
96,2.0,4.0,0.0,0.36354807263793276
97,2.0,4.0,1.0,0.003687800814710762
98,2.0,4.0,2.0,0.9710720927232193
99,2.0,4.0,3.0,0.04512156636782727
100,2.0,5.0,0.0,0.3756788905384578
101,2.0,5.0,1.0,0.1986521269709547
102,2.0,5.0,2.0,0.7854722655784541
103,2.0,5.0,3.0,0.21238519350593688
104,2.0,6.0,0.0,0.6699821480144017
105,2.0,6.0,1.0,0.31127497068562676
106,2.0,6.0,2.0,0.5851691900006335
107,2.0,6.0,3.0,0.5114634946524959
108,2.0,7.0,0.0,0.4679905577250443
109,2.0,7.0,1.0,0.30089181972407264
110,2.0,7.0,2.0,0.19076167673324562
111,2.0,7.0,3.0,0.3585996929104736
112,2.0,8.0,0.0,0.5710434573756591
113,2.0,8.0,1.0,0.19185196301384444
114,2.0,8.0,2.0,0.31009653508378066
115,2.0,8.0,3.0,0.5829581820842673
116,2.0,9.0,0.0,0.415300864273477
117,2.0,9.0,1.0,0.16594124076231864
118,2.0,9.0,2.0,0.9741601242232949
119,2.0,9.0,3.0,0.08238069292497846
120,3.0,0.0,0.0,0.29188152636038067
121,3.0,0.0,1.0,0.1520883708966132
122,3.0,0.0,2.0,0.26389433048754873
123,3.0,0.0,3.0,0.011416548276439342
124,3.0,1.0,0.0,0.49939544329164287
125,3.0,1.0,1.0,0.3309538929571776
126,3.0,1.0,2.0,0.7093312570988453
127,3.0,1.0,3.0,0.07869539301002426
128,3.0,2.0,0.0,0.14407523113416332
129,3.0,2.0,1.0,0.03321386758095102
130,3.0,2.0,2.0,0.5004509558674151
131,3.0,2.0,3.0,0.055033581468629356
132,3.0,3.0,0.0,0.3709650110221858
133,3.0,3.0,1.0,0.40818481022481823
134,3.0,3.0,2.0,0.9035586873903829
135,3.0,3.0,3.0,0.552407488342169
136,3.0,4.0,0.0,0.4916215583926089
137,3.0,4.0,1.0,0.009210626669598376
138,3.0,4.0,2.0,0.5305008268126308
139,3.0,4.0,3.0,0.07216625747522865
140,3.0,5.0,0.0,0.18940656314306636
141,3.0,5.0,1.0,0.33871060535355113
142,3.0,5.0,2.0,0.047303485561208225
143,3.0,5.0,3.0,0.32091310165279374
144,3.0,6.0,0.0,0.14967221260344132
145,3.0,6.0,1.0,0.18175987934002613
146,3.0,6.0,2.0,0.9386169371997197
147,3.0,6.0,3.0,0.16833106036501966
148,3.0,7.0,0.0,0.09287098407613481
149,3.0,7.0,1.0,0.3497852933050467
150,3.0,7.0,2.0,0.9390154750936373
151,3.0,7.0,3.0,0.29702321230652373
152,3.0,8.0,0.0,0.20973238194763155
153,3.0,8.0,1.0,0.24321293967959612
154,3.0,8.0,2.0,0.6379791823795121
155,3.0,8.0,3.0,0.046820334225389004
156,3.0,9.0,0.0,0.6243019243094281
157,3.0,9.0,1.0,0.07131282862393817
158,3.0,9.0,2.0,0.25979834522489353
159,3.0,9.0,3.0,0.09150106658072765
160,4.0,0.0,0.0,0.19727240245649114
161,4.0,0.0,1.0,0.09076967855297013
162,4.0,0.0,2.0,0.5744328675540392
163,4.0,0.0,3.0,0.027455587948508553
164,4.0,1.0,0.0,0.4705863445458185
165,4.0,1.0,1.0,0.3160809208748163
166,4.0,1.0,2.0,0.22814085909037485
167,4.0,1.0,3.0,0.5417041915340883
168,4.0,2.0,0.0,0.2799223667797719
169,4.0,2.0,1.0,0.13356649156590272
170,4.0,2.0,2.0,0.47834335819514484
171,4.0,2.0,3.0,0.0007027353869659692
172,4.0,3.0,0.0,0.3220496402148427
173,4.0,3.0,1.0,0.3581350140602608
174,4.0,3.0,2.0,0.7396721761336646
175,4.0,3.0,3.0,0.4828453341109036
176,4.0,4.0,0.0,0.5254466710651959
177,4.0,4.0,1.0,0.07836537518578623
178,4.0,4.0,2.0,0.2697755187708708
179,4.0,4.0,3.0,0.008097000395628662
180,4.0,5.0,0.0,0.6450546992027628
181,4.0,5.0,1.0,0.41037975150844375
182,4.0,5.0,2.0,0.8003588501786165
183,4.0,5.0,3.0,0.3400117571013368
184,4.0,6.0,0.0,0.046283308889378816
185,4.0,6.0,1.0,0.07597322228053427
186,4.0,6.0,2.0,0.3539530842672094
187,4.0,6.0,3.0,0.5110095986880481
