,round,tube,sp_div_H,tot_pop_0,tot_final_pop,tot_auc,mean_fc,deg_score,nut_score
0,0.0,0.0,0.6565774831512129,32.0,599.0,27898.0,18.42306518063684,0.6233056029151838,0.881989270753654
1,0.0,1.0,0.6583935463965387,32.0,599.0,28772.0,18.447356647141817,0.6155792659683768,0.890918238707263
2,0.0,2.0,0.634517656778705,32.0,584.0,29718.0,17.712539481723056,0.6225342993742835,0.8826225573628099
3,0.0,3.0,0.6536081606910945,32.0,605.0,29422.0,18.568814101124012,0.620375485704691,0.8837821732577925
4,0.0,4.0,0.6305482191486219,32.0,557.0,25913.0,16.856264740864766,0.623567420929097,0.9046754304497336
5,0.0,5.0,0.6352647362762334,32.0,558.0,26375.0,16.931163449497987,0.6196141330251427,0.893807196323974
6,0.0,6.0,0.6299244948964686,32.0,614.0,31228.0,18.574887149936252,0.6233015326963458,0.888599382054419
7,0.0,7.0,0.6584363421769344,32.0,607.0,29940.0,18.694320051885484,0.6210838551744784,0.8853053662889487
8,0.0,8.0,0.6431894722450864,32.0,603.0,28670.0,18.38257948410011,0.6134518683401692,0.8837312780007389
9,0.0,9.0,0.6387553649159908,32.0,612.0,30715.0,18.607275731457108,0.6200153951426766,0.8844765828744517
10,1.0,0.0,0.649618298966742,34.0,577.0,29612.0,18.793317756755926,0.6240465285801826,0.9061248340492547
11,1.0,1.0,0.6324983395894359,31.0,586.0,26929.0,18.71248803802849,0.6170937354291957,0.8838520906023412
12,1.0,2.0,0.643682353050101,26.0,529.0,23625.0,22.131555569874727,0.618838945428099,0.9086030530622669
13,1.0,3.0,0.6312094107808953,19.0,580.0,22572.0,32.86423793987865,0.6072683358706931,0.9239896217789672
14,1.0,4.0,0.609661947010932,26.0,566.0,25911.0,22.518774248995815,0.5996819884728546,0.9952153773434045
15,1.0,5.0,0.6295012608763815,26.0,544.0,25869.0,20.26665121617368,0.622694378216118,0.8838567299400311
16,1.0,6.0,0.6278452104537974,26.0,554.0,24568.0,24.233303911154664,0.6051954180218642,0.9801885395330392
17,1.0,7.0,0.6423036762943908,24.0,582.0,26110.0,24.406226972680358,0.6124369957481252,0.9313367016097558
18,1.0,8.0,0.6504870093850912,32.0,600.0,28695.0,18.54998776667525,0.6208877241397339,0.8742441667561319
19,1.0,9.0,0.6118994454686733,26.0,571.0,24596.0,21.833313738446144,0.6076172857122405,0.9566348320344094
20,2.0,0.0,0.6607436585226041,23.0,549.0,25632.0,23.48074880327252,0.6245176611281988,0.8813036678032149
21,2.0,1.0,0.6456942503695245,26.0,553.0,25955.0,23.2142611224796,0.6195288714018614,0.8847767807099519
22,2.0,2.0,0.663832370176733,29.0,635.0,29322.0,21.89897386007773,0.6082514693643246,0.8825450425960139
