,round,tube,tox,amount
0,0,0,0,700
1,0.0,0.0,1.0,152.63558773509573
2,0,0,2,0
3,0,0,3,0
4,0.0,0.0,4.0,105.01057136725102
5,0.0,0.0,5.0,201.95580538244369
6,0.0,0.0,6.0,255.49964976504182
7,0,0,7,0
8,0,0,8,0
9,0.0,0.0,9.0,254.77915141571455
10,0,1,0,700
11,0.0,1.0,1.0,150.4590392509447
12,0,1,2,0
13,0,1,3,0
14,0.0,1.0,4.0,88.5480363879325
15,0.0,1.0,5.0,199.97537458982103
16,0.0,1.0,6.0,267.8738844004846
17,0,1,7,0
18,0,1,8,0
19,0.0,1.0,9.0,303.1391232835177
20,0,2,0,700
21,0.0,2.0,1.0,140.2799624786372
22,0,2,2,0
23,0,2,3,0
24,0.0,2.0,4.0,80.75040911304336
25,0.0,2.0,5.0,190.71348254967756
26,0.0,2.0,6.0,256.11429193094455
27,0,2,7,0
28,0,2,8,0
29,0.0,2.0,9.0,282.8223485281564
30,0,3,0,700
31,0.0,3.0,1.0,148.8093137162652
32,0,3,2,0
33,0,3,3,0
34,0.0,3.0,4.0,89.06963961428096
35,0.0,3.0,5.0,198.47429741554933
36,0.0,3.0,6.0,258.54500453887266
37,0,3,7,0
38,0,3,8,0
39,0.0,3.0,9.0,282.5724746468167
40,0,4,0,700
41,0.0,4.0,1.0,157.10001631293787
42,0,4,2,0
43,0,4,3,0
44,0.0,4.0,4.0,99.72558808293236
45,0.0,4.0,5.0,206.01796705327362
46,0.0,4.0,6.0,249.1306805725716
47,0,4,7,0
48,0,4,8,0
49,0.0,4.0,9.0,255.34717048742175
50,0,5,0,700
51,0.0,5.0,1.0,146.824751360541
52,0,5,2,0
53,0,5,3,0
54,0.0,5.0,4.0,92.95720543672478
55,0.0,5.0,5.0,196.66855385974344
56,0.0,5.0,6.0,263.5328222036483
57,0,5,7,0
58,0,5,8,0
59,0.0,5.0,9.0,284.0265481976206
60,0,6,0,700
61,0.0,6.0,1.0,140.37800497474345
62,0,6,2,0
63,0,6,3,0
64,0.0,6.0,4.0,96.5213543762156
65,0.0,6.0,5.0,190.80269093611506
66,0.0,6.0,6.0,261.3073272317344
67,0,6,7,0
68,0,6,8,0
