,round,tube,nut,amount
0,0.0,0.0,0.0,0.15357577850017712
1,0.0,0.0,1.0,0.8077258376937839
2,0.0,0.0,2.0,0.9491616711638378
3,0.0,0.0,3.0,0.05485529647699522
4,0.0,1.0,0.0,0.4362194186825449
5,0.0,1.0,1.0,665.4629774617719
6,0.0,1.0,2.0,0.9847154500823345
7,0.0,1.0,3.0,0.03867468261957885
8,0.0,2.0,0.0,0.3834667370615007
9,0.0,2.0,1.0,0.3301458181813821
10,0.0,2.0,2.0,0.1594650227048059
11,0.0,2.0,3.0,0.04206125374846209
12,0.0,3.0,0.0,0.05307327621260305
13,0.0,3.0,1.0,0.5969931476884661
14,0.0,3.0,2.0,0.9290131438752653
15,0.0,3.0,3.0,0.015251633129001796
16,0.0,4.0,0.0,0.12505999002381157
17,0.0,4.0,1.0,0.7936287490789999
18,0.0,4.0,2.0,0.6949487850616174
19,0.0,4.0,3.0,0.06192225511203389
20,0.0,5.0,0.0,0.17142497866263884
21,0.0,5.0,1.0,0.33498513947971276
22,0.0,5.0,2.0,0.4462692236245296
23,0.0,5.0,3.0,0.10674642509619958
24,0.0,6.0,0.0,0.1314466355498869
25,0.0,6.0,1.0,0.6277370725903073
26,0.0,6.0,2.0,0.7738702607913706
27,0.0,6.0,3.0,0.041522353971826687
28,0.0,7.0,0.0,0.2900423792418998
29,0.0,7.0,1.0,0.8275071692948681
30,0.0,7.0,2.0,0.2530868085930651
31,0.0,7.0,3.0,0.05629637689170952
32,0.0,8.0,0.0,0.12087417586339666
33,0.0,8.0,1.0,0.7426239246475714
34,0.0,8.0,2.0,0.7077922782677564
35,0.0,8.0,3.0,0.037075495304634665
36,0.0,9.0,0.0,0.13762877054066125
37,0.0,9.0,1.0,0.7353322373751919
38,0.0,9.0,2.0,0.9450444956734498
39,0.0,9.0,3.0,0.09445446481257572
40,1.0,0.0,0.0,0.4150138747886464
41,1.0,0.0,1.0,195.19324552052456
42,1.0,0.0,2.0,0.8733878003201563
43,1.0,0.0,3.0,0.05918149214497337
44,1.0,1.0,0.0,0.188682821056065
45,1.0,1.0,1.0,0.6516056785663121
46,1.0,1.0,2.0,0.9528427633604122
47,1.0,1.0,3.0,0.017885883944990744
48,1.0,2.0,0.0,0.35159194711834785
49,1.0,2.0,1.0,0.8618424378506038
50,1.0,2.0,2.0,0.7961917937593477
51,1.0,2.0,3.0,0.07518880156685612
52,1.0,3.0,0.0,0.22653773511907566
53,1.0,3.0,1.0,0.7308252495661073
54,1.0,3.0,2.0,0.7770988932092211
55,1.0,3.0,3.0,0.055346314599895294
56,1.0,4.0,0.0,0.35499142694108693
57,1.0,4.0,1.0,0.3789221202250032
58,1.0,4.0,2.0,0.8964248589753336
59,1.0,4.0,3.0,0.5266098048019765
60,1.0,5.0,0.0,0.8426880159360604
61,1.0,5.0,1.0,0.16334783385797613
62,1.0,5.0,2.0,0.17409565777519553
63,1.0,5.0,3.0,0.03070717558721081
64,1.0,6.0,0.0,0.1742945677611223
65,1.0,6.0,1.0,0.49540742552369776
66,1.0,6.0,2.0,0.7571088002815307
67,1.0,6.0,3.0,0.10999300132491197
68,1.0,7.0,0.0,0.22770436564547836
69,1.0,7.0,1.0,0.596786078998867
70,1.0,7.0,2.0,43.055537639048396
71,1.0,7.0,3.0,0.04095455214905171
72,1.0,8.0,0.0,0.44322813709944275
73,1.0,8.0,1.0,33.230848017302336
74,1.0,8.0,2.0,0.7859705869753595
75,1.0,8.0,3.0,0.08197038026311043
76,1.0,9.0,0.0,0.43108396213572653
77,1.0,9.0,1.0,27.04452415613697
78,1.0,9.0,2.0,0.33134868540807183
79,1.0,9.0,3.0,0.03817953713326938
80,2.0,0.0,0.0,0.6585936284446142
81,2.0,0.0,1.0,0.27945723347493345
82,2.0,0.0,2.0,0.7656861058276294
83,2.0,0.0,3.0,0.08619640433459985
84,2.0,1.0,0.0,0.7424357835672413
85,2.0,1.0,1.0,0.10664659462025333
86,2.0,1.0,2.0,1677.2417235059372
87,2.0,1.0,3.0,0.09108998253897171
88,2.0,2.0,0.0,0.3629211054856062
89,2.0,2.0,1.0,0.33981108841397667
90,2.0,2.0,2.0,0.7727737657299438
91,2.0,2.0,3.0,0.03281689768096184
92,2.0,3.0,0.0,0.056986607188164506
93,2.0,3.0,1.0,0.48113246803005116
94,2.0,3.0,2.0,0.7437183126341982
95,2.0,3.0,3.0,0.060100179538392445
96,2.0,4.0,0.0,0.4004666849336378
97,2.0,4.0,1.0,0.40413266741963616
98,2.0,4.0,2.0,0.9312097062361486
99,2.0,4.0,3.0,0.08093805340309293
100,2.0,5.0,0.0,0.7392736412035765
101,2.0,5.0,1.0,0.20495078183475557
102,2.0,5.0,2.0,0.8040157037922517
103,2.0,5.0,3.0,0.04005741946171171
104,2.0,6.0,0.0,0.6968380405509939
105,2.0,6.0,1.0,0.2761569301268329
106,2.0,6.0,2.0,0.844199929322027
107,2.0,6.0,3.0,0.08963131690500237
108,2.0,7.0,0.0,0.7884584808431891
109,2.0,7.0,1.0,0.1649650565837616
110,2.0,7.0,2.0,0.7277431663442318
111,2.0,7.0,3.0,0.021889426234124265
112,2.0,8.0,0.0,0.3314283022771425
113,2.0,8.0,1.0,0.40223901181683885
114,2.0,8.0,2.0,0.5299818798015115
115,2.0,8.0,3.0,0.04691550480996272
116,2.0,9.0,0.0,0.2460623037981221
117,2.0,9.0,1.0,0.29773785020356014
118,2.0,9.0,2.0,0.8403769046130132
119,2.0,9.0,3.0,0.10181937031329147
120,3.0,0.0,0.0,0.5035180441949565
121,3.0,0.0,1.0,0.07348537041915681
122,3.0,0.0,2.0,0.9709017782203158
123,3.0,0.0,3.0,0.07528677013208988
124,3.0,1.0,0.0,0.7192887192687282
125,3.0,1.0,1.0,0.24067359633524138
126,3.0,1.0,2.0,1677.5086195470788
127,3.0,1.0,3.0,0.10622732139879298
128,3.0,2.0,0.0,0.194768360288196
129,3.0,2.0,1.0,0.11732417316190002
130,3.0,2.0,2.0,0.28617863982545155
131,3.0,2.0,3.0,0.09833661001191374
132,3.0,3.0,0.0,0.7475479202118419
133,3.0,3.0,1.0,0.3819115433605502
134,3.0,3.0,2.0,4.314771317504422
135,3.0,3.0,3.0,0.08786138234233398
136,3.0,4.0,0.0,0.15172157890582083
137,3.0,4.0,1.0,0.0772913909227052
138,3.0,4.0,2.0,0.876274657151769
139,3.0,4.0,3.0,0.047925381614232876
140,3.0,5.0,0.0,0.27465226535684395
141,3.0,5.0,1.0,0.29858436796306986
142,3.0,5.0,2.0,0.9519145344052646
143,3.0,5.0,3.0,0.09740582305250589
144,3.0,6.0,0.0,0.7970956631608678
145,3.0,6.0,1.0,0.1130639837492815
146,3.0,6.0,2.0,0.8472522415088943
147,3.0,6.0,3.0,0.024848540970505262
148,3.0,7.0,0.0,0.7116631508379551
149,3.0,7.0,1.0,0.2336881168401665
150,3.0,7.0,2.0,0.8263925190686048
151,3.0,7.0,3.0,0.019064865335528078
152,3.0,8.0,0.0,0.30349623531735626
153,3.0,8.0,1.0,0.20007132442306236
154,3.0,8.0,2.0,0.40798284403596674
155,3.0,8.0,3.0,0.09545570643317591
156,3.0,9.0,0.0,45.75095595397943
157,3.0,9.0,1.0,0.42880794431357094
158,3.0,9.0,2.0,0.7080149530636268
159,3.0,9.0,3.0,0.04080021367184905
160,4.0,0.0,0.0,0.7006079372639671
161,4.0,0.0,1.0,0.30385385952334576
162,4.0,0.0,2.0,0.9542081828911517
163,4.0,0.0,3.0,0.048909376877507404
164,4.0,1.0,0.0,0.675608129825553
165,4.0,1.0,1.0,0.187906920449586
166,4.0,1.0,2.0,1677.5015737062865
167,4.0,1.0,3.0,0.05927923555148612
168,4.0,2.0,0.0,45.74838389923777
169,4.0,2.0,1.0,0.42617623952560346
170,4.0,2.0,2.0,1684.7719793060141
171,4.0,2.0,3.0,0.055158301677262656
172,4.0,3.0,0.0,0.8185698854847274
173,4.0,3.0,1.0,0.38739357959665566
174,4.0,3.0,2.0,0.8199327980417208
175,4.0,3.0,3.0,0.057615310680190546
176,4.0,4.0,0.0,0.5678147599911786
177,4.0,4.0,1.0,0.3674081311280971
178,4.0,4.0,2.0,1677.4841862366634
179,4.0,4.0,3.0,0.07343946880133982
180,4.0,5.0,0.0,0.3011828258945277
181,4.0,5.0,1.0,0.30983709038172164
182,4.0,5.0,2.0,0.3375585463834001
183,4.0,5.0,3.0,0.0750585129048269
184,4.0,6.0,0.0,0.7887071895548097
185,4.0,6.0,1.0,0.08154721922054436
186,4.0,6.0,2.0,0.6580462659100659
187,4.0,6.0,3.0,0.034821980463213095
188,4.0,7.0,0.0,0.6141627314214427
189,4.0,7.0,1.0,0.16884338603444737
190,4.0,7.0,2.0,0.7617137685570281
191,4.0,7.0,3.0,0.07588771259905797
192,4.0,8.0,0.0,0.4216587438422974
193,4.0,8.0,1.0,0.16769628311031815
194,4.0,8.0,2.0,0.8615563122328154
195,4.0,8.0,3.0,0.09910621436754402
196,4.0,9.0,0.0,0.7854591075776174
197,4.0,9.0,1.0,0.376344074900818
198,4.0,9.0,2.0,0.9768496838133118
199,4.0,9.0,3.0,0.07450342710894398
200,5.0,0.0,0.0,0.4680922624893227
201,5.0,0.0,1.0,0.3331860623164409
202,5.0,0.0,2.0,0.7222431837576233
203,5.0,0.0,3.0,0.043421852390437096
204,5.0,1.0,0.0,0.3343003504092401
