,round,tube,sp,pop_0,final_pop,st_div_H,auc,fc
0,0.0,0.0,0.0,8.0,13.0,-0.0,1658.0,1.624997968752539
1,0.0,0.0,1.0,7.0,86.0,-0.0,6514.0,12.28569673471895
2,0.0,0.0,4.0,15.0,12.0,-0.0,1445.0,0.7999994666670223
3,0.0,0.0,8.0,44.0,503.0,-0.0,57193.0,11.431815583678276
4,0.0,0.0,13.0,19.0,396.0,-0.0,39368.0,20.84209429363458
5,0.0,1.0,0.0,8.0,16.0,-0.0,1776.0,1.9999975000031252
6,0.0,1.0,1.0,7.0,113.0,-0.0,8260.0,16.142834081665598
7,0.0,1.0,4.0,15.0,14.0,-0.0,1505.0,0.9333327111115259
8,0.0,1.0,8.0,44.0,480.0,-0.0,56864.0,10.909088429752629
9,0.0,1.0,13.0,19.0,402.0,-0.0,38567.0,21.157883601113895
10,0.0,2.0,0.0,8.0,20.0,-0.0,2266.0,2.4999968750039065
11,0.0,2.0,1.0,7.0,108.0,-0.0,7836.0,15.428549387786589
12,0.0,2.0,4.0,15.0,18.0,-0.0,1727.0,1.1999992000005333
13,0.0,2.0,8.0,44.0,505.0,-0.0,55834.0,11.477270118802245
14,0.0,2.0,13.0,19.0,399.0,-0.0,40448.0,20.999988947374238
15,0.0,3.0,0.0,8.0,15.0,-0.0,1967.0,1.8749976562529298
16,0.0,3.0,1.0,7.0,116.0,-0.0,9561.0,16.571404897993006
17,0.0,3.0,4.0,15.0,14.0,-0.0,1528.0,0.9333327111115259
18,0.0,3.0,8.0,44.0,482.0,-0.0,61182.0,10.954542964876598
19,0.0,3.0,13.0,19.0,380.0,-0.0,37077.0,19.99998947368975
20,0.0,4.0,0.0,8.0,21.0,-0.0,2093.0,2.624996718754102
21,0.0,4.0,1.0,7.0,120.0,-0.0,8921.0,17.14283265309621
22,0.0,4.0,4.0,15.0,15.0,-0.0,1437.0,0.9999993333337778
23,0.0,4.0,8.0,44.0,454.0,-0.0,55166.0,10.318179473141027
24,0.0,4.0,13.0,19.0,409.0,-0.0,39409.0,21.526304459839757
25,0.0,5.0,0.0,8.0,19.0,-0.0,1730.0,2.374997031253711
26,0.0,5.0,1.0,7.0,78.0,-0.0,5690.0,11.142841224512537
27,0.0,5.0,4.0,15.0,13.0,-0.0,1494.0,0.8666660888892741
28,0.0,5.0,8.0,44.0,459.0,-0.0,54849.0,10.431815810950951
29,0.0,5.0,13.0,19.0,410.0,-0.0,40724.0,21.57893601108631
30,0.0,6.0,0.0,8.0,21.0,-0.0,2277.0,2.624996718754102
31,0.0,6.0,1.0,7.0,87.0,-0.0,6412.0,12.428553673494752
32,0.0,6.0,4.0,15.0,14.0,-0.0,1631.0,0.9333327111115259
33,0.0,6.0,8.0,44.0,446.0,-0.0,52075.0,10.136361332645151
34,0.0,6.0,13.0,19.0,448.0,-0.0,44664.0,23.578934958455285
35,0.0,7.0,0.0,8.0,9.0,-0.0,1145.0,1.124998593751758
36,0.0,7.0,1.0,7.0,75.0,-0.0,5140.0,10.714270408185131
37,0.0,7.0,4.0,15.0,13.0,-0.0,1305.0,0.8666660888892741
38,0.0,7.0,8.0,44.0,539.0,-0.0,63917.0,12.249997215909723
39,0.0,7.0,13.0,19.0,440.0,-0.0,41848.0,23.15788254848287
40,0.0,8.0,0.0,8.0,13.0,-0.0,1757.0,1.624997968752539
41,0.0,8.0,1.0,7.0,119.0,-0.0,8297.0,16.99997571432041
42,0.0,8.0,4.0,15.0,13.0,-0.0,1398.0,0.8666660888892741
43,0.0,8.0,8.0,44.0,505.0,-0.0,57485.0,11.477270118802245
44,0.0,8.0,13.0,19.0,384.0,-0.0,40065.0,20.210515678675957
45,0.0,9.0,0.0,8.0,39.0,-0.0,3494.0,4.874993906257617
46,0.0,9.0,1.0,7.0,123.0,-0.0,8913.0,17.571403469423615
47,0.0,9.0,4.0,15.0,18.0,-0.0,1579.0,1.1999992000005333
48,0.0,9.0,8.0,44.0,466.0,-0.0,51567.0,10.590906683884844
49,0.0,9.0,13.0,19.0,485.0,-0.0,47202.0,25.52630235457771
50,1.0,0.0,4.0,1.0,0.0,,1.0,0.0
51,1.0,0.0,8.0,29.0,447.0,-0.0,55658.0,15.413787788349039
