,round,tube,tox,amount
0,0.0,0.0,0.0,532.435415139208
1,0.0,0.0,1.0,391.9877016700262
2,0.0,0.0,2.0,577.1613397592517
3,0.0,0.0,3.0,529.1815596869403
4,0.0,0.0,4.0,382.1173059767531
5,0.0,0.0,5.0,665.2760770108667
6,0.0,0.0,6.0,656.0833094977935
7,0.0,0.0,7.0,625.1937611302754
8,0.0,0.0,8.0,0.0
9,0.0,0.0,9.0,0.0
10,0.0,1.0,0.0,508.7480276388754
11,0.0,1.0,1.0,351.5521392744076
12,0.0,1.0,2.0,576.5856576175781
13,0.0,1.0,3.0,536.8698000458226
14,0.0,1.0,4.0,369.455894334686
15,0.0,1.0,5.0,670.1387693647298
16,0.0,1.0,6.0,654.164481595394
17,0.0,1.0,7.0,611.375917289096
18,0.0,1.0,8.0,0.0
19,0.0,1.0,9.0,0.0
20,0.0,2.0,0.0,539.1598980125335
21,0.0,2.0,1.0,410.6266718054091
22,0.0,2.0,2.0,572.74352809563
23,0.0,2.0,3.0,537.3293728157821
24,0.0,2.0,4.0,375.8454824043166
25,0.0,2.0,5.0,668.5454083729213
26,0.0,2.0,6.0,656.4912263734814
27,0.0,2.0,7.0,629.2198694311401
28,0.0,2.0,8.0,0.0
29,0.0,2.0,9.0,0.0
30,0.0,3.0,0.0,543.2891238311739
31,0.0,3.0,1.0,414.0813699107457
32,0.0,3.0,2.0,572.479387282882
33,0.0,3.0,3.0,534.0039136335675
34,0.0,3.0,4.0,379.0052581624643
35,0.0,3.0,5.0,666.2708973463594
36,0.0,3.0,6.0,657.4031730663884
37,0.0,3.0,7.0,631.1920275625811
38,0.0,3.0,8.0,0.0
39,0.0,3.0,9.0,0.0
40,0.0,4.0,0.0,517.4256334192315
41,0.0,4.0,1.0,364.88278179963913
42,0.0,4.0,2.0,573.92447233954
43,0.0,4.0,3.0,521.0276679183274
44,0.0,4.0,4.0,367.80711987772764
45,0.0,4.0,5.0,664.308504616756
46,0.0,4.0,6.0,653.1650177281088
47,0.0,4.0,7.0,617.7250555066723
48,0.0,4.0,8.0,0.0
49,0.0,4.0,9.0,0.0
50,0.0,5.0,0.0,508.33042800494195
51,0.0,5.0,1.0,342.54216809985195
52,0.0,5.0,2.0,560.5711507203242
53,0.0,5.0,3.0,523.5283433467348
54,0.0,5.0,4.0,344.1231678484854
55,0.0,5.0,5.0,664.4093394015382
56,0.0,5.0,6.0,654.0497878530961
57,0.0,5.0,7.0,611.1934535209132
58,0.0,5.0,8.0,0.0
59,0.0,5.0,9.0,0.0
60,0.0,6.0,0.0,513.6242082135383
61,0.0,6.0,1.0,347.4368740095585
62,0.0,6.0,2.0,574.5945985870186
63,0.0,6.0,3.0,507.61378869773176
64,0.0,6.0,4.0,370.4290536532359
65,0.0,6.0,5.0,658.3024579067131
66,0.0,6.0,6.0,653.2509459192611
67,0.0,6.0,7.0,615.209735845815
68,0.0,6.0,8.0,0.0
69,0.0,6.0,9.0,0.0
70,0.0,7.0,0.0,529.1234861152926
71,0.0,7.0,1.0,394.42653934578397
72,0.0,7.0,2.0,571.7573579958944
73,0.0,7.0,3.0,541.6009625436077
74,0.0,7.0,4.0,368.89238921691543
75,0.0,7.0,5.0,671.1174000445649
76,0.0,7.0,6.0,655.6077116990505
77,0.0,7.0,7.0,623.4185146364493
78,0.0,7.0,8.0,0.0
79,0.0,7.0,9.0,0.0
80,0.0,8.0,0.0,547.3657833036182
81,0.0,8.0,1.0,419.48016921618466
82,0.0,8.0,2.0,581.7256601354679
83,0.0,8.0,3.0,528.6398729633221
84,0.0,8.0,4.0,396.90959345338064
85,0.0,8.0,5.0,663.9134117752674
86,0.0,8.0,6.0,657.4786977176929
87,0.0,8.0,7.0,633.7626911118625
88,0.0,8.0,8.0,0.0
89,0.0,8.0,9.0,0.0
90,0.0,9.0,0.0,527.0461711131235
91,0.0,9.0,1.0,371.71082085167444
92,0.0,9.0,2.0,568.7463719050311
93,0.0,9.0,3.0,519.236708862285
94,0.0,9.0,4.0,369.0457898919515
95,0.0,9.0,5.0,660.4043179214353
96,0.0,9.0,6.0,656.5401159426834
97,0.0,9.0,7.0,621.3745448949312
98,0.0,9.0,8.0,0.0
99,0.0,9.0,9.0,0.0
100,1.0,0.0,0.0,565.8683638986089
101,1.0,0.0,1.0,512.4805457358777
102,1.0,0.0,2.0,586.2169781826126
103,1.0,0.0,3.0,610.8562553295521
104,1.0,0.0,4.0,395.8977341667843
105,1.0,0.0,5.0,699.8890744343706
106,1.0,0.0,6.0,657.7422195400194
107,1.0,0.0,7.0,645.4899897772434
108,1.0,0.0,8.0,0.0
109,1.0,0.0,9.0,0.0
110,1.0,1.0,0.0,537.3802681878961
111,1.0,1.0,1.0,452.6658984912999
112,1.0,1.0,2.0,579.6767343650488
113,1.0,1.0,3.0,609.0217428469499
114,1.0,1.0,4.0,374.786803858315
115,1.0,1.0,5.0,699.9073031283509
116,1.0,1.0,6.0,656.4518982296286
117,1.0,1.0,7.0,628.102476329278
118,1.0,1.0,8.0,0.0
119,1.0,1.0,9.0,0.0
120,1.0,2.0,0.0,522.9546862742312
121,1.0,2.0,1.0,423.8934885352621
122,1.0,2.0,2.0,579.4737891665454
123,1.0,2.0,3.0,595.6409248015947
124,1.0,2.0,4.0,366.49953359468714
125,1.0,2.0,5.0,696.75119841005
126,1.0,2.0,6.0,653.4422513901857
127,1.0,2.0,7.0,621.0794091164236
128,1.0,2.0,8.0,0.0
129,1.0,2.0,9.0,0.0
130,1.0,3.0,0.0,668.7278028436497
131,1.0,3.0,1.0,700.0
132,1.0,3.0,2.0,579.4038279975001
133,1.0,3.0,3.0,641.8162025500066
134,1.0,3.0,4.0,439.4763101392608
135,1.0,3.0,5.0,699.8827340190729
136,1.0,3.0,6.0,673.3386814082328
137,1.0,3.0,7.0,700.0
138,1.0,3.0,8.0,0.0
139,1.0,3.0,9.0,0.0
140,1.0,4.0,0.0,550.2198276379015
141,1.0,4.0,1.0,480.5155549893754
142,1.0,4.0,2.0,581.4527699352406
143,1.0,4.0,3.0,599.9888604186086
144,1.0,4.0,4.0,380.1814919760019
145,1.0,4.0,5.0,697.318358960303
146,1.0,4.0,6.0,655.2445305413921
147,1.0,4.0,7.0,637.2915479141105
148,1.0,4.0,8.0,0.0
149,1.0,4.0,9.0,0.0
150,1.0,5.0,0.0,511.0844571352396
151,1.0,5.0,1.0,404.7743781076115
152,1.0,5.0,2.0,577.1908079232453
153,1.0,5.0,3.0,601.0662976171608
154,1.0,5.0,4.0,356.41549705711606
155,1.0,5.0,5.0,699.9088248280221
156,1.0,5.0,6.0,652.4464482788637
157,1.0,5.0,7.0,614.1808953608244
158,1.0,5.0,8.0,0.0
159,1.0,5.0,9.0,0.0
160,1.0,6.0,0.0,520.3006422027771
161,1.0,6.0,1.0,429.0983190649301
162,1.0,6.0,2.0,587.113952670855
163,1.0,6.0,3.0,597.4052984714392
164,1.0,6.0,4.0,373.18837403209784
165,1.0,6.0,5.0,699.8925299607079
166,1.0,6.0,6.0,650.9517569232917
167,1.0,6.0,7.0,621.2516191715583
168,1.0,6.0,8.0,0.0
169,1.0,6.0,9.0,0.0
170,1.0,7.0,0.0,547.063800581463
171,1.0,7.0,1.0,464.5657088125381
172,1.0,7.0,2.0,587.9467899077921
173,1.0,7.0,3.0,578.3299487867237
174,1.0,7.0,4.0,391.4823425680563
175,1.0,7.0,5.0,688.9967295041547
176,1.0,7.0,6.0,654.007293455566
177,1.0,7.0,7.0,636.1926423861225
178,1.0,7.0,8.0,0.0
179,1.0,7.0,9.0,0.0
180,1.0,8.0,0.0,536.4205141058031
181,1.0,8.0,1.0,454.3107651597647
182,1.0,8.0,2.0,590.1306692041389
183,1.0,8.0,3.0,605.8289380758151
184,1.0,8.0,4.0,389.7852128089217
185,1.0,8.0,5.0,699.9002652673707
186,1.0,8.0,6.0,655.0012391161216
187,1.0,8.0,7.0,628.5806224462492
188,1.0,8.0,8.0,0.0
189,1.0,8.0,9.0,0.0
190,1.0,9.0,0.0,513.4738313658315
191,1.0,9.0,1.0,401.5283902629348
192,1.0,9.0,2.0,584.2700792488331
193,1.0,9.0,3.0,587.4703073117956
194,1.0,9.0,4.0,371.3835314415045
195,1.0,9.0,5.0,694.0230362096943
196,1.0,9.0,6.0,652.4219040960875
197,1.0,9.0,7.0,615.7396138838527
198,1.0,9.0,8.0,0.0
199,1.0,9.0,9.0,0.0
200,2.0,0.0,0.0,580.3715366691364
201,2.0,0.0,1.0,543.1028262887734
202,2.0,0.0,2.0,583.1644878500564
203,2.0,0.0,3.0,611.644008854962
204,2.0,0.0,4.0,395.66319657543863
205,2.0,0.0,5.0,699.8794370031185
206,2.0,0.0,6.0,658.3334139174899
207,2.0,0.0,7.0,654.3915772553686
208,2.0,0.0,8.0,0.0
209,2.0,0.0,9.0,0.0
210,2.0,1.0,0.0,531.0641137348945
211,2.0,1.0,1.0,444.23356081934674
212,2.0,1.0,2.0,583.222309086145
213,2.0,1.0,3.0,604.4837229849435
214,2.0,1.0,4.0,375.3590513546546
215,2.0,1.0,5.0,699.9012480317418
216,2.0,1.0,6.0,654.3090640746435
217,2.0,1.0,7.0,625.6512809879533
218,2.0,1.0,8.0,0.0
219,2.0,1.0,9.0,0.0
220,2.0,2.0,0.0,568.2653733515848
221,2.0,2.0,1.0,521.6168862931021
222,2.0,2.0,2.0,592.2174178314615
223,2.0,2.0,3.0,607.500221623305
224,2.0,2.0,4.0,404.189672236267
225,2.0,2.0,5.0,699.8789614719713
226,2.0,2.0,6.0,656.2730873416793
227,2.0,2.0,7.0,648.1458316424367
228,2.0,2.0,8.0,0.0
229,2.0,2.0,9.0,0.0
230,2.0,3.0,0.0,665.7011884662573
231,2.0,3.0,1.0,700.0
232,2.0,3.0,2.0,575.8010546254432
233,2.0,3.0,3.0,636.185005067688
234,2.0,3.0,4.0,428.00106794060395
235,2.0,3.0,5.0,699.8713846756904
236,2.0,3.0,6.0,670.75832129581
237,2.0,3.0,7.0,700.0
238,2.0,3.0,8.0,0.0
239,2.0,3.0,9.0,0.0
240,2.0,4.0,0.0,545.6246115058567
241,2.0,4.0,1.0,478.21877878771573
242,2.0,4.0,2.0,585.7934352543086
243,2.0,4.0,3.0,602.5012600956917
244,2.0,4.0,4.0,382.535588301118
245,2.0,4.0,5.0,699.8847946540448
246,2.0,4.0,6.0,653.6561570890689
247,2.0,4.0,7.0,635.5304403858315
248,2.0,4.0,8.0,0.0
249,2.0,4.0,9.0,0.0
250,2.0,5.0,0.0,552.0950902818444
251,2.0,5.0,1.0,488.7626751164674
252,2.0,5.0,2.0,584.6720588957293
253,2.0,5.0,3.0,605.5200464929668
254,2.0,5.0,4.0,384.9408933386529
255,2.0,5.0,5.0,699.8870137993988
256,2.0,5.0,6.0,655.1187144212361
257,2.0,5.0,7.0,638.5954444885972
258,2.0,5.0,8.0,0.0
259,2.0,5.0,9.0,0.0
260,2.0,6.0,0.0,666.9524145217157
261,2.0,6.0,1.0,700.0
262,2.0,6.0,2.0,587.9871510698517
263,2.0,6.0,3.0,638.5129861497638
