,round,tube,sp,pop_0,final_pop,st_div_H,auc,fc
0,0.0,0.0,1.0,15.0,473.0,-0.0,32381.0,31.533312311125126
1,0.0,0.0,2.0,12.0,45.0,0.46800704307532004,5660.0,3.7499968750026045
2,0.0,0.0,3.0,7.0,2.0,-0.0,166.0,0.2857138775516035
3,0.0,0.0,4.0,6.0,31.0,-0.0,2256.0,5.166658055569908
4,0.0,0.0,7.0,7.0,174.0,-0.0,15331.0,24.857107346989505
5,0.0,0.0,9.0,9.0,5.0,-0.0,762.0,0.5555549382722909
6,0.0,0.0,10.0,9.0,133.0,-0.0,13736.0,14.777761358042936
7,0.0,0.0,11.0,11.0,11.0,-0.0,1697.0,0.9999990909099173
8,0.0,0.0,12.0,8.0,10.0,-0.0,1281.0,1.2499984375019533
9,0.0,0.0,13.0,6.0,7.0,-0.0,425.0,1.1666647222254631
10,0.0,0.0,14.0,12.0,6.0,-0.0,661.0,0.49999958333368055
11,0.0,1.0,1.0,15.0,541.0,-0.0,36156.0,36.066642622238255
12,0.0,1.0,2.0,12.0,57.0,0.37248071845219055,6302.0,4.749996041669966
13,0.0,1.0,3.0,7.0,3.0,-0.0,291.0,0.4285708163274053
14,0.0,1.0,4.0,6.0,44.0,-0.0,3077.0,7.3333211111314816
15,0.0,1.0,7.0,7.0,86.0,-0.0,7773.0,12.28569673471895
16,0.0,1.0,9.0,9.0,12.0,-0.0,1073.0,1.333331851853498
17,0.0,1.0,10.0,9.0,234.0,-0.0,20100.0,25.99997111114321
18,0.0,1.0,11.0,11.0,21.0,-0.0,1871.0,1.9090891735552968
19,0.0,1.0,12.0,8.0,15.0,-0.0,1704.0,1.8749976562529298
20,0.0,1.0,13.0,6.0,25.0,-0.0,1457.0,4.166659722233796
21,0.0,1.0,14.0,12.0,8.0,-0.0,657.0,0.6666661111115741
22,0.0,2.0,1.0,15.0,539.0,-0.0,33858.0,35.93330937779375
23,0.0,2.0,2.0,12.0,57.0,0.46440586063607275,7588.0,4.749996041669966
24,0.0,2.0,3.0,7.0,6.0,-0.0,382.0,0.8571416326548106
25,0.0,2.0,4.0,6.0,32.0,-0.0,2488.0,5.33332444445926
26,0.0,2.0,7.0,7.0,54.0,-0.0,5125.0,7.7142746938932945
27,0.0,2.0,9.0,9.0,15.0,-0.0,1146.0,1.6666648148168726
