,round,tube,tox,amount
0,0.0,0.0,0.0,368.4098833384264
1,0.0,0.0,1.0,397.0838887707472
2,0.0,0.0,2.0,402.7519174358551
3,0.0,0.0,3.0,249.45141734945696
4,0.0,0.0,4.0,110.8304782974792
5,0.0,0.0,5.0,544.7797948744675
6,0.0,0.0,6.0,482.38353489295156
7,0.0,0.0,7.0,544.4034056458283
8,0.0,0.0,8.0,33.95667378474162
9,0.0,0.0,9.0,437.25883902048787
10,0.0,1.0,0.0,355.8973501186582
11,0.0,1.0,1.0,450.6048374758685
12,0.0,1.0,2.0,417.1385074998026
13,0.0,1.0,3.0,194.3425192232867
14,0.0,1.0,4.0,0.0
15,0.0,1.0,5.0,585.5317652591433
16,0.0,1.0,6.0,498.3191772001117
17,0.0,1.0,7.0,533.6250393335656
18,0.0,1.0,8.0,18.47038469450698
19,0.0,1.0,9.0,440.9526626587855
20,0.0,2.0,0.0,328.4934792449418
21,0.0,2.0,1.0,358.8135898202547
22,0.0,2.0,2.0,394.43929813470373
23,0.0,2.0,3.0,215.7879055598804
24,0.0,2.0,4.0,0.0
25,0.0,2.0,5.0,529.1860679728187
26,0.0,2.0,6.0,463.832967268238
27,0.0,2.0,7.0,498.3571864603723
28,0.0,2.0,8.0,0.0
29,0.0,2.0,9.0,344.6926601388269
30,0.0,3.0,0.0,377.74351706318424
31,0.0,3.0,1.0,374.8514170112215
32,0.0,3.0,2.0,410.7175372678693
33,0.0,3.0,3.0,322.64449159907764
34,0.0,3.0,4.0,56.3066873457007
35,0.0,3.0,5.0,547.227760295129
36,0.0,3.0,6.0,437.53581413354937
37,0.0,3.0,7.0,488.55115864764866
38,0.0,3.0,8.0,125.30827913422185
39,0.0,3.0,9.0,300.0022003553969
40,0.0,4.0,0.0,376.23681977361156
41,0.0,4.0,1.0,402.53988355210737
42,0.0,4.0,2.0,438.16841820301977
43,0.0,4.0,3.0,240.11548605170594
44,0.0,4.0,4.0,18.88609711708099
45,0.0,4.0,5.0,567.03405781011
46,0.0,4.0,6.0,427.85259109266156
47,0.0,4.0,7.0,500.8975992566798
48,0.0,4.0,8.0,40.101451617660345
49,0.0,4.0,9.0,383.8693169042969
50,0.0,5.0,0.0,327.76255689697746
51,0.0,5.0,1.0,351.41056566477005
52,0.0,5.0,2.0,391.0529523867253
53,0.0,5.0,3.0,286.9653519702229
54,0.0,5.0,4.0,0.0
55,0.0,5.0,5.0,547.8432216575515
56,0.0,5.0,6.0,472.4299260864682
57,0.0,5.0,7.0,463.4130242373973
58,0.0,5.0,8.0,83.82507359788127
59,0.0,5.0,9.0,260.1449185123289
60,0.0,6.0,0.0,375.2867628236515
61,0.0,6.0,1.0,411.90273594030475
62,0.0,6.0,2.0,428.0793999556754
63,0.0,6.0,3.0,261.1457865957215
64,0.0,6.0,4.0,0.0
65,0.0,6.0,5.0,557.8988273457005
66,0.0,6.0,6.0,495.53540052869755
67,0.0,6.0,7.0,508.8050915424973
68,0.0,6.0,8.0,60.874203604873436
69,0.0,6.0,9.0,298.66847047957117
70,0.0,7.0,0.0,392.51330772318454
71,0.0,7.0,1.0,407.6852077057914
72,0.0,7.0,2.0,440.2563813868801
73,0.0,7.0,3.0,250.34103778961887
74,0.0,7.0,4.0,7.146203499743425
75,0.0,7.0,5.0,554.6559457672251
76,0.0,7.0,6.0,475.7732576756435
77,0.0,7.0,7.0,496.0447192311205
78,0.0,7.0,8.0,43.29369277508052
79,0.0,7.0,9.0,323.7074762784364
80,0.0,8.0,0.0,370.7277588785205
81,0.0,8.0,1.0,373.0464766759254
82,0.0,8.0,2.0,395.73597207310047
83,0.0,8.0,3.0,275.8379735069508
84,0.0,8.0,4.0,56.473479485328674
85,0.0,8.0,5.0,514.0599730734291
86,0.0,8.0,6.0,423.06208728151836
87,0.0,8.0,7.0,507.8714988710256
88,0.0,8.0,8.0,54.638273197449834
89,0.0,8.0,9.0,372.7743102179566
90,0.0,9.0,0.0,367.1019517895101
91,0.0,9.0,1.0,379.7084375664739
92,0.0,9.0,2.0,429.72108034964106
93,0.0,9.0,3.0,186.77453026196423
94,0.0,9.0,4.0,0.0
95,0.0,9.0,5.0,535.0832520481705
96,0.0,9.0,6.0,483.26210383874803
97,0.0,9.0,7.0,524.751683607535
98,0.0,9.0,8.0,0.0
99,0.0,9.0,9.0,374.2984472753087
100,1.0,0.0,0.0,555.8194483976202
101,1.0,0.0,1.0,622.9191950553663
102,1.0,0.0,2.0,490.4401435458293
103,1.0,0.0,3.0,193.68546981797277
104,1.0,0.0,4.0,39.20864313162894
105,1.0,0.0,5.0,691.2296943779024
106,1.0,0.0,6.0,580.849234570803
107,1.0,0.0,7.0,697.0952856610996
108,1.0,0.0,8.0,56.814704974275614
109,1.0,0.0,9.0,699.815705562022
