,round,tube,sp,pop_0,final_pop,st_div_H,auc,fc
0,0.0,0.0,3.0,9.0,3.0,-0.0,455.0,0.3333329629633745
1,0.0,0.0,4.0,11.0,23.0,-0.0,2015.0,2.0909071900843728
2,0.0,0.0,7.0,8.0,73.0,-0.0,7469.0,9.124988593764257
3,0.0,0.0,8.0,12.0,397.0,-0.0,45190.0,33.083305763911866
4,0.0,0.0,9.0,8.0,5.0,-0.0,612.0,0.6249992187509766
5,0.0,0.0,10.0,10.0,202.0,-0.0,16212.0,20.199979800020202
6,0.0,0.0,11.0,17.0,12.0,-0.0,1390.0,0.7058819377165072
7,0.0,0.0,12.0,9.0,14.0,-0.0,1394.0,1.5555538271624143
8,0.0,0.0,13.0,11.0,34.0,-0.0,2511.0,3.09090628099429
9,0.0,0.0,14.0,15.0,4.0,-0.0,692.0,0.2666664888890074
10,0.0,1.0,3.0,9.0,1.0,-0.0,340.0,0.11111098765445816
11,0.0,1.0,4.0,11.0,32.0,-0.0,2591.0,2.9090882644652143
12,0.0,1.0,7.0,8.0,83.0,-0.0,7430.0,10.374987031266212
13,0.0,1.0,8.0,12.0,407.0,-0.0,39584.0,33.91663840280133
14,0.0,1.0,9.0,8.0,14.0,-0.0,1137.0,1.7499978125027345
15,0.0,1.0,10.0,10.0,233.0,-0.0,19698.0,23.2999767000233
16,0.0,1.0,11.0,17.0,14.0,-0.0,1702.0,0.8235289273359251
17,0.0,1.0,12.0,9.0,17.0,-0.0,1684.0,1.8888867901257889
18,0.0,1.0,13.0,11.0,36.0,-0.0,3452.0,3.272724297523366
19,0.0,1.0,14.0,15.0,6.0,-0.0,786.0,0.39999973333351113
20,0.0,2.0,3.0,9.0,2.0,-0.0,364.0,0.22222197530891633
21,0.0,2.0,4.0,11.0,30.0,-0.0,2540.0,2.727270247936138
22,0.0,2.0,7.0,8.0,107.0,-0.0,10480.0,13.374983281270898
23,0.0,2.0,8.0,12.0,490.0,-0.0,46776.0,40.833299305583914
24,0.0,2.0,9.0,8.0,9.0,-0.0,1064.0,1.124998593751758
25,0.0,2.0,10.0,10.0,165.0,-0.0,14568.0,16.4999835000165
26,0.0,2.0,11.0,17.0,19.0,-0.0,2275.0,1.1176464013844698
27,0.0,2.0,12.0,9.0,11.0,-0.0,1304.0,1.2222208641990397
28,0.0,2.0,13.0,11.0,19.0,-0.0,1804.0,1.727271157026221
29,0.0,2.0,14.0,15.0,3.0,-0.0,508.0,0.19999986666675557
30,0.0,3.0,3.0,9.0,5.0,-0.0,525.0,0.5555549382722909
31,0.0,3.0,4.0,11.0,35.0,-0.0,2693.0,3.181815289258828
32,0.0,3.0,7.0,8.0,160.0,-0.0,14192.0,19.999975000031252
33,0.0,3.0,8.0,12.0,400.0,-0.0,40392.0,33.333305555578704
34,0.0,3.0,9.0,8.0,6.0,-0.0,798.0,0.7499990625011719
35,0.0,3.0,10.0,10.0,184.0,-0.0,13177.0,18.3999816000184
36,0.0,3.0,11.0,17.0,20.0,-0.0,2331.0,1.1764698961941786
37,0.0,3.0,12.0,9.0,29.0,-0.0,2595.0,3.222218641979287
38,0.0,3.0,13.0,11.0,65.0,-0.0,4580.0,5.909085537194966
39,0.0,3.0,14.0,15.0,8.0,-0.0,943.0,0.5333329777780148
40,0.0,4.0,3.0,9.0,1.0,-0.0,294.0,0.11111098765445816
41,0.0,4.0,4.0,11.0,26.0,-0.0,2113.0,2.3636342148779868
42,0.0,4.0,7.0,8.0,97.0,-0.0,9089.0,12.124984843768946
43,0.0,4.0,8.0,12.0,431.0,-0.0,41585.0,35.916636736136056
44,0.0,4.0,9.0,8.0,7.0,-0.0,692.0,0.8749989062513672
45,0.0,4.0,10.0,10.0,210.0,-0.0,17905.0,20.999979000021
46,0.0,4.0,11.0,17.0,8.0,-0.0,1295.0,0.4705879584776715
47,0.0,4.0,12.0,9.0,18.0,-0.0,1717.0,1.999997777780247
48,0.0,4.0,13.0,11.0,27.0,-0.0,2431.0,2.4545432231425246
49,0.0,4.0,14.0,15.0,5.0,-0.0,687.0,0.3333331111112593
50,0.0,5.0,3.0,9.0,0.0,,180.0,0.0
51,0.0,5.0,4.0,11.0,33.0,-0.0,3043.0,2.999997272729752
52,0.0,5.0,7.0,8.0,15.0,-0.0,1321.0,1.8749976562529298
53,0.0,5.0,8.0,12.0,395.0,-0.0,38512.0,32.91663923613397
54,0.0,5.0,9.0,8.0,14.0,-0.0,1216.0,1.7499978125027345
55,0.0,5.0,10.0,10.0,234.0,-0.0,17866.0,23.3999766000234
56,0.0,5.0,11.0,17.0,15.0,-0.0,2162.0,0.882352422145634
57,0.0,5.0,12.0,9.0,27.0,-0.0,2503.0,2.9999966666703703
58,0.0,5.0,13.0,11.0,57.0,-0.0,3231.0,5.181813471078663
59,0.0,5.0,14.0,15.0,8.0,-0.0,815.0,0.5333329777780148
60,0.0,6.0,3.0,9.0,4.0,-0.0,374.0,0.44444395061783265
61,0.0,6.0,4.0,11.0,43.0,-0.0,3805.0,3.9090873553751315
62,0.0,6.0,7.0,8.0,94.0,-0.0,8812.0,11.74998531251836
63,0.0,6.0,8.0,12.0,403.0,-0.0,43509.0,33.58330534724554
64,0.0,6.0,9.0,8.0,7.0,-0.0,684.0,0.8749989062513672
65,0.0,6.0,10.0,10.0,190.0,-0.0,14631.0,18.999981000019
66,0.0,6.0,11.0,17.0,14.0,-0.0,1883.0,0.8235289273359251
67,0.0,6.0,12.0,9.0,13.0,-0.0,1153.0,1.4444428395079563
68,0.0,6.0,13.0,11.0,54.0,-0.0,3667.0,4.909086446285049
69,0.0,6.0,14.0,15.0,9.0,-0.0,1019.0,0.5999996000002666
70,0.0,7.0,3.0,9.0,3.0,-0.0,391.0,0.3333329629633745
71,0.0,7.0,4.0,11.0,18.0,-0.0,1662.0,1.636362148761683
72,0.0,7.0,7.0,8.0,70.0,-0.0,7287.0,8.749989062513672
73,0.0,7.0,8.0,12.0,468.0,-0.0,48324.0,38.99996750002708
74,0.0,7.0,9.0,8.0,4.0,-0.0,646.0,0.4999993750007813
75,0.0,7.0,10.0,10.0,200.0,-0.0,19384.0,19.99998000002
76,0.0,7.0,11.0,17.0,6.0,-0.0,1250.0,0.3529409688582536
77,0.0,7.0,12.0,9.0,9.0,-0.0,1237.0,0.9999988888901234
78,0.0,7.0,13.0,11.0,23.0,-0.0,2433.0,2.0909071900843728
79,0.0,7.0,14.0,15.0,5.0,-0.0,742.0,0.3333331111112593
80,0.0,8.0,3.0,9.0,2.0,-0.0,424.0,0.22222197530891633
81,0.0,8.0,4.0,11.0,33.0,-0.0,2910.0,2.999997272729752
82,0.0,8.0,7.0,8.0,65.0,-0.0,6259.0,8.124989843762696
83,0.0,8.0,8.0,12.0,470.0,-0.0,45768.0,39.16663402780498
84,0.0,8.0,9.0,8.0,4.0,-0.0,535.0,0.4999993750007813
85,0.0,8.0,10.0,10.0,179.0,-0.0,16707.0,17.8999821000179
86,0.0,8.0,11.0,17.0,5.0,-0.0,1477.0,0.29411747404854466
87,0.0,8.0,12.0,9.0,9.0,-0.0,1082.0,0.9999988888901234
88,0.0,8.0,13.0,11.0,15.0,-0.0,1457.0,1.363635123968069
89,0.0,8.0,14.0,15.0,6.0,-0.0,714.0,0.39999973333351113
90,0.0,9.0,3.0,9.0,2.0,-0.0,355.0,0.22222197530891633
91,0.0,9.0,4.0,11.0,25.0,-0.0,2191.0,2.2727252066134485
92,0.0,9.0,7.0,8.0,76.0,-0.0,6854.0,9.499988125014845
93,0.0,9.0,8.0,12.0,441.0,-0.0,40717.0,36.74996937502552
94,0.0,9.0,9.0,8.0,11.0,-0.0,1051.0,1.3749982812521484
95,0.0,9.0,10.0,10.0,197.0,-0.0,17046.0,19.6999803000197
96,0.0,9.0,11.0,17.0,17.0,-0.0,2384.0,0.9999994117650519
97,0.0,9.0,12.0,9.0,10.0,-0.0,1225.0,1.1111098765445817
98,0.0,9.0,13.0,11.0,33.0,-0.0,2628.0,2.999997272729752
99,0.0,9.0,14.0,15.0,7.0,-0.0,775.0,0.46666635555576297
100,1.0,0.0,3.0,1.0,0.0,,3.0,0.0
101,1.0,0.0,4.0,1.0,5.0,-0.0,565.0,4.999950000499995
102,1.0,0.0,7.0,4.0,25.0,-0.0,3470.0,6.249984375039063
103,1.0,0.0,8.0,20.0,366.0,-0.0,57029.0,18.299990850004576
104,1.0,0.0,10.0,9.0,123.0,-0.0,18170.0,13.666651481498354
105,1.0,0.0,13.0,3.0,8.0,-0.0,951.0,2.666657777807407
106,1.0,0.0,14.0,1.0,0.0,,6.0,0.0
107,1.0,1.0,4.0,2.0,0.0,,165.0,0.0
108,1.0,1.0,7.0,5.0,43.0,-0.0,5968.0,8.5999828000344
109,1.0,1.0,8.0,25.0,329.0,-0.0,57526.0,13.159994736002107
110,1.0,1.0,10.0,13.0,100.0,-0.0,16000.0,7.6923017751524805
111,1.0,1.0,12.0,1.0,0.0,,76.0,0.0
112,1.0,1.0,13.0,3.0,4.0,-0.0,293.0,1.3333288889037036
113,1.0,2.0,3.0,1.0,0.0,,40.0,0.0
114,1.0,2.0,4.0,2.0,2.0,-0.0,193.0,0.9999950000249999
115,1.0,2.0,7.0,5.0,24.0,-0.0,3571.0,4.7999904000192
116,1.0,2.0,8.0,35.0,348.0,-0.0,60889.0,9.942854302041628
117,1.0,2.0,10.0,6.0,106.0,-0.0,14643.0,17.666637222271298
118,1.0,2.0,11.0,1.0,0.0,,1.0,0.0
119,1.0,2.0,12.0,2.0,1.0,-0.0,491.0,0.49999750001249993
120,1.0,3.0,3.0,1.0,0.0,,4.0,0.0
121,1.0,3.0,7.0,6.0,66.0,-0.0,7315.0,10.999981666697224
122,1.0,3.0,8.0,23.0,404.0,-0.0,58215.0,17.565209754256628
123,1.0,3.0,10.0,7.0,122.0,-0.0,15970.0,17.428546530647814
124,1.0,3.0,11.0,2.0,2.0,-0.0,249.0,0.9999950000249999
125,1.0,3.0,13.0,4.0,11.0,-0.0,995.0,2.7499931250171876
126,1.0,3.0,14.0,3.0,0.0,,40.0,0.0
127,1.0,4.0,4.0,4.0,17.0,-0.0,1546.0,4.249989375026563
128,1.0,4.0,7.0,1.0,9.0,-0.0,1011.0,8.999910000899991
129,1.0,4.0,8.0,19.0,395.0,-0.0,59721.0,20.789462742388032
130,1.0,4.0,10.0,13.0,118.0,-0.0,18229.0,9.076916094679927
131,1.0,4.0,11.0,1.0,0.0,,111.0,0.0
132,1.0,4.0,12.0,1.0,1.0,-0.0,274.0,0.9999900000999989
133,1.0,4.0,13.0,2.0,0.0,,28.0,0.0
134,1.0,5.0,7.0,1.0,2.0,-0.0,229.0,1.9999800001999979
135,1.0,5.0,8.0,16.0,308.0,-0.0,49992.0,19.24998796875752
136,1.0,5.0,10.0,14.0,124.0,-0.0,19709.0,8.857136530616764
137,1.0,5.0,12.0,2.0,0.0,,110.0,0.0
138,1.0,5.0,13.0,4.0,14.0,-0.0,584.0,3.4999912500218753
139,1.0,6.0,4.0,2.0,6.0,-0.0,651.0,2.9999850000749997
140,1.0,6.0,7.0,1.0,0.0,,148.0,0.0
141,1.0,6.0,8.0,20.0,369.0,-0.0,59433.0,18.44999077500461
