,round,tube,nut,amount
0,0.0,0.0,0.0,0.06785503519997801
1,0.0,0.0,1.0,0.2779532107551894
2,0.0,0.0,2.0,0.9968959662730033
3,0.0,0.0,3.0,0.5499615113475883
4,0.0,1.0,0.0,0.09385305752864248
5,0.0,1.0,1.0,0.048628125392742305
6,0.0,1.0,2.0,0.0888541366896308
7,0.0,1.0,3.0,0.10838453794435365
8,0.0,2.0,0.0,0.7740030751045491
9,0.0,2.0,1.0,0.10750649848118563
10,0.0,2.0,2.0,0.09289242080127735
11,0.0,2.0,3.0,0.31174437220326023
12,0.0,3.0,0.0,0.0653001449844337
13,0.0,3.0,1.0,0.06555411170963618
14,0.0,3.0,2.0,0.00736789940093191
15,0.0,3.0,3.0,0.19901294948262538
16,0.0,4.0,0.0,0.10950307520703474
17,0.0,4.0,1.0,0.26238458763122274
18,0.0,4.0,2.0,0.7108676956624762
19,0.0,4.0,3.0,0.5077816187798334
20,0.0,5.0,0.0,0.11333333377042454
21,0.0,5.0,1.0,0.3730352436927902
22,0.0,5.0,2.0,0.1555928004465335
23,0.0,5.0,3.0,0.23259190660426887
24,0.0,6.0,0.0,0.004954370851556603
25,0.0,6.0,1.0,0.03237994972449018
26,0.0,6.0,2.0,0.002438244585188416
27,0.0,6.0,3.0,0.08813977922643608
28,0.0,7.0,0.0,0.09637188918832007
29,0.0,7.0,1.0,0.10582447258813485
30,0.0,7.0,2.0,0.017762720444299288
31,0.0,7.0,3.0,0.9905060260692551
32,0.0,8.0,0.0,0.06205170533080019
33,0.0,8.0,1.0,0.14720687734892124
34,0.0,8.0,2.0,0.08827618924368635
35,0.0,8.0,3.0,0.5456971115830213
36,0.0,9.0,0.0,0.12160808596109536
37,0.0,9.0,1.0,0.059977545501724044
38,0.0,9.0,2.0,0.5620202333179467
39,0.0,9.0,3.0,0.17961133438185495
40,1.0,0.0,0.0,0.066907717905256
41,1.0,0.0,1.0,0.26284319644366505
42,1.0,0.0,2.0,0.8311861580016511
43,1.0,0.0,3.0,0.3176097933233635
44,1.0,1.0,0.0,0.2429185279661361
45,1.0,1.0,1.0,0.10706519528027769
46,1.0,1.0,2.0,0.7480592680005991
47,1.0,1.0,3.0,0.08008214100481936
48,1.0,2.0,0.0,0.37063075020067515
49,1.0,2.0,1.0,0.42720011936782143
50,1.0,2.0,2.0,0.04394487298996452
51,1.0,2.0,3.0,0.2523496126381133
52,1.0,3.0,0.0,0.05799383707467364
53,1.0,3.0,1.0,0.05032652988582598
54,1.0,3.0,2.0,0.3869773728438143
55,1.0,3.0,3.0,0.17948893397195675
56,1.0,4.0,0.0,0.017184116518832226
57,1.0,4.0,1.0,0.13772151167227023
58,1.0,4.0,2.0,0.04051156736855034
59,1.0,4.0,3.0,0.22897879647061598
60,1.0,5.0,0.0,0.235156329934755
61,1.0,5.0,1.0,0.04247108261657928
62,1.0,5.0,2.0,0.03680006324698937
63,1.0,5.0,3.0,0.691105771016197
64,1.0,6.0,0.0,0.08631810952351979
65,1.0,6.0,1.0,0.42787245930989115
66,1.0,6.0,2.0,0.2202313292746751
67,1.0,6.0,3.0,26.682162391599064
68,1.0,7.0,0.0,0.02208101887428171
69,1.0,7.0,1.0,0.11990197555537208
70,1.0,7.0,2.0,0.9189154610815091
71,1.0,7.0,3.0,0.2553223567487123
72,1.0,8.0,0.0,0.3158983928321071
73,1.0,8.0,1.0,0.23253787787192604
74,1.0,8.0,2.0,0.06959746382560539
75,1.0,8.0,3.0,0.247369255048017
76,1.0,9.0,0.0,0.5406423544596635
77,1.0,9.0,1.0,0.3131988892451276
78,1.0,9.0,2.0,0.991054353682562
79,1.0,9.0,3.0,0.4165116106799296
80,2.0,0.0,0.0,0.3091578638602339
81,2.0,0.0,1.0,0.4120504649618584
82,2.0,0.0,2.0,0.8392777251956868
83,2.0,0.0,3.0,0.4781631983649106
84,2.0,1.0,0.0,0.314981788656608
85,2.0,1.0,1.0,0.5902323165158114
86,2.0,1.0,2.0,0.41025830497692706
87,2.0,1.0,3.0,0.21412638626872038
88,2.0,2.0,0.0,0.18447390127163255
89,2.0,2.0,1.0,0.2502249462401931
90,2.0,2.0,2.0,0.02403819917289768
91,2.0,2.0,3.0,0.6284342589498303
92,2.0,3.0,0.0,0.019338075679969258
93,2.0,3.0,1.0,0.5449224693458892
94,2.0,3.0,2.0,0.9292860515940601
95,2.0,3.0,3.0,0.09238235388254878
96,2.0,4.0,0.0,0.03436261334661328
97,2.0,4.0,1.0,0.07273576401585302
98,2.0,4.0,2.0,0.2389805068144888
99,2.0,4.0,3.0,348.84875770633056
100,2.0,5.0,0.0,0.0381425865791023
101,2.0,5.0,1.0,0.533099463766074
102,2.0,5.0,2.0,0.5902176337355013
103,2.0,5.0,3.0,0.5566387480839836
104,2.0,6.0,0.0,0.05594405511885192
105,2.0,6.0,1.0,0.549192075393595
106,2.0,6.0,2.0,0.08921952820367451
107,2.0,6.0,3.0,0.7124695084874224
108,2.0,7.0,0.0,0.48122509048485895
109,2.0,7.0,1.0,0.24916059200011276
110,2.0,7.0,2.0,0.06530836918536503
111,2.0,7.0,3.0,103.10610463758904
112,2.0,8.0,0.0,0.1541385190891016
113,2.0,8.0,1.0,0.365348903960129
114,2.0,8.0,2.0,0.10799510619851738
115,2.0,8.0,3.0,0.5901425924445007
116,2.0,9.0,0.0,0.24976136491422096
117,2.0,9.0,1.0,0.209315949630696
118,2.0,9.0,2.0,0.054121676812334485
119,2.0,9.0,3.0,0.6051575845731385
120,3.0,0.0,0.0,0.2477826498075757
121,3.0,0.0,1.0,0.16325625459698756
122,3.0,0.0,2.0,0.10157798258365064
123,3.0,0.0,3.0,0.10590980869669708
124,3.0,1.0,0.0,0.3850445251288761
125,3.0,1.0,1.0,0.5153114737275466
126,3.0,1.0,2.0,0.21540469439100104
127,3.0,1.0,3.0,53.09750349859909
128,3.0,2.0,0.0,0.047074055591606434
129,3.0,2.0,1.0,0.6275702894183492
130,3.0,2.0,2.0,0.7717253666703249
131,3.0,2.0,3.0,0.5793081181204833
132,3.0,3.0,0.0,0.13440343682633937
133,3.0,3.0,1.0,0.41461986302218057
134,3.0,3.0,2.0,0.11743901909913834
135,3.0,3.0,3.0,0.06383120316156976
136,3.0,4.0,0.0,0.06576320781059852
137,3.0,4.0,1.0,0.36869781882629127
138,3.0,4.0,2.0,0.3316558175287102
139,3.0,4.0,3.0,0.6294959717992157
140,3.0,5.0,0.0,0.29088851866469767
141,3.0,5.0,1.0,0.12049369520474773
142,3.0,5.0,2.0,0.05048498083344022
143,3.0,5.0,3.0,0.3526926308983732
144,3.0,6.0,0.0,0.0929464702064493
145,3.0,6.0,1.0,0.4642131445136721
146,3.0,6.0,2.0,0.8432128360269662
147,3.0,6.0,3.0,0.19233608385471257
148,3.0,7.0,0.0,0.1056467614341825
149,3.0,7.0,1.0,0.3634667051646002
150,3.0,7.0,2.0,0.07795120739409711
151,3.0,7.0,3.0,0.10530335010408731
152,3.0,8.0,0.0,0.10086519468956467
153,3.0,8.0,1.0,0.6101988899587312
154,3.0,8.0,2.0,0.8192954603013984
155,3.0,8.0,3.0,0.2669682569897436
156,3.0,9.0,0.0,0.14883381131779494
157,3.0,9.0,1.0,0.38642384556231235
158,3.0,9.0,2.0,0.6865210929223657
159,3.0,9.0,3.0,0.5042479678527378
160,4.0,0.0,0.0,0.018455322187970136
161,4.0,0.0,1.0,0.05994146186801652
162,4.0,0.0,2.0,0.6000260488724362
163,4.0,0.0,3.0,0.24579929538362677
164,4.0,1.0,0.0,0.3607985662555464
165,4.0,1.0,1.0,0.2835067184048121
166,4.0,1.0,2.0,0.23546288429862017
167,4.0,1.0,3.0,0.3444729531479558
168,4.0,2.0,0.0,0.19400582593805904
169,4.0,2.0,1.0,0.251359567623539
170,4.0,2.0,2.0,0.5286013561931613
171,4.0,2.0,3.0,0.05501476282542228
172,4.0,3.0,0.0,0.19217913841115752
173,4.0,3.0,1.0,0.05935527197578594
174,4.0,3.0,2.0,0.20962961319330908
175,4.0,3.0,3.0,0.2797224887186083
176,4.0,4.0,0.0,0.004412181733624898
177,4.0,4.0,1.0,0.0006913610800284298
178,4.0,4.0,2.0,0.6281180146177956
179,4.0,4.0,3.0,0.24963440857362684
180,4.0,5.0,0.0,0.17809650171901126
181,4.0,5.0,1.0,0.131589600320261
182,4.0,5.0,2.0,0.47671351415648466
183,4.0,5.0,3.0,0.6064372350083964
184,4.0,6.0,0.0,0.4013630166450177
185,4.0,6.0,1.0,0.7527325968409797
186,4.0,6.0,2.0,0.09347645271685445
187,4.0,6.0,3.0,0.006877702641218453
188,4.0,7.0,0.0,0.08090028627801615
189,4.0,7.0,1.0,0.07660106283467982
190,4.0,7.0,2.0,0.18916988737835538
191,4.0,7.0,3.0,0.4363265159795908
192,4.0,8.0,0.0,0.1500751931689095
193,4.0,8.0,1.0,0.04421296670205166
194,4.0,8.0,2.0,0.8972803123272233
195,4.0,8.0,3.0,0.37214112995345516
196,4.0,9.0,0.0,0.36518788898129895
197,4.0,9.0,1.0,0.3678107232690806
198,4.0,9.0,2.0,0.24177386777606724
199,4.0,9.0,3.0,0.7205635950025266
200,5.0,0.0,0.0,0.2077645678098179
201,5.0,0.0,1.0,0.6188744356944653
202,5.0,0.0,2.0,0.15498626393157622
203,5.0,0.0,3.0,0.6010918509804295
204,5.0,1.0,0.0,0.0006385445763541497
205,5.0,1.0,1.0,0.09335461374471521
206,5.0,1.0,2.0,0.19430217879667566
207,5.0,1.0,3.0,41.30344262439656
208,5.0,2.0,0.0,0.029329517726790932
209,5.0,2.0,1.0,0.467334491252432
210,5.0,2.0,2.0,206.92899617005975
211,5.0,2.0,3.0,0.7047406629972528
212,5.0,3.0,0.0,0.03850648920585087
213,5.0,3.0,1.0,0.05445690393745295
214,5.0,3.0,2.0,0.2958565196511236
215,5.0,3.0,3.0,0.41481827354757606
216,5.0,4.0,0.0,0.3183619116895322
217,5.0,4.0,1.0,0.5743467262778381
218,5.0,4.0,2.0,0.35507374454415164
219,5.0,4.0,3.0,0.4938123138716395
220,5.0,5.0,0.0,0.3059075701799401
221,5.0,5.0,1.0,0.05781155062824617
222,5.0,5.0,2.0,0.44246849950596356
223,5.0,5.0,3.0,0.3375168080122961
224,5.0,6.0,0.0,0.09484716546628746
225,5.0,6.0,1.0,0.0687380873609218
