,round,tube,nut,amount
0,0.0,0.0,0.0,0.25176354114398203
1,0.0,0.0,1.0,0.17752581439920112
2,0.0,0.0,2.0,0.45332154187213725
3,0.0,0.0,3.0,350.71629922389155
4,0.0,1.0,0.0,0.08502154445307486
5,0.0,1.0,1.0,0.7445420148682831
6,0.0,1.0,2.0,0.344293666416726
7,0.0,1.0,3.0,350.6263698914661
8,0.0,2.0,0.0,0.09050189063248926
9,0.0,2.0,1.0,0.8192553708718731
10,0.0,2.0,2.0,0.2708365674953228
11,0.0,2.0,3.0,350.56578036022086
12,0.0,3.0,0.0,0.0861796489737392
13,0.0,3.0,1.0,0.8590640050151704
14,0.0,3.0,2.0,0.31601985522881204
15,0.0,3.0,3.0,350.6030488375208
16,0.0,4.0,0.0,0.010584499627130317
17,0.0,4.0,1.0,0.6585701698232036
18,0.0,4.0,2.0,0.31142249090063956
19,0.0,4.0,3.0,350.59925679900175
20,0.0,5.0,0.0,0.30691782082445634
21,0.0,5.0,1.0,0.7815856030283204
22,0.0,5.0,2.0,0.18230555528585923
23,0.0,5.0,3.0,0.8436732981577847
24,0.0,6.0,0.0,0.1948095322587493
25,0.0,6.0,1.0,0.7763199667247189
26,0.0,6.0,2.0,0.44875923888968927
27,0.0,6.0,3.0,350.71253610495864
28,0.0,7.0,0.0,0.14266806746731042
29,0.0,7.0,1.0,0.9702525237322631
30,0.0,7.0,2.0,0.45800361671522055
31,0.0,7.0,3.0,350.7201611340813
32,0.0,8.0,0.0,0.03290110906770494
33,0.0,8.0,1.0,0.7143536980684171
34,0.0,8.0,2.0,0.4306899827554802
35,0.0,8.0,3.0,350.6976320619816
36,0.0,9.0,0.0,0.3897883246823528
37,0.0,9.0,1.0,0.08138458878612154
38,0.0,9.0,2.0,0.2285419990810258
39,0.0,9.0,3.0,350.53089458182535
40,1.0,0.0,0.0,0.15937086314037163
41,1.0,0.0,1.0,0.8688893943102384
42,1.0,0.0,2.0,0.22131472633570048
43,1.0,0.0,3.0,0.6630485988172659
44,1.0,1.0,0.0,0.08852816620000237
45,1.0,1.0,1.0,0.26460766247399536
46,1.0,1.0,2.0,0.4924763884810918
47,1.0,1.0,3.0,350.7485952692912
48,1.0,2.0,0.0,0.2452531172009632
49,1.0,2.0,1.0,0.9509978700139773
50,1.0,2.0,2.0,0.35951096993815984
51,1.0,2.0,3.0,350.6389215617932
52,1.0,3.0,0.0,0.14840257699211173
53,1.0,3.0,1.0,0.9393135465254289
54,1.0,3.0,2.0,0.3590255033965035
55,1.0,3.0,3.0,350.6385211349965
56,1.0,4.0,0.0,0.0755351030545704
57,1.0,4.0,1.0,0.8875179321272092
58,1.0,4.0,2.0,0.5304238757798874
59,1.0,4.0,3.0,350.7798954499677
60,1.0,5.0,0.0,0.2992214119759762
