,round,tube,sp,pop_0,final_pop,st_div_H,auc,fc
0,0.0,0.0,1.0,28.0,935.0,1.913723959234824,85835.0,33.392845216840996
1,0.0,0.0,7.0,8.0,45.0,-0.0,5720.0,5.624992968758789
2,0.0,0.0,10.0,3.0,99.0,-0.0,14628.0,32.99989000036666
3,0.0,1.0,1.0,28.0,911.0,1.566472395965754,79717.0,32.53570266582048
4,0.0,1.0,7.0,8.0,105.0,-0.0,11851.0,13.124983593770509
5,0.0,1.0,10.0,3.0,85.0,-0.0,10406.0,28.333238889203702
6,0.0,2.0,1.0,28.0,793.0,1.6395729680353068,76036.0,28.321418456636266
7,0.0,2.0,7.0,8.0,116.0,-0.0,13871.0,14.499981875022657
8,0.0,2.0,10.0,3.0,67.0,-0.0,8983.0,22.333258889137035
9,0.0,3.0,1.0,28.0,879.0,1.5496934610766193,79091.0,31.392845931126452
10,0.0,3.0,7.0,8.0,133.0,-0.0,15801.0,16.624979218775977
11,0.0,3.0,10.0,3.0,66.0,-0.0,8370.0,21.99992666691111
12,0.0,4.0,1.0,28.0,850.0,1.9490290539955546,79267.0,30.357132015309993
13,0.0,4.0,7.0,8.0,122.0,-0.0,13124.0,15.249980937523828
14,0.0,4.0,10.0,3.0,64.0,-0.0,9096.0,21.333262222459258
15,0.0,5.0,1.0,28.0,827.0,1.7387452019100675,78578.0,29.535703737248667
16,0.0,5.0,7.0,8.0,157.0,-0.0,16976.0,19.624975468780665
17,0.0,5.0,10.0,3.0,50.0,-0.0,6115.0,16.666611111296294
18,0.0,6.0,1.0,28.0,916.0,1.8703349466763404,84949.0,32.714274030616416
19,0.0,6.0,7.0,8.0,86.0,-0.0,10900.0,10.749986562516797
20,0.0,6.0,10.0,3.0,97.0,-0.0,12263.0,32.333225555914815
21,0.0,7.0,1.0,28.0,864.0,1.8592117639020214,79171.0,30.85713183673863
22,0.0,7.0,7.0,8.0,94.0,-0.0,11436.0,11.74998531251836
23,0.0,7.0,10.0,3.0,86.0,-0.0,10918.0,28.66657111142963
24,0.0,8.0,1.0,28.0,797.0,1.8335278084293207,77837.0,28.46427554847302
25,0.0,8.0,7.0,8.0,156.0,-0.0,17537.0,19.49997562503047
26,0.0,8.0,10.0,3.0,50.0,-0.0,5812.0,16.666611111296294
27,0.0,9.0,1.0,28.0,912.0,1.6818054778889775,85950.0,32.57141693877966
28,0.0,9.0,7.0,8.0,109.0,-0.0,12193.0,13.62498296877129
29,0.0,9.0,10.0,3.0,69.0,-0.0,8647.0,22.99992333358889
30,1.0,0.0,1.0,36.0,972.0,1.4354834975374589,90399.0,26.99999250000208
31,1.0,0.0,7.0,2.0,32.0,-0.0,3628.0,15.999920000399998
32,1.0,0.0,10.0,6.0,159.0,-0.0,19572.0,26.499955833406947
33,1.0,1.0,1.0,44.0,982.0,1.3781642610140739,89240.0,22.31817674586892
34,1.0,1.0,7.0,3.0,42.0,-0.0,4495.0,13.999953333488888
35,1.0,1.0,10.0,9.0,116.0,-0.0,16536.0,12.888874567917147
36,1.0,2.0,1.0,38.0,758.0,1.567273200143401,76074.0,19.94736317174653
37,1.0,2.0,7.0,9.0,210.0,-0.0,19994.0,23.333307407436216
38,1.0,3.0,1.0,42.0,901.0,1.3553987895845026,86594.0,21.452375844672417
39,1.0,3.0,7.0,9.0,93.0,-0.0,11991.0,10.333321851864609
40,1.0,3.0,10.0,10.0,98.0,-0.0,13102.0,9.7999902000098
41,1.0,4.0,1.0,37.0,825.0,1.6522425123434972,83568.0,22.297291271002358
