,round,tube,sp_div_H,tot_pop_0,tot_final_pop,tot_auc,mean_fc,deg_score,nut_score
0,0.0,0.0,0.8761148246073924,56.0,996.0,87917.0,16.91125001699996,0.3952652634860072,0.9996962141235232
1,0.0,1.0,0.8255653005805159,56.0,1038.0,94933.0,16.773911960516728,0.3914091977099552,0.9996394390011872
2,0.0,2.0,0.856523987210341,56.0,989.0,92237.0,16.68735200293565,0.391087143891931,0.9996043734975961
3,0.0,3.0,0.8474539494720882,56.0,952.0,86427.0,15.811619642056295,0.3912422149931256,0.9997223671195098
4,0.0,4.0,0.8389045112563487,56.0,916.0,83453.0,15.155260116544072,0.3942705229774337,0.9996393496696014
5,0.0,5.0,0.8201384019530953,56.0,1028.0,91429.0,16.606156025647305,0.3929147265413002,0.9996707295110242
6,0.0,6.0,0.8458256725241993,56.0,946.0,88979.0,15.81924476792585,0.3964202280040182,0.999844069755063
7,0.0,7.0,0.8571795101194692,56.0,991.0,90970.0,16.665816977699727,0.391910578031075,0.9996789477170226
8,0.0,8.0,0.8704017567375283,56.0,1001.0,91792.0,17.1406781480823,0.39830383565054983,0.9996134704798343
9,0.0,9.0,0.8636474176119484,56.0,950.0,88508.0,16.087134556618317,0.3973984699993177,0.9996412235489852
10,1.0,0.0,0.827215438679028,57.0,991.0,90638.0,16.85325606914757,0.39415817385533425,0.999716196300253
11,1.0,1.0,0.8194169747396867,51.0,958.0,89643.0,16.804289151311078,0.3943834661330734,0.9996526973692398
12,1.0,2.0,0.8415140768579339,59.0,1032.0,95225.0,19.234901779464046,0.38919171978554246,0.9996751130418479
13,1.0,3.0,0.8312958108827789,55.0,976.0,89085.0,17.31134058207221,0.39180627027987425,0.9995896620388625
14,1.0,4.0,0.8542905164385233,38.0,996.0,89547.0,28.419827903506274,0.3942847114030543,0.9995747263066244
15,1.0,5.0,0.7502291118213955,51.0,1066.0,98855.0,19.26528204761775,0.39094892947648774,0.9996874558548033
16,1.0,6.0,0.8213351942750438,47.0,948.0,87360.0,19.442509769204435,0.39366305897845755,0.9996984081294887
17,1.0,7.0,0.806787928096153,59.0,994.0,91531.0,18.381918249680805,0.3883714402059978,0.9997315175422116
18,1.0,8.0,0.8094719370955044,55.0,1032.0,94512.0,17.52307310088113,0.39245917821240506,0.9997672031188688
19,1.0,9.0,0.8198216991422487,46.0,970.0,90190.0,22.018154866344958,0.38739485132056983,0.999786311046063
20,2.0,0.0,0.8519333520078782,53.0,874.0,81681.0,15.690401828514766,0.39904322183264573,0.9997026952881214
21,2.0,1.0,0.8807488460268544,44.0,979.0,87610.0,26.89592023462738,0.3891599063826413,0.9996682274113429
22,2.0,2.0,0.8482891558297295,52.0,1052.0,92769.0,22.23727465195419,0.3853321071972934,0.9996782144146776
23,2.0,3.0,0.8085686271156746,54.0,1049.0,95771.0,19.22927466488569,0.38708114170001795,0.9997575676938406
24,2.0,4.0,0.8134847968708732,45.0,999.0,92112.0,23.636333898118263,0.3891777296417649,0.9997460464822201
25,2.0,5.0,0.8518190852481775,51.0,981.0,91507.0,24.66662708875918,0.38582882846340705,0.9997218986553194
26,2.0,6.0,0.8229349334806801,44.0,1047.0,94329.0,24.090775737701083,0.3939792717134165,0.9998086178647523
27,2.0,7.0,0.8318260760411306,42.0,1091.0,95007.0,41.77068910874777,0.3862733846696341,0.9997880147770726
28,2.0,8.0,0.8673599453635304,60.0,945.0,91796.0,15.120749939818277,0.3862223106533491,0.9997358927715009
29,2.0,9.0,0.8074790781821028,59.0,1076.0,103166.0,21.011878402634814,0.3844310930890057,0.9997337479158669
30,3.0,0.0,0.8413724119657611,45.0,953.0,88207.0,40.158182239709625,0.38661745134818126,0.9983692257729202
31,3.0,1.0,0.8542552300698265,55.0,954.0,88841.0,20.629602925679475,0.3959317115858514,0.9996295566477229
32,3.0,2.0,0.8395069490993383,49.0,967.0,88823.0,20.813469214364606,0.38245417280636607,0.9997019788771552
33,3.0,3.0,0.8418691391606032,50.0,1080.0,99355.0,25.473650840311766,0.38215275386915226,0.9996534537946924
34,3.0,4.0,0.8593812450301936,57.0,974.0,89338.0,23.1907985320625,0.3857917933731795,0.9996277286264234
