,round,tube,sp,pop_0,final_pop,st_div_H,auc,fc
0,0.0,0.0,0.0,19.0,172.0,0.1314935684659612,21033.0,9.05262681440694
1,0.0,0.0,6.0,8.0,2.0,-0.0,402.0,0.24999968750039064
2,0.0,0.0,7.0,26.0,388.0,1.4821925788888608,45733.0,14.92307118343416
3,0.0,0.0,12.0,4.0,50.0,0.5730569171314204,820.0,12.499968750078127
4,0.0,1.0,0.0,19.0,195.0,0.18703082776025234,21952.0,10.263152493077635
5,0.0,1.0,6.0,8.0,7.0,-0.0,663.0,0.8749989062513672
6,0.0,1.0,7.0,26.0,515.0,1.8588554927807728,52024.0,19.807684689352044
7,0.0,1.0,12.0,4.0,121.0,0.5409684038764229,4983.0,30.249924375189064
8,0.0,2.0,0.0,19.0,174.0,0.4115846371020093,16529.0,9.157889916900045
9,0.0,2.0,6.0,8.0,3.0,-0.0,301.0,0.37499953125058594
10,0.0,2.0,7.0,26.0,554.0,1.851036416962319,54799.0,21.30768411242919
11,0.0,2.0,12.0,4.0,134.0,0.6711543301991949,5580.0,33.49991625020938
12,0.0,3.0,0.0,19.0,150.0,0.1229569993369445,16743.0,7.894732686982796
13,0.0,3.0,6.0,8.0,5.0,-0.0,721.0,0.6249992187509766
14,0.0,3.0,7.0,26.0,408.0,1.6940331041050718,48786.0,15.692301656807055
15,0.0,3.0,12.0,4.0,73.0,-0.0,1166.0,18.249954375114065
16,0.0,4.0,0.0,19.0,200.0,-0.0,22535.0,10.526310249310395
17,0.0,4.0,6.0,8.0,3.0,-0.0,368.0,0.37499953125058594
18,0.0,4.0,7.0,26.0,423.0,1.8768659873542004,47400.0,16.269224511836725
19,0.0,4.0,12.0,4.0,119.0,-0.0,3270.0,29.74992562518594
20,0.0,5.0,0.0,19.0,177.0,0.10798801905634146,21006.0,9.3157845706397
21,0.0,5.0,6.0,8.0,5.0,-0.0,539.0,0.6249992187509766
22,0.0,5.0,7.0,26.0,410.0,1.802158470552976,46486.0,15.769224704144344
23,0.0,5.0,12.0,4.0,33.0,0.5538582294924286,824.0,8.249979375051563
24,0.0,6.0,0.0,19.0,201.0,0.07757003769329317,21393.0,10.578941800556947
25,0.0,6.0,6.0,8.0,5.0,-0.0,594.0,0.6249992187509766
26,0.0,6.0,7.0,26.0,467.0,2.064702962804533,48144.0,17.961531553257096
27,0.0,6.0,12.0,4.0,111.0,-0.0,4575.0,27.74993062517344
28,0.0,7.0,0.0,19.0,192.0,-0.0,20036.0,10.105257839337979
29,0.0,7.0,6.0,8.0,7.0,-0.0,729.0,0.8749989062513672
30,0.0,7.0,7.0,26.0,486.0,1.8119687659642676,55639.0,18.692300502961345
31,0.0,7.0,12.0,4.0,71.0,0.45431946876112594,1704.0,17.74995562511094
32,0.0,8.0,0.0,19.0,178.0,0.12803840753766793,19345.0,9.368416121886252
33,0.0,8.0,6.0,8.0,1.0,-0.0,283.0,0.12499984375019532
34,0.0,8.0,7.0,26.0,492.0,1.7584989902904682,51779.0,18.923069644973214
35,0.0,8.0,12.0,4.0,171.0,-0.0,6790.0,42.74989312526719
36,0.0,9.0,0.0,19.0,191.0,0.10168448146920968,20948.0,10.052626288091428
37,0.0,9.0,6.0,8.0,8.0,-0.0,755.0,0.9999987500015626
38,0.0,9.0,7.0,26.0,457.0,1.8931323317248023,48062.0,17.57691631657065
39,0.0,9.0,12.0,4.0,109.0,0.15730188029318484,5204.0,27.249931875170315
40,1.0,0.0,0.0,9.0,174.0,-0.0,16524.0,19.33331185187572
41,1.0,0.0,7.0,14.0,607.0,0.7182523085716747,62538.0,43.35711188777722
42,1.0,0.0,12.0,3.0,139.0,0.41195349319290897,6133.0,46.3331788894037
43,1.0,1.0,0.0,9.0,167.0,0.1547802820103666,12347.0,18.555534938294514
44,1.0,1.0,7.0,27.0,605.0,1.6215947527074461,61741.0,22.4073991083707
45,1.0,1.0,12.0,5.0,163.0,0.36002347845641597,6534.0,32.599934800130406
46,1.0,2.0,0.0,14.0,149.0,-0.0,15475.0,10.642849540821757
47,1.0,2.0,7.0,25.0,629.0,1.6417890929198318,62737.0,25.159989936004028
48,1.0,2.0,12.0,7.0,155.0,0.45228763207270317,7091.0,22.14282551024927
49,1.0,3.0,0.0,8.0,162.0,-0.0,16437.0,20.24997468753164
50,1.0,3.0,7.0,15.0,565.0,1.1487542580567252,59052.0,37.6666415555723
51,1.0,3.0,12.0,2.0,185.0,-0.0,6521.0,92.49953750231249
52,1.0,4.0,0.0,14.0,178.0,-0.0,20344.0,12.714276632659548
53,1.0,4.0,7.0,24.0,570.0,1.853442757557557,58243.0,23.74999010417079
54,1.0,4.0,12.0,4.0,176.0,-0.0,8881.0,43.999890000275
55,1.0,5.0,0.0,7.0,140.0,-0.0,13327.0,19.999971428612245
56,1.0,5.0,7.0,12.0,487.0,1.4700494641250144,61053.0,40.583299513917076
57,1.0,5.0,12.0,2.0,0.0,,31.0,0.0
58,1.0,6.0,0.0,14.0,194.0,-0.0,19590.0,13.857132959190745
59,1.0,6.0,7.0,22.0,559.0,1.7627524326145902,54634.0,25.409079359509384
60,1.0,6.0,12.0,6.0,174.0,-0.0,8694.0,28.999951666747226
61,1.0,7.0,0.0,11.0,157.0,-0.0,16781.0,14.272714297532458
62,1.0,7.0,7.0,24.0,473.0,1.6056380948418103,56113.0,19.7083251215312
63,1.0,7.0,12.0,2.0,83.0,0.578283503116418,1605.0,41.49979250103749
64,1.0,8.0,0.0,9.0,168.0,0.430880930784583,16380.0,18.666645925948973
65,1.0,8.0,7.0,20.0,598.0,1.6152980083400479,61923.0,29.899985050007476
66,1.0,8.0,12.0,8.0,159.0,-0.0,8449.0,19.874975156281057
67,1.0,9.0,0.0,6.0,170.0,-0.0,12788.0,28.333286111189818
68,1.0,9.0,7.0,19.0,663.0,1.622289161447766,66841.0,34.89471847646396
69,1.0,9.0,12.0,7.0,160.0,-0.0,9288.0,22.857110204128283
70,2.0,0.0,0.0,11.0,155.0,-0.0,16100.0,14.090896281003381
71,2.0,0.0,7.0,36.0,570.0,0.6917614988524178,64964.0,15.833328935186406
72,2.0,0.0,12.0,8.0,161.0,-0.0,6429.0,20.124974843781445
73,2.0,1.0,0.0,13.0,172.0,-0.0,17252.0,13.230759053262267
74,2.0,1.0,7.0,35.0,609.0,1.564783720159011,62574.0,17.399995028572846
75,2.0,1.0,12.0,10.0,175.0,0.12974069471942834,9376.0,17.499982500017502
76,2.0,2.0,0.0,9.0,155.0,-0.0,13976.0,17.222203086441016
77,2.0,2.0,7.0,32.0,606.0,1.50306988330443,63409.0,18.937494082033098
78,2.0,2.0,12.0,7.0,173.0,0.1309035129838021,6387.0,24.714250408213704
79,2.0,3.0,0.0,7.0,143.0,-0.0,13461.0,20.428542244939653
80,2.0,3.0,7.0,22.0,713.0,1.1510519864438966,70335.0,32.40907617769265
81,2.0,3.0,12.0,10.0,169.0,-0.0,10120.0,16.8999831000169
82,2.0,4.0,0.0,9.0,182.0,-0.0,16224.0,20.222199753111386
83,2.0,4.0,7.0,31.0,659.0,1.6860177539794008,66135.0,21.25805765869108
84,2.0,4.0,12.0,14.0,155.0,-0.0,10321.0,11.071420663270954
85,2.0,5.0,0.0,5.0,125.0,-0.0,9728.0,24.9999500001
86,2.0,5.0,7.0,22.0,481.0,1.3353445336161716,61476.0,21.863626425624354
87,2.0,6.0,0.0,7.0,159.0,-0.0,13632.0,22.71425326535248
88,2.0,6.0,7.0,26.0,691.0,1.7004002657577206,69377.0,26.576912855033516
89,2.0,6.0,12.0,7.0,171.0,-0.0,8896.0,24.4285365306621
90,2.0,7.0,0.0,3.0,171.0,-0.0,10607.0,56.99981000063333
91,2.0,7.0,7.0,18.0,577.0,0.8743296934417077,64702.0,32.05553774692348
92,2.0,7.0,12.0,2.0,147.0,0.6903448024462877,3944.0,73.49963250183748
93,2.0,8.0,0.0,8.0,154.0,0.6846901879841258,11461.0,19.249975937530078
94,2.0,8.0,7.0,39.0,663.0,1.728449230793076,70814.0,16.999995641026757
95,2.0,8.0,12.0,6.0,156.0,-0.0,9459.0,25.99995666673889
96,2.0,9.0,0.0,9.0,159.0,-0.0,14272.0,17.666647037058848
97,2.0,9.0,7.0,38.0,622.0,1.4896811071560625,68390.0,16.368416745153485
98,2.0,9.0,12.0,13.0,156.0,-0.0,7442.0,11.99999076923787
99,3.0,0.0,0.0,8.0,151.0,-0.0,12656.0,18.874976406279494
100,3.0,0.0,7.0,33.0,686.0,0.6575285638010246,72405.0,20.787872488523487
101,3.0,0.0,12.0,13.0,143.0,-0.0,9515.0,10.999991538468048
102,3.0,1.0,0.0,7.0,166.0,-0.0,14814.0,23.71425183678309
103,3.0,1.0,7.0,44.0,595.0,1.4515469466394326,63496.0,13.522724199380862
104,3.0,1.0,12.0,6.0,169.0,-0.0,9338.0,28.166619722300464
105,3.0,2.0,0.0,8.0,172.0,-0.0,16847.0,21.499973125033595
106,3.0,2.0,7.0,32.0,574.0,1.1176639563300081,58959.0,17.937494394533
107,3.0,2.0,12.0,9.0,155.0,-0.0,8585.0,17.222203086441016
108,3.0,3.0,0.0,12.0,159.0,-0.0,16598.0,13.249988958342534
109,3.0,3.0,7.0,32.0,693.0,0.6868827849100193,69922.0,21.65624323242399
110,3.0,3.0,12.0,6.0,160.0,-0.0,9363.0,26.666622222296297
111,3.0,4.0,0.0,9.0,142.0,-0.0,12665.0,15.77776024693306
112,3.0,4.0,7.0,39.0,584.0,1.4474851719567534,66075.0,14.974355134780733
113,3.0,4.0,12.0,6.0,170.0,-0.0,6501.0,28.333286111189818
114,3.0,5.0,0.0,15.0,147.0,-0.0,16604.0,9.799993466671022
115,3.0,5.0,7.0,23.0,438.0,1.3337755134714766,60213.0,19.04346998110001
116,3.0,6.0,0.0,1.0,0.0,,1.0,0.0
117,3.0,6.0,7.0,44.0,737.0,1.5456583546560938,75019.0,16.74999619318268
118,3.0,6.0,12.0,11.0,139.0,-0.0,7808.0,12.636352148770774
119,3.0,7.0,0.0,10.0,147.0,-0.0,12249.0,14.699985300014701
120,3.0,7.0,7.0,25.0,637.0,0.7704389007297426,67579.0,25.479989808004078
121,3.0,7.0,12.0,9.0,120.0,0.6694877720803352,6198.0,13.33331851853498
122,3.0,8.0,0.0,12.0,132.0,0.22863187358286127,14472.0,10.999990833340972
123,3.0,8.0,7.0,25.0,636.0,1.5804805701613698,65345.0,25.43998982400407
124,3.0,8.0,12.0,8.0,170.0,-0.0,8517.0,21.249973437533203
125,3.0,9.0,0.0,7.0,189.0,-0.0,17988.0,26.99996142862653
126,3.0,9.0,7.0,30.0,673.0,1.28935176369504,67607.0,22.43332585555805
127,3.0,9.0,12.0,11.0,160.0,-0.0,10084.0,14.545441322326072
128,4.0,0.0,0.0,6.0,152.0,-0.0,13066.0,25.333291111181484
129,4.0,0.0,7.0,37.0,667.0,0.6719022745345212,72152.0,18.027022154858876
130,4.0,0.0,12.0,9.0,143.0,-0.0,8660.0,15.888871234587517
131,4.0,1.0,0.0,6.0,172.0,-0.0,13793.0,28.66661888896852
132,4.0,1.0,7.0,30.0,627.0,1.2840486925413739,66117.0,20.899993033335655
133,4.0,1.0,12.0,8.0,150.0,-0.0,8277.0,18.749976562529298
134,4.0,2.0,0.0,7.0,165.0,-0.0,14463.0,23.57139489800729
135,4.0,2.0,7.0,38.0,659.0,1.0656253676561678,70061.0,17.342100699447183
136,4.0,2.0,12.0,8.0,170.0,-0.0,10318.0,21.249973437533203
137,4.0,3.0,0.0,11.0,147.0,-0.0,15323.0,13.363624214887079
138,4.0,3.0,7.0,46.0,737.0,0.6837273017260097,74018.0,16.02173564744877
139,4.0,3.0,12.0,10.0,147.0,-0.0,7945.0,14.699985300014701
140,4.0,4.0,0.0,16.0,177.0,-0.0,19752.0,11.06249308594182
141,4.0,4.0,7.0,27.0,573.0,1.5244610408848318,60323.0,21.22221436214283
142,4.0,4.0,12.0,12.0,164.0,-0.0,10461.0,13.66665527778727
143,4.0,5.0,0.0,3.0,156.0,-0.0,12433.0,51.99982666724444
144,4.0,5.0,7.0,21.0,420.0,0.7929598315867809,58058.0,19.999990476195013
145,4.0,6.0,7.0,39.0,662.0,1.183928553987036,71624.0,16.97435462196035
146,4.0,6.0,12.0,8.0,185.0,-0.0,8458.0,23.124971093786133
147,4.0,7.0,0.0,5.0,167.0,-0.0,9661.0,33.3999332001336
148,4.0,7.0,7.0,32.0,667.0,0.900322342457198,71730.0,20.84374348633016
149,4.0,7.0,12.0,9.0,139.0,0.5643024535419706,7494.0,15.444427283969684
150,4.0,8.0,0.0,7.0,128.0,-0.0,11978.0,18.285688163302623
151,4.0,8.0,7.0,37.0,564.0,1.5252870586657474,64708.0,15.243239123448884
152,4.0,8.0,12.0,2.0,157.0,-0.0,3652.0,78.49960750196249
153,4.0,9.0,0.0,9.0,180.0,-0.0,17726.0,19.99997777780247
154,4.0,9.0,7.0,24.0,616.0,1.0780295692231263,59478.0,25.66665597222668
155,4.0,9.0,12.0,10.0,154.0,-0.0,8875.0,15.3999846000154
156,5.0,0.0,0.0,6.0,150.0,-0.0,11614.0,24.99995833340278
157,5.0,0.0,7.0,38.0,668.0,0.6809782654259081,72771.0,17.578942742383486
158,5.0,0.0,12.0,6.0,134.0,-0.0,6734.0,22.333296111173148
159,5.0,1.0,0.0,10.0,141.0,-0.0,14793.0,14.0999859000141
160,5.0,1.0,7.0,34.0,536.0,1.2395884866397282,62778.0,15.764701245676102
161,5.0,1.0,12.0,7.0,147.0,-0.0,5391.0,20.999970000042858
162,5.0,2.0,0.0,10.0,165.0,-0.0,18198.0,16.4999835000165
163,5.0,2.0,7.0,38.0,526.0,1.0048466306509254,60770.0,13.842101620499573
164,5.0,2.0,12.0,6.0,152.0,-0.0,6964.0,25.333291111181484
165,5.0,3.0,0.0,9.0,151.0,-0.0,15240.0,16.77775913582318
166,5.0,3.0,7.0,35.0,659.0,0.6783729659153771,68350.0,18.828566048981127
167,5.0,3.0,12.0,8.0,143.0,-0.0,6395.0,17.87497765627793
168,5.0,4.0,0.0,6.0,186.0,-0.0,12896.0,30.999948333419447
169,5.0,4.0,7.0,34.0,659.0,1.4120792885584499,69233.0,19.382347240486105
170,5.0,4.0,12.0,6.0,165.0,-0.0,8394.0,27.499954166743056
171,5.0,5.0,0.0,10.0,144.0,-0.0,14974.0,14.3999856000144
172,5.0,5.0,7.0,25.0,472.0,0.7553741881836187,58956.0,18.879992448003023
173,5.0,6.0,7.0,26.0,718.0,1.0839374231576508,76083.0,27.615373994086927
174,5.0,6.0,12.0,11.0,149.0,-0.0,8042.0,13.545442231416153
175,5.0,7.0,0.0,5.0,150.0,-0.0,13706.0,29.999940000120002
176,5.0,7.0,7.0,28.0,624.0,0.6508437978214436,66710.0,22.285706326533454
177,5.0,7.0,12.0,6.0,156.0,0.5824922438849605,6546.0,25.99995666673889
178,5.0,8.0,0.0,6.0,150.0,-0.0,14390.0,24.99995833340278
179,5.0,8.0,7.0,26.0,696.0,1.214136045062162,71085.0,26.76922047337674
180,5.0,8.0,12.0,11.0,150.0,-0.0,9462.0,13.636351239680693
181,5.0,9.0,0.0,12.0,156.0,-0.0,15375.0,12.999989166675695
182,5.0,9.0,7.0,32.0,653.0,1.0257422851800182,69674.0,20.406243623048866
183,5.0,9.0,12.0,9.0,146.0,-0.0,7757.0,16.22220419755089
184,6.0,0.0,0.0,9.0,148.0,-0.0,15129.0,16.44442617285981
185,6.0,0.0,7.0,32.0,632.0,0.49059819545409367,68997.0,19.749993828126925
186,6.0,0.0,12.0,4.0,154.0,-0.0,6273.0,38.49990375024063
187,6.0,1.0,0.0,6.0,179.0,-0.0,11171.0,29.833283611193984
188,6.0,1.0,7.0,28.0,666.0,1.2807540362074266,70056.0,23.78570579081936
189,6.0,1.0,12.0,6.0,159.0,-0.0,8268.0,26.499955833406947
190,6.0,2.0,0.0,11.0,179.0,-0.0,16863.0,16.272712479352293
