,round,tube,sp,pop_0,final_pop,st_div_H,auc,fc
0,0.0,0.0,1.0,31.0,695.0,1.2704410521233214,52475.0,22.41934760666206
1,0.0,0.0,4.0,29.0,604.0,1.0216548610997531,37800.0,20.82757902497275
2,0.0,0.0,5.0,4.0,54.0,0.9220689705854213,2564.0,13.499966250084377
3,0.0,1.0,1.0,31.0,715.0,1.1498670896964756,52748.0,23.064508688868166
4,0.0,1.0,4.0,29.0,646.0,0.9948342683677678,40923.0,22.275854387636418
5,0.0,1.0,5.0,4.0,36.0,0.5297061990576545,1263.0,8.99997750005625
6,0.0,2.0,1.0,31.0,1136.0,1.1269238825348125,64110.0,36.645149469306624
7,0.0,2.0,4.0,29.0,629.0,1.125150172832582,37812.0,21.689647693224934
8,0.0,2.0,5.0,4.0,21.0,1.0353605606849843,1204.0,5.249986875032813
9,0.0,3.0,1.0,31.0,723.0,1.1564989988058705,53290.0,23.322573121750604
10,0.0,3.0,4.0,29.0,592.0,0.9285750782456785,38724.0,20.413786064211703
11,0.0,3.0,5.0,4.0,34.0,1.0870004469549273,1331.0,8.499978750053126
12,0.0,4.0,1.0,31.0,627.0,1.1875696232786697,46180.0,20.225799927161315
13,0.0,4.0,4.0,29.0,633.0,0.9253144583732714,40606.0,21.827578680145283
14,0.0,4.0,5.0,4.0,25.0,-0.0,703.0,6.249984375039063
15,0.0,5.0,1.0,31.0,755.0,1.0957509249548878,53731.0,24.35483085328037
16,0.0,5.0,4.0,29.0,619.0,1.2019806930532602,37778.0,21.34482022592406
17,0.0,5.0,5.0,4.0,0.0,,67.0,0.0
18,0.0,6.0,1.0,31.0,672.0,1.1722055851530326,48934.0,21.677412362125043
19,0.0,6.0,4.0,29.0,652.0,1.0259587158664267,41982.0,22.482750868016943
20,0.0,6.0,5.0,4.0,76.0,0.9938421513947581,2163.0,18.999952500118752
21,0.0,7.0,1.0,31.0,669.0,1.113374529862274,49565.0,21.58063819979413
22,0.0,7.0,4.0,29.0,613.0,0.9462287322419147,38749.0,21.137923745543535
23,0.0,7.0,5.0,4.0,36.0,0.6540548103069317,1060.0,8.99997750005625
24,0.0,8.0,1.0,31.0,1266.0,1.198823416542783,68562.0,40.83869650364629
25,0.0,8.0,4.0,29.0,670.0,1.1256775472167602,43019.0,23.103440309158515
26,0.0,8.0,5.0,4.0,9.0,-0.0,476.0,2.2499943750140625
27,0.0,9.0,1.0,31.0,1168.0,1.2322492660109,66738.0,37.677407200836385
28,0.0,9.0,4.0,29.0,677.0,0.8854620356507035,45525.0,23.344819536269124
29,0.0,9.0,5.0,4.0,12.0,-0.0,812.0,2.99999250001875
30,1.0,0.0,1.0,34.0,829.0,1.354312240161954,60210.0,24.3823457698983
31,1.0,0.0,4.0,26.0,601.0,0.8801765858052717,36635.0,23.11537572485549
32,1.0,0.0,5.0,2.0,18.0,0.5297061990576545,542.0,8.999955000224999
33,1.0,1.0,1.0,27.0,1192.0,0.9002627051762501,68593.0,44.148131796988224
34,1.0,1.0,4.0,31.0,630.0,0.7521894753392192,39891.0,20.322574089492228
35,1.0,1.0,5.0,4.0,9.0,-0.0,504.0,2.2499943750140625
36,1.0,2.0,1.0,68.0,1189.0,0.8677537194374378,78599.0,17.485291546280653
37,1.0,2.0,4.0,33.0,565.0,0.8798454977825763,36428.0,17.121206932967596
38,1.0,2.0,5.0,1.0,1.0,-0.0,184.0,0.9999900000999989
39,1.0,3.0,1.0,30.0,644.0,1.1089001551149762,46029.0,21.466659511113498
40,1.0,3.0,4.0,37.0,627.0,0.7661967969898549,40744.0,16.94594136596179
41,1.0,3.0,5.0,2.0,27.0,-0.0,503.0,13.499932500337497
42,1.0,4.0,1.0,34.0,714.0,1.1773698155295498,51588.0,20.999993823531227
43,1.0,4.0,4.0,23.0,583.0,0.8865612429885652,34637.0,25.347815066167364
44,1.0,4.0,5.0,1.0,10.0,-0.0,421.0,9.99990000099999
45,1.0,5.0,1.0,34.0,1259.0,0.8561258477365639,71022.0,37.02940087370562
46,1.0,5.0,4.0,42.0,535.0,1.0111455318632168,37837.0,12.738092205216141
47,1.0,6.0,1.0,35.0,683.0,1.048108452014465,52472.0,19.514280138777103
48,1.0,6.0,4.0,34.0,632.0,1.022895994930695,41811.0,18.588229826991224
49,1.0,6.0,5.0,2.0,22.0,-0.0,622.0,10.999945000274998
50,1.0,7.0,1.0,39.0,1203.0,0.9137694838149883,77301.0,30.846145936885655
51,1.0,7.0,4.0,27.0,543.0,0.9491611866162415,34889.0,20.1111036625542
52,1.0,8.0,1.0,50.0,728.0,1.0590321900757131,55339.0,14.559997088000582
53,1.0,8.0,4.0,24.0,580.0,0.9670508948259746,38211.0,24.166656597226417
54,1.0,8.0,5.0,2.0,20.0,-0.0,336.0,9.99995000025
55,1.0,9.0,1.0,56.0,750.0,1.1556792394207225,58788.0,13.392854751275937
56,1.0,9.0,4.0,37.0,651.0,0.6833451965637944,43593.0,17.594589839300042
57,2.0,0.0,1.0,45.0,709.0,1.3192251766816356,53314.0,15.755552054321765
58,2.0,0.0,4.0,31.0,564.0,0.809355259942204,36654.0,18.19354251821209
59,2.0,1.0,1.0,60.0,787.0,0.6291528041748543,63566.0,13.116664480555919
60,2.0,1.0,4.0,32.0,536.0,0.5822908591044429,36168.0,16.749994765626635
61,2.0,2.0,1.0,55.0,737.0,0.9358450612618399,57563.0,13.399997563636806
62,2.0,2.0,4.0,34.0,648.0,0.8544801181658443,42436.0,19.05881792387708
63,2.0,3.0,1.0,22.0,699.0,0.8562321833368498,49541.0,31.77271283058508
64,2.0,3.0,4.0,27.0,586.0,0.6920155031562925,35894.0,21.703695665297904
65,2.0,3.0,5.0,2.0,0.0,,2.0,0.0
66,2.0,4.0,1.0,31.0,679.0,1.032700611521417,49970.0,21.90321874089718
67,2.0,4.0,4.0,32.0,662.0,0.8814916198733805,43289.0,20.687493535158268
68,2.0,4.0,5.0,1.0,0.0,,33.0,0.0
69,2.0,5.0,1.0,55.0,765.0,0.6765478025543313,57200.0,13.909088380165748
70,2.0,5.0,4.0,24.0,565.0,0.8184765460903158,36450.0,23.541656857642977
71,2.0,6.0,1.0,35.0,733.0,0.8224149487324668,54490.0,20.94285115918538
72,2.0,6.0,4.0,31.0,570.0,0.9648992321038952,37170.0,18.38709084287392
73,2.0,7.0,1.0,60.0,1187.0,0.8053875323183778,78616.0,19.78333003611166
74,2.0,7.0,4.0,33.0,571.0,0.8193582658954763,38828.0,17.303025059689375
75,2.0,8.0,1.0,36.0,761.0,0.6749927830544085,57784.0,21.138883016976937
76,2.0,8.0,4.0,29.0,522.0,0.9562330181245956,33076.0,17.99999379310559
77,2.0,9.0,1.0,32.0,691.0,1.10453802761981,49902.0,21.59374325195523
78,2.0,9.0,4.0,34.0,648.0,0.6838974708375272,41242.0,19.05881792387708
79,3.0,0.0,1.0,34.0,701.0,1.3497576838297691,50355.0,20.61764099481147
80,3.0,0.0,4.0,26.0,680.0,0.7763956391712106,43699.0,26.153836094678425
81,3.0,1.0,1.0,41.0,665.0,0.4367755955231243,51354.0,16.219508239144332
82,3.0,1.0,4.0,34.0,585.0,0.5172822363488822,38570.0,17.20587729238903
83,3.0,2.0,1.0,49.0,753.0,0.8144635629729507,57917.0,15.367343802582896
84,3.0,2.0,4.0,34.0,619.0,0.6823017533075362,40381.0,18.20587699827147
85,3.0,3.0,1.0,31.0,639.0,0.5138731500422528,47742.0,20.612896576484975
86,3.0,3.0,4.0,29.0,661.0,0.6142510862686997,43538.0,22.79309558858773
