,round,tube,tox,amount
0,0.0,0.0,0.0,578.8644645699806
1,0.0,0.0,1.0,557.6763729922117
2,0.0,0.0,2.0,662.4636833127495
3,0.0,0.0,3.0,418.9146676291024
4,0.0,0.0,4.0,0.0
5,0.0,0.0,5.0,574.1182328764306
6,0.0,0.0,6.0,700.0
7,0.0,0.0,7.0,550.6725327146722
8,0.0,0.0,8.0,0.0
9,0.0,0.0,9.0,235.47236459999579
10,0.0,1.0,0.0,579.8237480939819
11,0.0,1.0,1.0,616.5175134494108
12,0.0,1.0,2.0,677.9823974495067
13,0.0,1.0,3.0,429.59641775368954
14,0.0,1.0,4.0,0.0
15,0.0,1.0,5.0,626.1617824686077
16,0.0,1.0,6.0,700.0
17,0.0,1.0,7.0,536.6296546340647
18,0.0,1.0,8.0,0.0
19,0.0,1.0,9.0,191.78780296117372
20,0.0,2.0,0.0,572.6780793717211
21,0.0,2.0,1.0,541.4384917275258
22,0.0,2.0,2.0,658.181117822426
23,0.0,2.0,3.0,403.24552620672404
24,0.0,2.0,4.0,0.0
25,0.0,2.0,5.0,559.756224045461
26,0.0,2.0,6.0,700.0
27,0.0,2.0,7.0,560.3845689014562
28,0.0,2.0,8.0,0.0
29,0.0,2.0,9.0,265.68455052119543
30,0.0,3.0,0.0,566.247665722059
31,0.0,3.0,1.0,583.7800275186455
32,0.0,3.0,2.0,669.3482397535803
33,0.0,3.0,3.0,395.634736720138
34,0.0,3.0,4.0,0.0
35,0.0,3.0,5.0,597.2062768593929
36,0.0,3.0,6.0,700.0
37,0.0,3.0,7.0,543.7332487521437
38,0.0,3.0,8.0,0.0
39,0.0,3.0,9.0,213.88565165907957
40,0.0,4.0,0.0,569.8069548996837
41,0.0,4.0,1.0,591.1319240763862
42,0.0,4.0,2.0,671.2872229234524
43,0.0,4.0,3.0,404.3582327251584
44,0.0,4.0,4.0,0.0
45,0.0,4.0,5.0,603.7088495513294
46,0.0,4.0,6.0,700.0
47,0.0,4.0,7.0,534.2067331324996
48,0.0,4.0,8.0,0.0
49,0.0,4.0,9.0,184.25058280775573
50,0.0,5.0,0.0,575.6433043946536
51,0.0,5.0,1.0,561.0889092040638
52,0.0,5.0,2.0,663.363702815118
53,0.0,5.0,3.0,412.4946875164165
54,0.0,5.0,4.0,0.0
55,0.0,5.0,5.0,577.136537691678
56,0.0,5.0,6.0,700.0
57,0.0,5.0,7.0,551.6044174556289
58,0.0,5.0,8.0,0.0
59,0.0,5.0,9.0,238.37127009308142
60,0.0,6.0,0.0,574.611040346433
61,0.0,6.0,1.0,538.0325000472296
62,0.0,6.0,2.0,657.2828243694438
63,0.0,6.0,3.0,406.89905099665015
64,0.0,6.0,4.0,0.0
65,0.0,6.0,5.0,556.743707708308
66,0.0,6.0,6.0,700.0
67,0.0,6.0,7.0,559.2887944954457
68,0.0,6.0,8.0,0.0
69,0.0,6.0,9.0,262.2758173322556
70,0.0,7.0,0.0,579.3537663057488
71,0.0,7.0,1.0,542.2769531172261
72,0.0,7.0,2.0,658.4022529418401
73,0.0,7.0,3.0,417.70962395294873
74,0.0,7.0,4.0,0.0
75,0.0,7.0,5.0,560.4978226374827
76,0.0,7.0,6.0,700.0
77,0.0,7.0,7.0,559.1997286940432
78,0.0,7.0,8.0,0.0
79,0.0,7.0,9.0,261.99875158626395
80,0.0,8.0,0.0,570.0270420250519
81,0.0,8.0,1.0,561.9226959283676
82,0.0,8.0,2.0,663.583605042113
83,0.0,8.0,3.0,400.5515362775905
84,0.0,8.0,4.0,0.0
85,0.0,8.0,5.0,577.8740016564891
86,0.0,8.0,6.0,700.0
87,0.0,8.0,7.0,549.688745358749
88,0.0,8.0,8.0,0.0
89,0.0,8.0,9.0,232.412000539108
90,0.0,9.0,0.0,560.3517120474578
91,0.0,9.0,1.0,563.5968139085306
92,0.0,9.0,2.0,664.0251355454898
93,0.0,9.0,3.0,380.0114849461601
94,0.0,9.0,4.0,0.0
95,0.0,9.0,5.0,579.3547180642067
96,0.0,9.0,6.0,700.0
97,0.0,9.0,7.0,536.4255717237769
98,0.0,9.0,8.0,0.0
99,0.0,9.0,9.0,191.1529421852894
100,1.0,0.0,0.0,573.0000083116887
101,1.0,0.0,1.0,700.0
102,1.0,0.0,2.0,700.0
103,1.0,0.0,3.0,427.16830039684146
104,1.0,0.0,4.0,0.0
105,1.0,0.0,5.0,700.0
106,1.0,0.0,6.0,700.0
107,1.0,0.0,7.0,509.33003540140373
108,1.0,0.0,8.0,0.0
109,1.0,0.0,9.0,106.8641931256347
110,1.0,1.0,0.0,567.967648867738
111,1.0,1.0,1.0,700.0
112,1.0,1.0,2.0,700.0
113,1.0,1.0,3.0,416.3573770112982
114,1.0,1.0,4.0,0.0
115,1.0,1.0,5.0,700.0
116,1.0,1.0,6.0,700.0
117,1.0,1.0,7.0,511.9008552930345
118,1.0,1.0,8.0,0.0
119,1.0,1.0,9.0,114.8614953434294
120,1.0,2.0,0.0,576.7464071051344
121,1.0,2.0,1.0,700.0
122,1.0,2.0,2.0,700.0
123,1.0,2.0,3.0,435.2166186417384
124,1.0,2.0,4.0,0.0
125,1.0,2.0,5.0,700.0
126,1.0,2.0,6.0,700.0
127,1.0,2.0,7.0,509.2833134228989
128,1.0,2.0,8.0,0.0
129,1.0,2.0,9.0,106.71885047306941
130,1.0,3.0,0.0,570.8744495854485
131,1.0,3.0,1.0,700.0
132,1.0,3.0,2.0,700.0
133,1.0,3.0,3.0,422.60200246109247
134,1.0,3.0,4.0,0.0
135,1.0,3.0,5.0,700.0
136,1.0,3.0,6.0,700.0
137,1.0,3.0,7.0,495.6102053800445
138,1.0,3.0,8.0,0.0
139,1.0,3.0,9.0,64.18456884904869
140,1.0,4.0,0.0,575.4019349503202
141,1.0,4.0,1.0,700.0
142,1.0,4.0,2.0,700.0
143,1.0,4.0,3.0,432.3283143340728
