,round,tube,tox,amount
0,0.0,0.0,0.0,67.80417599608053
1,0.0,0.0,1.0,310.5708272018093
2,0.0,0.0,2.0,0.0
3,0.0,0.0,3.0,55.193029971662554
4,0.0,0.0,4.0,392.890086199575
5,0.0,0.0,5.0,0.0
6,0.0,0.0,6.0,0.0
7,0.0,0.0,7.0,0.0
8,0.0,0.0,8.0,364.2008537871385
9,0.0,0.0,9.0,0.0
10,0.0,1.0,0.0,104.76479438209923
11,0.0,1.0,1.0,320.92010515448794
12,0.0,1.0,2.0,0.0
13,0.0,1.0,3.0,172.5917877453141
14,0.0,1.0,4.0,417.3562076362278
15,0.0,1.0,5.0,0.0
16,0.0,1.0,6.0,0.0
17,0.0,1.0,7.0,59.47279491809775
18,0.0,1.0,8.0,427.6029639656717
19,0.0,1.0,9.0,0.0
20,0.0,2.0,0.0,19.586676205237836
21,0.0,2.0,1.0,332.0260901661216
22,0.0,2.0,2.0,0.0
23,0.0,2.0,3.0,242.50527288474493
24,0.0,2.0,4.0,367.8198676558037
25,0.0,2.0,5.0,0.0
26,0.0,2.0,6.0,102.40303656194736
27,0.0,2.0,7.0,10.457077060172285
28,0.0,2.0,8.0,430.67624921359067
29,0.0,2.0,9.0,0.0
30,0.0,3.0,0.0,0.0
31,0.0,3.0,1.0,324.3249965127603
32,0.0,3.0,2.0,0.0
33,0.0,3.0,3.0,182.17798354152768
34,0.0,3.0,4.0,342.39421782825485
35,0.0,3.0,5.0,0.0
36,0.0,3.0,6.0,118.26464382002143
37,0.0,3.0,7.0,61.237775645436116
38,0.0,3.0,8.0,435.4807704676373
39,0.0,3.0,9.0,0.0
40,0.0,4.0,0.0,46.66159959376936
41,0.0,4.0,1.0,343.1464020524761
42,0.0,4.0,2.0,0.0
43,0.0,4.0,3.0,219.59222462816746
44,0.0,4.0,4.0,411.94605968505886
45,0.0,4.0,5.0,0.0
46,0.0,4.0,6.0,45.45526155516048
47,0.0,4.0,7.0,54.794269537223215
48,0.0,4.0,8.0,445.03633343319905
49,0.0,4.0,9.0,0.0
50,0.0,5.0,0.0,130.47439199130878
51,0.0,5.0,1.0,306.54645596165824
52,0.0,5.0,2.0,0.0
53,0.0,5.0,3.0,240.44062246705013
54,0.0,5.0,4.0,428.8136299926918
55,0.0,5.0,5.0,0.0
56,0.0,5.0,6.0,0.0
57,0.0,5.0,7.0,0.0
58,0.0,5.0,8.0,340.7508776148516
59,0.0,5.0,9.0,0.0
60,0.0,6.0,0.0,141.88870427274836
61,0.0,6.0,1.0,299.0846722481744
62,0.0,6.0,2.0,0.0
63,0.0,6.0,3.0,237.03437472094234
64,0.0,6.0,4.0,428.98458891385775
65,0.0,6.0,5.0,0.0
66,0.0,6.0,6.0,0.0
67,0.0,6.0,7.0,0.0
68,0.0,6.0,8.0,328.64511614989647
69,0.0,6.0,9.0,0.0
70,0.0,7.0,0.0,1.091234642064165
71,0.0,7.0,1.0,339.04695270730815
72,0.0,7.0,2.0,0.0
73,0.0,7.0,3.0,263.4498782758917
74,0.0,7.0,4.0,300.3339938384461
75,0.0,7.0,5.0,0.0
76,0.0,7.0,6.0,113.7662280058913
77,0.0,7.0,7.0,52.14649177939865
78,0.0,7.0,8.0,430.6418811783048
79,0.0,7.0,9.0,0.0
80,0.0,8.0,0.0,101.92078982662447
81,0.0,8.0,1.0,337.2090904907792
82,0.0,8.0,2.0,0.0
83,0.0,8.0,3.0,112.40534358671579
84,0.0,8.0,4.0,403.99263126117603
85,0.0,8.0,5.0,0.0
86,0.0,8.0,6.0,0.0
87,0.0,8.0,7.0,76.96245371499843
88,0.0,8.0,8.0,435.14273705881976
89,0.0,8.0,9.0,0.0
90,0.0,9.0,0.0,16.35168796556484
91,0.0,9.0,1.0,313.1212310848745
92,0.0,9.0,2.0,0.0
93,0.0,9.0,3.0,183.69762859182256
94,0.0,9.0,4.0,330.96552568570905
95,0.0,9.0,5.0,0.0
96,0.0,9.0,6.0,104.55078852718184
97,0.0,9.0,7.0,9.71185974263259
98,0.0,9.0,8.0,397.3624912956088
99,0.0,9.0,9.0,0.0
100,1.0,0.0,0.0,256.4320321665429
101,1.0,0.0,1.0,437.6152917063703
102,1.0,0.0,2.0,0.0
103,1.0,0.0,3.0,688.9203902152321
104,1.0,0.0,4.0,538.1280472709448
105,1.0,0.0,5.0,0.0
106,1.0,0.0,6.0,0.0
107,1.0,0.0,7.0,13.664896509198229
108,1.0,0.0,8.0,495.55389107412486
109,1.0,0.0,9.0,0.0
110,1.0,1.0,0.0,117.50130534055128
111,1.0,1.0,1.0,399.81297313578773
112,1.0,1.0,2.0,0.0
113,1.0,1.0,3.0,642.3266984659788
114,1.0,1.0,4.0,484.2318311876858
115,1.0,1.0,5.0,0.0
116,1.0,1.0,6.0,159.43235419650492
117,1.0,1.0,7.0,84.27070554784524
118,1.0,1.0,8.0,565.8787446325867
119,1.0,1.0,9.0,0.0
120,1.0,2.0,0.0,254.93497276331388
121,1.0,2.0,1.0,432.361827150618
122,1.0,2.0,2.0,0.0
123,1.0,2.0,3.0,665.8461396883577
124,1.0,2.0,4.0,539.1166838275043
125,1.0,2.0,5.0,0.0
126,1.0,2.0,6.0,0.0
127,1.0,2.0,7.0,0.0
128,1.0,2.0,8.0,481.18614670012846
129,1.0,2.0,9.0,0.0
130,1.0,3.0,0.0,66.82219513848135
131,1.0,3.0,1.0,446.3426498606194
132,1.0,3.0,2.0,0.0
133,1.0,3.0,3.0,628.6449154888113
134,1.0,3.0,4.0,430.39335378326297
135,1.0,3.0,5.0,0.0
136,1.0,3.0,6.0,326.87745269813746
137,1.0,3.0,7.0,229.15839303518334
138,1.0,3.0,8.0,598.7841786354028
139,1.0,3.0,9.0,0.0
140,1.0,4.0,0.0,292.8860960139137
141,1.0,4.0,1.0,433.04806455238656
142,1.0,4.0,2.0,0.0
143,1.0,4.0,3.0,697.5757151202276
144,1.0,4.0,4.0,551.379588884773
145,1.0,4.0,5.0,0.0
146,1.0,4.0,6.0,0.0
147,1.0,4.0,7.0,0.0
148,1.0,4.0,8.0,455.4538029489928
149,1.0,4.0,9.0,0.0
150,1.0,5.0,0.0,303.598488015636
151,1.0,5.0,1.0,427.9999637308657
152,1.0,5.0,2.0,0.0
153,1.0,5.0,3.0,614.6007922697136
154,1.0,5.0,4.0,575.1205286901375
155,1.0,5.0,5.0,0.0
156,1.0,5.0,6.0,0.0
157,1.0,5.0,7.0,0.0
158,1.0,5.0,8.0,410.2061891512231
159,1.0,5.0,9.0,0.0
160,1.0,6.0,0.0,192.32836924594258
161,1.0,6.0,1.0,425.4940683237068
162,1.0,6.0,2.0,0.0
163,1.0,6.0,3.0,680.66098966684
164,1.0,6.0,4.0,515.2808904292001
165,1.0,6.0,5.0,0.0
166,1.0,6.0,6.0,98.45651192535243
167,1.0,6.0,7.0,25.132001832126956
168,1.0,6.0,8.0,512.6582576503912
169,1.0,6.0,9.0,0.0
170,1.0,7.0,0.0,65.97430443724272
171,1.0,7.0,1.0,427.2468348679268
172,1.0,7.0,2.0,0.0
173,1.0,7.0,3.0,669.1144763979264
174,1.0,7.0,4.0,443.1308174427957
175,1.0,7.0,5.0,0.0
176,1.0,7.0,6.0,282.44552125345234
177,1.0,7.0,7.0,157.37876169161567
178,1.0,7.0,8.0,599.3906859872883
179,1.0,7.0,9.0,0.0
180,1.0,8.0,0.0,127.42943518654897
181,1.0,8.0,1.0,449.1523480507628
182,1.0,8.0,2.0,0.0
183,1.0,8.0,3.0,671.0157022557313
184,1.0,8.0,4.0,497.63488027496345
185,1.0,8.0,5.0,0.0
186,1.0,8.0,6.0,239.04839033288542
187,1.0,8.0,7.0,258.28070254866157
188,1.0,8.0,8.0,545.1868303361654
189,1.0,8.0,9.0,0.0
190,1.0,9.0,0.0,36.73252323615511
191,1.0,9.0,1.0,416.7034938617318
192,1.0,9.0,2.0,0.0
193,1.0,9.0,3.0,700.0
194,1.0,9.0,4.0,449.6359878618012
195,1.0,9.0,5.0,0.0
196,1.0,9.0,6.0,487.35959630748715
197,1.0,9.0,7.0,161.20551162942397
198,1.0,9.0,8.0,623.1710547616766
199,1.0,9.0,9.0,0.0
200,2.0,0.0,0.0,287.91650398625467
201,2.0,0.0,1.0,434.8440334598125
202,2.0,0.0,2.0,0.0
203,2.0,0.0,3.0,700.0
204,2.0,0.0,4.0,549.5653968294438
205,2.0,0.0,5.0,0.0
206,2.0,0.0,6.0,0.0
207,2.0,0.0,7.0,0.0
208,2.0,0.0,8.0,461.1653709176013
209,2.0,0.0,9.0,0.0
210,2.0,1.0,0.0,183.58015478865883
211,2.0,1.0,1.0,428.0651365098933
212,2.0,1.0,2.0,0.0
213,2.0,1.0,3.0,675.8626393028297
214,2.0,1.0,4.0,511.4765205710235
215,2.0,1.0,5.0,0.0
216,2.0,1.0,6.0,52.98157548100534
217,2.0,1.0,7.0,77.21492336004262
218,2.0,1.0,8.0,546.2570978550172
219,2.0,1.0,9.0,0.0
220,2.0,2.0,0.0,580.8005068291162
221,2.0,2.0,1.0,367.94960061713044
222,2.0,2.0,2.0,0.0
223,2.0,2.0,3.0,700.0
224,2.0,2.0,4.0,656.4852059673486
225,2.0,2.0,5.0,0.0
226,2.0,2.0,6.0,0.0
227,2.0,2.0,7.0,0.0
228,2.0,2.0,8.0,94.79769712019053
229,2.0,2.0,9.0,0.0
230,2.0,3.0,0.0,327.49463065145267
231,2.0,3.0,1.0,446.97640012337274
232,2.0,3.0,2.0,0.0
233,2.0,3.0,3.0,700.0
234,2.0,3.0,4.0,537.664853944405
235,2.0,3.0,5.0,0.0
236,2.0,3.0,6.0,0.0
237,2.0,3.0,7.0,0.0
238,2.0,3.0,8.0,439.0130902935309
239,2.0,3.0,9.0,0.0
240,2.0,4.0,0.0,249.7776875216622
241,2.0,4.0,1.0,439.8186043137269
242,2.0,4.0,2.0,0.0
243,2.0,4.0,3.0,700.0
244,2.0,4.0,4.0,535.6424958257738
245,2.0,4.0,5.0,0.0
246,2.0,4.0,6.0,0.0
247,2.0,4.0,7.0,20.59309946512682
248,2.0,4.0,8.0,501.0286342134423
249,2.0,4.0,9.0,0.0
250,2.0,5.0,0.0,313.61976360852407
251,2.0,5.0,1.0,410.0178472125997
252,2.0,5.0,2.0,0.0
253,2.0,5.0,3.0,686.2234519847719
254,2.0,5.0,4.0,562.4868927123051
255,2.0,5.0,5.0,0.0
256,2.0,5.0,6.0,0.0
257,2.0,5.0,7.0,0.0
258,2.0,5.0,8.0,385.09020547582696
259,2.0,5.0,9.0,0.0
260,2.0,6.0,0.0,310.45198910891236
261,2.0,6.0,1.0,415.9262622660837
262,2.0,6.0,2.0,0.0
263,2.0,6.0,3.0,700.0
264,2.0,6.0,4.0,556.1173888800586
265,2.0,6.0,5.0,0.0
266,2.0,6.0,6.0,0.0
267,2.0,6.0,7.0,0.0
268,2.0,6.0,8.0,404.9724157362744
269,2.0,6.0,9.0,0.0
270,2.0,7.0,0.0,37.56767836222972
271,2.0,7.0,1.0,438.06335141526256
272,2.0,7.0,2.0,0.0
273,2.0,7.0,3.0,700.0
274,2.0,7.0,4.0,458.1734177735571
275,2.0,7.0,5.0,0.0
276,2.0,7.0,6.0,369.6040505421024
277,2.0,7.0,7.0,233.66281747570912
278,2.0,7.0,8.0,661.035187855576
279,2.0,7.0,9.0,0.0
280,2.0,8.0,0.0,239.6143200843519
281,2.0,8.0,1.0,448.6399501009334
282,2.0,8.0,2.0,0.0
283,2.0,8.0,3.0,672.7372532333038
284,2.0,8.0,4.0,538.9343022050742
285,2.0,8.0,5.0,0.0
286,2.0,8.0,6.0,11.89858401254946
287,2.0,8.0,7.0,132.73578457495628
288,2.0,8.0,8.0,463.055248621141
289,2.0,8.0,9.0,0.0
290,2.0,9.0,0.0,21.929652257125618
291,2.0,9.0,1.0,437.08229783061864
292,2.0,9.0,2.0,0.0
293,2.0,9.0,3.0,700.0
294,2.0,9.0,4.0,449.59770892317295
295,2.0,9.0,5.0,0.0
296,2.0,9.0,6.0,482.6138661593016
297,2.0,9.0,7.0,252.8884104413709
298,2.0,9.0,8.0,672.6954762322636
299,2.0,9.0,9.0,0.0
300,3.0,0.0,0.0,308.88442380580494
301,3.0,0.0,1.0,423.87977671362484
302,3.0,0.0,2.0,0.0
303,3.0,0.0,3.0,700.0
304,3.0,0.0,4.0,557.2199152168067
305,3.0,0.0,5.0,0.0
306,3.0,0.0,6.0,0.0
307,3.0,0.0,7.0,0.0
308,3.0,0.0,8.0,421.97165890002145
309,3.0,0.0,9.0,0.0
310,3.0,1.0,0.0,247.12006013811853
311,3.0,1.0,1.0,453.6055597384002
312,3.0,1.0,2.0,0.0
313,3.0,1.0,3.0,700.0
314,3.0,1.0,4.0,534.6723062290396
315,3.0,1.0,5.0,0.0
316,3.0,1.0,6.0,46.01658344655265
317,3.0,1.0,7.0,84.18452240562677
318,3.0,1.0,8.0,532.0247271827642
319,3.0,1.0,9.0,0.0
320,3.0,2.0,0.0,695.9605318642087
321,3.0,2.0,1.0,363.8360859281634
322,3.0,2.0,2.0,0.0
323,3.0,2.0,3.0,700.0
324,3.0,2.0,4.0,698.5253576231357
325,3.0,2.0,5.0,0.0
326,3.0,2.0,6.0,0.0
327,3.0,2.0,7.0,0.0
328,3.0,2.0,8.0,0.0
329,3.0,2.0,9.0,0.0
330,3.0,3.0,0.0,302.85095265122857
331,3.0,3.0,1.0,422.50688475462465
332,3.0,3.0,2.0,0.0
333,3.0,3.0,3.0,700.0
334,3.0,3.0,4.0,555.0173449909679
335,3.0,3.0,5.0,0.0
336,3.0,3.0,6.0,0.0
337,3.0,3.0,7.0,0.0
338,3.0,3.0,8.0,423.7432542477373
339,3.0,3.0,9.0,0.0
340,3.0,4.0,0.0,223.00592674877186
341,3.0,4.0,1.0,429.59211874256164
342,3.0,4.0,2.0,0.0
343,3.0,4.0,3.0,700.0
344,3.0,4.0,4.0,525.8692356806687
345,3.0,4.0,5.0,0.0
346,3.0,4.0,6.0,0.0
347,3.0,4.0,7.0,3.3324968180229755
348,3.0,4.0,8.0,500.2086972675193
349,3.0,4.0,9.0,0.0
350,3.0,5.0,0.0,422.10450539895004
351,3.0,5.0,1.0,373.9386847641727
352,3.0,5.0,2.0,0.0
353,3.0,5.0,3.0,700.0
354,3.0,5.0,4.0,598.5518739343061
355,3.0,5.0,5.0,0.0
356,3.0,5.0,6.0,0.0
357,3.0,5.0,7.0,0.0
358,3.0,5.0,8.0,229.7847681034627
359,3.0,5.0,9.0,0.0
360,3.0,6.0,0.0,404.77768523776507
361,3.0,6.0,1.0,386.58514289116334
362,3.0,6.0,2.0,0.0
363,3.0,6.0,3.0,700.0
364,3.0,6.0,4.0,589.5085330746829
365,3.0,6.0,5.0,0.0
366,3.0,6.0,6.0,0.0
367,3.0,6.0,7.0,0.0
368,3.0,6.0,8.0,271.1761811216247
369,3.0,6.0,9.0,0.0
370,3.0,7.0,0.0,42.57986193446037
371,3.0,7.0,1.0,429.62498678681214
372,3.0,7.0,2.0,0.0
373,3.0,7.0,3.0,700.0
374,3.0,7.0,4.0,460.0031582363523
375,3.0,7.0,5.0,0.0
376,3.0,7.0,6.0,305.8372303905519
377,3.0,7.0,7.0,191.21858429656263
378,3.0,7.0,8.0,639.4523801000131
379,3.0,7.0,9.0,0.0
380,3.0,8.0,0.0,366.89009502516916
381,3.0,8.0,1.0,396.55367403705856
382,3.0,8.0,2.0,0.0
383,3.0,8.0,3.0,700.0
384,3.0,8.0,4.0,578.3953813928065
385,3.0,8.0,5.0,0.0
386,3.0,8.0,6.0,0.0
387,3.0,8.0,7.0,0.0
388,3.0,8.0,8.0,279.7982246897858
389,3.0,8.0,9.0,0.0
390,3.0,9.0,0.0,0.0
391,3.0,9.0,1.0,438.2093622921198
392,3.0,9.0,2.0,0.0
393,3.0,9.0,3.0,700.0
394,3.0,9.0,4.0,439.8779352871232
395,3.0,9.0,5.0,0.0
396,3.0,9.0,6.0,471.5602085627543
397,3.0,9.0,7.0,286.4554427341061
398,3.0,9.0,8.0,700.0
399,3.0,9.0,9.0,0.0
400,4.0,0.0,0.0,331.4202544724709
401,4.0,0.0,1.0,409.5485481695484
402,4.0,0.0,2.0,0.0
403,4.0,0.0,3.0,700.0
404,4.0,0.0,4.0,565.4468128631662
405,4.0,0.0,5.0,0.0
406,4.0,0.0,6.0,0.0
407,4.0,0.0,7.0,0.0
408,4.0,0.0,8.0,374.499463759567
409,4.0,0.0,9.0,0.0
410,4.0,1.0,0.0,264.9430266307609
411,4.0,1.0,1.0,443.0739182784849
412,4.0,1.0,2.0,0.0
413,4.0,1.0,3.0,700.0
414,4.0,1.0,4.0,541.1787325178357
415,4.0,1.0,5.0,0.0
416,4.0,1.0,6.0,0.0
417,4.0,1.0,7.0,19.174885031029927
418,4.0,1.0,8.0,496.1652152816077
419,4.0,1.0,9.0,0.0
420,4.0,2.0,0.0,700.0
421,4.0,2.0,1.0,339.1220250362706
422,4.0,2.0,2.0,0.0
423,4.0,2.0,3.0,700.0
424,4.0,2.0,4.0,700.0
425,4.0,2.0,5.0,0.0
426,4.0,2.0,6.0,0.0
427,4.0,2.0,7.0,0.0
428,4.0,2.0,8.0,0.0
429,4.0,2.0,9.0,0.0
430,4.0,3.0,0.0,408.93604239807445
431,4.0,3.0,1.0,404.3906919917151
432,4.0,3.0,2.0,0.0
433,4.0,3.0,3.0,700.0
434,4.0,3.0,4.0,593.744613937083
435,4.0,3.0,5.0,0.0
436,4.0,3.0,6.0,0.0
437,4.0,3.0,7.0,0.0
438,4.0,3.0,8.0,303.87729964588345
