,round,tube,sp,pop_0,final_pop,st_div_H,auc,fc
0,0.0,0.0,3.0,13.0,1.0,-0.0,402.0,0.07692301775152481
1,0.0,0.0,4.0,9.0,24.0,-0.0,1548.0,2.666663703706996
2,0.0,0.0,5.0,14.0,14.0,0.25731864054383163,1198.0,0.9999992857147959
3,0.0,0.0,7.0,13.0,15.0,-0.0,790.0,1.1538452662728722
4,0.0,0.0,8.0,16.0,194.0,0.13795276820044783,12558.0,12.124992421879737
5,0.0,0.0,9.0,14.0,88.0,-0.0,4961.0,6.285709795921575
6,0.0,0.0,12.0,10.0,3.0,-0.0,416.0,0.2999997000003
7,0.0,1.0,3.0,13.0,2.0,-0.0,316.0,0.15384603550304962
8,0.0,1.0,4.0,9.0,22.0,-0.0,1697.0,2.4444417283980795
9,0.0,1.0,5.0,14.0,29.0,0.14999492361041503,2036.0,2.0714270918377915
10,0.0,1.0,7.0,13.0,16.0,-0.0,967.0,1.230768284024397
11,0.0,1.0,8.0,16.0,181.0,0.14552409064713356,12128.0,11.312492929691919
12,0.0,1.0,9.0,14.0,45.0,-0.0,3044.0,3.214283418368987
13,0.0,1.0,12.0,10.0,2.0,-0.0,439.0,0.1999998000002
14,0.0,2.0,3.0,13.0,4.0,-0.0,444.0,0.30769207100609924
15,0.0,2.0,4.0,9.0,29.0,-0.0,1928.0,3.222218641979287
16,0.0,2.0,5.0,14.0,10.0,-0.0,1031.0,0.7142852040819971
17,0.0,2.0,7.0,13.0,25.0,-0.0,1753.0,1.9230754437881201
18,0.0,2.0,8.0,16.0,151.0,0.14540065581103273,9867.0,9.437494101566188
19,0.0,2.0,9.0,14.0,53.0,-0.0,3343.0,3.7857115816345845
20,0.0,2.0,12.0,10.0,3.0,-0.0,329.0,0.2999997000003
21,0.0,3.0,3.0,13.0,2.0,-0.0,378.0,0.15384603550304962
22,0.0,3.0,4.0,9.0,28.0,-0.0,1972.0,3.1111076543248286
23,0.0,3.0,5.0,14.0,26.0,0.4293230219306162,1781.0,1.8571415306131924
24,0.0,3.0,7.0,13.0,7.0,-0.0,687.0,0.5384611242606736
25,0.0,3.0,8.0,16.0,119.0,-0.0,8600.0,7.437495351565405
