,round,tube,tox,amount
0,0.0,0.0,0.0,278.2190408327518
1,0.0,0.0,1.0,419.21833482421647
2,0.0,0.0,2.0,476.4093224838416
3,0.0,0.0,3.0,476.9972045170735
4,0.0,0.0,4.0,599.8601529751562
5,0.0,0.0,5.0,469.5350681080104
6,0.0,0.0,6.0,301.2458517841352
7,0.0,0.0,7.0,357.45715829840884
8,0.0,0.0,8.0,564.3652092280322
9,0.0,0.0,9.0,500.0003563977119
10,0.0,1.0,0.0,211.3359594131648
11,0.0,1.0,1.0,359.5764467269205
12,0.0,1.0,2.0,380.6536379512268
13,0.0,1.0,3.0,486.5985196825588
14,0.0,1.0,4.0,614.4985926379454
15,0.0,1.0,5.0,407.8368542761017
16,0.0,1.0,6.0,293.10740585067333
17,0.0,1.0,7.0,222.1431249042243
18,0.0,1.0,8.0,597.2073004133314
19,0.0,1.0,9.0,559.2154360372185
20,0.0,2.0,0.0,240.17284303185914
21,0.0,2.0,1.0,405.4866435193266
22,0.0,2.0,2.0,446.1742916912583
23,0.0,2.0,3.0,487.84922174317836
24,0.0,2.0,4.0,609.6580218520716
25,0.0,2.0,5.0,448.4664422393277
26,0.0,2.0,6.0,286.87576829188953
27,0.0,2.0,7.0,293.9021369941349
28,0.0,2.0,8.0,579.9352184291056
29,0.0,2.0,9.0,524.8648513329247
30,0.0,3.0,0.0,247.16565480542064
31,0.0,3.0,1.0,499.3944850103946
32,0.0,3.0,2.0,560.7074691111764
33,0.0,3.0,3.0,484.2790253475554
34,0.0,3.0,4.0,635.3195733955638
35,0.0,3.0,5.0,531.9003729885212
36,0.0,3.0,6.0,266.2248775539416
37,0.0,3.0,7.0,364.08006860326896
38,0.0,3.0,8.0,568.4099856913994
39,0.0,3.0,9.0,469.5074467838985
40,0.0,4.0,0.0,266.48363148505194
41,0.0,4.0,1.0,452.6455017517684
42,0.0,4.0,2.0,516.0839371645342
43,0.0,4.0,3.0,475.29861965044955
44,0.0,4.0,4.0,611.8561472611716
45,0.0,4.0,5.0,495.2466472605568
46,0.0,4.0,6.0,273.8966289675556
47,0.0,4.0,7.0,362.1386640038344
48,0.0,4.0,8.0,566.375381437578
49,0.0,4.0,9.0,491.16292089397587
50,0.0,5.0,0.0,224.70809062729003
51,0.0,5.0,1.0,433.47560709120177
52,0.0,5.0,2.0,465.33846978104276
53,0.0,5.0,3.0,505.1492569154165
54,0.0,5.0,4.0,625.6098822945887
55,0.0,5.0,5.0,467.4471086580491
56,0.0,5.0,6.0,295.776248248482
57,0.0,5.0,7.0,288.1714283692806
58,0.0,5.0,8.0,581.7613234682981
59,0.0,5.0,9.0,511.1622376783805
60,0.0,6.0,0.0,204.60902538298552
61,0.0,6.0,1.0,427.56459416988054
62,0.0,6.0,2.0,455.7411935038526
63,0.0,6.0,3.0,500.82027731487443
64,0.0,6.0,4.0,631.4538630324618
65,0.0,6.0,5.0,461.0900497854719
66,0.0,6.0,6.0,282.04125483719747
67,0.0,6.0,7.0,260.32412713935577
68,0.0,6.0,8.0,587.3525319136999
69,0.0,6.0,9.0,517.480241024047
70,0.0,7.0,0.0,238.94782555983423
71,0.0,7.0,1.0,480.1375411973355
72,0.0,7.0,2.0,525.6268193371722
73,0.0,7.0,3.0,508.4497847348083
74,0.0,7.0,4.0,629.7199176121128
75,0.0,7.0,5.0,505.7875823377214
76,0.0,7.0,6.0,281.0675312889686
77,0.0,7.0,7.0,334.28271534614754
78,0.0,7.0,8.0,574.5806890715218
79,0.0,7.0,9.0,490.00787724976635
80,0.0,8.0,0.0,209.48909924241948
81,0.0,8.0,1.0,433.09908166151615
82,0.0,8.0,2.0,468.76263441824153
83,0.0,8.0,3.0,489.3821186240602
84,0.0,8.0,4.0,632.9284865869114
85,0.0,8.0,5.0,468.59220947011386
86,0.0,8.0,6.0,267.4295707249538
87,0.0,8.0,7.0,267.630429372401
88,0.0,8.0,8.0,589.5913590349057
89,0.0,8.0,9.0,520.981683248125
90,0.0,9.0,0.0,224.2521138216246
91,0.0,9.0,1.0,480.49569775660353
92,0.0,9.0,2.0,519.9893914632062
93,0.0,9.0,3.0,516.8401672921628
94,0.0,9.0,4.0,632.8668322069738
95,0.0,9.0,5.0,500.65250099454727
96,0.0,9.0,6.0,274.34539025564993
97,0.0,9.0,7.0,313.9419508648329
98,0.0,9.0,8.0,578.9043875797246
99,0.0,9.0,9.0,496.4342171668452
100,1.0,0.0,0.0,265.70815280516973
101,1.0,0.0,1.0,532.4044901209704
102,1.0,0.0,2.0,568.2131534164062
103,1.0,0.0,3.0,587.0305457402933
104,1.0,0.0,4.0,612.4173149123448
105,1.0,0.0,5.0,525.0780278759203
106,1.0,0.0,6.0,320.3607494113726
107,1.0,0.0,7.0,395.3965175387171
