,round,tube,tox,amount
0,0.0,0.0,0.0,504.8460429841485
1,0.0,0.0,1.0,343.94113258660116
2,0.0,0.0,2.0,301.6545394432491
3,0.0,0.0,3.0,627.5083000879118
4,0.0,0.0,4.0,387.19891065158373
5,0.0,0.0,5.0,324.7160250090172
6,0.0,0.0,6.0,502.5136473309044
7,0.0,0.0,7.0,458.03286485076865
8,0.0,0.0,8.0,405.8517102149612
9,0.0,0.0,9.0,320.6668975105997
10,0.0,1.0,0.0,552.7975093325093
11,0.0,1.0,1.0,398.96986738866826
12,0.0,1.0,2.0,303.596233477533
13,0.0,1.0,3.0,618.7679821665208
14,0.0,1.0,4.0,458.9837568919257
15,0.0,1.0,5.0,321.603221147032
16,0.0,1.0,6.0,573.6649402531829
17,0.0,1.0,7.0,527.9858078696158
18,0.0,1.0,8.0,419.5686126871575
19,0.0,1.0,9.0,268.86073393232664
20,0.0,2.0,0.0,470.4841113619432
21,0.0,2.0,1.0,383.3949993009908
22,0.0,2.0,2.0,386.5671000210961
23,0.0,2.0,3.0,616.2627065735189
24,0.0,2.0,4.0,419.92872908676065
25,0.0,2.0,5.0,366.5088267851833
26,0.0,2.0,6.0,466.44707452861405
27,0.0,2.0,7.0,469.4586107652085
28,0.0,2.0,8.0,453.59609845980174
29,0.0,2.0,9.0,261.57998793572267
30,0.0,3.0,0.0,478.64774503479595
31,0.0,3.0,1.0,358.36529211424556
32,0.0,3.0,2.0,327.1137186461247
33,0.0,3.0,3.0,619.6976201750209
34,0.0,3.0,4.0,440.82064313256865
35,0.0,3.0,5.0,331.0358706014531
36,0.0,3.0,6.0,474.36531914859165
37,0.0,3.0,7.0,425.2603525064314
38,0.0,3.0,8.0,426.9141682557314
39,0.0,3.0,9.0,263.06126036712726
40,0.0,4.0,0.0,465.6426423770815
41,0.0,4.0,1.0,325.06736862991687
42,0.0,4.0,2.0,356.2618708562507
43,0.0,4.0,3.0,619.5983005445966
44,0.0,4.0,4.0,387.81692038165295
45,0.0,4.0,5.0,348.9829581036301
46,0.0,4.0,6.0,457.17277043390095
47,0.0,4.0,7.0,431.369842406035
48,0.0,4.0,8.0,408.6863885399558
49,0.0,4.0,9.0,348.2154262608442
50,0.0,5.0,0.0,369.9382142713395
51,0.0,5.0,1.0,298.7790629301954
52,0.0,5.0,2.0,432.8248588334286
53,0.0,5.0,3.0,612.3812733780221
54,0.0,5.0,4.0,294.4939235046956
55,0.0,5.0,5.0,395.2618287918079
56,0.0,5.0,6.0,336.18016741128366
57,0.0,5.0,7.0,385.46057342671594
58,0.0,5.0,8.0,413.5555867155065
59,0.0,5.0,9.0,390.8286188056542
60,0.0,6.0,0.0,454.80776601965607
61,0.0,6.0,1.0,339.64741631088543
62,0.0,6.0,2.0,378.62178035706944
63,0.0,6.0,3.0,607.3443463107028
64,0.0,6.0,4.0,398.3588250693451
65,0.0,6.0,5.0,373.47485414621485
66,0.0,6.0,6.0,453.2210009504838
67,0.0,6.0,7.0,467.6948339397753
68,0.0,6.0,8.0,432.14720576111284
69,0.0,6.0,9.0,305.0512469163741
70,0.0,7.0,0.0,441.81466834504135
71,0.0,7.0,1.0,330.4279917625041
72,0.0,7.0,2.0,365.7067274364808
73,0.0,7.0,3.0,609.4072615398254
74,0.0,7.0,4.0,362.5086451297068
75,0.0,7.0,5.0,368.3059434070148
76,0.0,7.0,6.0,434.2018385549923
77,0.0,7.0,7.0,417.60573794968667
78,0.0,7.0,8.0,395.38517914738827
79,0.0,7.0,9.0,336.8124676054692
80,0.0,8.0,0.0,458.24875811948095
81,0.0,8.0,1.0,320.0019529892753
82,0.0,8.0,2.0,389.41268893608594
83,0.0,8.0,3.0,615.4308404592917
84,0.0,8.0,4.0,371.8699225730082
85,0.0,8.0,5.0,371.61842204484066
86,0.0,8.0,6.0,450.9013764841574
87,0.0,8.0,7.0,480.50621156973045
88,0.0,8.0,8.0,440.3085243862392
89,0.0,8.0,9.0,306.11397484782907
90,0.0,9.0,0.0,456.99298997066444
91,0.0,9.0,1.0,358.43824800117267
92,0.0,9.0,2.0,372.6605314996505
93,0.0,9.0,3.0,624.5303006308018
94,0.0,9.0,4.0,353.7042166344008
95,0.0,9.0,5.0,353.29946159819156
96,0.0,9.0,6.0,441.47893463610654
97,0.0,9.0,7.0,453.0353687091112
98,0.0,9.0,8.0,429.5365941587689
99,0.0,9.0,9.0,300.7401731170247
100,1.0,0.0,0.0,437.17312892583084
101,1.0,0.0,1.0,347.92382376205364
102,1.0,0.0,2.0,469.5061886601926
103,1.0,0.0,3.0,587.581164410671
104,1.0,0.0,4.0,449.7146025466082
105,1.0,0.0,5.0,500.8419780320673
106,1.0,0.0,6.0,446.6348348452591
107,1.0,0.0,7.0,542.3145780479817
108,1.0,0.0,8.0,496.219796504494
109,1.0,0.0,9.0,390.5920857285284
110,1.0,1.0,0.0,516.394593688574
111,1.0,1.0,1.0,417.01146690600086
112,1.0,1.0,2.0,231.84600136697344
113,1.0,1.0,3.0,654.15107577175
114,1.0,1.0,4.0,504.78420740073994
115,1.0,1.0,5.0,296.9140763483648
116,1.0,1.0,6.0,495.15200212161966
117,1.0,1.0,7.0,556.8566127823635
118,1.0,1.0,8.0,585.7015068419653
119,1.0,1.0,9.0,37.98930458973297
120,1.0,2.0,0.0,397.46967489514645
121,1.0,2.0,1.0,347.7971097963255
122,1.0,2.0,2.0,424.6350410273077
123,1.0,2.0,3.0,610.3943286100053
124,1.0,2.0,4.0,429.9325984468861
125,1.0,2.0,5.0,418.31390583825925
126,1.0,2.0,6.0,374.4487008432497
127,1.0,2.0,7.0,472.9113212027081
128,1.0,2.0,8.0,541.7969557964243
129,1.0,2.0,9.0,235.97613869828655
130,1.0,3.0,0.0,603.7452373261768
131,1.0,3.0,1.0,479.80479671377316
132,1.0,3.0,2.0,379.49172945491847
133,1.0,3.0,3.0,625.468662032474
134,1.0,3.0,4.0,578.3361917119128
135,1.0,3.0,5.0,350.32790162240957
136,1.0,3.0,6.0,635.6386003851227
137,1.0,3.0,7.0,674.9146329292403
138,1.0,3.0,8.0,549.4153258826459
139,1.0,3.0,9.0,138.68332076788678
140,1.0,4.0,0.0,394.8894644135248
141,1.0,4.0,1.0,351.75573598978747
142,1.0,4.0,2.0,447.97816854012655
143,1.0,4.0,3.0,607.9927549141921
144,1.0,4.0,4.0,428.5973515679844
145,1.0,4.0,5.0,467.2269784206347
146,1.0,4.0,6.0,373.06742625776997
147,1.0,4.0,7.0,479.6223705480131
148,1.0,4.0,8.0,537.3662562851093
149,1.0,4.0,9.0,303.3777028442269
150,1.0,5.0,0.0,450.0274107388098
151,1.0,5.0,1.0,300.7950464600023
152,1.0,5.0,2.0,453.91046646691746
153,1.0,5.0,3.0,602.3490900108005
154,1.0,5.0,4.0,431.4200830059266
155,1.0,5.0,5.0,457.4603768259763
156,1.0,5.0,6.0,451.12707311278814
157,1.0,5.0,7.0,548.6260095364224
158,1.0,5.0,8.0,491.5071713357271
159,1.0,5.0,9.0,452.783962956655
160,1.0,6.0,0.0,451.4378629449497
161,1.0,6.0,1.0,337.85530042924717
162,1.0,6.0,2.0,504.85123414563327
163,1.0,6.0,3.0,579.3173760760044
164,1.0,6.0,4.0,460.3781096805222
165,1.0,6.0,5.0,517.7746933822633
166,1.0,6.0,6.0,472.62747043300806
167,1.0,6.0,7.0,578.6067254500318
168,1.0,6.0,8.0,495.9113704623715
169,1.0,6.0,9.0,417.8800808525338
170,1.0,7.0,0.0,457.60003648021615
171,1.0,7.0,1.0,338.5349737552547
172,1.0,7.0,2.0,423.03007270813873
173,1.0,7.0,3.0,620.961685424467
174,1.0,7.0,4.0,450.6099165234906
175,1.0,7.0,5.0,409.4530716286206
176,1.0,7.0,6.0,445.3264097099546
177,1.0,7.0,7.0,526.0729880223396
178,1.0,7.0,8.0,536.5569201354667
179,1.0,7.0,9.0,237.231209218999
180,1.0,8.0,0.0,362.97487218132545
181,1.0,8.0,1.0,343.24963885908505
182,1.0,8.0,2.0,457.10186794411493
183,1.0,8.0,3.0,606.6723140757878
184,1.0,8.0,4.0,441.2062233068671
185,1.0,8.0,5.0,432.91847719055073
186,1.0,8.0,6.0,331.79434398945665
187,1.0,8.0,7.0,440.5969105607396
188,1.0,8.0,8.0,548.1238178697569
189,1.0,8.0,9.0,186.7633223406951
190,1.0,9.0,0.0,422.37849026303803
191,1.0,9.0,1.0,346.075386856484
192,1.0,9.0,2.0,429.1597943411516
193,1.0,9.0,3.0,609.0369662988604
194,1.0,9.0,4.0,422.293222704022
195,1.0,9.0,5.0,444.78351552910254
196,1.0,9.0,6.0,408.69656636911213
197,1.0,9.0,7.0,510.2827045779379
198,1.0,9.0,8.0,527.4333012275798
199,1.0,9.0,9.0,283.8429766486896
200,2.0,0.0,0.0,342.5370471590557
201,2.0,0.0,1.0,287.26086783696275
202,2.0,0.0,2.0,472.74671255152157
203,2.0,0.0,3.0,598.3203006263276
204,2.0,0.0,4.0,385.716303479614
205,2.0,0.0,5.0,501.153611583464
206,2.0,0.0,6.0,311.7600631397782
207,2.0,0.0,7.0,436.6477349687445
208,2.0,0.0,8.0,513.9681023887966
209,2.0,0.0,9.0,405.71805645188886
210,2.0,1.0,0.0,431.7700669604891
211,2.0,1.0,1.0,407.93830686814334
212,2.0,1.0,2.0,376.9483281485823
213,2.0,1.0,3.0,615.3592214096789
214,2.0,1.0,4.0,487.07816507341005
215,2.0,1.0,5.0,423.8416652056751
216,2.0,1.0,6.0,415.7856579265602
217,2.0,1.0,7.0,512.692635157361
218,2.0,1.0,8.0,561.6105003353683
219,2.0,1.0,9.0,181.99938767714337
220,2.0,2.0,0.0,379.6526076955388
221,2.0,2.0,1.0,370.4291311885142
222,2.0,2.0,2.0,447.95702619421894
223,2.0,2.0,3.0,611.3308883836048
224,2.0,2.0,4.0,437.3636575653603
225,2.0,2.0,5.0,424.4233706088483
226,2.0,2.0,6.0,349.9807608949723
227,2.0,2.0,7.0,460.96191177996667
228,2.0,2.0,8.0,561.4011731340948
229,2.0,2.0,9.0,181.52433292621083
230,2.0,3.0,0.0,564.5145780846975
231,2.0,3.0,1.0,421.7063785011332
232,2.0,3.0,2.0,468.71155087393385
233,2.0,3.0,3.0,592.5997114046775
234,2.0,3.0,4.0,544.7448894495973
235,2.0,3.0,5.0,441.2671254641604
236,2.0,3.0,6.0,611.5304398005123
237,2.0,3.0,7.0,685.2342930098354
238,2.0,3.0,8.0,505.8850729850588
239,2.0,3.0,9.0,323.6813277606517
240,2.0,4.0,0.0,370.6116735959715
241,2.0,4.0,1.0,362.66287542100116
242,2.0,4.0,2.0,382.7694252543885
243,2.0,4.0,3.0,625.880689751397
244,2.0,4.0,4.0,428.8098050013593
245,2.0,4.0,5.0,403.18458007353826
246,2.0,4.0,6.0,325.5712395564763
247,2.0,4.0,7.0,433.15476924121265
248,2.0,4.0,8.0,569.3371727069778
249,2.0,4.0,9.0,161.79576575885798
250,2.0,5.0,0.0,472.8044745764541
251,2.0,5.0,1.0,315.4283375164564
252,2.0,5.0,2.0,462.0658041813703
253,2.0,5.0,3.0,602.87016280059
254,2.0,5.0,4.0,444.96775295311534
255,2.0,5.0,5.0,461.29239493994436
256,2.0,5.0,6.0,480.9422017486511
257,2.0,5.0,7.0,572.764871875972
258,2.0,5.0,8.0,491.5785309595295
259,2.0,5.0,9.0,468.6222031962103
260,2.0,6.0,0.0,423.3162284241428
261,2.0,6.0,1.0,310.63629403115374
262,2.0,6.0,2.0,479.980732739289
263,2.0,6.0,3.0,594.875194940895
264,2.0,6.0,4.0,410.30523221224547
265,2.0,6.0,5.0,513.1047051242689
266,2.0,6.0,6.0,422.0103884204649
267,2.0,6.0,7.0,528.7939701183082
268,2.0,6.0,8.0,498.4403673187265
269,2.0,6.0,9.0,452.7973426070025
270,2.0,7.0,0.0,495.15612318492947
271,2.0,7.0,1.0,326.56948187397956
272,2.0,7.0,2.0,467.58220616745865
273,2.0,7.0,3.0,593.2463698055465
274,2.0,7.0,4.0,453.48093842438806
275,2.0,7.0,5.0,484.64413391458055
276,2.0,7.0,6.0,518.8371813614278
277,2.0,7.0,7.0,608.970617326768
278,2.0,7.0,8.0,495.29066197362516
279,2.0,7.0,9.0,395.72456434832856
280,2.0,8.0,0.0,351.65736045502666
281,2.0,8.0,1.0,369.0297378978427
282,2.0,8.0,2.0,463.70088953241117
283,2.0,8.0,3.0,615.6140543631922
284,2.0,8.0,4.0,442.0747719378017
285,2.0,8.0,5.0,427.2489594284846
286,2.0,8.0,6.0,309.139350768529
287,2.0,8.0,7.0,425.211805621313
288,2.0,8.0,8.0,568.1720952500157
289,2.0,8.0,9.0,157.00860703449123
290,2.0,9.0,0.0,325.866181197011
291,2.0,9.0,1.0,357.9682682556682
292,2.0,9.0,2.0,502.22469257018577
293,2.0,9.0,3.0,593.5064739371082
294,2.0,9.0,4.0,417.32439717302344
295,2.0,9.0,5.0,491.1324148584291
296,2.0,9.0,6.0,293.7150716906177
297,2.0,9.0,7.0,424.4545882331151
298,2.0,9.0,8.0,545.0101054809311
