,round,tube,tox,amount
0,0,0,0,0
1,0.0,0.0,1.0,521.6365949133179
2,0,0,2,0
3,0,0,3,700
4,0.0,0.0,4.0,430.7982196743653
5,0,0,5,0
6,0.0,0.0,6.0,381.0602690782687
7,0.0,0.0,7.0,272.0204236313522
8,0,0,8,700
9,0,0,9,0
10,0,1,0,0
11,0.0,1.0,1.0,521.2678379301187
12,0,1,2,0
13,0,1,3,700
14,0.0,1.0,4.0,430.24165911567655
15,0,1,5,0
16,0.0,1.0,6.0,380.4008779159401
17,0.0,1.0,7.0,271.13559830871395
18,0,1,8,700
19,0,1,9,0
20,0,2,0,0
21,0.0,2.0,1.0,517.0030542537564
22,0,2,2,0
23,0,2,3,700
24,0.0,2.0,4.0,423.80487149199104
25,0,2,5,0
26,0.0,2.0,6.0,372.7748239195095
27,0.0,2.0,7.0,260.9023315114905
28,0,2,8,700
29,0,2,9,0
30,0,3,0,0
31,0.0,3.0,1.0,528.869101282559
32,0,3,2,0
33,0,3,3,700
34,0.0,3.0,4.0,441.7141561012916
35,0,3,5,0
36,0.0,3.0,6.0,393.99304323210765
37,0.0,3.0,7.0,289.37468422358086
38,0,3,8,700
39,0,3,9,0
40,0,4,0,0
41,0.0,4.0,1.0,517.6078876786153
42,0,4,2,0
43,0,4,3,700
44,0.0,4.0,4.0,424.71773943535266
45,0,4,5,0
46,0.0,4.0,6.0,373.85635412287786
47,0.0,4.0,7.0,262.3536177370417
48,0,4,8,700
49,0,4,9,0
50,0,5,0,0
51,0.0,5.0,1.0,521.182584730858
52,0,5,2,0
53,0,5,3,700
54,0.0,5.0,4.0,430.11298746911103
55,0,5,5,0
56,0.0,5.0,6.0,380.2484327861824
57,0.0,5.0,7.0,270.93103488895906
58,0,5,8,700
59,0,5,9,0
60,0.0,6.0,0.0,10.202688186046764
61,0.0,6.0,1.0,533.1555179634668
62,0,6,2,0
63,0,6,3,700
64,0.0,6.0,4.0,448.18359416319146
65,0,6,5,0
66,0.0,6.0,6.0,401.65778018957104
67,0.0,6.0,7.0,299.6598590011239
68,0,6,8,700
69,0,6,9,0
70,0,7,0,0
71,0.0,7.0,1.0,522.4939169919044
72,0,7,2,0
73,0,7,3,700
74,0.0,7.0,4.0,432.0921657601998
75,0,7,5,0
76,0.0,7.0,6.0,382.59328574682195
77,0.0,7.0,7.0,274.07755154852043
78,0,7,8,700
79,0,7,9,0
80,0,8,0,0
81,0.0,8.0,1.0,508.6580758902779
82,0,8,2,0
83,0,8,3,700
84,0.0,8.0,4.0,411.209894225575
85,0,8,5,0
86,0.0,8.0,6.0,357.8527879082431
87,0.0,8.0,7.0,240.87871566343367
88,0,8,8,700
89,0,8,9,0
90,0,9,0,0
91,0.0,9.0,1.0,521.0816505548798
92,0,9,2,0
93,0,9,3,700
94,0.0,9.0,4.0,429.9606487096222
95,0,9,5,0
96,0.0,9.0,6.0,380.06794778752567
97,0.0,9.0,7.0,270.688845265726
98,0,9,8,700
99,0,9,9,0
100,1,0,0,0
101,1.0,0.0,1.0,513.3372188633828
102,1,0,2,0
103,1,0,3,700
104,1.0,0.0,4.0,418.2720694410888
105,1,0,5,0
106,1.0,0.0,6.0,366.21977664150336
