,round,tube,sp,pop_0,final_pop,st_div_H,auc,fc
0,0.0,0.0,1.0,33.0,537.0,-0.0,40746.0,16.272722341599287
1,0.0,0.0,8.0,18.0,212.0,-0.0,13764.0,11.777771234571537
2,0.0,1.0,1.0,33.0,621.0,-0.0,45559.0,18.818176115704205
3,0.0,1.0,8.0,18.0,191.0,-0.0,11891.0,10.611105216052659
4,0.0,2.0,1.0,33.0,608.0,-0.0,42701.0,18.42423684114035
5,0.0,2.0,8.0,18.0,256.0,-0.0,12921.0,14.222214320992045
6,0.0,3.0,1.0,33.0,580.0,-0.0,44702.0,17.575752249772044
7,0.0,3.0,8.0,18.0,273.0,-0.0,16785.0,15.166658240745422
8,0.0,4.0,1.0,33.0,604.0,-0.0,44652.0,18.303024756659163
9,0.0,4.0,8.0,18.0,286.0,-0.0,15689.0,15.8888800617333
10,0.0,5.0,1.0,33.0,580.0,-0.0,42791.0,17.575752249772044
11,0.0,5.0,8.0,18.0,262.0,-0.0,14140.0,14.555547469140295
12,0.0,6.0,1.0,33.0,556.0,-0.0,39250.0,16.848479742884926
13,0.0,6.0,8.0,18.0,258.0,-0.0,14037.0,14.333325370374794
14,0.0,7.0,1.0,33.0,598.0,-0.0,42868.0,18.121206629937383
15,0.0,7.0,8.0,18.0,246.0,-0.0,13265.0,13.666659074078293
16,0.0,8.0,1.0,33.0,615.0,-0.0,44241.0,18.636357988982425
17,0.0,8.0,8.0,18.0,266.0,-0.0,14371.0,14.777769567905796
18,0.0,9.0,1.0,33.0,616.0,-0.0,45943.0,18.66666101010272
19,0.0,9.0,8.0,18.0,278.0,-0.0,15983.0,15.444435864202298
20,1.0,0.0,1.0,19.0,635.0,-0.0,42507.0,33.42103504156051
21,1.0,0.0,8.0,9.0,247.0,-0.0,11951.0,27.444413950651168
22,1.0,1.0,1.0,32.0,596.0,-0.0,42353.0,18.624994179689317
23,1.0,1.0,8.0,15.0,299.0,-0.0,16321.0,19.933320044453303
24,1.0,2.0,1.0,33.0,629.0,-0.0,45898.0,19.060600284666577
25,1.0,2.0,8.0,12.0,182.0,-0.0,9533.0,15.166654027788312
