,round,tube,nut,amount
0,0.0,0.0,0.0,30.497922245198126
1,0.0,0.0,1.0,0.00560743442483691
2,0.0,0.0,2.0,0.3825156575892764
3,0.0,0.0,3.0,0.012828047922822439
4,0.0,1.0,0.0,29.457466452805626
5,0.0,1.0,1.0,0.3803886854951566
6,0.0,1.0,2.0,0.589402931211996
7,0.0,1.0,3.0,0.11978022550994394
8,0.0,2.0,0.0,25.2076410712596
9,0.0,2.0,1.0,0.4120200398818834
10,0.0,2.0,2.0,0.9263815305285317
11,0.0,2.0,3.0,0.005393239855428444
12,0.0,3.0,0.0,16.024020178454236
13,0.0,3.0,1.0,0.056775263737806725
14,0.0,3.0,2.0,0.41559051755828413
15,0.0,3.0,3.0,0.039514150137332615
16,0.0,4.0,0.0,31.83801498088613
17,0.0,4.0,1.0,0.545592127288792
18,0.0,4.0,2.0,0.5940525021751686
19,0.0,4.0,3.0,0.10039768771732849
20,0.0,5.0,0.0,16.28886157040732
21,0.0,5.0,1.0,0.316091157576182
22,0.0,5.0,2.0,0.16337601584849326
23,0.0,5.0,3.0,0.09995829310201311
24,0.0,6.0,0.0,17.456891775990798
25,0.0,6.0,1.0,0.4036129137644373
26,0.0,6.0,2.0,0.22538498112071226
27,0.0,6.0,3.0,0.06344173024091698
28,0.0,7.0,0.0,27.440705524450905
29,0.0,7.0,1.0,0.5163876579495521
30,0.0,7.0,2.0,0.9704156451917376
31,0.0,7.0,3.0,0.1095301080398175
32,0.0,8.0,0.0,17.369447646887654
33,0.0,8.0,1.0,0.7126005301122198
34,0.0,8.0,2.0,1547.5387003794358
35,0.0,8.0,3.0,0.05945685828359465
36,0.0,9.0,0.0,28.17378673549954
37,0.0,9.0,1.0,0.36945946556533293
38,0.0,9.0,2.0,0.8007911849975384
39,0.0,9.0,3.0,0.023570296286255177
40,1.0,0.0,0.0,12.354681633335764
41,1.0,0.0,1.0,0.06038355440983745
42,1.0,0.0,2.0,0.8111696176954517
43,1.0,0.0,3.0,0.007469040339580513
44,1.0,1.0,0.0,19.965893536730828
45,1.0,1.0,1.0,0.8032215190022032
46,1.0,1.0,2.0,1547.5592089318397
