,round,tube,sp,pop_0,final_pop,st_div_H,auc,fc
0,0.0,0.0,1.0,37.0,257.0,0.141298989996963,25827.0,6.945944068663764
1,0.0,0.0,6.0,15.0,197.0,-0.0,17034.0,13.133324577783615
2,0.0,0.0,8.0,8.0,83.0,-0.0,4820.0,10.374987031266212
3,0.0,0.0,9.0,9.0,26.0,-0.0,2174.0,2.8888856790159125
4,0.0,0.0,10.0,5.0,10.0,0.5004024235381879,863.0,1.9999960000080002
5,0.0,0.0,12.0,14.0,3.0,-0.0,487.0,0.21428556122459913
6,0.0,0.0,14.0,20.0,201.0,0.8150060888861408,12894.0,10.049994975002512
7,0.0,1.0,1.0,37.0,251.0,0.23173936092558556,22608.0,6.783781950329202
8,0.0,1.0,6.0,15.0,213.0,-0.0,17046.0,14.199990533339644
9,0.0,1.0,8.0,8.0,87.0,-0.0,5080.0,10.874986406266993
10,0.0,1.0,9.0,9.0,21.0,-0.0,1611.0,2.3333307407436217
11,0.0,1.0,10.0,5.0,18.0,0.45056120886630463,1515.0,3.5999928000144004
12,0.0,1.0,12.0,14.0,6.0,-0.0,822.0,0.42857112244919826
13,0.0,1.0,14.0,20.0,268.0,0.77212094813582,17348.0,13.39999330000335
14,0.0,2.0,1.0,37.0,243.0,0.2596934270330262,21965.0,6.567565792549785
15,0.0,2.0,6.0,15.0,179.0,-0.0,14545.0,11.933325377783081
16,0.0,2.0,8.0,8.0,88.0,-0.0,4883.0,10.999986250017187
17,0.0,2.0,9.0,9.0,14.0,-0.0,1295.0,1.5555538271624143
18,0.0,2.0,10.0,5.0,43.0,0.6310051928046935,3414.0,8.5999828000344
19,0.0,2.0,12.0,14.0,4.0,-0.0,525.0,0.2857140816327988
20,0.0,2.0,14.0,20.0,198.0,0.8995459672051425,12089.0,9.899995050002476
21,0.0,3.0,1.0,37.0,272.0,0.22928457954057122,24732.0,7.351349364500171
22,0.0,3.0,6.0,15.0,214.0,-0.0,17203.0,14.266657155561896
23,0.0,3.0,8.0,8.0,123.0,-0.0,7510.0,15.374980781274024
24,0.0,3.0,9.0,9.0,15.0,-0.0,1244.0,1.6666648148168726
25,0.0,3.0,10.0,5.0,24.0,0.5117400734174093,2273.0,4.7999904000192
26,0.0,3.0,12.0,14.0,4.0,-0.0,580.0,0.2857140816327988
27,0.0,3.0,14.0,20.0,199.0,0.686453106032275,13306.0,9.949995025002488
28,0.0,4.0,1.0,37.0,294.0,0.17131984251680948,26400.0,7.945943798393567
29,0.0,4.0,6.0,15.0,184.0,-0.0,14727.0,12.266658488894342
30,0.0,4.0,8.0,8.0,113.0,-0.0,6911.0,14.124982343772071
31,0.0,4.0,9.0,9.0,13.0,-0.0,1128.0,1.4444428395079563
32,0.0,4.0,10.0,5.0,37.0,0.6482791673644765,2841.0,7.399985200029601
33,0.0,4.0,12.0,14.0,3.0,-0.0,549.0,0.21428556122459913
34,0.0,4.0,14.0,20.0,190.0,0.7760713589904148,12032.0,9.499995250002375
35,0.0,5.0,1.0,37.0,287.0,0.2732732778392072,24680.0,7.756754660336577
36,0.0,5.0,6.0,15.0,219.0,-0.0,17356.0,14.599990266673156
37,0.0,5.0,8.0,8.0,105.0,-0.0,6311.0,13.124983593770509
38,0.0,5.0,9.0,9.0,18.0,-0.0,1372.0,1.999997777780247
39,0.0,5.0,10.0,5.0,15.0,0.6365141682948128,1285.0,2.9999940000120002
40,0.0,5.0,12.0,14.0,4.0,-0.0,565.0,0.2857140816327988
41,0.0,5.0,14.0,20.0,258.0,0.6514304300545714,17448.0,12.899993550003225
42,0.0,6.0,1.0,37.0,283.0,0.16119426572908957,24953.0,7.64864658144687
43,0.0,6.0,6.0,15.0,205.0,-0.0,15824.0,13.66665755556163
44,0.0,6.0,8.0,8.0,136.0,-0.0,8312.0,16.999978750026564
45,0.0,6.0,9.0,9.0,18.0,-0.0,1635.0,1.999997777780247
46,0.0,6.0,10.0,5.0,19.0,0.6806294878916634,1737.0,3.7999924000152
47,0.0,6.0,12.0,14.0,8.0,-0.0,886.0,0.5714281632655976
48,0.0,6.0,14.0,20.0,188.0,0.6895212477618784,12045.0,9.39999530000235
49,0.0,7.0,1.0,37.0,246.0,0.5708860266670619,21288.0,6.648646851717067
50,0.0,7.0,6.0,15.0,200.0,-0.0,14981.0,13.333324444450371
51,0.0,7.0,8.0,8.0,120.0,-0.0,6880.0,14.999981250023438
52,0.0,7.0,9.0,9.0,17.0,-0.0,1366.0,1.8888867901257889
53,0.0,7.0,10.0,5.0,30.0,0.45056120886630463,2241.0,5.9999880000240005
54,0.0,7.0,12.0,14.0,2.0,-0.0,441.0,0.1428570408163994
55,0.0,7.0,14.0,20.0,217.0,0.6751902575186259,14013.0,10.849994575002713
56,0.0,8.0,1.0,37.0,262.0,0.13659474743992522,23365.0,7.0810791672759
57,0.0,8.0,6.0,15.0,215.0,-0.0,16572.0,14.333323777784148
58,0.0,8.0,8.0,8.0,144.0,-0.0,9208.0,17.999977500028127
59,0.0,8.0,9.0,9.0,17.0,-0.0,1331.0,1.8888867901257889
60,0.0,8.0,10.0,5.0,39.0,0.4293230219306162,3250.0,7.7999844000312
61,0.0,8.0,12.0,14.0,3.0,-0.0,637.0,0.21428556122459913
62,0.0,8.0,14.0,20.0,196.0,0.8599632223683431,13214.0,9.79999510000245
63,0.0,9.0,1.0,37.0,290.0,0.24594027166511645,24218.0,7.837835719503859
64,0.0,9.0,6.0,15.0,220.0,-0.0,16789.0,14.666656888895409
65,0.0,9.0,8.0,8.0,146.0,-0.0,8971.0,18.249977187528515
66,0.0,9.0,9.0,9.0,19.0,-0.0,1424.0,2.111108765434705
67,0.0,9.0,10.0,5.0,16.0,0.37677016125643675,1309.0,3.1999936000128004
68,0.0,9.0,12.0,14.0,2.0,-0.0,592.0,0.1428570408163994
69,0.0,9.0,14.0,20.0,164.0,0.790601524153854,11094.0,8.199995900002051
70,1.0,0.0,1.0,11.0,262.0,-0.0,18561.0,23.818160165308942
71,1.0,0.0,6.0,4.0,219.0,-0.0,15097.0,54.749863125342195
72,1.0,0.0,8.0,4.0,115.0,-0.0,5950.0,28.74992812517969
73,1.0,0.0,10.0,2.0,42.0,-0.0,2220.0,20.999895000524997
74,1.0,0.0,14.0,8.0,169.0,0.6392135323691093,9141.0,21.124973593783007
75,1.0,1.0,1.0,15.0,279.0,-0.0,22755.0,18.599987600008266
76,1.0,1.0,6.0,8.0,198.0,-0.0,15559.0,24.74996906253867
77,1.0,1.0,8.0,2.0,83.0,-0.0,4383.0,41.49979250103749
78,1.0,1.0,9.0,1.0,2.0,-0.0,149.0,1.9999800001999979
79,1.0,1.0,10.0,1.0,13.0,-0.0,1079.0,12.999870001299985
80,1.0,1.0,12.0,1.0,0.0,,3.0,0.0
81,1.0,1.0,14.0,17.0,333.0,0.7935613954837256,19828.0,19.588223771633075
82,1.0,2.0,1.0,10.0,222.0,-0.0,14753.0,22.1999778000222
83,1.0,2.0,6.0,9.0,227.0,-0.0,17685.0,25.222194197562004
84,1.0,2.0,8.0,6.0,80.0,-0.0,4388.0,13.333311111148149
85,1.0,2.0,10.0,3.0,13.0,-0.0,1199.0,4.333318888937037
86,1.0,2.0,14.0,15.0,252.0,0.8353279483612283,16831.0,16.799988800007466
87,1.0,3.0,1.0,19.0,235.0,-0.0,19368.0,12.368414542939714
88,1.0,3.0,6.0,9.0,255.0,-0.0,20394.0,28.333301851886834
89,1.0,3.0,8.0,6.0,103.0,-0.0,6178.0,17.16663805560324
90,1.0,3.0,10.0,1.0,2.0,-0.0,144.0,1.9999800001999979
91,1.0,3.0,14.0,12.0,232.0,0.6823697026283029,15831.0,19.33331722223565
92,1.0,4.0,1.0,14.0,241.0,-0.0,17776.0,17.21427341837613
93,1.0,4.0,6.0,11.0,299.0,-0.0,21773.0,27.181793471096846
94,1.0,4.0,8.0,6.0,137.0,-0.0,7941.0,22.833295277841206
95,1.0,4.0,9.0,1.0,3.0,-0.0,288.0,2.9999700002999967
96,1.0,4.0,10.0,1.0,10.0,-0.0,650.0,9.99990000099999
97,1.0,4.0,14.0,10.0,108.0,0.6916031758694977,6664.0,10.7999892000108
98,1.0,5.0,1.0,20.0,308.0,0.3120489186951044,25449.0,15.39999230000385
99,1.0,5.0,6.0,7.0,217.0,-0.0,16173.0,30.99995571434898
100,1.0,5.0,8.0,4.0,101.0,-0.0,5464.0,25.249936875157815
101,1.0,5.0,9.0,1.0,4.0,-0.0,311.0,3.9999600003999958
