,round,tube,tox,amount
0,0.0,0.0,0.0,205.54005384243314
1,0.0,0.0,1.0,269.5580869345183
2,0.0,0.0,2.0,0.0
3,0.0,0.0,3.0,605.5740758656642
4,0.0,0.0,4.0,555.4626467580767
5,0.0,0.0,5.0,0.0
6,0.0,0.0,6.0,0.0
7,0.0,0.0,7.0,0.0
8,0.0,0.0,8.0,313.35746710505833
9,0.0,0.0,9.0,0.0
10,0.0,1.0,0.0,225.3719294129729
11,0.0,1.0,1.0,256.7357387256488
12,0.0,1.0,2.0,0.0
13,0.0,1.0,3.0,581.4302327485557
14,0.0,1.0,4.0,561.4029055320927
15,0.0,1.0,5.0,0.0
16,0.0,1.0,6.0,0.0
17,0.0,1.0,7.0,0.0
18,0.0,1.0,8.0,303.5660001407973
19,0.0,1.0,9.0,0.0
20,0.0,2.0,0.0,305.2092514466127
21,0.0,2.0,1.0,293.242371094402
22,0.0,2.0,2.0,0.0
23,0.0,2.0,3.0,634.8979159655485
24,0.0,2.0,4.0,572.3225292015176
25,0.0,2.0,5.0,0.0
26,0.0,2.0,6.0,0.0
27,0.0,2.0,7.0,0.0
28,0.0,2.0,8.0,235.87991765908833
29,0.0,2.0,9.0,0.0
30,0.0,3.0,0.0,132.88897799897566
31,0.0,3.0,1.0,286.3387177041635
32,0.0,3.0,2.0,0.0
33,0.0,3.0,3.0,597.2116349049277
34,0.0,3.0,4.0,540.0459064591475
35,0.0,3.0,5.0,0.0
36,0.0,3.0,6.0,0.0
37,0.0,3.0,7.0,0.0
38,0.0,3.0,8.0,411.5626462628245
39,0.0,3.0,9.0,0.0
40,0.0,4.0,0.0,174.75850862776608
41,0.0,4.0,1.0,286.9396387828188
42,0.0,4.0,2.0,0.0
43,0.0,4.0,3.0,588.8961356805567
44,0.0,4.0,4.0,531.1427734244888
45,0.0,4.0,5.0,0.0
46,0.0,4.0,6.0,0.0
47,0.0,4.0,7.0,0.0
48,0.0,4.0,8.0,364.0814775776691
49,0.0,4.0,9.0,0.0
50,0.0,5.0,0.0,125.28002894703347
51,0.0,5.0,1.0,256.56932639507005
52,0.0,5.0,2.0,0.0
53,0.0,5.0,3.0,584.1729094294642
54,0.0,5.0,4.0,533.3719327610563
55,0.0,5.0,5.0,0.0
56,0.0,5.0,6.0,0.0
57,0.0,5.0,7.0,0.0
58,0.0,5.0,8.0,378.82695745912474
59,0.0,5.0,9.0,0.0
60,0.0,6.0,0.0,161.5591627143265
61,0.0,6.0,1.0,251.53885006209538
62,0.0,6.0,2.0,0.0
63,0.0,6.0,3.0,576.2601392678785
64,0.0,6.0,4.0,551.8141461590915
65,0.0,6.0,5.0,0.0
66,0.0,6.0,6.0,0.0
67,0.0,6.0,7.0,0.0
68,0.0,6.0,8.0,361.99831895242005
69,0.0,6.0,9.0,0.0
70,0.0,7.0,0.0,109.29556302912772
71,0.0,7.0,1.0,274.6766414852505
72,0.0,7.0,2.0,0.0
73,0.0,7.0,3.0,608.1525211007915
74,0.0,7.0,4.0,528.3038830132665
75,0.0,7.0,5.0,0.0
76,0.0,7.0,6.0,0.0
77,0.0,7.0,7.0,0.0
78,0.0,7.0,8.0,396.1039349892022
79,0.0,7.0,9.0,0.0
80,0.0,8.0,0.0,220.1963045672445
81,0.0,8.0,1.0,287.2115941855882
82,0.0,8.0,2.0,0.0
83,0.0,8.0,3.0,588.5089849873766
84,0.0,8.0,4.0,550.75669358877
85,0.0,8.0,5.0,0.0
86,0.0,8.0,6.0,0.0
87,0.0,8.0,7.0,0.0
88,0.0,8.0,8.0,341.47508560454656
89,0.0,8.0,9.0,0.0
90,0.0,9.0,0.0,165.88024864440388
91,0.0,9.0,1.0,265.98668867943985
92,0.0,9.0,2.0,0.0
93,0.0,9.0,3.0,630.8838262827384
94,0.0,9.0,4.0,539.3166688194617
95,0.0,9.0,5.0,0.0
96,0.0,9.0,6.0,0.0
97,0.0,9.0,7.0,0.0
98,0.0,9.0,8.0,321.4285205395245
99,0.0,9.0,9.0,0.0
100,1.0,0.0,0.0,268.8776015873591
101,1.0,0.0,1.0,349.32709642780594
102,1.0,0.0,2.0,0.0
103,1.0,0.0,3.0,698.0505910949594
104,1.0,0.0,4.0,573.5857729953722
105,1.0,0.0,5.0,0.0
106,1.0,0.0,6.0,0.0
107,1.0,0.0,7.0,0.0
108,1.0,0.0,8.0,299.139456941281
109,1.0,0.0,9.0,0.0
110,1.0,1.0,0.0,292.16995181450284
111,1.0,1.0,1.0,313.2593422567986
112,1.0,1.0,2.0,0.0
113,1.0,1.0,3.0,696.1520280095453
114,1.0,1.0,4.0,610.9114968771206
115,1.0,1.0,5.0,0.0
116,1.0,1.0,6.0,0.0
117,1.0,1.0,7.0,0.0
118,1.0,1.0,8.0,329.9957480601547
119,1.0,1.0,9.0,0.0
120,1.0,2.0,0.0,387.8450038035543
121,1.0,2.0,1.0,367.40736719605684
122,1.0,2.0,2.0,0.0
123,1.0,2.0,3.0,699.3227275348181
124,1.0,2.0,4.0,594.0305376235405
125,1.0,2.0,5.0,0.0
126,1.0,2.0,6.0,0.0
127,1.0,2.0,7.0,0.0
128,1.0,2.0,8.0,211.0297407839468
129,1.0,2.0,9.0,0.0
130,1.0,3.0,0.0,132.98308304329979
131,1.0,3.0,1.0,315.19276677445237
132,1.0,3.0,2.0,0.0
133,1.0,3.0,3.0,695.8830981638679
134,1.0,3.0,4.0,558.4117566111431
135,1.0,3.0,5.0,0.0
136,1.0,3.0,6.0,0.0
137,1.0,3.0,7.0,0.0
138,1.0,3.0,8.0,425.9647505062946
139,1.0,3.0,9.0,0.0
140,1.0,4.0,0.0,217.99950383441774
141,1.0,4.0,1.0,296.1731825552911
142,1.0,4.0,2.0,0.0
143,1.0,4.0,3.0,672.6671667815165
144,1.0,4.0,4.0,579.5520554675908
145,1.0,4.0,5.0,0.0
146,1.0,4.0,6.0,0.0
147,1.0,4.0,7.0,0.0
148,1.0,4.0,8.0,324.26012120066156
149,1.0,4.0,9.0,0.0
150,1.0,5.0,0.0,73.65460486986983
151,1.0,5.0,1.0,320.3418493000782
152,1.0,5.0,2.0,0.0
153,1.0,5.0,3.0,679.5660795014848
154,1.0,5.0,4.0,532.798614023207
155,1.0,5.0,5.0,0.0
156,1.0,5.0,6.0,0.0
157,1.0,5.0,7.0,0.0
158,1.0,5.0,8.0,464.9653953790644
159,1.0,5.0,9.0,0.0
160,1.0,6.0,0.0,99.26950742798556
161,1.0,6.0,1.0,315.5624683046449
162,1.0,6.0,2.0,0.0
163,1.0,6.0,3.0,678.122903004907
164,1.0,6.0,4.0,542.2718026386889
165,1.0,6.0,5.0,0.0
166,1.0,6.0,6.0,0.0
167,1.0,6.0,7.0,0.0
168,1.0,6.0,8.0,448.65425758871675
169,1.0,6.0,9.0,0.0
170,1.0,7.0,0.0,213.65884949442642
171,1.0,7.0,1.0,332.3077398509655
172,1.0,7.0,2.0,0.0
173,1.0,7.0,3.0,673.0299294952988
174,1.0,7.0,4.0,560.2496599650559
175,1.0,7.0,5.0,0.0
176,1.0,7.0,6.0,0.0
177,1.0,7.0,7.0,0.0
178,1.0,7.0,8.0,349.2064460784108
179,1.0,7.0,9.0,0.0
180,1.0,8.0,0.0,138.240298824462
181,1.0,8.0,1.0,324.17683657736114
182,1.0,8.0,2.0,0.0
183,1.0,8.0,3.0,696.5267974034475
184,1.0,8.0,4.0,550.104356047474
185,1.0,8.0,5.0,0.0
186,1.0,8.0,6.0,0.0
187,1.0,8.0,7.0,0.0
188,1.0,8.0,8.0,403.70422780693394
189,1.0,8.0,9.0,0.0
190,1.0,9.0,0.0,48.805403732592445
191,1.0,9.0,1.0,349.40354964248866
192,1.0,9.0,2.0,0.0
193,1.0,9.0,3.0,696.2075279457683
