,round,tube,sp_div_H,tot_pop_0,tot_final_pop,tot_auc,mean_fc,deg_score,nut_score
0,0.0,0.0,1.4859005711592523,108.0,881.0,68640.0,7.714998935894668,0.5287048132235974,0.9999086821806942
1,0.0,1.0,1.4335891634760425,108.0,865.0,70316.0,7.00961170070002,0.5092133767757929,0.9996084772777628
2,0.0,2.0,1.444593747254911,108.0,853.0,68303.0,6.863995475109421,0.5114953477773266,0.9998376073762975
3,0.0,3.0,1.5288123941361123,108.0,891.0,70304.0,7.848228512835438,0.5254322347054482,0.99994213981985
4,0.0,4.0,1.5049545203920807,108.0,932.0,71067.0,8.409508753525822,0.5449355040159358,0.999833907231763
5,0.0,5.0,1.5059605091587003,108.0,816.0,64480.0,6.896372176750203,0.5037007307103821,0.9997958272695666
6,0.0,6.0,1.4941815215312562,108.0,826.0,62857.0,7.043275519891098,0.5262457814975858,0.9998883256603504
7,0.0,7.0,1.4810965284026776,108.0,877.0,68633.0,7.346323087254012,0.5290116416865294,0.9999191126329454
8,0.0,8.0,1.4224121850766902,108.0,920.0,69451.0,7.338455917089017,0.529868967474773,0.999889096619929
9,0.0,9.0,1.4117513397109775,108.0,869.0,65402.0,6.984875476502206,0.5196329806519222,0.999851432467874
10,1.0,0.0,1.3527594033114188,44.0,780.0,57208.0,20.83121844280882,0.4748385386623114,0.9998946402013698
11,1.0,1.0,1.2215400576762918,40.0,870.0,57793.0,17.34883844356461,0.453191408010869,0.9998463885995872
12,1.0,2.0,1.26769142702101,54.0,925.0,66975.0,13.532447682318676,0.4906175017802826,0.99987774384369
13,1.0,3.0,1.3306243180814026,37.0,796.0,58019.0,13.792187274988475,0.4712910968583157,0.9998711348366786
14,1.0,4.0,1.3225021653370068,42.0,818.0,55842.0,19.05744883511386,0.4870149691785749,0.9997586150502616
15,1.0,5.0,1.422483249917429,49.0,896.0,62591.0,14.672652789055437,0.5113297188422865,0.9997815926412656
16,1.0,6.0,1.3133717355159717,35.0,821.0,57835.0,21.76511938058199,0.45080858185954586,0.9997919339485688
17,1.0,7.0,1.3200401347449828,51.0,844.0,59833.0,13.328627617705928,0.48759606882468787,0.9997942320751966
18,1.0,8.0,1.3276257552066768,39.0,951.0,62956.0,18.976511683835717,0.508660356002665,0.9997173613023087
19,1.0,9.0,1.266590101966126,35.0,877.0,61591.0,27.462850514435896,0.4750902301029307,0.999774821013362
20,2.0,0.0,1.317348220717342,34.0,745.0,55283.0,21.43482159529306,0.4599924518088727,0.9998063582172951
21,2.0,1.0,1.326651685300463,34.0,762.0,54821.0,19.39542021445477,0.450146239439123,0.9997769724877066
22,2.0,2.0,1.3000662438985162,38.0,714.0,52420.0,19.707665919399286,0.45577977208569864,0.9998124610759123
23,2.0,3.0,1.2598180834703379,40.0,772.0,55702.0,19.01691454849186,0.44102245315004107,0.9986202536110748
24,2.0,4.0,1.283314344688491,37.0,693.0,49522.0,17.927062829019505,0.4320707516736503,0.9999169549553992
25,2.0,5.0,1.3293831620629437,57.0,834.0,59535.0,12.089666382627291,0.46239529849363026,0.9999305134465413
26,2.0,6.0,1.2955623049262281,45.0,878.0,64040.0,20.32694865613029,0.4765631488814047,0.9999188295434593
27,2.0,7.0,1.1706802011264432,38.0,940.0,62237.0,22.40170292307567,0.48594860482288404,0.9997586709244044
28,2.0,8.0,1.2944746697450755,57.0,877.0,63570.0,14.937431064984935,0.48121578959798317,0.9998696325514033
29,2.0,9.0,1.3374598505982198,45.0,797.0,57431.0,20.885091942033533,0.4751241149527897,0.9997836780410928
30,3.0,0.0,1.2346448970694228,31.0,552.0,40862.0,21.989219897730372,0.375631970200488,0.9997634901071006
31,3.0,1.0,1.2167479783294033,42.0,844.0,60535.0,18.651116425899872,0.45073702651279757,0.9999147130193072
32,3.0,2.0,1.2789465287135673,45.0,725.0,54012.0,17.725957937652883,0.4516944778528472,0.999761162070822
33,3.0,3.0,1.2641726291546838,49.0,828.0,60894.0,16.354150837808902,0.4590790018493266,0.9998561400500413
34,3.0,4.0,1.2107417291514722,47.0,682.0,52424.0,15.24104504154856,0.419717286791508,0.9997813190509944
35,3.0,5.0,1.3370155152423504,50.0,720.0,55069.0,15.411978381815414,0.4609238275456987,0.999820502187084
36,3.0,6.0,1.318264207842423,47.0,764.0,56127.0,17.797685994797618,0.46718116477137117,0.9998546141802956
37,3.0,7.0,1.3167981524981585,35.0,779.0,53566.0,24.394756813552615,0.4592845601884975,0.9997673096856442
38,3.0,8.0,1.3351062746268973,44.0,818.0,60631.0,20.227136554506128,0.46266389266692487,0.9998939073792116
39,3.0,9.0,1.34625013054009,47.0,840.0,59577.0,17.979637002084008,0.48821857284070125,0.9998000746246941
40,4.0,0.0,1.2244031362825083,26.0,515.0,37532.0,34.239352708275646,0.36438936607601913,0.9997822960480454
41,4.0,1.0,1.2730762388146255,41.0,789.0,57989.0,18.729144569567794,0.45684083686973176,0.999925139476849
42,4.0,2.0,1.2359757453082574,39.0,671.0,47031.0,20.670797745562382,0.4452553317146204,0.9997264307701814
43,4.0,3.0,1.0194931309373552,49.0,823.0,59159.0,12.740289324213819,0.41287465066570905,0.9989107681768554
44,4.0,4.0,1.2852865242950753,38.0,922.0,57463.0,24.190595782635416,0.4813186856699464,0.9997492933828578
45,4.0,5.0,1.3346758968183832,34.0,718.0,52065.0,22.125762559843118,0.46878088772926463,0.999874496436891
46,4.0,6.0,1.2977673821169893,36.0,839.0,61771.0,23.734811352243554,0.46023432005334775,0.9997528846813293
47,4.0,7.0,1.266285026427437,59.0,700.0,57196.0,11.47082484063205,0.44459354108290816,0.9997611201618015
48,4.0,8.0,1.3369378913412993,37.0,874.0,61559.0,26.667420554056164,0.4825248258410906,0.9999227130026248
49,4.0,9.0,1.2844930960328425,43.0,889.0,64014.0,25.408025327002704,0.4744553851949821,0.9998118759063985
50,5.0,0.0,1.3047052102828445,28.0,601.0,41014.0,22.034049550862296,0.41610762817518776,0.9998671929985029
51,5.0,1.0,1.1907857469343683,39.0,701.0,50452.0,20.89436855372411,0.4139735480475736,0.9998627505018846
52,5.0,2.0,1.1993983515794047,31.0,676.0,47779.0,23.04162381954343,0.45053798498770214,0.9998212964904346
