,round,tube,sp,pop_0,final_pop,st_div_H,auc,fc
0,0.0,0.0,1.0,37.0,284.0,-0.0,26483.0,7.675673601169296
1,0.0,0.0,6.0,15.0,163.0,-0.0,13208.0,10.866659422227052
2,0.0,0.0,8.0,8.0,106.0,-0.0,6314.0,13.249983437520704
3,0.0,0.0,9.0,9.0,5.0,-0.0,658.0,0.5555549382722909
4,0.0,0.0,10.0,5.0,36.0,-0.0,3053.0,7.199985600028801
5,0.0,0.0,12.0,14.0,5.0,-0.0,650.0,0.35714260204099857
6,0.0,0.0,14.0,20.0,282.0,-0.0,18274.0,14.099992950003525
7,0.0,1.0,1.0,37.0,302.0,-0.0,29014.0,8.162159956172983
8,0.0,1.0,6.0,15.0,181.0,-0.0,14964.0,12.066658622227585
9,0.0,1.0,8.0,8.0,83.0,-0.0,5223.0,10.374987031266212
10,0.0,1.0,9.0,9.0,7.0,-0.0,749.0,0.7777769135812072
11,0.0,1.0,10.0,5.0,20.0,-0.0,1940.0,3.9999920000160003
12,0.0,1.0,12.0,14.0,4.0,-0.0,545.0,0.2857140816327988
13,0.0,1.0,14.0,20.0,268.0,-0.0,17881.0,13.39999330000335
14,0.0,2.0,1.0,37.0,268.0,-0.0,25599.0,7.243241285610463
15,0.0,2.0,6.0,15.0,198.0,-0.0,16887.0,13.199991200005867
16,0.0,2.0,8.0,8.0,60.0,-0.0,3176.0,7.499990625011719
17,0.0,2.0,9.0,9.0,12.0,-0.0,1565.0,1.333331851853498
18,0.0,2.0,10.0,5.0,19.0,-0.0,1638.0,3.7999924000152
19,0.0,2.0,12.0,14.0,8.0,-0.0,992.0,0.5714281632655976
20,0.0,2.0,14.0,20.0,288.0,-0.0,18446.0,14.3999928000036
21,0.0,3.0,1.0,37.0,267.0,-0.0,25332.0,7.216214265888036
22,0.0,3.0,6.0,15.0,227.0,-0.0,18617.0,15.133323244451171
23,0.0,3.0,8.0,8.0,126.0,-0.0,7158.0,15.74998031252461
24,0.0,3.0,9.0,9.0,24.0,-0.0,1896.0,2.666663703706996
25,0.0,3.0,10.0,5.0,11.0,-0.0,968.0,2.1999956000088003
26,0.0,3.0,12.0,14.0,8.0,-0.0,947.0,0.5714281632655976
27,0.0,3.0,14.0,20.0,228.0,-0.0,15386.0,11.39999430000285
28,0.0,4.0,1.0,37.0,304.0,-0.0,27043.0,8.216213995617839
29,0.0,4.0,6.0,15.0,223.0,-0.0,17062.0,14.866656755562163
30,0.0,4.0,8.0,8.0,157.0,-0.0,9428.0,19.624975468780665
31,0.0,4.0,9.0,9.0,4.0,-0.0,539.0,0.44444395061783265
32,0.0,4.0,10.0,5.0,22.0,-0.0,1867.0,4.399991200017601
33,0.0,4.0,12.0,14.0,10.0,-0.0,913.0,0.7142852040819971
