,round,tube,tox,amount
0,0.0,0.0,0.0,218.92097170535448
1,0.0,0.0,1.0,77.59586700140312
2,0.0,0.0,2.0,163.0746619237424
3,0.0,0.0,3.0,314.79099079689627
4,0.0,0.0,4.0,0.0
5,0.0,0.0,5.0,0.0
6,0.0,0.0,6.0,0.0
7,0.0,0.0,7.0,0.0
8,0.0,0.0,8.0,65.32512952991233
9,0.0,0.0,9.0,143.99221538680544
10,0.0,1.0,0.0,99.58703249601717
11,0.0,1.0,1.0,169.65529151569174
12,0.0,1.0,2.0,143.6437209600507
13,0.0,1.0,3.0,349.0225006649057
14,0.0,1.0,4.0,0.0
15,0.0,1.0,5.0,0.0
16,0.0,1.0,6.0,32.220379714943306
17,0.0,1.0,7.0,0.0
18,0.0,1.0,8.0,0.0
19,0.0,1.0,9.0,245.10394155954452
20,0.0,2.0,0.0,170.8409376207701
21,0.0,2.0,1.0,137.40915787559751
22,0.0,2.0,2.0,109.85557016040134
23,0.0,2.0,3.0,350.2038796084225
24,0.0,2.0,4.0,0.0
25,0.0,2.0,5.0,0.0
26,0.0,2.0,6.0,0.0
27,0.0,2.0,7.0,0.0
28,0.0,2.0,8.0,0.0
29,0.0,2.0,9.0,220.48965005596702
30,0.0,3.0,0.0,212.6025336315372
31,0.0,3.0,1.0,153.78765108752202
32,0.0,3.0,2.0,164.4282032415596
33,0.0,3.0,3.0,342.2666535343775
34,0.0,3.0,4.0,0.0
35,0.0,3.0,5.0,0.0
36,0.0,3.0,6.0,0.0
37,0.0,3.0,7.0,0.0
38,0.0,3.0,8.0,0.0
39,0.0,3.0,9.0,210.52393835518535
40,0.0,4.0,0.0,118.63825600494962
41,0.0,4.0,1.0,110.0969868253944
42,0.0,4.0,2.0,139.8632837082142
43,0.0,4.0,3.0,345.27308877662256
44,0.0,4.0,4.0,0.0
45,0.0,4.0,5.0,0.0
46,0.0,4.0,6.0,0.0
47,0.0,4.0,7.0,0.0
48,0.0,4.0,8.0,0.0
49,0.0,4.0,9.0,206.45662137520802
50,0.0,5.0,0.0,113.93254281932674
51,0.0,5.0,1.0,254.51096099539058
52,0.0,5.0,2.0,156.5002830396393
53,0.0,5.0,3.0,378.87692961505365
54,0.0,5.0,4.0,0.0
55,0.0,5.0,5.0,0.0
56,0.0,5.0,6.0,23.067028247195292
57,0.0,5.0,7.0,0.0
58,0.0,5.0,8.0,0.0
59,0.0,5.0,9.0,296.60325356659564
60,0.0,6.0,0.0,202.54934815891949
61,0.0,6.0,1.0,93.53980874961162
62,0.0,6.0,2.0,172.3422872968917
63,0.0,6.0,3.0,328.369463227326
64,0.0,6.0,4.0,0.0
65,0.0,6.0,5.0,0.0
66,0.0,6.0,6.0,0.0
67,0.0,6.0,7.0,0.0
68,0.0,6.0,8.0,3.8520049941264434
69,0.0,6.0,9.0,162.34866195575455
70,0.0,7.0,0.0,21.861941075857438
71,0.0,7.0,1.0,228.9479579152391
72,0.0,7.0,2.0,145.3046451288474
73,0.0,7.0,3.0,375.68480209306364
74,0.0,7.0,4.0,0.0
75,0.0,7.0,5.0,0.0
76,0.0,7.0,6.0,32.006640615459744
77,0.0,7.0,7.0,0.0
78,0.0,7.0,8.0,0.0
79,0.0,7.0,9.0,291.13224365655003
