,round,tube,sp,pop_0,final_pop,st_div_H,auc,fc
0,0.0,0.0,8.0,21.0,353.0,-0.0,26196.0,16.809515804992476
1,0.0,0.0,11.0,30.0,469.0,-0.0,46800.0,15.63332812222396
2,0.0,0.0,13.0,11.0,149.0,-0.0,12488.0,13.545442231416153
3,0.0,1.0,8.0,21.0,389.0,-0.0,28952.0,18.523800702952048
4,0.0,1.0,11.0,30.0,411.0,-0.0,40517.0,13.699995433334855
5,0.0,1.0,13.0,11.0,163.0,-0.0,15088.0,14.818168347119684
6,0.0,2.0,8.0,21.0,365.0,-0.0,26198.0,17.38094410431233
7,0.0,2.0,11.0,30.0,445.0,-0.0,44437.0,14.833328388890537
8,0.0,2.0,13.0,11.0,164.0,-0.0,12968.0,14.909077355384223
9,0.0,3.0,8.0,21.0,345.0,-0.0,23127.0,16.428563605445902
10,0.0,3.0,11.0,30.0,492.0,-0.0,48003.0,16.399994533335157
11,0.0,3.0,13.0,11.0,165.0,-0.0,13118.0,14.99998636364876
12,0.0,4.0,8.0,21.0,370.0,-0.0,26500.0,17.61903922902894
13,0.0,4.0,11.0,30.0,406.0,-0.0,40863.0,13.533328822223726
14,0.0,4.0,13.0,11.0,169.0,-0.0,11867.0,15.363622396706912
15,0.0,5.0,8.0,21.0,335.0,-0.0,22649.0,15.952373356012687
16,0.0,5.0,11.0,30.0,528.0,-0.0,48074.0,17.59999413333529
17,0.0,5.0,13.0,11.0,150.0,-0.0,12402.0,13.636351239680693
18,0.0,6.0,8.0,21.0,348.0,-0.0,25599.0,16.571420680275867
19,0.0,6.0,11.0,30.0,460.0,-0.0,43238.0,15.333328222223926
20,0.0,6.0,13.0,11.0,151.0,-0.0,12506.0,13.72726024794523
21,0.0,7.0,8.0,21.0,346.0,-0.0,26023.0,16.476182630389225
22,0.0,7.0,11.0,30.0,459.0,-0.0,45852.0,15.2999949000017
23,0.0,7.0,13.0,11.0,150.0,-0.0,12170.0,13.636351239680693
24,0.0,8.0,8.0,21.0,359.0,-0.0,26491.0,17.095229954652403
25,0.0,8.0,11.0,30.0,430.0,-0.0,43215.0,14.333328555557149
26,0.0,8.0,13.0,11.0,149.0,-0.0,10706.0,13.545442231416153
27,0.0,9.0,8.0,21.0,436.0,-0.0,32672.0,20.761894875288156
28,0.0,9.0,11.0,30.0,387.0,-0.0,38314.0,12.899995700001433
29,0.0,9.0,13.0,11.0,154.0,-0.0,12757.0,13.999987272738844
30,1.0,0.0,8.0,22.0,330.0,-0.0,23867.0,14.999993181821281
31,1.0,0.0,11.0,23.0,455.0,-0.0,45747.0,19.782600094521698
32,1.0,0.0,13.0,12.0,142.0,-0.0,12263.0,11.83332347223044
33,1.0,1.0,8.0,21.0,398.0,-0.0,28799.0,18.95237192744194
34,1.0,1.0,11.0,17.0,387.0,-0.0,37956.0,22.76469249135736
35,1.0,1.0,13.0,13.0,163.0,-0.0,12938.0,12.538451893498543
36,1.0,2.0,8.0,11.0,362.0,-0.0,26269.0,32.909060991762736
37,1.0,2.0,11.0,30.0,502.0,-0.0,48678.0,16.733327755557415
38,1.0,2.0,13.0,6.0,157.0,-0.0,14391.0,26.166623055628243
39,1.0,3.0,8.0,19.0,398.0,-0.0,29396.0,20.947357396127686
40,1.0,3.0,11.0,19.0,404.0,-0.0,40134.0,21.263146703607
41,1.0,3.0,13.0,11.0,154.0,-0.0,12636.0,13.999987272738844
42,1.0,4.0,8.0,17.0,329.0,-0.0,22108.0,19.35292979239424
43,1.0,4.0,11.0,24.0,497.0,-0.0,47077.0,20.708324704864708
44,1.0,4.0,13.0,7.0,157.0,-0.0,12297.0,22.428539387800875
45,1.0,5.0,8.0,20.0,415.0,-0.0,31077.0,20.74998962500519
46,1.0,5.0,11.0,17.0,346.0,-0.0,34294.0,20.35292920415929
47,1.0,5.0,13.0,5.0,158.0,-0.0,9859.0,31.599936800126404
48,1.0,6.0,8.0,20.0,358.0,-0.0,25486.0,17.899991050004477
49,1.0,6.0,11.0,27.0,468.0,-0.0,44899.0,17.333326913582624
50,1.0,6.0,13.0,5.0,176.0,-0.0,12758.0,35.199929600140806
51,1.0,7.0,8.0,13.0,358.0,-0.0,24298.0,27.538440355045882
52,1.0,7.0,11.0,26.0,483.0,-0.0,45010.0,18.576915931955412
53,1.0,7.0,13.0,4.0,166.0,-0.0,11037.0,41.499896250259376
54,1.0,8.0,8.0,15.0,318.0,-0.0,22869.0,21.19998586667609
55,1.0,8.0,11.0,22.0,429.0,-0.0,41950.0,19.499991136367665
56,1.0,8.0,13.0,9.0,156.0,-0.0,12054.0,17.333314074095473
57,1.0,9.0,8.0,27.0,470.0,-0.0,34790.0,17.407400960221867
58,1.0,9.0,11.0,15.0,321.0,-0.0,29134.0,21.399985733342845
59,1.0,9.0,13.0,7.0,170.0,-0.0,12535.0,24.2856795918863
60,2.0,0.0,8.0,16.0,372.0,-0.0,26358.0,23.249985468759082
61,2.0,0.0,11.0,19.0,434.0,-0.0,40719.0,22.842093241003557
62,2.0,0.0,13.0,12.0,159.0,-0.0,13293.0,13.249988958342534
63,2.0,1.0,8.0,21.0,412.0,-0.0,31482.0,19.61903827664844
64,2.0,1.0,11.0,17.0,362.0,-0.0,34746.0,21.294105121114637
65,2.0,1.0,13.0,4.0,167.0,-0.0,11346.0,41.74989562526094
66,2.0,2.0,8.0,11.0,377.0,-0.0,25912.0,34.2726961157308
67,2.0,2.0,11.0,24.0,507.0,-0.0,46779.0,21.124991197920334
68,2.0,2.0,13.0,7.0,183.0,-0.0,12512.0,26.14281979597172
69,2.0,3.0,8.0,27.0,375.0,-0.0,28385.0,13.888883744857873
70,2.0,3.0,11.0,21.0,396.0,-0.0,39850.0,18.857133877555295
71,2.0,3.0,13.0,5.0,179.0,-0.0,12429.0,35.7999284001432
72,2.0,4.0,8.0,14.0,341.0,-0.0,24406.0,24.3571254591961
73,2.0,4.0,11.0,28.0,463.0,-0.0,46066.0,16.53570838010415
74,2.0,4.0,13.0,9.0,165.0,-0.0,13625.0,18.333312962985598
75,2.0,5.0,8.0,31.0,410.0,-0.0,31855.0,13.2258021852251
76,2.0,5.0,11.0,17.0,364.0,-0.0,35227.0,21.411752110734053
77,2.0,5.0,13.0,4.0,175.0,-0.0,11523.0,43.749890625273444
78,2.0,6.0,8.0,22.0,403.0,-0.0,29973.0,18.318173491739323
79,2.0,6.0,11.0,27.0,376.0,-0.0,37736.0,13.925920768177493
80,2.0,6.0,13.0,10.0,153.0,-0.0,12231.0,15.299984700015301
81,2.0,7.0,8.0,17.0,348.0,-0.0,25029.0,20.47057619377871
82,2.0,7.0,11.0,14.0,466.0,-0.0,44417.0,33.285690510221066
83,2.0,7.0,13.0,10.0,162.0,-0.0,12529.0,16.199983800016202
84,2.0,8.0,8.0,18.0,370.0,-0.0,26874.0,20.555544135808812
85,2.0,8.0,11.0,23.0,374.0,-0.0,38197.0,16.260862495277177
86,2.0,8.0,13.0,7.0,160.0,-0.0,12478.0,22.857110204128283
87,2.0,9.0,8.0,29.0,429.0,-0.0,30777.0,14.793098347207467
88,2.0,9.0,11.0,16.0,377.0,-0.0,36195.0,23.562485273446704
89,2.0,9.0,13.0,7.0,171.0,-0.0,12488.0,24.4285365306621
90,3.0,0.0,8.0,25.0,376.0,-0.0,28047.0,15.039993984002408
91,3.0,0.0,11.0,25.0,412.0,-0.0,41679.0,16.47999340800264
92,3.0,0.0,13.0,8.0,145.0,-0.0,13040.0,18.124977343778323
93,3.0,1.0,8.0,21.0,401.0,-0.0,29962.0,19.095229002271903
94,3.0,1.0,11.0,13.0,400.0,-0.0,37648.0,30.769207100609922
95,3.0,1.0,13.0,9.0,150.0,-0.0,11600.0,16.666648148168726
96,3.0,2.0,8.0,16.0,347.0,-0.0,23887.0,21.68748644532097
97,3.0,2.0,11.0,34.0,464.0,-0.0,44983.0,13.647054809689761
98,3.0,2.0,13.0,12.0,154.0,-0.0,13637.0,12.833322638897801
99,3.0,3.0,8.0,16.0,365.0,-0.0,26267.0,22.81248574219641
100,3.0,3.0,11.0,21.0,389.0,-0.0,38692.0,18.523800702952048
101,3.0,3.0,13.0,6.0,157.0,-0.0,11634.0,26.166623055628243
102,3.0,4.0,8.0,15.0,336.0,-0.0,23151.0,22.399985066676624
103,3.0,4.0,11.0,23.0,508.0,-0.0,44323.0,22.08694691871873
104,3.0,4.0,13.0,4.0,161.0,-0.0,11206.0,40.249899375251566
105,3.0,5.0,8.0,17.0,370.0,-0.0,27123.0,21.764693079592305
106,3.0,5.0,11.0,18.0,439.0,-0.0,42855.0,24.3888753395137
107,3.0,5.0,13.0,7.0,146.0,-0.0,10582.0,20.857113061267057
108,3.0,6.0,8.0,15.0,383.0,-0.0,26483.0,25.53331631112246
109,3.0,6.0,11.0,11.0,404.0,-0.0,36560.0,36.72723933887333
110,3.0,6.0,13.0,4.0,173.0,-0.0,12423.0,43.249891875270315
111,3.0,7.0,8.0,19.0,384.0,-0.0,27330.0,20.210515678675957
112,3.0,7.0,11.0,25.0,421.0,-0.0,39933.0,16.839993264002693
113,3.0,7.0,13.0,10.0,153.0,-0.0,12215.0,15.299984700015301
114,3.0,8.0,8.0,18.0,345.0,-0.0,25183.0,19.166656018524435
115,3.0,8.0,11.0,25.0,436.0,-0.0,41967.0,17.439993024002792
116,3.0,8.0,13.0,6.0,154.0,-0.0,10460.0,25.666623888960185
117,3.0,9.0,8.0,22.0,431.0,-0.0,32531.0,19.59090018595446
118,3.0,9.0,11.0,17.0,340.0,-0.0,34315.0,19.99998823530104
119,3.0,9.0,13.0,4.0,182.0,-0.0,11800.0,45.499886250284376
120,4.0,0.0,8.0,23.0,391.0,-0.0,29083.0,16.999992608698864
121,4.0,0.0,11.0,16.0,366.0,-0.0,36436.0,22.874985703133937
122,4.0,0.0,13.0,3.0,201.0,-0.0,9983.0,66.99977666741111
123,4.0,1.0,8.0,27.0,423.0,-0.0,32945.0,15.666660864199681
124,4.0,1.0,11.0,20.0,391.0,-0.0,39261.0,19.549990225004887
125,4.0,1.0,13.0,9.0,155.0,-0.0,12110.0,17.222203086441016
126,4.0,2.0,8.0,27.0,406.0,-0.0,30629.0,15.037031467766123
127,4.0,2.0,11.0,33.0,429.0,-0.0,44191.0,12.999996060607254
128,4.0,2.0,13.0,17.0,155.0,-0.0,13826.0,9.117641695504885
129,4.0,3.0,8.0,16.0,401.0,-0.0,28370.0,25.06248433594729
130,4.0,3.0,11.0,12.0,401.0,-0.0,37569.0,33.41663881946765
131,4.0,3.0,13.0,12.0,149.0,-0.0,12446.0,12.416656319453068
132,4.0,4.0,8.0,19.0,376.0,-0.0,28185.0,19.789463268703543
133,4.0,4.0,11.0,25.0,492.0,-0.0,47177.0,19.67999212800315
134,4.0,4.0,13.0,16.0,153.0,-0.0,13205.0,9.562494023441236
135,4.0,5.0,8.0,18.0,341.0,-0.0,23990.0,18.944433919758932
136,4.0,5.0,11.0,28.0,460.0,-0.0,45908.0,16.428565561226584
137,4.0,5.0,13.0,7.0,182.0,-0.0,13746.0,25.99996285719592
138,4.0,6.0,8.0,20.0,367.0,-0.0,26346.0,18.34999082500459
139,4.0,6.0,11.0,16.0,419.0,-0.0,40607.0,26.18748363282273
140,4.0,6.0,13.0,10.0,159.0,-0.0,13121.0,15.899984100015901
141,4.0,7.0,8.0,16.0,369.0,-0.0,26496.0,23.062485585946508
142,4.0,7.0,11.0,23.0,400.0,-0.0,38477.0,17.3912967863927
143,4.0,7.0,13.0,7.0,167.0,-0.0,11608.0,23.857108775558892
144,4.0,8.0,8.0,14.0,414.0,-0.0,31147.0,29.57140744899468
145,4.0,8.0,11.0,16.0,361.0,-0.0,34883.0,22.562485898446315
146,4.0,8.0,13.0,9.0,165.0,-0.0,13514.0,18.333312962985598
147,4.0,9.0,8.0,24.0,404.0,-0.0,30552.0,16.833326319447366
148,4.0,9.0,11.0,11.0,346.0,-0.0,33023.0,31.45451685953013
149,4.0,9.0,13.0,8.0,147.0,-0.0,12625.0,18.37497703127871
150,5.0,0.0,8.0,14.0,311.0,-0.0,21662.0,22.21426984695011
151,5.0,0.0,11.0,17.0,508.0,-0.0,44905.0,29.88233536333214
152,5.0,0.0,13.0,6.0,172.0,-0.0,11972.0,28.66661888896852
153,5.0,1.0,8.0,28.0,454.0,-0.0,33949.0,16.214279923471455
154,5.0,1.0,11.0,23.0,339.0,-0.0,33808.0,14.739124026467815
155,5.0,1.0,13.0,10.0,164.0,-0.0,12826.0,16.3999836000164
156,5.0,2.0,8.0,21.0,418.0,-0.0,31629.0,19.90475242630837
157,5.0,2.0,11.0,18.0,321.0,-0.0,31832.0,17.83332342593143
158,5.0,2.0,13.0,11.0,138.0,-0.0,11985.0,12.545443140506237
159,5.0,3.0,8.0,19.0,411.0,-0.0,30224.0,21.63156756233286
160,5.0,3.0,11.0,12.0,387.0,-0.0,36650.0,32.2499731250224
161,5.0,3.0,13.0,7.0,171.0,-0.0,13115.0,24.4285365306621
162,5.0,4.0,8.0,14.0,339.0,-0.0,24354.0,24.214268418379703
163,5.0,4.0,11.0,20.0,470.0,-0.0,45159.0,23.499988250005874
164,5.0,4.0,13.0,10.0,168.0,-0.0,11809.0,16.7999832000168
165,5.0,5.0,8.0,14.0,311.0,-0.0,20891.0,22.21426984695011
166,5.0,5.0,11.0,22.0,531.0,-0.0,49982.0,24.136352665294243
167,5.0,5.0,13.0,3.0,161.0,-0.0,8943.0,53.66648777837407
168,5.0,6.0,8.0,14.0,344.0,-0.0,24107.0,24.5714110204207
169,5.0,6.0,11.0,18.0,462.0,-0.0,44130.0,25.66665240741533
170,5.0,6.0,13.0,3.0,167.0,-0.0,12101.0,55.666481111729624
171,5.0,7.0,8.0,23.0,425.0,-0.0,31092.0,18.478252835542246
172,5.0,7.0,11.0,11.0,365.0,-0.0,34109.0,33.18178801655635
173,5.0,7.0,13.0,8.0,156.0,-0.0,12249.0,19.49997562503047
174,5.0,8.0,8.0,20.0,382.0,-0.0,27805.0,19.099990450004775
175,5.0,8.0,11.0,17.0,402.0,-0.0,38019.0,23.64704491350299
176,5.0,8.0,13.0,4.0,170.0,-0.0,9555.0,42.49989375026563
177,5.0,9.0,8.0,22.0,433.0,-0.0,31908.0,19.681809235541255
178,5.0,9.0,11.0,14.0,345.0,-0.0,34521.0,24.6428395408289
179,5.0,9.0,13.0,3.0,154.0,-0.0,11200.0,51.33316222279259
180,6.0,0.0,8.0,10.0,338.0,-0.0,22657.0,33.7999662000338
181,6.0,0.0,11.0,27.0,553.0,-0.0,50177.0,20.48147389575041
182,6.0,0.0,13.0,14.0,163.0,-0.0,13390.0,11.642848826536552
183,6.0,1.0,8.0,21.0,406.0,-0.0,30497.0,19.33332412698851
184,6.0,1.0,11.0,22.0,380.0,-0.0,37267.0,17.27271942149117
185,6.0,1.0,13.0,5.0,158.0,-0.0,11279.0,31.599936800126404
186,6.0,2.0,8.0,29.0,477.0,-0.0,37117.0,16.44827019025166
187,6.0,2.0,11.0,12.0,267.0,-0.0,26837.0,22.249981458348785
188,6.0,2.0,13.0,7.0,166.0,-0.0,12211.0,23.71425183678309
189,6.0,3.0,8.0,29.0,400.0,-0.0,29565.0,13.793098692034935
190,6.0,3.0,11.0,16.0,355.0,-0.0,34493.0,22.187486132821167
191,6.0,3.0,13.0,7.0,170.0,-0.0,11858.0,24.2856795918863
192,6.0,4.0,8.0,20.0,361.0,-0.0,26645.0,18.049990975004512
193,6.0,4.0,11.0,30.0,434.0,-0.0,43127.0,14.466661844446053
194,6.0,4.0,13.0,7.0,160.0,-0.0,12549.0,22.857110204128283
195,6.0,5.0,8.0,16.0,394.0,-0.0,28471.0,24.62498460938462
196,6.0,5.0,11.0,21.0,422.0,-0.0,41198.0,20.095228526081655
197,6.0,5.0,13.0,8.0,152.0,-0.0,12321.0,18.99997625002969
198,6.0,6.0,8.0,21.0,373.0,-0.0,27596.0,17.761896303858904
199,6.0,6.0,11.0,30.0,412.0,-0.0,40389.0,13.733328755557082
200,6.0,6.0,13.0,4.0,188.0,-0.0,11949.0,46.99988250029375
201,6.0,7.0,8.0,22.0,377.0,-0.0,27475.0,17.13635584711098
202,6.0,7.0,11.0,19.0,384.0,-0.0,38698.0,20.210515678675957
203,6.0,7.0,13.0,6.0,180.0,-0.0,10916.0,29.999950000083334
204,6.0,8.0,8.0,17.0,410.0,-0.0,30699.0,24.117632871980664
205,6.0,8.0,11.0,19.0,375.0,-0.0,38544.0,19.73683171745699
206,6.0,8.0,13.0,11.0,151.0,-0.0,12273.0,13.72726024794523
207,6.0,9.0,8.0,18.0,462.0,-0.0,33996.0,25.66665240741533
208,6.0,9.0,11.0,11.0,307.0,-0.0,30153.0,27.90906553721315
209,6.0,9.0,13.0,5.0,174.0,-0.0,11918.0,34.7999304001392
210,7.0,0.0,8.0,10.0,258.0,-0.0,15642.0,25.7999742000258
211,7.0,0.0,11.0,22.0,607.0,-0.0,54915.0,27.59089654959248
212,7.0,0.0,13.0,8.0,170.0,-0.0,13358.0,21.249973437533203
213,7.0,1.0,8.0,29.0,387.0,-0.0,27659.0,13.344822984543798
214,7.0,1.0,11.0,17.0,382.0,-0.0,37317.0,22.470575017308814
215,7.0,1.0,13.0,8.0,169.0,-0.0,13164.0,21.124973593783007
216,7.0,2.0,8.0,18.0,434.0,-0.0,30968.0,24.111097716056825
217,7.0,2.0,11.0,10.0,342.0,-0.0,31994.0,34.1999658000342
218,7.0,2.0,13.0,9.0,160.0,-0.0,12353.0,17.777758024713307
219,7.0,3.0,8.0,24.0,411.0,-0.0,30914.0,17.124992864586307
220,7.0,3.0,11.0,21.0,409.0,-0.0,39427.0,19.476181201818477
221,7.0,3.0,13.0,5.0,161.0,-0.0,12874.0,32.1999356001288
222,7.0,4.0,8.0,21.0,432.0,-0.0,31893.0,20.571418775514868
223,7.0,4.0,11.0,22.0,335.0,-0.0,34953.0,15.22726580578827
224,7.0,4.0,13.0,8.0,153.0,-0.0,11127.0,19.124976093779885
225,7.0,5.0,8.0,21.0,421.0,-0.0,30648.0,20.047609501138332
226,7.0,5.0,11.0,12.0,303.0,-0.0,30527.0,25.24997895835087
227,7.0,5.0,13.0,4.0,164.0,-0.0,11847.0,40.99989750025625
228,7.0,6.0,8.0,23.0,414.0,-0.0,31655.0,17.999992173916446
229,7.0,6.0,11.0,17.0,337.0,-0.0,31861.0,19.82351775087191
230,7.0,6.0,13.0,4.0,175.0,-0.0,11176.0,43.749890625273444
231,7.0,7.0,8.0,18.0,417.0,-0.0,30278.0,23.166653796303446
232,7.0,7.0,11.0,12.0,340.0,-0.0,33444.0,28.3333097222419
233,7.0,7.0,13.0,7.0,164.0,-0.0,12656.0,23.428537959231488
234,7.0,8.0,8.0,18.0,463.0,-0.0,35355.0,25.722207932106706
235,7.0,8.0,11.0,16.0,347.0,-0.0,33094.0,21.68748644532097
236,7.0,8.0,13.0,17.0,151.0,-0.0,12808.0,8.88234771626605
237,7.0,9.0,8.0,22.0,412.0,-0.0,31669.0,18.727264214879902
238,7.0,9.0,11.0,21.0,383.0,-0.0,37780.0,18.238086553292117
239,7.0,9.0,13.0,8.0,172.0,-0.0,11905.0,21.499973125033595
240,8.0,0.0,8.0,9.0,311.0,-0.0,19641.0,34.55551716053649
241,8.0,0.0,11.0,22.0,545.0,-0.0,49841.0,24.772716012401812
242,8.0,0.0,13.0,11.0,136.0,-0.0,11983.0,12.36362512397716
243,8.0,1.0,8.0,15.0,379.0,-0.0,25976.0,25.266649822233454
244,8.0,1.0,11.0,19.0,463.0,-0.0,44742.0,24.368408227153566
245,8.0,1.0,13.0,6.0,186.0,-0.0,13463.0,30.999948333419447
246,8.0,2.0,8.0,28.0,495.0,-0.0,39014.0,17.678565114798175
247,8.0,2.0,11.0,13.0,275.0,-0.0,26067.0,21.15382988166932
248,8.0,2.0,13.0,11.0,167.0,-0.0,12493.0,15.181804380177837
249,8.0,3.0,8.0,22.0,432.0,-0.0,32834.0,19.63635471074786
250,8.0,3.0,11.0,20.0,322.0,-0.0,30866.0,16.099991950004025
251,8.0,3.0,13.0,6.0,175.0,-0.0,13184.0,29.166618055636576
252,8.0,4.0,8.0,18.0,335.0,-0.0,23083.0,18.611100771610683
253,8.0,4.0,11.0,23.0,477.0,-0.0,46396.0,20.739121417773298
254,8.0,4.0,13.0,4.0,171.0,-0.0,11111.0,42.74989312526719
255,8.0,5.0,8.0,18.0,400.0,-0.0,29901.0,22.222209876550068
256,8.0,5.0,11.0,15.0,367.0,-0.0,35300.0,24.46665035556643
257,8.0,5.0,13.0,10.0,172.0,-0.0,13905.0,17.1999828000172
258,8.0,6.0,8.0,22.0,454.0,-0.0,33339.0,20.636354256202612
259,8.0,6.0,11.0,15.0,385.0,-0.0,35507.0,25.666649555566963
260,8.0,6.0,13.0,13.0,146.0,-0.0,12674.0,11.230760591722621
261,8.0,7.0,8.0,20.0,379.0,-0.0,27752.0,18.949990525004736
262,8.0,7.0,11.0,24.0,402.0,-0.0,38069.0,16.749993020836243
263,8.0,7.0,13.0,4.0,164.0,-0.0,9575.0,40.99989750025625
264,8.0,8.0,8.0,20.0,456.0,-0.0,33729.0,22.7999886000057
265,8.0,8.0,11.0,12.0,346.0,-0.0,31867.0,28.83330930557558
266,8.0,8.0,13.0,7.0,160.0,-0.0,10397.0,22.857110204128283
267,8.0,9.0,8.0,21.0,397.0,-0.0,28583.0,18.90475290249862
268,8.0,9.0,11.0,16.0,372.0,-0.0,36230.0,23.249985468759082
269,8.0,9.0,13.0,7.0,172.0,-0.0,12300.0,24.5713934694379
270,9.0,0.0,8.0,11.0,335.0,-0.0,21025.0,30.45451776862021
271,9.0,0.0,11.0,34.0,540.0,-0.0,49593.0,15.882348269897566
272,9.0,0.0,13.0,6.0,159.0,-0.0,11926.0,26.499955833406947
273,9.0,1.0,8.0,23.0,434.0,-0.0,33567.0,18.869557013236083
274,9.0,1.0,11.0,32.0,367.0,-0.0,36246.0,11.468746416016744
275,9.0,1.0,13.0,8.0,170.0,-0.0,11253.0,21.249973437533203
276,9.0,2.0,8.0,26.0,448.0,-0.0,33871.0,17.230762603552844
277,9.0,2.0,11.0,9.0,302.0,-0.0,29295.0,33.55551827164636
278,9.0,2.0,13.0,4.0,171.0,-0.0,11654.0,42.74989312526719
279,9.0,3.0,8.0,16.0,367.0,-0.0,26366.0,22.93748566407146
280,9.0,3.0,11.0,20.0,460.0,-0.0,43708.0,22.99998850000575
281,9.0,3.0,13.0,7.0,161.0,-0.0,12694.0,22.999967142904083
282,9.0,4.0,8.0,20.0,330.0,-0.0,22408.0,16.499991750004124
283,9.0,4.0,11.0,27.0,525.0,-0.0,48691.0,19.444437242801023
284,9.0,4.0,13.0,13.0,144.0,-0.0,12291.0,11.076914556219572
285,9.0,5.0,8.0,26.0,386.0,-0.0,29442.0,14.84614813609687
286,9.0,5.0,11.0,20.0,403.0,-0.0,39138.0,20.149989925005038
287,9.0,5.0,13.0,9.0,160.0,-0.0,12074.0,17.777758024713307
288,9.0,6.0,8.0,22.0,464.0,-0.0,35664.0,21.09089950413659
289,9.0,6.0,11.0,12.0,317.0,-0.0,28152.0,26.416644652796123
290,9.0,6.0,13.0,6.0,163.0,-0.0,11454.0,27.166621388964355
291,9.0,7.0,8.0,14.0,369.0,-0.0,26461.0,26.357124030625695
292,9.0,7.0,11.0,18.0,438.0,-0.0,41827.0,24.333319814822325
293,9.0,7.0,13.0,6.0,160.0,-0.0,12149.0,26.666622222296297
294,9.0,8.0,8.0,17.0,447.0,-0.0,32128.0,26.294102179939895
295,9.0,8.0,11.0,14.0,341.0,-0.0,31576.0,24.3571254591961
296,9.0,8.0,13.0,9.0,155.0,-0.0,11995.0,17.222203086441016
297,9.0,9.0,8.0,18.0,367.0,-0.0,27812.0,20.388877561734688
298,9.0,9.0,11.0,23.0,386.0,-0.0,35939.0,16.78260139886896
299,9.0,9.0,13.0,9.0,159.0,-0.0,11854.0,17.666647037058848
300,10.0,0.0,8.0,21.0,379.0,-0.0,26351.0,18.047610453518832
301,10.0,0.0,11.0,23.0,426.0,-0.0,40869.0,18.52173107750823
302,10.0,0.0,13.0,9.0,173.0,-0.0,13402.0,19.222200864221264
303,10.0,1.0,8.0,25.0,427.0,-0.0,31815.0,17.079993168002733
304,10.0,1.0,11.0,21.0,356.0,-0.0,35466.0,16.952372879822438
305,10.0,1.0,13.0,7.0,167.0,-0.0,11838.0,23.857108775558892
306,10.0,2.0,8.0,17.0,415.0,-0.0,29775.0,24.41175034602921
307,10.0,2.0,11.0,10.0,349.0,-0.0,32711.0,34.899965100034905
308,10.0,2.0,13.0,7.0,166.0,-0.0,11102.0,23.71425183678309
309,10.0,3.0,8.0,22.0,431.0,-0.0,31346.0,19.59090018595446
310,10.0,3.0,11.0,14.0,319.0,-0.0,30719.0,22.785698010215707
311,10.0,3.0,13.0,7.0,158.0,-0.0,10645.0,22.57139632657668
312,10.0,4.0,8.0,13.0,341.0,-0.0,24624.0,26.23074905326996
313,10.0,4.0,11.0,18.0,429.0,-0.0,42860.0,23.833320092599948
314,10.0,4.0,13.0,13.0,151.0,-0.0,11170.0,11.615375680480247
315,10.0,5.0,8.0,15.0,360.0,-0.0,23562.0,23.999984000010667
316,10.0,5.0,11.0,11.0,480.0,-0.0,43548.0,43.63632396697821
317,10.0,5.0,13.0,13.0,160.0,-0.0,13711.0,12.30768284024397
318,10.0,6.0,8.0,34.0,470.0,-0.0,35101.0,13.823525346021956
319,10.0,6.0,11.0,13.0,313.0,-0.0,32164.0,24.076904556227266
320,10.0,6.0,13.0,6.0,171.0,-0.0,13820.0,28.499952500079168
321,10.0,7.0,8.0,14.0,400.0,-0.0,27697.0,28.571408163279884
322,10.0,7.0,11.0,21.0,440.0,-0.0,41130.0,20.95237097506144
323,10.0,7.0,13.0,6.0,165.0,-0.0,12161.0,27.499954166743056
324,10.0,8.0,8.0,13.0,392.0,-0.0,27442.0,30.153822958597726
325,10.0,8.0,11.0,15.0,456.0,-0.0,42570.0,30.399979733346846
326,10.0,8.0,13.0,11.0,140.0,-0.0,12120.0,12.727261157035311
327,10.0,9.0,8.0,19.0,360.0,-0.0,27113.0,18.947358448758713
328,10.0,9.0,11.0,21.0,414.0,-0.0,40010.0,19.71427632653508
