,round,tube,tox,amount
0,0.0,0.0,0.0,333.3568921241822
1,0.0,0.0,1.0,0.0
2,0.0,0.0,2.0,583.4655557937134
3,0.0,0.0,3.0,462.9513452121258
4,0.0,0.0,4.0,585.3291255227882
5,0.0,0.0,5.0,345.1726438368334
6,0.0,0.0,6.0,609.9733295280939
7,0.0,0.0,7.0,361.92175600756974
8,0.0,0.0,8.0,503.435407011691
9,0.0,0.0,9.0,481.10987150208365
10,0.0,1.0,0.0,315.73929681871124
11,0.0,1.0,1.0,0.0
12,0.0,1.0,2.0,575.2325978486559
13,0.0,1.0,3.0,467.1571316925484
14,0.0,1.0,4.0,565.7518352452845
15,0.0,1.0,5.0,298.1765505490034
16,0.0,1.0,6.0,617.1461170723493
17,0.0,1.0,7.0,353.84212706774025
18,0.0,1.0,8.0,474.53853665672824
19,0.0,1.0,9.0,484.5198011738516
20,0.0,2.0,0.0,376.29278874672934
21,0.0,2.0,1.0,0.0
22,0.0,2.0,2.0,552.2210300840683
23,0.0,2.0,3.0,477.20827925799205
24,0.0,2.0,4.0,568.7869840789522
25,0.0,2.0,5.0,309.96745613642486
26,0.0,2.0,6.0,622.3731377961652
27,0.0,2.0,7.0,394.59150613115565
28,0.0,2.0,8.0,484.2826907778723
29,0.0,2.0,9.0,490.2451465485667
30,0.0,3.0,0.0,335.798170300237
31,0.0,3.0,1.0,0.0
32,0.0,3.0,2.0,576.0689062910252
33,0.0,3.0,3.0,464.6316316921707
34,0.0,3.0,4.0,578.3405470650641
35,0.0,3.0,5.0,309.1613876037042
36,0.0,3.0,6.0,613.4145807729008
37,0.0,3.0,7.0,355.777695288376
38,0.0,3.0,8.0,493.2448137068799
39,0.0,3.0,9.0,477.0214579176363
40,0.0,4.0,0.0,352.43601655733187
41,0.0,4.0,1.0,0.0
42,0.0,4.0,2.0,556.4945369884114
43,0.0,4.0,3.0,450.4353633433885
44,0.0,4.0,4.0,574.3582325763578
45,0.0,4.0,5.0,314.3095369667163
46,0.0,4.0,6.0,611.6867795767185
47,0.0,4.0,7.0,368.5751153020228
48,0.0,4.0,8.0,482.96529368563233
49,0.0,4.0,9.0,478.2433558713809
50,0.0,5.0,0.0,345.62142516208735
51,0.0,5.0,1.0,0.0
52,0.0,5.0,2.0,548.8057243082217
53,0.0,5.0,3.0,456.32415235951663
54,0.0,5.0,4.0,555.0124863801697
55,0.0,5.0,5.0,299.64846486016205
56,0.0,5.0,6.0,617.1232662633169
57,0.0,5.0,7.0,367.9292614626441
58,0.0,5.0,8.0,457.1777563097526
59,0.0,5.0,9.0,485.8332256824339
60,0.0,6.0,0.0,349.4123675329412
61,0.0,6.0,1.0,5.056924658466833
62,0.0,6.0,2.0,578.4038354116922
63,0.0,6.0,3.0,460.19105407883507
64,0.0,6.0,4.0,581.58030966358
65,0.0,6.0,5.0,316.7627926525232
66,0.0,6.0,6.0,609.1291515457608
67,0.0,6.0,7.0,366.52202137263237
68,0.0,6.0,8.0,498.4309723515344
69,0.0,6.0,9.0,481.1280190349057
70,0.0,7.0,0.0,343.1842199718999
71,0.0,7.0,1.0,0.0
72,0.0,7.0,2.0,573.8769270138625
73,0.0,7.0,3.0,454.36148410423425
74,0.0,7.0,4.0,583.9389050039239
75,0.0,7.0,5.0,313.37510456186607
76,0.0,7.0,6.0,610.2519351132266
77,0.0,7.0,7.0,360.25267970597537
78,0.0,7.0,8.0,496.38072585800717
79,0.0,7.0,9.0,481.98483932499835
80,0.0,8.0,0.0,319.3042133586125
81,0.0,8.0,1.0,0.0
82,0.0,8.0,2.0,519.7752627295229
83,0.0,8.0,3.0,475.0493298754124
84,0.0,8.0,4.0,488.03885216099144
85,0.0,8.0,5.0,248.0623315457043
86,0.0,8.0,6.0,632.4909860780264
87,0.0,8.0,7.0,366.15552160661326
88,0.0,8.0,8.0,373.0350683665968
89,0.0,8.0,9.0,501.1102876589767
90,0.0,9.0,0.0,340.13942296784285
91,0.0,9.0,1.0,16.336708705971976
92,0.0,9.0,2.0,572.9029070882907
93,0.0,9.0,3.0,456.44740284887604
94,0.0,9.0,4.0,578.8707592348824
95,0.0,9.0,5.0,343.9506846113122
96,0.0,9.0,6.0,609.4398836172098
97,0.0,9.0,7.0,368.876337654187
98,0.0,9.0,8.0,492.7856794533547
99,0.0,9.0,9.0,483.3501459004072
100,1.0,0.0,0.0,334.5653868719522
101,1.0,0.0,1.0,31.743808610694316
102,1.0,0.0,2.0,656.7854324419144
103,1.0,0.0,3.0,475.15187683492735
104,1.0,0.0,4.0,666.0607487358981
105,1.0,0.0,5.0,415.62071246822103
106,1.0,0.0,6.0,602.7078181463677
107,1.0,0.0,7.0,343.01897105434
108,1.0,0.0,8.0,610.1459242873573
109,1.0,0.0,9.0,483.71220064692994
110,1.0,1.0,0.0,364.5795705597097
111,1.0,1.0,1.0,0.0
112,1.0,1.0,2.0,678.8442638523281
113,1.0,1.0,3.0,499.00187346736936
114,1.0,1.0,4.0,682.6471076091678
115,1.0,1.0,5.0,390.39212904480416
116,1.0,1.0,6.0,606.2065006437698
117,1.0,1.0,7.0,361.70466912070026
118,1.0,1.0,8.0,642.9027690005108
119,1.0,1.0,9.0,485.6406523245279
120,1.0,2.0,0.0,342.2705509010591
121,1.0,2.0,1.0,16.17876365815224
122,1.0,2.0,2.0,648.7264995729744
123,1.0,2.0,3.0,475.1966724072771
124,1.0,2.0,4.0,659.7315370136735
125,1.0,2.0,5.0,396.07066957406096
126,1.0,2.0,6.0,605.0612838555687
127,1.0,2.0,7.0,347.5313038919182
128,1.0,2.0,8.0,601.4591454527205
129,1.0,2.0,9.0,486.7429354212681
130,1.0,3.0,0.0,338.0708382088053
131,1.0,3.0,1.0,0.0
132,1.0,3.0,2.0,693.2258245449485
133,1.0,3.0,3.0,512.882185525205
134,1.0,3.0,4.0,694.6797930450867
135,1.0,3.0,5.0,393.78447222680353
136,1.0,3.0,6.0,610.5889437620367
137,1.0,3.0,7.0,334.344474428533
138,1.0,3.0,8.0,659.8450244805055
139,1.0,3.0,9.0,476.1480170303938
140,1.0,4.0,0.0,344.06835213054813
141,1.0,4.0,1.0,79.48355490423592
142,1.0,4.0,2.0,673.6040749510069
143,1.0,4.0,3.0,479.38768853887143
144,1.0,4.0,4.0,679.2695384170621
145,1.0,4.0,5.0,418.974258242187
146,1.0,4.0,6.0,599.9102642565194
147,1.0,4.0,7.0,360.1087457544508
148,1.0,4.0,8.0,631.4261143762486
149,1.0,4.0,9.0,488.87091784375235
150,1.0,5.0,0.0,331.7340323223
151,1.0,5.0,1.0,0.0
152,1.0,5.0,2.0,634.9445564058011
153,1.0,5.0,3.0,484.06604946618745
154,1.0,5.0,4.0,642.8664728220841
155,1.0,5.0,5.0,354.69820076136426
156,1.0,5.0,6.0,613.3796228038732
157,1.0,5.0,7.0,342.5607492984428
158,1.0,5.0,8.0,579.2939276791252
159,1.0,5.0,9.0,480.13925805662376
160,1.0,6.0,0.0,362.8353968125889
161,1.0,6.0,1.0,66.81146381111212
162,1.0,6.0,2.0,673.0200943083305
163,1.0,6.0,3.0,477.48059914499606
164,1.0,6.0,4.0,678.8108998864661
