,round,tube,tox,amount
0,0.0,0.0,0.0,0.0
1,0.0,0.0,1.0,8.529540401776883
2,0.0,0.0,2.0,133.4144449061318
3,0.0,0.0,3.0,173.1377047710921
4,0.0,0.0,4.0,83.30738494076563
5,0.0,0.0,5.0,240.841031943354
6,0.0,0.0,6.0,524.9036543006972
7,0.0,0.0,7.0,323.5887297847388
8,0.0,0.0,8.0,155.775743565381
9,0.0,0.0,9.0,621.3075556309312
10,0.0,1.0,0.0,0.0
11,0.0,1.0,1.0,0.0
12,0.0,1.0,2.0,147.83781789412433
13,0.0,1.0,3.0,200.95191477494225
14,0.0,1.0,4.0,93.27162250079037
15,0.0,1.0,5.0,188.4098933157692
16,0.0,1.0,6.0,554.397154318001
17,0.0,1.0,7.0,279.92249755566405
18,0.0,1.0,8.0,143.97466656194405
19,0.0,1.0,9.0,612.1787042324914
20,0.0,2.0,0.0,0.0
21,0.0,2.0,1.0,0.0
22,0.0,2.0,2.0,120.30102590164016
23,0.0,2.0,3.0,188.9977323967304
24,0.0,2.0,4.0,85.01443133365164
25,0.0,2.0,5.0,185.88896704247443
26,0.0,2.0,6.0,541.4862126787764
27,0.0,2.0,7.0,267.9399285644497
28,0.0,2.0,8.0,154.68690760294075
29,0.0,2.0,9.0,609.6736314082892
30,0.0,3.0,0.0,0.0
31,0.0,3.0,1.0,61.69170693744259
32,0.0,3.0,2.0,71.59064763989505
33,0.0,3.0,3.0,159.15282113963463
34,0.0,3.0,4.0,66.71173900430213
35,0.0,3.0,5.0,254.02369884028417
36,0.0,3.0,6.0,526.9222185129128
37,0.0,3.0,7.0,355.69332041671186
38,0.0,3.0,8.0,188.75103709229168
39,0.0,3.0,9.0,628.0193331790732
40,0.0,4.0,0.0,0.0
41,0.0,4.0,1.0,0.0
42,0.0,4.0,2.0,93.77551725815594
43,0.0,4.0,3.0,174.7266832050632
44,0.0,4.0,4.0,78.91123716009977
45,0.0,4.0,5.0,213.7728777061643
46,0.0,4.0,6.0,532.7788063846356
47,0.0,4.0,7.0,298.439098209679
48,0.0,4.0,8.0,173.24742057551455
49,0.0,4.0,9.0,616.04978005346
50,0.0,5.0,0.0,0.0
51,0.0,5.0,1.0,0.0
52,0.0,5.0,2.0,112.17344699058192
53,0.0,5.0,3.0,192.79490189066678
54,0.0,5.0,4.0,93.52871254826918
55,0.0,5.0,5.0,191.90659764565692
56,0.0,5.0,6.0,553.2948352977924
57,0.0,5.0,7.0,269.10375488739805
58,0.0,5.0,8.0,163.7713645706288
59,0.0,5.0,9.0,609.9169406432158
60,0.0,6.0,0.0,0.0
61,0.0,6.0,1.0,0.0
62,0.0,6.0,2.0,82.15204353815527
63,0.0,6.0,3.0,174.32895304666954
64,0.0,6.0,4.0,75.027764343514
65,0.0,6.0,5.0,209.08418670776825
66,0.0,6.0,6.0,530.1332557176337
67,0.0,6.0,7.0,300.06193934916695
68,0.0,6.0,8.0,173.11145816968627
69,0.0,6.0,9.0,616.3890508091306
70,0.0,7.0,0.0,0.0
71,0.0,7.0,1.0,0.0
72,0.0,7.0,2.0,91.902922841697
73,0.0,7.0,3.0,167.77385184414965
74,0.0,7.0,4.0,62.44172711574522
75,0.0,7.0,5.0,192.04113641722728
76,0.0,7.0,6.0,539.3346596886065
77,0.0,7.0,7.0,283.843412300655
78,0.0,7.0,8.0,162.5857416948268
79,0.0,7.0,9.0,612.9984096713579
80,0.0,8.0,0.0,0.0
81,0.0,8.0,1.0,0.0
82,0.0,8.0,2.0,96.0485744643406
