,round,tube,sp_div_H,tot_pop_0,tot_final_pop,tot_auc,mean_fc,deg_score,nut_score
0,0.0,0.0,0.7156940451681555,40.0,699.0,79458.0,17.474982525017474,0.21922400723905056,0.99971071963123
1,0.0,1.0,0.2234673191803172,40.0,275.0,43959.0,6.874993125006874,0.11839882831422366,0.3880903706444623
2,0.0,2.0,0.5385557736473658,40.0,645.0,38750.0,16.124983875016124,0.4859730644179261,0.4999999562098941
3,0.0,3.0,1.1131426398959043,40.0,605.0,50649.0,15.124984875015127,0.37150931891632966,0.9997577281465287
4,0.0,4.0,0.7869217479749092,40.0,1025.0,60718.0,25.624974375025623,0.3218661796009,0.9111213463669331
5,0.0,5.0,0.9365161369404496,40.0,78.0,5147.0,1.94999805000195,0.3883283467783303,0.3057545992851499
6,1.0,0.0,0.6906991504359978,39.0,529.0,76032.0,15.490730258066822,0.18513009453029128,0.9997492294142649
7,1.0,1.0,-0.0,17.0,378.0,61472.0,11.812492617192115,0.05800686133223487,0.49999997474290514
8,1.0,2.0,0.07458449039119253,33.0,1079.0,57118.0,14.345224400584735,0.2803397764829688,0.49942110113027316
9,1.0,3.0,0.7366474647347943,27.0,448.0,47636.0,9.808555640365121,0.2251041630147379,0.5137653921354071
10,1.0,4.0,0.6985478035853244,49.0,1411.0,92325.0,20.05533470894126,0.2529034611771138,0.983735079785649
11,1.0,5.0,-0.0,3.0,28.0,858.0,6.999965000174999,0.06281563255921008,0.07064915328144339
12,2.0,0.0,0.677621298950257,24.0,660.0,79502.0,28.044419032123173,0.18984862636884903,0.9998937539443751
13,2.0,1.0,-0.0,28.0,249.0,48340.0,8.892853966837869,0.05356958025669045,0.3991225666907987
14,2.0,2.0,-0.0,42.0,1098.0,69379.0,26.142850918368826,0.1978667382448105,0.4923697157075474
15,2.0,3.0,0.6584232977772508,20.0,542.0,51812.0,26.74997250002943,0.22495632556223244,0.4999999328290571
16,2.0,4.0,0.7360065311933104,70.0,876.0,78690.0,13.023256719130806,0.22878350587276142,0.6673170381536807
17,2.0,5.0,-0.0,2.0,76.0,2234.0,37.99981000094999,0.13788181761847795,0.12707788783231455
18,3.0,0.0,0.6804213767707377,28.0,647.0,81672.0,22.961522080879597,0.1978340067118861,0.9997730963356934
19,3.0,1.0,-0.0,14.0,282.0,46556.0,20.14284275511232,0.055873326906190846,0.3991241839437426
20,3.0,2.0,-0.0,47.0,1003.0,71421.0,21.34042099139979,0.19681328122323405,0.4923744860876722
21,3.0,3.0,0.6316022169739544,35.0,481.0,52226.0,13.333325794448797,0.22144008801708315,0.49999995634325967
22,3.0,4.0,0.6794391999897514,35.0,908.0,69448.0,26.50491862919681,0.2145211906114468,0.6611627944754617
23,3.0,5.0,-0.0,3.0,19.0,671.0,6.333312222292593,0.049953168969455564,0.05659926640105428
24,4.0,0.0,0.6844959882027113,42.0,571.0,80591.0,17.446861022864454,0.1948153604136097,0.9997175524799997
25,4.0,1.0,-0.0,18.0,286.0,51235.0,15.8888800617333,0.054599882410291456,0.39911704233685175
26,4.0,2.0,-0.0,50.0,934.0,76255.0,18.679996264000746,0.19236981236354667,0.4923710675616507
27,4.0,3.0,0.6301216893938297,24.0,558.0,54315.0,22.622202671622937,0.22316986915204118,0.4999998875723245
28,4.0,4.0,0.6797672777644557,63.0,870.0,76076.0,13.728567041838154,0.21517139696429455,0.6611553638865102
29,4.0,5.0,-0.0,1.0,51.0,976.0,50.99949000509994,0.06892723750081597,0.0781825533061643
30,5.0,0.0,0.6741843173848078,28.0,613.0,2783.0,21.89284150511321,0.187352810567181,0.999776492380092
31,5.0,1.0,-0.0,8.0,304.0,2763.0,37.99995250005938,0.050370734588049415,0.39912285611372633
32,5.0,2.0,-0.0,48.0,868.0,2803.0,18.083329565973006,0.19095803842790116,0.4923705305070454
33,5.0,3.0,0.6759269599668115,28.0,535.0,2783.0,20.453198526914427,0.22116935174814056,0.49999986417037523
34,5.0,4.0,0.6848783809128707,38.0,950.0,2793.0,24.99998684211219,0.21128180666175,0.6611606961555145
35,5.0,5.0,-0.0,6.0,73.0,2703.0,12.166646388922686,0.15610666946274043,0.1337451520498254
36,6.0,0.0,0.6808305996555347,31.0,581.0,3524.0,22.61682550968386,0.19336767853770853,0.9998175116000687
37,6.0,1.0,-0.0,15.0,292.0,3508.0,19.46665368889754,0.04943582389172352,0.3991251951407616
38,6.0,2.0,-0.0,47.0,974.0,3540.0,20.723399846085137,0.19113177627731903,0.4923674355813643
39,6.0,3.0,0.6927937613442202,19.0,489.0,3512.0,25.77219498089307,0.22376454102578558,0.4999999492657764
40,6.0,4.0,0.586946290943289,52.0,1432.0,3545.0,26.738085202668184,0.22391458380219176,0.999633419781965
41,6.0,5.0,-0.0,5.0,68.0,3427.0,13.5999728000544,0.16036410496435782,0.13397459549304536
42,7.0,0.0,0.6867987258445467,26.0,613.0,32.0,24.256229739861514,0.19472042214377172,0.9997460978621624
43,7.0,1.0,-0.0,11.0,273.0,17.0,24.81815925621886,0.05322433740044896,0.39912027673241957
44,7.0,2.0,-0.0,52.0,966.0,58.0,18.576919504438557,0.18926368136508465,0.49237480633869113
45,7.0,3.0,0.6745585807963701,33.0,411.0,39.0,12.74999145833946,0.21971382269837125,0.49999994146448434
46,7.0,4.0,0.6839721295099985,76.0,902.0,82.0,13.604372197538526,0.21435099937758262,0.6745346824754037
47,7.0,5.0,0.0,1.0,0.0,6.0,0.0,0.0004874834005074158,0.0005878615123389164
48,8.0,0.0,0.6810210176458504,37.0,637.0,37.0,17.111755451908152,0.19407018055112957,0.9997058455161176
49,8.0,1.0,-0.0,17.0,282.0,17.0,16.58822553633792,0.05152937449157202,0.39911365081184946
50,8.0,2.0,-0.0,44.0,912.0,44.0,20.727268016529994,0.18812169138737722,0.49237210806883114
51,8.0,3.0,0.6796308006138003,28.0,445.0,28.0,15.787168228673423,0.22262536232227292,0.4999999028464511
52,8.0,4.0,0.6906927602271304,53.0,871.0,53.0,16.571008075889946,0.21359566902874316,0.66115581357085
53,8.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0
54,9.0,0.0,0.6842170273046364,30.0,607.0,83924.0,20.23301794159545,0.19467234362051067,0.9997452709764206
55,9.0,1.0,-0.0,13.0,282.0,49190.0,21.692291005929995,0.05238660974253284,0.3991122413279
56,9.0,2.0,-0.0,31.0,994.0,77987.0,32.0645057856433,0.18931308510415512,0.4999999158564329
57,9.0,3.0,0.683722255026023,28.0,445.0,48783.0,15.906238391935727,0.2220261790648973,0.49999993604855886
58,9.0,4.0,0.5996276967456625,38.0,1344.0,100460.0,37.36692582791162,0.21745855901150335,0.9975010148338562
59,9.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0
60,10.0,0.0,0.6787417064212851,33.0,626.0,33.0,19.149987732700513,0.19358360339424996,0.9998261088112413
61,10.0,1.0,-0.0,16.0,280.0,16.0,17.499989062506835,0.05232566437884323,0.3991179698219176
62,10.0,2.0,-0.0,54.0,826.0,54.0,15.296293463649357,0.18623125971887755,0.4923738901673034
63,10.0,3.0,0.6802310264787681,28.0,424.0,28.0,15.326191597138077,0.22541345238299604,0.4999999209792221
64,10.0,4.0,0.6844919682892949,51.0,921.0,51.0,20.569433545531176,0.21419835275815435,0.6658990571872023
65,10.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0
66,11.0,0.0,0.6874299390625551,46.0,571.0,46.0,12.451917552147464,0.1908245041984319,0.9997388922645071
67,11.0,1.0,-0.0,11.0,262.0,11.0,23.818160165308942,0.05138812485461708,0.39912175134033245
68,11.0,2.0,-0.0,43.0,843.0,43.0,19.604646603570554,0.18671318081329358,0.4923675061718523
69,11.0,3.0,0.6590579507489887,22.0,416.0,22.0,23.105847020133474,0.22246101199488044,0.49999995378472295
70,11.0,4.0,0.6838206287849113,49.0,880.0,49.0,18.333325292401355,0.21263634120074448,0.6625885792411528
71,11.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0
72,12.0,0.0,0.6691725337543568,30.0,619.0,30.0,20.921037409984137,0.1902478047622712,0.9997203241070157
73,12.0,1.0,-0.0,13.0,302.0,13.0,23.230751360960493,0.051706960436423755,0.3991184986905867
74,12.0,2.0,-0.0,48.0,859.0,48.0,17.895829605035498,0.18691819172842516,0.4923695065666446
75,12.0,3.0,0.6931443325443003,22.0,419.0,22.0,19.0454372314207,0.22946696945721923,0.49999994370909895
76,12.0,4.0,0.6843844962533945,41.0,991.0,41.0,24.14008468010354,0.21438760315720107,0.674716783035815
77,12.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0
78,13.0,0.0,0.6837595784158786,32.0,614.0,32.0,21.18180132646117,0.19326097066515835,0.9997355977500256
79,13.0,1.0,-0.0,19.0,279.0,19.0,14.684202797788002,0.050920986562602355,0.399115806654908
80,13.0,2.0,-0.0,38.0,884.0,38.0,23.263151772854794,0.18782636840751776,0.49236768231079375
81,13.0,3.0,0.6929186607177704,27.0,421.0,27.0,16.210214365002845,0.22459549040873295,0.4999999191666412
82,13.0,4.0,0.6869615765973234,51.0,936.0,51.0,18.787088868681934,0.21246832813976668,0.6611556258730032
83,13.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0
84,14.0,0.0,0.6735330510902546,27.0,618.0,27.0,25.236817605636336,0.18861277180698577,0.9997403924353916
85,14.0,1.0,-0.0,16.0,350.0,16.0,21.874986328133545,0.05943588228741392,0.4999999888375586
86,14.0,2.0,-0.0,44.0,837.0,44.0,19.022722949381148,0.18702087987054916,0.4923702707448022
87,14.0,3.0,0.6756118918438384,29.0,482.0,29.0,16.74760739615324,0.2254978317822267,0.49999993724211
88,14.0,4.0,0.5841990022228901,38.0,1277.0,38.0,31.772447279614077,0.21999360998416362,0.9997200037906867
89,14.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0
90,15.0,0.0,0.6730116670092565,34.0,610.0,34.0,18.484836231643307,0.18745846679404776,0.9998903303821158
91,15.0,1.0,-0.0,27.0,343.0,27.0,12.703698998630001,0.060516286195512525,0.49999997197134083
92,15.0,2.0,-0.0,43.0,793.0,43.0,18.441856176312516,0.1858739502469403,0.4923756719212974
93,15.0,3.0,0.5681443969126467,27.0,560.0,27.0,19.52776251544548,0.23315664606302144,0.49999990480465917
94,15.0,4.0,0.6379768431615198,61.0,1255.0,61.0,22.422906384756754,0.22256246595724805,0.9996944358706118
95,15.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0
96,16.0,0.0,0.6774573134606104,34.0,566.0,34.0,16.646418465057348,0.1881716335584267,0.9996505480341868
97,16.0,1.0,-0.0,13.0,355.0,13.0,27.307671301791306,0.05685450575533635,0.49999998925406275
98,16.0,2.0,-0.0,31.0,825.0,31.0,26.61289464100173,0.1858545408967871,0.4923768899295067
99,16.0,3.0,0.5429053594246851,21.0,648.0,21.0,33.49259127283064,0.22862203400083203,0.4999998861694912
100,16.0,4.0,0.6902267052193609,61.0,864.0,61.0,15.312494023067993,0.21593932384851555,0.6611512953215317
101,16.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0
102,17.0,0.0,0.6775939936166557,37.0,631.0,37.0,16.92204968776448,0.19015902120236794,0.9997410762244261
103,17.0,1.0,-0.0,19.0,400.0,19.0,21.05262049862079,0.059544700838016995,0.49999994103734324
104,17.0,2.0,-0.0,39.0,843.0,39.0,21.615379072979724,0.18762186466598263,0.49237194313779553
105,17.0,3.0,0.5778741685529715,38.0,631.0,38.0,17.27776471052752,0.23037123526630732,0.49999989606035355
106,17.0,4.0,0.6269165225721012,34.0,1281.0,34.0,36.87876464475883,0.2257329552768098,0.9995358188117085
107,17.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0
108,18.0,0.0,0.6853396437252883,26.0,617.0,26.0,23.839375071273317,0.19099372593200348,0.9998102314042285
109,18.0,1.0,-0.0,14.0,296.0,14.0,21.142842040827116,0.05672655093005652,0.399119961469802
110,18.0,2.0,-0.0,42.0,851.0,42.0,20.26189993764287,0.1879310990866434,0.49237607445013465
111,18.0,3.0,0.6127849268269796,32.0,526.0,32.0,16.290897349596452,0.22808735705224392,0.4999999020980015
112,18.0,4.0,0.6768819192786892,68.0,934.0,68.0,16.148881876398566,0.21148316336321393,0.7240830205902299
113,18.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0
114,19.0,0.0,0.676555426500272,26.0,567.0,75238.0,23.999978718769583,0.1917301883785405,0.9998490965833315
115,19.0,1.0,-0.0,20.0,326.0,60316.0,16.299991850004076,0.06369790510223294,0.4999999290460343
116,19.0,2.0,-0.0,48.0,794.0,79412.0,16.54166322048683,0.1853515433534475,0.4923780169416533
117,19.0,3.0,0.6765998359553358,26.0,452.0,45556.0,17.309077331140383,0.22038719842149057,0.49999994590217944
118,19.0,4.0,0.6774280778072408,38.0,950.0,87918.0,25.610104220707843,0.21116216882858185,0.6897101715596863
119,19.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0
120,20.0,0.0,0.6744715846546492,25.0,654.0,25.0,26.403824801545895,0.1917620700455196,0.9996894330548408
121,20.0,1.0,-0.0,15.0,251.0,15.0,16.733322177785215,0.06038665367316787,0.3991260259863372
122,20.0,2.0,-0.0,45.0,770.0,45.0,17.11110730864282,0.18485557430246113,0.4923707733549191
123,20.0,3.0,0.6815502814029536,22.0,500.0,22.0,22.727252066134486,0.2242575445151842,0.49999998273256385
124,20.0,4.0,0.6255988999189905,63.0,1288.0,63.0,19.752625258783276,0.21879132550899594,0.9998005461605011
125,20.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0
126,21.0,0.0,0.6863878310181993,27.0,663.0,27.0,25.974410806286848,0.18483156752054852,0.9998586128511512
127,21.0,1.0,-0.0,11.0,307.0,11.0,27.90906553721315,0.061867927815172474,0.3991253210012419
128,21.0,2.0,-0.0,26.0,737.0,26.0,28.346142943791175,0.18392939348690718,0.49237621672717136
129,21.0,3.0,0.6716484982627633,28.0,484.0,28.0,17.711097004950375,0.22288640253717862,0.49999989019684665
130,21.0,4.0,0.6823044171908281,65.0,898.0,65.0,14.097495326626628,0.21308434897209694,0.6741458196691512
131,21.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0
132,22.0,0.0,0.6821807580922519,36.0,690.0,36.0,19.499988409098126,0.18799250797347178,0.9998527788163355
133,22.0,1.0,-0.0,10.0,292.0,10.0,29.199970800029202,0.06176773318273954,0.39912367782122815
134,22.0,2.0,-0.0,44.0,735.0,44.0,16.704541658058712,0.18383906767924874,0.4923764570399104
135,22.0,3.0,0.5595054845888857,23.0,586.0,23.0,24.138369447969758,0.2248661711515938,0.4999998793616538
136,22.0,4.0,0.6598004961682258,43.0,845.0,43.0,19.54436324874859,0.2102165838817045,0.6716207083653456
137,22.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0
138,23.0,0.0,0.6807634237846166,40.0,624.0,40.0,15.516282991191108,0.1883973515033014,0.9997898974382946
139,23.0,1.0,-0.0,19.0,374.0,19.0,19.684200166210438,0.06788085969458046,0.4999999308510812
140,23.0,2.0,-0.0,34.0,775.0,34.0,22.794110942908546,0.18338570246457375,0.49236974210768025
141,23.0,3.0,0.6273600709066753,27.0,552.0,27.0,20.249983287052395,0.22550126518889446,0.4999999105020324
