,round,tube,sp,st,final_pop
0,0,0,1,"(0.0, 0.021992982619768786, 0.044588638878710875, 0.0, 0.04180321474154816, 0.0, 0.0, 0.0, 0.0, 0.031123428815285337)",130
1,0,0,1,"(0.0, 0.021992982619768786, 0.04211783109773084, 0.0, 0.052985859110864314, 0.0, 0.0, 0.0, 0.0, 0.019958316670263748)",134
2,0,0,1,"(0.0, 0.021992982619768786, 0.044588638878710875, 0.0, 0.03267439187836278, 0.0, 0.0, 0.0, 0.0, 0.031123428815285337)",126
3,0,0,1,"(0.0, 0.021992982619768786, 0.04211783109773084, 0.0, 0.04300860792537061, 0.0, 0.0, 0.0, 0.0, 0.019958316670263748)",56
4,0,1,1,"(0.0, 0.021992982619768786, 0.04211783109773084, 0.0, 0.04300860792537061, 0.0, 0.0, 0.0, 0.0, 0.019958316670263748)",11
5,0,1,1,"(0.0, 0.021992982619768786, 0.04211783109773084, 0.0, 0.052985859110864314, 0.0, 0.0, 0.0, 0.0, 0.019958316670263748)",304
6,0,1,1,"(0.0, 0.021992982619768786, 0.044588638878710875, 0.0, 0.04180321474154816, 0.0, 0.0, 0.0, 0.0, 0.031123428815285337)",182
7,0,1,1,"(0.0, 0.021992982619768786, 0.044588638878710875, 0.0, 0.03267439187836278, 0.0, 0.0, 0.0, 0.0, 0.031123428815285337)",8
8,0,2,1,"(0.0, 0.021992982619768786, 0.04211783109773084, 0.0, 0.052985859110864314, 0.0, 0.0, 0.0, 0.0, 0.019958316670263748)",37
9,0,2,1,"(0.0, 0.021992982619768786, 0.044588638878710875, 0.0, 0.03267439187836278, 0.0, 0.0, 0.0, 0.0, 0.031123428815285337)",136
10,0,2,1,"(0.0, 0.021992982619768786, 0.044588638878710875, 0.0, 0.04180321474154816, 0.0, 0.0, 0.0, 0.0, 0.031123428815285337)",187
11,0,2,1,"(0.0, 0.021992982619768786, 0.04211783109773084, 0.0, 0.04300860792537061, 0.0, 0.0, 0.0, 0.0, 0.019958316670263748)",34
