,round,tube,sp,st,final_pop
0,0,0,8,"(0.0, 0.0, 0.016361534780228625, 0.0033097906454404528, 0.0, 0.006935454618720939, 0.02773054755533034, 0.015670880828002113, 0.011466327601190322, 0.013538136313320443)",54
1,0,0,8,"(0.0, 0.0, 0.016361534780228625, 0.0033097906454404528, 0.0, 0.006935454618720939, 0.02773054755533034, 0.017443176133622482, 0.011466327601190322, 0.013538136313320443)",721
2,0,0,8,"(0.0, 0.0, 0.016361534780228625, 0.0033097906454404528, 0.0, 0.006935454618720939, 0.02773054755533034, 0.03819308126275787, 0.011466327601190322, 0.013538136313320443)",7
3,0,0,8,"(0.0, 0.0, 0.009294606137010273, 0.0033097906454404528, 0.0, 0.004800907208023636, 0.02773054755533034, 0.017443176133622482, 0.011466327601190322, 0.02619950400596455)",5
4,0,1,8,"(0.0, 0.0, 0.016361534780228625, 0.0033097906454404528, 0.0, 0.006935454618720939, 0.02773054755533034, 0.017443176133622482, 0.011466327601190322, 0.013538136313320443)",685
5,0,1,8,"(0.0, 0.0, 0.016361534780228625, 0.0033097906454404528, 0.0, 0.006935454618720939, 0.02773054755533034, 0.03819308126275787, 0.011466327601190322, 0.013538136313320443)",17
6,0,1,8,"(0.0, 0.0, 0.016361534780228625, 0.0033097906454404528, 0.0, 0.006935454618720939, 0.02773054755533034, 0.015670880828002113, 0.011466327601190322, 0.013538136313320443)",80
7,0,1,8,"(0.0, 0.0, 0.009294606137010273, 0.0033097906454404528, 0.0, 0.004800907208023636, 0.02773054755533034, 0.017443176133622482, 0.011466327601190322, 0.02619950400596455)",24
8,0,2,8,"(0.0, 0.0, 0.016361534780228625, 0.0033097906454404528, 0.0, 0.006935454618720939, 0.02773054755533034, 0.017443176133622482, 0.011466327601190322, 0.013538136313320443)",614
9,0,2,8,"(0.0, 0.0, 0.016361534780228625, 0.0033097906454404528, 0.0, 0.006935454618720939, 0.02773054755533034, 0.015670880828002113, 0.011466327601190322, 0.013538136313320443)",64
10,0,2,8,"(0.0, 0.0, 0.009294606137010273, 0.0033097906454404528, 0.0, 0.004800907208023636, 0.02773054755533034, 0.017443176133622482, 0.011466327601190322, 0.02619950400596455)",38
11,0,2,8,"(0.0, 0.0, 0.016361534780228625, 0.0033097906454404528, 0.0, 0.006935454618720939, 0.02773054755533034, 0.03819308126275787, 0.011466327601190322, 0.013538136313320443)",8
