,round,tube,sp,st,final_pop
0,0,0,1,"(0.0, 0.029090932289814714, 0.027940366677087065, 0.0, 0.03345327558000262, 0.0, 0.0, 0.0, 0.0, 0.034480130811573785)",52
1,0,0,1,"(0.0, 0.029090932289814714, 0.044588638878710875, 0.0, 0.03437090072702116, 0.0, 0.0, 0.0, 0.0, 0.034480130811573785)",305
2,0,0,1,"(0.0, 0.029090932289814714, 0.027940366677087065, 0.0, 0.041509069294052445, 0.0, 0.0, 0.0, 0.0, 0.034480130811573785)",33
3,0,0,1,"(0.0, 0.0389825711920166, 0.044588638878710875, 0.0, 0.03437090072702116, 0.0, 0.0, 0.0, 0.0, 0.034480130811573785)",11
4,0,1,1,"(0.0, 0.029090932289814714, 0.027940366677087065, 0.0, 0.041509069294052445, 0.0, 0.0, 0.0, 0.0, 0.034480130811573785)",26
5,0,1,1,"(0.0, 0.029090932289814714, 0.044588638878710875, 0.0, 0.03437090072702116, 0.0, 0.0, 0.0, 0.0, 0.034480130811573785)",327
6,0,1,1,"(0.0, 0.0389825711920166, 0.044588638878710875, 0.0, 0.03437090072702116, 0.0, 0.0, 0.0, 0.0, 0.034480130811573785)",26
7,0,2,1,"(0.0, 0.029090932289814714, 0.027940366677087065, 0.0, 0.041509069294052445, 0.0, 0.0, 0.0, 0.0, 0.034480130811573785)",52
8,0,2,1,"(0.0, 0.029090932289814714, 0.027940366677087065, 0.0, 0.03345327558000262, 0.0, 0.0, 0.0, 0.0, 0.034480130811573785)",12
9,0,2,1,"(0.0, 0.029090932289814714, 0.044588638878710875, 0.0, 0.03437090072702116, 0.0, 0.0, 0.0, 0.0, 0.034480130811573785)",358
