,round,tube,tox,amount
0,0.0,0.0,0.0,491.7495051280893
1,0.0,0.0,1.0,361.78881461553425
2,0.0,0.0,2.0,700.0
3,0.0,0.0,3.0,700.0
4,0.0,0.0,4.0,700.0
5,0.0,0.0,5.0,577.842585786321
6,0.0,0.0,6.0,700.0
7,0.0,0.0,7.0,700.0
8,0.0,0.0,8.0,402.66214194979193
9,0.0,0.0,9.0,403.22652655150915
10,0.0,1.0,0.0,426.46785585671756
11,0.0,1.0,1.0,255.76753482216031
12,0.0,1.0,2.0,700.0
13,0.0,1.0,3.0,700.0
14,0.0,1.0,4.0,700.0
15,0.0,1.0,5.0,539.5490994947261
16,0.0,1.0,6.0,700.0
17,0.0,1.0,7.0,700.0
18,0.0,1.0,8.0,309.68470442165983
19,0.0,1.0,9.0,310.19499825369235
20,0.0,2.0,0.0,401.7257829437058
21,0.0,2.0,1.0,215.58493735017944
22,0.0,2.0,2.0,700.0
23,0.0,2.0,3.0,700.0
24,0.0,2.0,4.0,700.0
25,0.0,2.0,5.0,525.0356758834225
26,0.0,2.0,6.0,700.0
27,0.0,2.0,7.0,700.0
28,0.0,2.0,8.0,323.8032802241606
29,0.0,2.0,9.0,274.93558183200696
